Date,Open,High,Low,Close,Volume,signal
2023-09-11,3722.0,3760.0,3714.0,3718.0,2159884.0,0
2023-09-12,3703.0,3790.0,3703.0,3752.0,789684.0,0
2023-09-13,3740.0,3779.0,3719.0,3759.0,1876156.0,0
2023-09-17,3799.0,3810.0,3719.0,3747.0,622000.0,0
2023-09-18,3797.0,3799.0,3720.0,3750.0,1725893.0,0
2023-09-19,3740.0,3781.0,3728.0,3749.0,1361103.0,0
2023-09-20,3730.0,3750.0,3730.0,3749.0,349014.0,0
2023-09-23,3726.0,3772.0,3719.0,3737.0,930576.0,0
2023-09-25,3750.0,3787.0,3690.0,3690.0,3690103.0,0
2023-09-26,3685.0,3745.0,3680.0,3720.0,2202827.0,0
2023-09-27,3710.0,3776.0,3700.0,3745.0,3009130.0,0
2023-09-30,3731.0,3770.0,3699.0,3713.0,4457690.0,0
2023-10-01,3682.0,3731.0,3682.0,3720.0,1401742.0,0
2023-10-02,3685.0,3750.0,3685.0,3740.0,662481.0,0
2023-10-04,3717.0,3751.0,3717.0,3730.0,1403624.0,0
2023-10-07,3721.0,3737.0,3679.0,3700.0,7880386.0,0
2023-10-08,3700.0,3700.0,3591.0,3597.0,2135054.0,0
2023-10-09,3580.0,3725.0,3580.0,3621.0,2278065.0,0
2023-10-10,3625.0,3651.0,3586.0,3640.0,1414756.0,0
2023-10-11,3641.0,3651.0,3601.0,3649.0,1614442.0,0
2023-10-14,3581.0,3639.0,3528.0,3575.0,1337294.0,0
2023-10-15,3600.0,3650.0,3584.0,3643.0,3621259.0,0
2023-10-16,3658.0,3699.0,3630.0,3646.0,4653583.0,0
2023-10-17,3644.0,3664.0,3640.0,3660.0,6748188.0,0
2023-10-18,3533.0,3689.0,3533.0,3660.0,6720060.0,0
2023-10-21,3800.0,3800.0,3641.0,3641.0,2718345.0,0
2023-10-22,3660.0,3697.0,3572.0,3685.0,4280419.0,0
2023-10-23,3685.0,3689.0,3597.0,3600.0,1518543.0,0
2023-10-24,3656.0,3656.0,3535.0,3540.0,2844461.0,0
2023-10-25,3540.0,3611.0,3534.0,3568.0,743560.0,0
2023-10-28,3535.0,3539.0,3356.0,3494.0,1588766.0,0
2023-10-29,3581.0,3600.0,3507.0,3561.0,2654359.0,0
2023-10-30,3570.0,3617.0,3560.0,3589.0,4965704.0,0
2023-10-31,3502.0,3599.0,3502.0,3559.0,1447756.0,0
2023-11-01,3501.0,3590.0,3501.0,3590.0,2271466.0,0
2023-11-04,3600.0,3650.0,3572.0,3645.0,4060722.0,0
2023-11-05,3700.0,3700.0,3617.0,3620.0,5620412.0,0
2023-11-06,3650.0,3650.0,3570.0,3591.0,6637464.0,0
2023-11-07,3572.0,3678.0,3572.0,3635.0,2729845.0,0
2023-11-08,3605.0,3677.0,3605.0,3620.0,2028433.0,0
2023-11-11,3645.0,3670.0,3610.0,3666.0,2163228.0,0
2023-11-12,3693.0,3693.0,3618.0,3644.0,1034044.0,0
2023-11-13,3608.0,3688.0,3607.0,3670.0,2052231.0,0
2023-11-14,3690.0,3690.0,3617.0,3675.0,4027023.0,0
2023-11-15,3650.0,3680.0,3641.0,3650.0,5347144.0,0
2023-11-18,3620.0,3660.0,3604.0,3623.0,3001040.0,0
2023-11-19,3617.0,3690.0,3617.0,3670.0,4231675.0,0
2023-11-20,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-11-21,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-11-22,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-11-25,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-11-26,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-11-27,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-11-28,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-11-29,3624.0,3698.0,3624.0,3670.0,8080034.0,0
2023-12-02,1967.0,1967.0,1861.0,1892.0,4520059.0,0
2023-12-03,1892.0,1930.0,1878.0,1925.0,4631969.0,0
2023-12-04,1939.0,1970.0,1914.0,1918.0,7607274.0,0
2023-12-05,1901.0,1963.0,1901.0,1925.0,6003353.0,0
2023-12-06,1892.0,1920.0,1892.0,1906.0,2230052.0,0
2023-12-09,1914.0,1914.0,1884.0,1895.0,2387640.0,0
2023-12-10,1900.0,1920.0,1900.0,1914.0,3468184.0,0
2023-12-11,1912.0,1931.0,1900.0,1922.0,4789781.0,0
2023-12-12,1916.0,1950.0,1910.0,1915.0,5139490.0,0
2023-12-13,1938.0,1939.0,1908.0,1920.0,3071520.0,0
