Date,Open,High,Low,Close,Volume,signal
2023-09-11,5080.0,5160.0,4950.0,5040.0,34758128.0,0
2023-09-12,5110.0,5410.0,5060.0,5160.0,57984324.0,0
2023-09-13,5200.0,5290.0,5090.0,5190.0,33032526.0,0
2023-09-17,5280.0,5510.0,5280.0,5390.0,43929995.0,0
2023-09-18,5440.0,5480.0,5230.0,5240.0,32809619.0,0
2023-09-19,5210.0,5350.0,5150.0,5170.0,26414893.0,0
2023-09-20,5180.0,5180.0,5010.0,5080.0,39783266.0,0
2023-09-23,5160.0,5330.0,5110.0,5260.0,36668466.0,0
2023-09-25,5310.0,5320.0,5050.0,5080.0,29225654.0,0
2023-09-26,5100.0,5190.0,5000.0,5060.0,30040884.0,0
2023-09-27,5100.0,5280.0,5030.0,5110.0,30163893.0,0
2023-09-30,5280.0,5280.0,5010.0,5040.0,37734502.0,0
2023-10-01,5070.0,5070.0,4810.0,4970.0,44033085.0,0
2023-10-02,5000.0,5170.0,4910.0,5080.0,35920256.0,0
2023-10-04,5100.0,5200.0,5000.0,5070.0,24224946.0,0
2023-10-07,5100.0,5150.0,4810.0,4910.0,33381612.0,0
2023-10-08,4860.0,5000.0,4570.0,4570.0,42552680.0,0
2023-10-09,4440.0,4800.0,4440.0,4600.0,50252429.0,0
2023-10-10,4610.0,4780.0,4480.0,4740.0,32708605.0,0
2023-10-11,4800.0,4820.0,4600.0,4660.0,21596812.0,0
2023-10-14,4600.0,4607.0,4353.0,4354.0,47954464.0,0
2023-10-15,4330.0,4550.0,4330.0,4434.0,19709683.0,0
2023-10-16,4460.0,4685.0,4451.0,4674.0,31211343.0,0
2023-10-17,4699.0,4800.0,4570.0,4575.0,22055091.0,0
2023-10-18,4621.0,4621.0,4390.0,4433.0,31171092.0,0
2023-10-21,4351.0,4608.0,4351.0,4460.0,21695277.0,0
2023-10-22,4470.0,4640.0,4460.0,4540.0,17325632.0,0
2023-10-23,4560.0,4570.0,4366.0,4434.0,21460491.0,0
2023-10-24,4400.0,4435.0,4166.0,4220.0,31249575.0,0
2023-10-25,4210.0,4390.0,4155.0,4325.0,21821563.0,0
2023-10-28,4169.0,4172.0,3966.0,3966.0,78269904.0,0
2023-10-29,3976.0,4140.0,3976.0,4073.0,27050461.0,0
2023-10-30,4128.0,4289.0,4083.0,4180.0,30095609.0,1
2023-10-31,4200.0,4210.0,3992.0,4028.0,30568267.0,0
2023-11-01,4001.0,4039.0,3865.0,4034.0,27143955.0,0
2023-11-04,4236.0,4236.0,4236.0,4236.0,17323007.0,1
2023-11-05,4490.0,4500.0,4351.0,4399.0,46856548.0,1
2023-11-06,4423.0,4530.0,4340.0,4440.0,30305222.0,1
2023-11-07,4403.0,4759.0,4403.0,4759.0,69815324.0,1
2023-11-08,4800.0,4800.0,4590.0,4656.0,32326320.0,1
2023-11-11,4580.0,4849.0,4530.0,4567.0,33012038.0,0
2023-11-12,4561.0,4780.0,4561.0,4720.0,32741738.0,0
2023-11-13,4700.0,4830.0,4634.0,4666.0,29611305.0,0
2023-11-14,4720.0,4720.0,4480.0,4578.0,30090241.0,0
2023-11-15,4570.0,4650.0,4496.0,4522.0,23072498.0,0
2023-11-18,4500.0,4554.0,4403.0,4421.0,24275170.0,0
2023-11-19,4405.0,4580.0,4405.0,4420.0,21714025.0,0
2023-11-20,4394.0,4520.0,4332.0,4336.0,21824277.0,0
2023-11-21,4443.0,4450.0,4346.0,4395.0,21772241.0,0
2023-11-22,4460.0,4564.0,4411.0,4485.0,25645494.0,1
2023-11-25,4490.0,4579.0,4420.0,4425.0,24528151.0,0
2023-11-26,4430.0,4489.0,4410.0,4428.0,21362060.0,1
2023-11-27,4500.0,4500.0,4373.0,4399.0,17875757.0,1
2023-11-28,4440.0,4578.0,4357.0,4518.0,27716475.0,0
2023-11-29,4600.0,4781.0,4500.0,4781.0,78263464.0,1
2023-12-02,4933.0,5061.0,4927.0,5000.0,97640899.0,1
2023-12-03,5000.0,5280.0,4900.0,5219.0,78508177.0,1
2023-12-04,5320.0,5320.0,4980.0,5045.0,72362185.0,1
2023-12-05,5100.0,5198.0,4980.0,5000.0,44669336.0,0
2023-12-06,5039.0,5050.0,4892.0,4898.0,40621776.0,0
2023-12-09,4944.0,4944.0,4767.0,4775.0,46378638.0,0
2023-12-10,4792.0,4985.0,4792.0,4949.0,34969311.0,0
2023-12-11,4950.0,5084.0,4901.0,4944.0,33745688.0,0
2023-12-12,5038.0,5040.0,4851.0,4899.0,27690540.0,0
2023-12-13,4855.0,4930.0,4741.0,4789.0,41634761.0,0
