,Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2023-01-21,1401-11-01,4540.0,4598.0,4351.0,4430.0,4448.0,-0.3095292614618969,ونفت,4448.0,0.0139388489208633,-0.0445143884892086,-0.0251798561151079,-0.0004496402877697,4977.360497855114,0,-0.0851753830805567,-0.5973014146146984,-0.0280911707013464,-0.600019873192787,-0.2295643491257246,-0.1613415055323002,-0.1341299492367477,-0.430316139555698,-0.306977363452874,-0.2929460677854769,-0.2611895962874933,-0.4237990702536117,-1.102755905584046,-1.1169771970129925,-1.158655935188506,-1.1341332000482365,-0.3061362760098338
1,2023-01-22,1401-11-02,4336.0,4510.0,4250.0,4446.0,4382.0,-0.4561500928025276,ونفت,4448.0,0.0139388489208633,-0.0445143884892086,-0.0251798561151079,-0.0004496402877697,4917.291681641622,0,-0.1520388137084943,-0.5973014146146984,-0.1029102694216396,-0.600019873192787,-0.4132475145641375,-0.0273295542682339,-0.317935656769976,-0.412515518571663,-0.4395336930356128,-0.1947399601632987,-0.3938111286088974,-0.409827045697227,-1.2025746869348812,-1.200097294596167,-1.179758599172018,-1.0193220930981388,-0.3691788211530665
2,2023-01-23,1401-11-03,4450.0,4500.0,4229.0,4296.0,4316.0,-0.4167929373269161,ونفت,4382.0,0.0269283432222729,-0.0349155636695572,0.015518028297581,-0.0196257416704701,4912.467564587541,0,-0.1110580013881454,-0.5973014146146984,-0.2593502031095255,-0.600019873192787,-0.2860565565646432,-0.4200507151280065,-0.2583735080260045,-0.4433184268881684,-0.3551102250904934,-0.493813413996943,-0.3581453941063204,-0.4333216984541508,-1.2738757298609422,-1.2733059964547362,-1.2653226702146296,-1.0193220930981388,-0.1644740981280782
3,2023-01-24,1401-11-04,4350.0,4360.0,4101.0,4169.0,4172.0,-0.1860833540865962,ونفت,4316.0,0.0101946246524559,-0.0498146431881371,0.0078776645041705,-0.0340593141797961,4779.966980206737,0,0.0226688598677298,-0.5973014146146984,-0.2389449943676273,-0.600019873192787,-0.1115729970548402,-0.1062580427451733,0.0229497503989405,-0.4512251232553314,-0.2482889213065231,-0.2812404945421191,-0.1864517391605279,-0.4394001389394406,-1.4407714023882632,-1.440055003841206,-1.4375528261372938,-1.3734124229442333,-0.3584210684914189
4,2023-01-25,1401-11-05,4180.0,4260.0,3946.0,3961.0,4023.0,-0.2888393474213636,ونفت,4172.0,0.0210930009587727,-0.0541706615532118,0.0019175455417066,-0.0505752636625119,4740.486597347839,0,-0.1283130802598713,-1.1976043438757018,-0.198134576883831,-0.600019873192787,-0.1797227722680362,-0.2898242151276267,-0.1032300729764288,-0.4454610297513568,-0.3040565354988526,-0.4260592166025481,-0.2840803174245446,-0.4355178513536157,-1.6131089951444222,-1.613607023901254,-1.6175930187315368,-1.5568315046059913,-0.243899698198878
5,2023-01-28,1401-11-08,3932.0,4029.0,3830.0,3898.0,3901.0,-0.455827619256731,ونفت,4023.0,0.0014914243102162,-0.0479741486452895,-0.0226199353716132,-0.031071339796172,4652.01232508789,0,-0.1455681591315971,-1.1976043438757018,-0.2695528074804746,-0.600019873192787,-0.3220360080885321,-0.4435626457296602,-0.3099152470687106,-0.431942132709643,-0.400871244042414,-0.538748344574998,-0.4226700849372474,-0.4265151969237085,-1.7588325206883375,-1.757231006214944,-1.7476277054639129,-1.6073266408425624,-0.1398662726340969
6,2023-01-29,1401-11-09,3815.0,3898.0,3628.0,3661.0,3681.0,-0.1725504529405833,ونفت,3901.0,-0.000769033581133,-0.0699820558831069,-0.0220456293258138,-0.0615226864906434,4580.366923614802,0,-0.098116692234351,0.0030015146463049,0.0229218511533989,-0.600019873192787,-0.2603865679857322,0.6406598143070115,0.037768115780217,-0.4474036476428541,-0.3764875163201971,0.1281643427633613,-0.2387743533979336,-0.4370988346924512,-2.0190672050897107,-2.013074245760195,-2.00192195730128,-1.914678701839716,-0.7989163736311573
7,2023-01-30,1401-11-10,3628.0,3750.0,3500.0,3705.0,3673.0,-0.2974721251601121,ونفت,3681.0,0.0187449062754686,-0.0491714208095626,-0.0143982613420266,0.0065199674001629,4567.50573033322,0,-0.1843920865929803,-0.5973014146146984,-0.2661519393568249,0.3486281476653742,-0.2341366016534981,-0.0822317640813113,-0.384311063240798,0.2435503050603261,-0.3612656339544366,-0.3290199685626153,-0.4828156888200297,-0.0035256960626174,-2.01933290458735,-2.0450857670936147,-2.027524189836151,-1.875541106895914,0.2764465560679476
8,2023-01-31,1401-11-11,3630.0,3790.0,3609.0,3679.0,3695.0,-0.5859600499852348,ونفت,3673.0,0.0318540702423087,-0.0174244486795535,-0.011707051456575,0.0016335420637081,4576.353608554138,0,-0.2490986323619522,-0.5973014146146984,-0.5484239936197495,0.8229521580944548,-0.4399099908200468,-0.5314412692704661,-0.5409424727444964,-0.2433203985069076,-0.4798386220525001,-0.6093376052544359,-0.5706743428769173,-0.3089746818999486,-1.988446497590919,-1.9988978909414583,-2.019537449367498,-1.874277240901196,0.0886159099451604
9,2023-02-01,1401-11-12,3710.0,3770.0,3645.0,3650.0,3675.0,-0.5572418986321023,ونفت,3695.0,0.020297699594046,-0.013531799729364,0.0040595399188092,-0.0121786197564276,4553.103293701924,0,-0.322432717566787,-0.5973014146146984,-0.5654283342379979,-0.600019873192787,-0.4169465153150232,-0.4980801204563118,-0.5326332048517751,-0.1763145524152314,-0.4673886422987605,-0.5884292479147192,-0.5665305012097281,-0.2682388808403385,-2.01992478699198,-2.019115376485808,-2.0190311980451163,-1.9045933296880493,0.1313874820660229
