Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label
2022-06-01,1401-03-11,1801.0,1825.0,1790.0,1810.0,1806.0,19731207.0,آسیا,1806.0,0.006090808416389812,-0.024916943521594685,-0.024916943521594685,-0.019933554817275746,-0.16147984632855883,1873.1873239477711,1
2022-06-06,1401-03-16,1761.0,1817.0,1761.0,1770.0,1803.0,25811044.0,آسیا,1806.0,0.006090808416389812,-0.024916943521594685,-0.024916943521594685,-0.019933554817275746,-0.061019396372130684,1832.9181145881855,1
2022-06-07,1401-03-17,1803.0,1820.0,1800.0,1809.0,1805.0,14204106.0,آسیا,1803.0,0.009428729894620078,-0.0016638935108153079,0.0,0.0033277870216306157,-0.25280713905279206,1842.3331886334117,1
2022-06-08,1401-03-18,1806.0,1820.0,1800.0,1809.0,1809.0,7871204.0,آسیا,1805.0,0.008310249307479225,-0.002770083102493075,0.000554016620498615,0.00221606648199446,-0.3574491194956828,1861.5313980688873,1
2022-06-11,1401-03-21,1801.0,1870.0,1800.0,1820.0,1839.0,12294448.0,آسیا,1809.0,0.033720287451630734,-0.004975124378109453,-0.004422332780541736,0.006080707573244887,-0.28436145571340193,1861.315070380176,1
2022-06-12,1401-03-22,1800.0,1870.0,1800.0,1830.0,1848.0,7921269.0,آسیا,1839.0,0.016856987493202826,-0.021207177814029365,-0.021207177814029365,-0.004893964110929853,-0.3566218683001214,1859.1818851629462,1
2022-06-13,1401-03-23,1826.0,1898.0,1801.0,1849.0,1856.0,12274286.0,آسیا,1848.0,0.027056277056277056,-0.025432900432900432,-0.011904761904761904,0.0005411255411255411,-0.284694603393516,1875.9060599945494,1
2022-06-14,1401-03-24,1888.0,1926.0,1822.0,1887.0,1877.0,21782524.0,آسیا,1856.0,0.03771551724137931,-0.018318965517241378,0.017241379310344827,0.01670258620689655,-0.12758482104691554,1893.4240782978004,0
2022-06-15,1401-03-25,1887.0,1915.0,1861.0,1880.0,1887.0,8313761.0,آسیا,1877.0,0.020245071923281833,-0.008524240809802876,0.005327650506126798,0.0015982951518380393,-0.35013650974128196,1886.1130464340365,0
2022-06-18,1401-03-28,1861.0,1880.0,1810.0,1816.0,1828.0,12886016.0,آسیا,1887.0,-0.0037095919448860626,-0.04080551139374669,-0.01377848436671966,-0.03762586115527292,-0.27458665624758993,1863.447006267131,0
2022-06-19,1401-03-29,1800.0,1850.0,1800.0,1813.0,1816.0,8847668.0,آسیا,1828.0,0.012035010940919038,-0.015317286652078774,-0.015317286652078774,-0.008205689277899343,-0.3413144743059756,1850.7938132667648,0
2022-06-20,1401-03-30,1810.0,1849.0,1786.0,1809.0,1815.0,6297648.0,آسیا,1816.0,0.01817180616740088,-0.016519823788546256,-0.003303964757709251,-0.003854625550660793,-0.38344984020441847,1851.2866735451744,0
2022-06-21,1401-03-31,1815.0,1836.0,1770.0,1788.0,1790.0,8620316.0,آسیا,1815.0,0.011570247933884297,-0.024793388429752067,0.0,-0.01487603305785124,-0.34507113492343855,1851.3677069040937,0
