Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label
2023-01-21,1401-11-01,2460.0,2500.0,2326.0,2330.0,2352.0,1.5469266795642402,خبهمن,2352.0,0.02891156462585034,-0.05229591836734694,0.003401360544217687,-0.011479591836734694,2207.774478963536,0
2023-01-22,1401-11-02,2360.0,2420.0,2229.0,2325.0,2290.0,0.6069387397156029,خبهمن,2352.0,0.02891156462585034,-0.05229591836734694,0.003401360544217687,-0.011479591836734694,2203.532673768874,0
2023-01-23,1401-11-03,2360.0,2371.0,2157.0,2200.0,2240.0,0.582713135256069,خبهمن,2290.0,0.03537117903930131,-0.058078602620087336,0.03056768558951965,-0.039301310043668124,2142.5292203733893,0
2023-01-24,1401-11-04,2230.0,2300.0,2195.0,2263.0,2241.0,0.051989609083600105,خبهمن,2240.0,0.026785714285714284,-0.020089285714285716,-0.004464285714285714,0.010267857142857143,2172.684176529468,0
2023-01-25,1401-11-05,2299.0,2299.0,2095.0,2130.0,2139.0,1.1294844335197918,خبهمن,2241.0,0.025881302989736725,-0.06514948683623382,0.025881302989736725,-0.049531459170013385,2107.4154206875824,0
2023-01-28,1401-11-08,2160.0,2175.0,2000.0,2041.0,2077.0,1.1425379131178497,خبهمن,2139.0,0.016830294530154277,-0.06498363721365123,0.009817671809256662,-0.04581580177653109,2061.821851280413,0
2023-01-29,1401-11-09,1932.0,1945.0,1932.0,1932.0,1932.0,0.6232209665884884,خبهمن,2077.0,-0.06355320173326914,-0.06981222917669716,-0.06981222917669716,-0.06981222917669716,2008.1960902537671,0
2023-01-30,1401-11-10,1865.0,1977.0,1836.0,1972.0,1904.0,0.6432576756198459,خبهمن,1932.0,0.023291925465838508,-0.049689440993788817,-0.03467908902691511,0.020703933747412008,2027.6676907662886,0
2023-01-31,1401-11-11,2010.0,2036.0,1904.0,2027.0,1963.0,-0.38407240027246276,خبهمن,1904.0,0.06932773109243698,0.0,0.05567226890756303,0.06460084033613446,2055.1996259343355,0
2023-02-01,1401-11-12,2027.0,2030.0,1950.0,1970.0,1976.0,-0.5035254771048308,خبهمن,1963.0,0.03413143148242486,-0.006622516556291391,0.032603158430973,0.003565970453387672,2027.3126633373734,1
2023-02-04,1401-11-12,2027.0,2030.0,1950.0,1970.0,1976.0,-0.5035254771048308,خبهمن,1976.0,0.027327935222672066,-0.013157894736842105,0.025809716599190284,-0.003036437246963563,2025.9369225760054,1
2023-02-05,1401-11-16,1988.0,1990.0,1838.0,1838.0,1870.0,0.8630322433047616,خبهمن,1976.0,0.00708502024291498,-0.06983805668016195,0.006072874493927126,-0.06983805668016195,1962.1347126040607,1
2023-02-06,1401-11-17,1781.0,1847.0,1780.0,1812.0,1815.0,-0.6624196136444853,خبهمن,1870.0,-0.01229946524064171,-0.0481283422459893,-0.04759358288770053,-0.031016042780748664,1946.1369569010137,1
2023-02-07,1401-11-18,1900.0,1942.0,1856.0,1942.0,1938.0,0.5329703010959427,خبهمن,1815.0,0.0699724517906336,0.022589531680440773,0.046831955922865015,0.0699724517906336,2014.8158204689169,1
2023-02-08,1401-11-19,2073.0,2073.0,1990.0,2040.0,2042.0,1.4601837636420611,خبهمن,1938.0,0.0696594427244582,0.026831785345717233,0.0696594427244582,0.05263157894736842,2059.676727765617,1
2023-02-11,1401-11-19,2073.0,2073.0,1990.0,2040.0,2042.0,1.4601837636420611,خبهمن,2042.0,0.015181194906953967,-0.025465230166503428,0.015181194906953967,-0.0009794319294809011,2063.9593672389638,1
2023-02-12,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,-0.20267974001584066,خبهمن,2042.0,0.015181194906953967,-0.02889324191968658,0.013712047012732615,-0.01811949069539667,2042.4278381235788,1
2023-02-13,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,-0.20267974001584066,خبهمن,2009.0,0.031856645097063215,-0.012941762070681932,0.030363364858138377,-0.001991040318566451,2045.7639375338538,0
2023-02-14,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,-0.20267974001584066,خبهمن,2009.0,0.031856645097063215,-0.012941762070681932,0.030363364858138377,-0.001991040318566451,2043.5807763206274,1
2023-02-15,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,-0.20267974001584066,خبهمن,2009.0,0.031856645097063215,-0.012941762070681932,0.030363364858138377,-0.001991040318566451,2044.1816284122592,0
2023-02-18,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,-0.20267974001584066,خبهمن,2009.0,0.031856645097063215,-0.012941762070681932,0.030363364858138377,-0.001991040318566451,2045.522106965283,0
2023-02-19,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,-0.20267974001584066,خبهمن,2009.0,0.031856645097063215,-0.012941762070681932,0.030363364858138377,-0.001991040318566451,2041.9904926294103,1
2023-02-20,1401-12-01,2060.0,2110.0,2059.0,2090.0,2073.0,0.483779186553291,خبهمن,2009.0,0.05027376804380289,0.024888003982080638,0.02538576406172225,0.04031856645097063,2090.322363985817,0
2023-02-21,1401-12-02,2100.0,2163.0,1986.0,1999.0,2075.0,5.339049165953673,خبهمن,2073.0,0.04341534008683068,-0.041968162083936326,0.013024602026049204,-0.03569705740472745,2036.7424146972169,1
2023-02-22,1401-12-03,2000.0,2017.0,1930.0,1952.0,1953.0,0.7137252497155996,خبهمن,2075.0,-0.027951807228915663,-0.06987951807228916,-0.03614457831325301,-0.05927710843373494,2023.3496727433085,0
2023-02-25,1401-12-06,1990.0,2089.0,1980.0,2089.0,2052.0,2.395496670091718,خبهمن,1953.0,0.06963645673323093,0.013824884792626729,0.01894521249359959,0.06963645673323093,2080.097207058073,0
2023-02-26,1401-12-07,2052.0,2064.0,1912.0,1945.0,1969.0,1.300775451516947,خبهمن,2052.0,0.005847953216374269,-0.0682261208576998,0.0,-0.05214424951267056,2020.9730673679258,0
2023-02-27,1401-12-08,2099.0,2099.0,2002.0,2026.0,2048.0,1.7730036308610742,خبهمن,1969.0,0.06602336211274759,0.01675977653631285,0.06602336211274759,0.028948704926358558,2048.1009583864225,0
2023-02-28,1401-12-09,2026.0,2027.0,1943.0,1972.0,1982.0,0.749578631727159,خبهمن,2048.0,-0.01025390625,-0.05126953125,-0.0107421875,-0.037109375,2034.281091279362,0
2023-03-01,1401-12-10,1953.0,1977.0,1864.0,1882.0,1913.0,0.8659398647486556,خبهمن,1982.0,-0.0025227043390514633,-0.05953582240161453,-0.014631685166498487,-0.050454086781029264,1976.9920033822586,0
2023-03-05,1401-12-14,1941.0,2005.0,1910.0,1915.0,1953.0,0.22802538736653416,خبهمن,1913.0,0.04809200209095661,-0.0015682174594877157,0.014636696288552013,0.0010454783063251437,2004.23181972067,0
2023-03-06,1401-12-15,1917.0,1952.0,1888.0,1895.0,1914.0,0.22485224157928832,خبهمن,1953.0,-0.0005120327700972862,-0.033282130056323606,-0.018433179723502304,-0.029697900665642603,1985.6102377243117,0
2023-03-07,1401-12-16,1940.0,1950.0,1863.0,1893.0,1890.0,0.9091039659550064,خبهمن,1914.0,0.018808777429467086,-0.02664576802507837,0.013584117032392894,-0.0109717868338558,1990.6746069926385,0
2023-03-08,1401-12-16,1940.0,1950.0,1863.0,1893.0,1890.0,0.9091039659550064,خبهمن,1890.0,0.031746031746031744,-0.014285714285714285,0.026455026455026454,0.0015873015873015873,1987.4471348775674,0
2023-03-12,1401-12-21,1885.0,1926.0,1840.0,1862.0,1882.0,0.1410336701840333,خبهمن,1890.0,0.01904761904761905,-0.026455026455026454,-0.0026455026455026454,-0.014814814814814815,1972.2326065081465,1
2023-03-13,1401-12-22,1890.0,1923.0,1853.0,1866.0,1882.0,-0.1595831075273804,خبهمن,1882.0,0.021785334750265676,-0.015409139213602551,0.004250797024442083,-0.008501594048884165,1976.8196421805387,1
2023-03-14,1401-12-23,1882.0,1900.0,1839.0,1850.0,1859.0,0.032537339431793114,خبهمن,1882.0,0.009564293304994687,-0.022848034006376194,0.0,-0.01700318809776833,1963.5891707062112,1
2023-03-15,1401-12-24,1864.0,1919.0,1864.0,1902.0,1899.0,0.24513983633457487,خبهمن,1859.0,0.0322754168908015,0.0026896180742334587,0.0026896180742334587,0.023130715438407747,1997.1027807330038,1
2023-03-19,1401-12-28,2100.0,2100.0,1990.0,2029.0,2050.0,0.43955595675503367,خبهمن,1899.0,0.10584518167456557,0.047919957872564506,0.10584518167456557,0.06845708267509215,2051.258852864745,1
2023-03-20,1401-12-28,2100.0,2100.0,1990.0,2029.0,2050.0,0.43955595675503367,خبهمن,2050.0,0.024390243902439025,-0.02926829268292683,0.024390243902439025,-0.01024390243902439,2061.9328437792797,1
2023-03-21,1401-12-28,2100.0,2100.0,1990.0,2029.0,2050.0,0.43955595675503367,خبهمن,2050.0,0.024390243902439025,-0.02926829268292683,0.024390243902439025,-0.01024390243902439,2050.42953510154,1
2023-03-22,1401-12-28,2100.0,2100.0,1990.0,2029.0,2050.0,0.43955595675503367,خبهمن,2050.0,0.024390243902439025,-0.02926829268292683,0.024390243902439025,-0.01024390243902439,2062.3050863400777,1
2023-03-25,1402-01-05,2040.0,2119.0,1980.0,2028.0,2052.0,1.179653887898182,خبهمن,2050.0,0.033658536585365856,-0.03414634146341464,-0.004878048780487805,-0.010731707317073172,2049.9335860555893,1
2023-03-26,1402-01-06,2046.0,2070.0,1962.0,1970.0,2012.0,0.5977502109515007,خبهمن,2052.0,0.008771929824561403,-0.043859649122807015,-0.0029239766081871343,-0.03996101364522417,2032.532127548032,1
2023-03-27,1402-01-07,1980.0,2077.0,1970.0,2068.0,2041.0,0.37971741000274717,خبهمن,2012.0,0.03230616302186879,-0.020874751491053677,-0.015904572564612324,0.027833001988071572,2070.3542713327515,1
2023-03-28,1402-01-08,2091.0,2135.0,2045.0,2091.0,2086.0,0.4768329484533228,خبهمن,2041.0,0.046055854973052424,0.0019598236158745713,0.02449779519843214,0.02449779519843214,2092.584970380676,1
2023-03-29,1402-01-09,2128.0,2232.0,2091.0,2232.0,2189.0,2.4899334359362393,خبهمن,2086.0,0.06999041227229147,0.0023969319271332696,0.020134228187919462,0.06999041227229147,2152.719740098345,1
2023-04-01,1402-01-09,2128.0,2232.0,2091.0,2232.0,2189.0,2.4899334359362393,خبهمن,2189.0,0.01964367291000457,-0.04476930105070809,-0.027866605756052994,0.01964367291000457,2162.8850397636434,1
2023-04-02,1402-01-09,2128.0,2232.0,2091.0,2232.0,2189.0,2.4899334359362393,خبهمن,2189.0,0.01964367291000457,-0.04476930105070809,-0.027866605756052994,0.01964367291000457,2152.7026821053732,1
2023-04-03,1402-01-14,2275.0,2342.0,2150.0,2342.0,2321.0,1.5821018608124047,خبهمن,2189.0,0.0698949291914116,-0.017816354499771585,0.03928734582000914,0.0698949291914116,2218.1340076439556,1
2023-04-04,1402-01-15,2469.0,2469.0,2240.0,2296.0,2303.0,1.034329048846705,خبهمن,2321.0,0.06376561826798793,-0.034898750538560966,0.06376561826798793,-0.010771219302024989,2184.2431852682557,1
2023-04-05,1402-01-16,2303.0,2391.0,2240.0,2380.0,2351.0,1.0353493385125372,خبهمن,2303.0,0.03821102909248806,-0.02735562310030395,0.0,0.03343465045592705,2237.7508561186623,1
2023-04-09,1402-01-20,2332.0,2510.0,2332.0,2470.0,2452.0,1.545269388874036,خبهمن,2351.0,0.06763079540621013,-0.008081667375584857,-0.008081667375584857,0.05061675882603148,2270.54572063857,1
2023-04-10,1402-01-21,2510.0,2550.0,2290.0,2312.0,2403.0,1.6267901707616166,خبهمن,2452.0,0.0399673735725938,-0.06606851549755302,0.02365415986949429,-0.057096247960848286,2204.439656584434,1
2023-04-11,1402-01-22,2300.0,2460.0,2300.0,2399.0,2386.0,1.4297063869786464,خبهمن,2403.0,0.02372034956304619,-0.042863087806908035,-0.042863087806908035,-0.0016645859342488557,2234.4548876149556,1
2023-04-12,1402-01-22,2300.0,2460.0,2300.0,2399.0,2386.0,1.4297063869786464,خبهمن,2386.0,0.03101424979044426,-0.03604358759430008,-0.03604358759430008,0.005448449287510477,2248.355785787956,1
2023-04-15,1402-01-26,2499.0,2553.0,2453.0,2553.0,2539.0,2.618312422805295,خبهمن,2386.0,0.0699916177703269,0.028080469404861693,0.04735959765297569,0.0699916177703269,2311.266433677569,1
2023-04-16,1402-01-27,2610.0,2659.0,2500.0,2560.0,2578.0,0.9053618484556585,خبهمن,2539.0,0.04726270185112249,-0.01536037810161481,0.027963765261914138,0.008270972823946435,2328.795843177838,1
2023-04-17,1402-01-28,2589.0,2650.0,2495.0,2603.0,2593.0,0.5691758706044604,خبهمن,2578.0,0.027928626842513578,-0.0321955003878976,0.004266873545384018,0.009697439875872769,2336.558508943846,1
2023-04-18,1402-01-29,2643.0,2765.0,2603.0,2655.0,2680.0,1.426238755437022,خبهمن,2593.0,0.06633243347473969,0.0038565368299267257,0.01928268414963363,0.0239105283455457,2375.8252311364195,1
2023-04-19,1402-01-30,2700.0,2790.0,2620.0,2659.0,2699.0,0.8748858456432574,خبهمن,2680.0,0.041044776119402986,-0.022388059701492536,0.007462686567164179,-0.007835820895522387,2365.120935153416,1
2023-04-22,1402-01-30,2700.0,2790.0,2620.0,2659.0,2699.0,0.8748858456432574,خبهمن,2699.0,0.03371619118191923,-0.02927010003705076,0.0003705075954057058,-0.014820303816228233,2377.2824179798804,0
2023-04-24,1402-02-04,2730.0,2730.0,2585.0,2640.0,2646.0,1.0373266970104804,خبهمن,2699.0,0.01148573545757688,-0.04223786587625046,0.01148573545757688,-0.021859948128936643,2356.0198356992323,1
