Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label
2022-06-01,1401-03-11,2670.0,2782.0,2642.0,2782.0,2750.0,9477746.0,خکار,2750.0,0.031636363636363636,-0.04654545454545454,0.01890909090909091,-0.03418181818181818,-0.5434453486349312,3278.291483432082,0
2022-06-06,1401-03-16,2802.0,2837.0,2622.0,2656.0,2709.0,20931153.0,خکار,2750.0,0.031636363636363636,-0.04654545454545454,0.01890909090909091,-0.03418181818181818,-0.07718535974806684,2959.1798137727783,0
2022-06-07,1401-03-17,2700.0,2800.0,2630.0,2680.0,2715.0,13288847.0,خکار,2709.0,0.03359173126614987,-0.02916205241786637,-0.0033222591362126247,-0.010705057216685123,-0.38829815881562957,2989.0622457500613,0
2022-06-08,1401-03-18,2680.0,2746.0,2650.0,2690.0,2686.0,5714250.0,خکار,2715.0,0.01141804788213628,-0.02394106813996317,-0.01289134438305709,-0.009208103130755065,-0.6966545730286647,3060.1265309637342,0
2022-06-11,1401-03-21,2625.0,2675.0,2525.0,2528.0,2559.0,12270684.0,خکار,2686.0,-0.004095309009679821,-0.05994043186895011,-0.022710349962769917,-0.058823529411764705,-0.42974684470141156,2987.9720618399783,0
2022-06-12,1401-03-22,2596.0,2596.0,2464.0,2550.0,2556.0,5076235.0,خکار,2559.0,0.014458772958186792,-0.03712387651426338,0.014458772958186792,-0.0035169988276670576,-0.7226277063338596,2929.8623653488785,0
2022-06-13,1401-03-23,2509.0,2684.0,2509.0,2615.0,2619.0,12416176.0,خکار,2556.0,0.050078247261345854,-0.018388106416275432,-0.018388106416275432,0.023082942097026604,-0.42382396967364666,2984.2649273616157,0
2022-06-14,1401-03-24,2587.0,2685.0,2557.0,2570.0,2618.0,10205741.0,خکار,2619.0,0.025200458190148912,-0.023673157693776252,-0.012218403970981291,-0.018709431080565102,-0.5138091940296078,3013.2595730621947,0
2022-06-15,1401-03-25,2557.0,2611.0,2510.0,2542.0,2548.0,7390146.0,خکار,2618.0,-0.00267379679144385,-0.04125286478227655,-0.023300229182582125,-0.029029793735676088,-0.628430048192034,2946.0802731490544,0
2022-06-18,1401-03-28,2520.0,2597.0,2413.0,2431.0,2452.0,11890167.0,خکار,2548.0,0.019230769230769232,-0.052982731554160126,-0.01098901098901099,-0.04591836734693878,-0.44523741900749036,2894.331170914101,0
2022-06-19,1401-03-29,2439.0,2500.0,2359.0,2400.0,2415.0,10426615.0,خکار,2452.0,0.01957585644371941,-0.03792822185970636,-0.005301794453507341,-0.021207177814029365,-0.50481757181751,2902.092908725307,0
2022-06-20,1401-03-30,2365.0,2497.0,2365.0,2400.0,2424.0,10432466.0,خکار,2415.0,0.03395445134575569,-0.020703933747412008,-0.020703933747412008,-0.006211180124223602,-0.5045793818016503,2884.5857400729196,0
2022-06-21,1401-03-31,2361.0,2449.0,2279.0,2279.0,2338.0,11146483.0,خکار,2424.0,0.010313531353135313,-0.05981848184818482,-0.02599009900990099,-0.05981848184818482,-0.4755122615565536,2838.8246207659013,0
2022-06-22,1401-04-01,2290.0,2368.0,2250.0,2333.0,2321.0,9500068.0,خکار,2338.0,0.01283147989734816,-0.037639007698887936,-0.020530367835757058,-0.00213857998289136,-0.5425366360158884,2851.1710406488282,1
2022-06-25,1401-04-04,2291.0,2460.0,2291.0,2460.0,2446.0,17286338.0,خکار,2321.0,0.05988797931925894,-0.012925463162429988,-0.012925463162429988,0.05988797931925894,-0.2255631657052529,2904.7329144576256,1
2022-06-26,1401-04-05,2487.0,2487.0,2360.0,2379.0,2419.0,6530983.0,خکار,2446.0,0.016762060506950123,-0.03515944399018806,0.016762060506950123,-0.02739165985282093,-0.6634059580529168,2908.8291767002124,1
2022-06-27,1401-04-06,2360.0,2445.0,2310.0,2410.0,2404.0,6095017.0,خکار,2419.0,0.010748243075651096,-0.04505994212484498,-0.024390243902439025,-0.0037205456800330715,-0.681153821401792,2879.943328561408,1
2022-06-28,1401-04-07,2402.0,2495.0,2402.0,2413.0,2431.0,5558875.0,خکار,2404.0,0.037853577371048254,-0.0008319467554076539,-0.0008319467554076539,0.0037437603993344427,-0.7029797779020527,2892.4954424457605,0
2022-06-29,1401-04-08,2472.0,2487.0,2368.0,2456.0,2432.0,7383211.0,خکار,2431.0,0.023035787741670095,-0.025915261209378856,0.01686548745372275,0.010283833813245578,-0.6287123670708559,2917.007496382174,1
2022-07-02,1401-04-11,2400.0,2400.0,2326.0,2355.0,2367.0,4611465.0,خکار,2432.0,-0.013157894736842105,-0.04358552631578947,-0.013157894736842105,-0.031661184210526314,-0.741548159875321,2888.9702656152294,1
2022-07-03,1401-04-12,2375.0,2436.0,2316.0,2380.0,2376.0,3751968.0,خکار,2367.0,0.029150823827629912,-0.021546261089987327,0.0033798056611744824,0.005492184199408534,-0.7765376666367845,2856.715521980816,0
2022-07-04,1401-04-13,2392.0,2429.0,2300.0,2399.0,2386.0,8856746.0,خکار,2376.0,0.022306397306397305,-0.03198653198653199,0.006734006734006734,0.00968013468013468,-0.5687258134868955,2895.776079250442,0
2022-07-05,1401-04-14,2400.0,2529.0,2390.0,2529.0,2506.0,10983449.0,خکار,2386.0,0.05993294216261526,0.0016764459346186086,0.00586756077116513,0.05993294216261526,-0.4821492588297825,2958.336184079478,0
2022-07-06,1401-04-15,2569.0,2600.0,2484.0,2515.0,2542.0,17652874.0,خکار,2506.0,0.03750997605746209,-0.008778930566640064,0.025139664804469275,0.003591380686352753,-0.2106417478872503,2950.0768692938536,0
2022-07-09,1401-04-18,2517.0,2520.0,2390.0,2390.0,2438.0,7326024.0,خکار,2542.0,-0.00865460267505901,-0.05979543666404406,-0.00983477576711251,-0.05979543666404406,-0.6310404088478112,2881.500242632017,0
2022-07-11,1401-04-20,2365.0,2440.0,2292.0,2292.0,2325.0,12725197.0,خکار,2438.0,0.0008203445447087777,-0.05988515176374077,-0.029942575881870385,-0.05988515176374077,-0.411243946277481,2829.564173835065,0
2022-07-12,1401-04-21,2287.0,2378.0,2186.0,2235.0,2261.0,10567429.0,خکار,2325.0,0.022795698924731184,-0.05978494623655914,-0.016344086021505378,-0.03870967741935484,-0.49908513481643985,2816.4518526875754,0
2022-07-13,1401-04-21,2287.0,2378.0,2186.0,2235.0,2261.0,10567429.0,خکار,2261.0,0.05174701459531181,-0.033171163202122954,0.011499336576735958,-0.011499336576735958,-0.49908513481643985,2811.792973806854,0
2022-07-16,1401-04-21,2287.0,2378.0,2186.0,2235.0,2261.0,10567429.0,خکار,2261.0,0.05174701459531181,-0.033171163202122954,0.011499336576735958,-0.011499336576735958,-0.49908513481643985,2800.7205260450755,1
2022-07-17,1401-04-21,2287.0,2378.0,2186.0,2235.0,2261.0,10567429.0,خکار,2261.0,0.05174701459531181,-0.033171163202122954,0.011499336576735958,-0.011499336576735958,-0.49908513481643985,2793.646331476228,0
2022-07-19,1401-04-28,2200.0,2210.0,2120.0,2164.0,2178.0,4135528.0,خکار,2261.0,-0.022556390977443608,-0.062361786819991154,-0.02697921273772667,-0.04290137107474569,-0.7609232139820027,2803.3383663010272,0
2022-07-20,1401-04-29,2123.0,2308.0,2123.0,2308.0,2295.0,12524079.0,خکار,2178.0,0.05968778696051423,-0.025252525252525252,-0.025252525252525252,0.05968778696051423,-0.41943131589116434,2828.9115842020465,0
2022-07-23,1401-05-01,2339.0,2369.0,2282.0,2329.0,2326.0,8708111.0,خکار,2295.0,0.03224400871459695,-0.005664488017429194,0.01917211328976035,0.014814814814814815,-0.574776637791681,2840.1839242005412,0
2022-07-24,1401-05-02,2369.0,2386.0,2187.0,2187.0,2226.0,8814949.0,خکار,2326.0,0.025795356835769563,-0.05975924333619948,0.018486672398968184,-0.05975924333619948,-0.5704273393957805,2802.3468402461376,0
2022-07-25,1401-05-03,2151.0,2235.0,2093.0,2093.0,2098.0,9177764.0,خکار,2226.0,0.004043126684636119,-0.059748427672955975,-0.03369272237196765,-0.059748427672955975,-0.5556574008204738,2737.670511240086,0
2022-07-26,1401-05-04,2092.0,2158.0,2005.0,2049.0,2052.0,6480349.0,خکار,2098.0,0.028598665395614873,-0.04432793136320305,-0.002859866539561487,-0.023355576739752144,-0.6654672318972233,2708.4884766357213,0
2022-07-27,1401-05-05,2090.0,2133.0,2000.0,2080.0,2080.0,6234841.0,خکار,2052.0,0.039473684210526314,-0.025341130604288498,0.018518518518518517,0.01364522417153996,-0.6754616865910656,2717.468743786249,0
2022-07-30,1401-05-08,2100.0,2120.0,1970.0,1980.0,2021.0,8365216.0,خکار,2080.0,0.019230769230769232,-0.052884615384615384,0.009615384615384616,-0.04807692307692308,-0.5887356474461324,2701.936375453819,0
2022-07-31,1401-05-09,2000.0,2000.0,1900.0,1924.0,1916.0,10456756.0,خکار,2021.0,-0.010390895596239486,-0.05987135081642751,-0.010390895596239486,-0.047996041563582385,-0.5035905533133183,2650.3153740515368,1
2022-08-01,1401-05-10,1893.0,1982.0,1870.0,1914.0,1911.0,5371866.0,خکار,1916.0,0.03444676409185804,-0.024008350730688934,-0.012004175365344467,-0.0010438413361169101,-0.7105927802394134,2630.657768190389,1
2022-08-02,1401-05-11,1890.0,1970.0,1866.0,1960.0,1910.0,6392125.0,خکار,1911.0,0.03087388801674516,-0.023547880690737835,-0.01098901098901099,0.02564102564102564,-0.6690587676960957,2673.674450092934,1
2022-08-03,1401-05-12,1976.0,2024.0,1933.0,2024.0,1995.0,9072022.0,خکار,1910.0,0.05968586387434555,0.012041884816753926,0.03455497382198953,0.05968586387434555,-0.5599620818420139,2722.5972384323027,1
2022-08-06,1401-05-15,2025.0,2114.0,2025.0,2114.0,2110.0,10593074.0,خکار,1995.0,0.05964912280701754,0.015037593984962405,0.015037593984962405,0.05964912280701754,-0.49804114524940507,2731.0530095460313,1
2022-08-09,1401-05-18,2119.0,2169.0,2012.0,2090.0,2092.0,13113700.0,خکار,2110.0,0.027962085308056873,-0.046445497630331754,0.0042654028436018955,-0.009478672985781991,-0.39542826763596295,2723.7370678124707,1
2022-08-10,1401-05-19,2050.0,2070.0,2000.0,2040.0,2039.0,6067343.0,خکار,2092.0,-0.010516252390057362,-0.04397705544933078,-0.020076481835564052,-0.0248565965583174,-0.6822804101043899,2734.198848254203,1
2022-08-13,1401-05-22,2130.0,2161.0,2090.0,2161.0,2158.0,7730991.0,خکار,2039.0,0.059833251593918585,0.02501226091221187,0.04462972045120157,0.059833251593918585,-0.6145544925680922,2758.9790932383075,1
2022-08-14,1401-05-23,2287.0,2287.0,2178.0,2188.0,2239.0,22422050.0,خکار,2158.0,0.0597775718257646,0.009267840593141797,0.0597775718257646,0.013901760889712697,-0.016492011589614126,2789.2088335986227,1
2022-08-15,1401-05-24,2155.0,2361.0,2155.0,2305.0,2288.0,13256756.0,خکار,2239.0,0.05448861098704779,-0.037516748548459135,-0.037516748548459135,0.029477445288075034,-0.38960456042201347,2822.562700930583,1
2022-08-16,1401-05-25,2340.0,2359.0,2223.0,2233.0,2295.0,9459206.0,خکار,2288.0,0.031031468531468532,-0.028409090909090908,0.022727272727272728,-0.02403846153846154,-0.5442000987450043,2839.779281190355,1
2022-08-17,1401-05-26,2270.0,2390.0,2270.0,2310.0,2312.0,21623081.0,خکار,2295.0,0.04139433551198257,-0.010893246187363835,-0.010893246187363835,0.006535947712418301,-0.04901746685903301,2822.8407991450545,1
2022-08-20,1401-05-29,2233.0,2298.0,2177.0,2190.0,2251.0,6561746.0,خکار,2312.0,-0.006055363321799308,-0.05839100346020761,-0.034169550173010384,-0.052768166089965395,-0.66215361837459,2790.514059789951,1
2022-08-21,1401-05-30,2174.0,2309.0,2174.0,2190.0,2228.0,5604363.0,خکار,2251.0,0.02576632607729898,-0.034207019102621056,-0.034207019102621056,-0.027099067081297203,-0.7011279940289671,2777.9564877356797,1
2022-08-22,1401-05-31,2190.0,2285.0,2168.0,2180.0,2211.0,5566858.0,خکار,2228.0,0.025583482944344704,-0.026929982046678635,-0.017055655296229804,-0.02154398563734291,-0.702654795694463,2798.943933267696,1
2022-08-23,1401-06-01,2219.0,2343.0,2186.0,2343.0,2310.0,17786650.0,خکار,2211.0,0.05970149253731343,-0.011307100859339666,0.003618272274988693,0.05970149253731343,-0.20519582282116916,2848.3863734382244,1
2022-08-24,1401-06-02,2350.0,2448.0,2317.0,2448.0,2407.0,16755287.0,خکار,2310.0,0.05974025974025974,0.0030303030303030303,0.017316017316017316,0.05974025974025974,-0.24718187124486726,2907.696137878302,1
2022-08-27,1401-06-05,2551.0,2551.0,2412.0,2475.0,2529.0,64517734.0,خکار,2407.0,0.05982550893228085,0.002077274615704196,0.05982550893228085,0.028250934773577065,1.6971931088313186,2940.0942082339807,1
2022-08-28,1401-06-06,2444.0,2604.0,2420.0,2466.0,2501.0,33949254.0,خکار,2529.0,0.02965599051008304,-0.04310003954132068,-0.033610122578094107,-0.02491103202846975,0.45277220026775006,2928.203202966286,1
2022-08-29,1401-06-07,2520.0,2588.0,2430.0,2490.0,2514.0,14520868.0,خکار,2501.0,0.03478608556577369,-0.028388644542183126,0.0075969612155137945,-0.004398240703718513,-0.3381434670485088,2911.1885509161602,0
2022-08-30,1401-06-08,2525.0,2525.0,2411.0,2420.0,2451.0,10495001.0,خکار,2514.0,0.004375497215592681,-0.04097056483691328,0.004375497215592681,-0.03739061256961018,-0.5020336267782726,2927.344427693212,0
2022-08-31,1401-06-09,2401.0,2550.0,2401.0,2550.0,2495.0,9262532.0,خکار,2451.0,0.04039167686658507,-0.02039983680130559,-0.02039983680130559,0.04039167686658507,-0.5522065563042559,2943.716615528241,0
2022-09-03,1401-06-12,2530.0,2530.0,2355.0,2420.0,2416.0,10591852.0,خکار,2495.0,0.014028056112224449,-0.056112224448897796,0.014028056112224449,-0.03006012024048096,-0.4980908919934455,2917.1602797834344,0
2022-09-04,1401-06-13,2375.0,2473.0,2375.0,2410.0,2426.0,9231154.0,خکار,2416.0,0.02359271523178808,-0.01697019867549669,-0.01697019867549669,-0.0024834437086092716,-0.5534839321917356,2886.156561635224,0
2022-09-05,1401-06-14,2467.0,2473.0,2400.0,2436.0,2430.0,4381573.0,خکار,2426.0,0.019373454245671887,-0.010717230008244023,0.016900247320692497,0.004122011541632316,-0.7509068984030952,2904.1867911501786,0
2022-09-06,1401-06-15,2430.0,2469.0,2380.0,2454.0,2417.0,11720701.0,خکار,2430.0,0.016049382716049384,-0.0205761316872428,0.0,0.009876543209876543,-0.45213625839010385,2925.6955436881894,0
2022-09-07,1401-06-16,2458.0,2486.0,2365.0,2370.0,2403.0,6741015.0,خکار,2417.0,0.028547786512205214,-0.0215142738932561,0.01696317749275962,-0.019445593711212246,-0.6548557058890073,2878.053437017416,1
2022-09-10,1401-06-19,2360.0,2361.0,2242.0,2261.0,2289.0,11963847.0,خکار,2403.0,-0.017478152309612985,-0.06699958385351644,-0.0178942987931752,-0.059092800665834375,-0.442237959023122,2807.7797463223687,0
2022-09-11,1401-06-20,2237.0,2289.0,2203.0,2248.0,2235.0,9864406.0,خکار,2289.0,0.0,-0.037570991699432066,-0.022717343818261248,-0.017911751856705984,-0.5277046972023055,2819.0027326985783,0
2022-09-12,1401-06-21,2248.0,2391.0,2200.0,2391.0,2315.0,15290353.0,خکار,2235.0,0.0697986577181208,-0.015659955257270694,0.0058165548098434005,0.0697986577181208,-0.30681828428423535,2894.6071154191136,1
2022-09-13,1401-06-22,2430.0,2477.0,2360.0,2477.0,2459.0,24309981.0,خکار,2315.0,0.06997840172786177,0.019438444924406047,0.04967602591792657,0.06997840172786177,0.060364306105126546,2923.935588382252,1
2022-09-14,1401-06-23,2490.0,2550.0,2395.0,2430.0,2471.0,22017410.0,خکار,2459.0,0.03700691337942253,-0.026026840178934526,0.012606750711671411,-0.011793411956079707,-0.03296461593373468,2893.189065620466,1
2022-09-18,1401-06-27,2345.0,2467.0,2331.0,2386.0,2377.0,16657268.0,خکار,2471.0,-0.0016187778227438284,-0.056657223796033995,-0.05099150141643059,-0.03439902873330635,-0.2511721544724433,2897.6652525663453,1
2022-09-19,1401-06-28,2320.0,2543.0,2320.0,2543.0,2532.0,58160759.0,خکار,2377.0,0.06983592763988221,-0.023979806478754733,-0.023979806478754733,0.06983592763988221,1.4384052134169607,2962.7389355943274,1
2022-09-20,1401-06-29,2571.0,2650.0,2505.0,2636.0,2593.0,32625199.0,خکار,2532.0,0.04660347551342812,-0.01066350710900474,0.015402843601895734,0.04107424960505529,0.39887087033285845,3001.983335816756,1
2022-09-21,1401-06-30,2640.0,2710.0,2589.0,2597.0,2637.0,17671585.0,خکار,2593.0,0.04512148091014269,-0.0015426147319706903,0.018125723100655612,0.0015426147319706903,-0.20988003648975415,2975.0760497686038,1
2022-09-24,1401-07-02,2517.0,2560.0,2453.0,2453.0,2459.0,34171411.0,خکار,2637.0,-0.0291998483124763,-0.06977626090254077,-0.04550625711035267,-0.06977626090254077,0.46181605249016205,2949.4792942589957,0
2022-09-26,1401-07-04,2460.0,2627.0,2460.0,2600.0,2576.0,20548700.0,خکار,2459.0,0.06832045546970313,0.00040666937779585197,0.00040666937779585197,0.057340382269215125,-0.09275474722637334,2968.2121262270575,0
2022-09-28,1401-07-06,2600.0,2690.0,2565.0,2590.0,2630.0,12837184.0,خکار,2576.0,0.04425465838509317,-0.004270186335403727,0.009316770186335404,0.005434782608695652,-0.4066850357825101,2977.7061079155956,0
2022-10-01,1401-07-09,2519.0,2629.0,2446.0,2446.0,2456.0,26807547.0,خکار,2630.0,-0.00038022813688212925,-0.0699619771863118,-0.04220532319391635,-0.0699619771863118,0.16203842764854243,2933.801726669413,0
2022-10-02,1401-07-10,2358.0,2449.0,2310.0,2390.0,2381.0,18285003.0,خکار,2456.0,-0.0028501628664495114,-0.059446254071661236,-0.039902280130293157,-0.02687296416938111,-0.18490822942282614,2877.218829946523,0
2022-10-03,1401-07-11,2374.0,2444.0,2320.0,2340.0,2370.0,7500906.0,خکار,2381.0,0.02645947081058379,-0.025619487610247797,-0.0029399412011759767,-0.017219655606887863,-0.6239210879875193,2853.8408082833025,0
2022-10-04,1401-07-12,2350.0,2399.0,2287.0,2300.0,2309.0,9086503.0,خکار,2370.0,0.012236286919831224,-0.0350210970464135,-0.008438818565400843,-0.029535864978902954,-0.55937257071235,2844.375346842796,0
2022-10-08,1401-07-16,2300.0,2390.0,2251.0,2252.0,2308.0,7814588.0,خکار,2309.0,0.035080121264616716,-0.025119099177132957,-0.0038977912516240795,-0.02468601126028584,-0.6111513186224728,2821.2952804379192,0
2022-10-09,1401-07-17,2220.0,2307.0,2201.0,2242.0,2220.0,8350313.0,خکار,2308.0,-0.0004332755632582322,-0.04636048526863085,-0.038128249566724434,-0.02859618717504333,-0.5893423378932963,2804.924518542328,0
2022-10-10,1401-07-18,2242.0,2265.0,2167.0,2248.0,2217.0,9030402.0,خکار,2220.0,0.02027027027027027,-0.023873873873873873,0.00990990990990991,0.012612612612612612,-0.5616564022077768,2815.9645957809344,0
2022-10-11,1401-07-19,2211.0,2301.0,2211.0,2280.0,2256.0,4729630.0,خکار,2217.0,0.037889039242219216,-0.0027063599458728013,-0.0027063599458728013,0.028416779431664412,-0.736737747428892,2828.2382162542426,0
2022-10-12,1401-07-20,2260.0,2344.0,2214.0,2229.0,2255.0,4763622.0,خکار,2256.0,0.03900709219858156,-0.018617021276595744,0.0017730496453900709,-0.011968085106382979,-0.7353539574751916,2811.592355662223,0
2022-10-15,1401-07-23,2231.0,2250.0,2152.0,2200.0,2213.0,5670024.0,خکار,2255.0,-0.0022172949002217295,-0.04567627494456763,-0.010643015521064302,-0.024390243902439025,-0.6984549817863829,2780.7333980442177,0
2022-10-16,1401-07-24,2190.0,2190.0,2116.0,2137.0,2162.0,4855031.0,خکار,2213.0,-0.010393131495707185,-0.043831902394939,-0.010393131495707185,-0.03434252146407592,-0.7316327626094055,2767.183153992217,0
2022-10-17,1401-07-25,2170.0,2220.0,2120.0,2180.0,2158.0,8425686.0,خکار,2162.0,0.02682701202590194,-0.01942645698427382,0.0037002775208140612,0.008325624421831638,-0.586273957092512,2772.8915101201196,0
2022-10-18,1401-07-26,2180.0,2243.0,2130.0,2162.0,2167.0,6556256.0,خکار,2158.0,0.03938832252085264,-0.012974976830398516,0.010194624652455977,0.0018535681186283596,-0.6623771123392233,2777.1744390272584,0
2022-10-19,1401-07-27,2199.0,2219.0,2143.0,2165.0,2176.0,3253191.0,خکار,2167.0,0.023996308260267652,-0.011075219197046609,0.014766958929395477,-0.0009229349330872173,-0.7968425207711939,2768.9577667720987,0
2022-10-22,1401-07-30,2210.0,2217.0,2120.0,2120.0,2159.0,7417190.0,خکار,2176.0,0.01884191176470588,-0.025735294117647058,0.015625,-0.025735294117647058,-0.6273291063378367,2754.4783084084493,0
