Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label
2022-06-01,1401-03-11,8190.0,8190.0,7950.0,8000.0,8020.0,5074002.0,سشرق,8020.0,0.008728179551122194,-0.04488778054862843,0.003740648379052369,-0.03117206982543641,0.011875144986063785,10385.10003269625,1
2022-06-06,1401-03-16,8050.0,8090.0,7660.0,7770.0,7860.0,6736927.0,سشرق,8020.0,0.008728179551122194,-0.04488778054862843,0.003740648379052369,-0.03117206982543641,0.3790650207210901,9329.257465245713,1
2022-06-07,1401-03-17,7700.0,8330.0,7700.0,8200.0,8190.0,11545316.0,سشرق,7860.0,0.05979643765903308,-0.020356234096692113,-0.020356234096692113,0.043256997455470736,1.440803679647781,9500.796780084669,1
2022-06-08,1401-03-18,8220.0,8490.0,8200.0,8370.0,8300.0,6972219.0,سشرق,8190.0,0.03663003663003663,0.001221001221001221,0.003663003663003663,0.02197802197802198,0.4310197632629641,10000.383238057548,1
2022-06-11,1401-03-21,8370.0,8790.0,8340.0,8670.0,8740.0,16948847.0,سشرق,8300.0,0.05903614457831325,0.004819277108433735,0.008433734939759036,0.04457831325301205,2.6339554311821933,10038.314399742507,1
2022-06-12,1401-03-22,8790.0,8960.0,8380.0,8840.0,8630.0,8911864.0,سشرق,8740.0,0.02517162471395881,-0.041189931350114416,0.005720823798627002,0.011441647597254004,0.8593120834337866,9959.466185790006,1
2022-06-13,1401-03-23,8710.0,9140.0,8710.0,9140.0,9130.0,25215653.0,سشرق,8630.0,0.05909617612977984,0.009269988412514484,0.009269988412514484,0.05909617612977984,4.459345913534416,10147.342978767947,1
2022-06-14,1401-03-24,9230.0,9260.0,8870.0,8950.0,9060.0,7973267.0,سشرق,9130.0,0.014238773274917854,-0.028477546549835708,0.01095290251916758,-0.019715224534501644,0.6520608148586744,10232.304649715326,1
2022-06-15,1401-03-25,8820.0,8960.0,8700.0,8760.0,8790.0,6135809.0,سشرق,9060.0,-0.011037527593818985,-0.039735099337748346,-0.026490066225165563,-0.033112582781456956,0.2463323696862644,9980.260796738537,0
2022-06-18,1401-03-28,8720.0,8720.0,8270.0,8430.0,8400.0,8092913.0,سشرق,8790.0,-0.007963594994311717,-0.05915813424345848,-0.007963594994311717,-0.040955631399317405,0.678479805415791,9836.587566721815,0
2022-06-19,1401-03-29,8150.0,8900.0,8150.0,8890.0,8700.0,9110500.0,سشرق,8400.0,0.05952380952380952,-0.02976190476190476,-0.02976190476190476,0.058333333333333334,0.9031728276985627,10053.605877063492,0
2022-06-20,1401-03-30,8970.0,9220.0,8740.0,9100.0,9170.0,15939988.0,سشرق,8700.0,0.059770114942528735,0.004597701149425287,0.03103448275862069,0.04597701149425287,2.411189635464309,10219.76755464254,0
2022-06-21,1401-03-31,9170.0,9280.0,8620.0,8740.0,8850.0,7542392.0,سشرق,9170.0,0.011995637949836423,-0.05997818974918211,0.0,-0.04689203925845147,0.5569194598923775,10048.502246850538,0
2022-06-22,1401-04-01,8760.0,8900.0,8320.0,8500.0,8560.0,5834578.0,سشرق,8850.0,0.005649717514124294,-0.059887005649717516,-0.010169491525423728,-0.03954802259887006,0.1798176600886952,9817.191308244164,0
2022-06-25,1401-04-04,8360.0,8470.0,8220.0,8260.0,8320.0,5396661.0,سشرق,8560.0,-0.010514018691588784,-0.0397196261682243,-0.02336448598130841,-0.035046728971962614,0.08312136361576017,9757.341914331468,0
2022-06-26,1401-04-05,8280.0,8540.0,7950.0,8050.0,8100.0,5072702.0,سشرق,8320.0,0.026442307692307692,-0.04447115384615385,-0.004807692307692308,-0.03245192307692308,0.011588092450047108,9721.550718487646,0
2022-06-27,1401-04-06,8000.0,8120.0,7920.0,7960.0,8020.0,4395930.0,سشرق,8100.0,0.0024691358024691358,-0.022222222222222223,-0.012345679012345678,-0.01728395061728395,-0.13784969132309072,9619.983737583372,0
2022-06-28,1401-04-07,8020.0,8120.0,7950.0,8020.0,8040.0,3907077.0,سشرق,8020.0,0.012468827930174564,-0.008728179551122194,0.0,0.0,-0.2457931477764454,9587.925891638677,0
2022-06-29,1401-04-08,8160.0,8160.0,7670.0,8060.0,8010.0,2513458.0,سشرق,8040.0,0.014925373134328358,-0.046019900497512436,0.014925373134328358,0.0024875621890547263,-0.5535176617695429,9644.199891893837,0
2022-07-02,1401-04-11,8050.0,8050.0,7670.0,7770.0,7870.0,3850982.0,سشرق,8010.0,0.004993757802746567,-0.04244694132334582,0.004993757802746567,-0.0299625468164794,-0.2581794647055651,9656.394116508913,0
