Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label
2022-06-01,1401-03-11,8340.0,8340.0,7990.0,7990.0,8170.0,1226356.0,وبشهر,8170.0,-0.0012239902080783353,-0.05997552019583843,-0.0012239902080783353,-0.05997552019583843,-0.6210475822525793,7330.4815155495935,0
2022-06-06,1401-03-16,8160.0,8160.0,7680.0,7680.0,7690.0,10535076.0,وبشهر,8170.0,-0.0012239902080783353,-0.05997552019583843,-0.0012239902080783353,-0.05997552019583843,1.0799991465341967,7352.834509494498,0
2022-06-07,1401-03-17,7690.0,7700.0,7260.0,7640.0,7650.0,1995816.0,وبشهر,7690.0,0.0013003901170351106,-0.055916775032509754,0.0,-0.006501950585175552,-0.4804388394896353,7278.576583565601,1
2022-06-08,1401-03-18,7650.0,7900.0,7610.0,7610.0,7650.0,2105535.0,وبشهر,7650.0,0.032679738562091505,-0.00522875816993464,0.0,-0.00522875816993464,-0.46038912846215174,7234.528988659758,0
2022-06-11,1401-03-21,7660.0,7690.0,7400.0,7580.0,7620.0,2628905.0,وبشهر,7650.0,0.00522875816993464,-0.032679738562091505,0.00130718954248366,-0.009150326797385621,-0.3647501118792988,7246.821293698663,1
2022-06-12,1401-03-22,7620.0,7790.0,7300.0,7650.0,7570.0,3787084.0,وبشهر,7620.0,0.02230971128608924,-0.04199475065616798,0.0,0.003937007874015748,-0.15310806020092205,7276.26450538193,1
2022-06-13,1401-03-23,7760.0,7860.0,7620.0,7700.0,7620.0,2161171.0,وبشهر,7570.0,0.03830911492734478,0.0066050198150594455,0.02509907529722589,0.017173051519154558,-0.4502223777378007,7312.012916991615,1
2022-06-14,1401-03-24,7620.0,8010.0,7600.0,7790.0,7720.0,5020260.0,وبشهر,7620.0,0.051181102362204724,-0.0026246719160104987,0.0,0.02230971128608924,0.07223871151617346,7342.148522782534,1
2022-06-15,1401-03-25,7730.0,8000.0,7730.0,7800.0,7770.0,1957815.0,وبشهر,7720.0,0.03626943005181347,0.0012953367875647669,0.0012953367875647669,0.010362694300518135,-0.48738302480626594,7338.412489748989,1
2022-06-18,1401-03-28,7880.0,7990.0,7600.0,7700.0,7760.0,1220280.0,وبشهر,7770.0,0.028314028314028315,-0.021879021879021878,0.014157014157014158,-0.009009009009009009,-0.6221578917176946,7319.043712794506,0
2022-06-19,1401-03-29,7760.0,7900.0,7610.0,7750.0,7760.0,1609108.0,وبشهر,7760.0,0.01804123711340206,-0.019329896907216496,0.0,-0.001288659793814433,-0.5511046644790728,7323.468338744132,1
2022-06-20,1401-03-30,7760.0,7890.0,7720.0,7750.0,7760.0,1248013.0,وبشهر,7760.0,0.01675257731958763,-0.005154639175257732,0.0,-0.001288659793814433,-0.6170900489928686,7325.759460232087,1
2022-06-21,1401-03-31,7760.0,7820.0,7650.0,7700.0,7750.0,2289002.0,وبشهر,7760.0,0.007731958762886598,-0.014175257731958763,0.0,-0.007731958762886598,-0.42686293579653034,7292.307544075526,1
2022-06-22,1401-04-01,7750.0,7750.0,7650.0,7650.0,7730.0,1643861.0,وبشهر,7750.0,0.0,-0.012903225806451613,0.0,-0.012903225806451613,-0.5447540086460982,7285.621745816867,1
2022-06-25,1401-04-04,7730.0,7990.0,7690.0,7800.0,7800.0,3548248.0,وبشهر,7730.0,0.03363518758085381,-0.00517464424320828,0.0,0.009055627425614488,-0.19675221283592648,7368.968639444615,1
2022-06-26,1401-04-05,7860.0,8230.0,7860.0,8110.0,8000.0,5413788.0,وبشهر,7800.0,0.05512820512820513,0.007692307692307693,0.007692307692307693,0.03974358974358974,0.14415080223176083,7467.983288231788,1
2022-06-27,1401-04-06,8000.0,8210.0,7800.0,8000.0,8000.0,4930577.0,وبشهر,8000.0,0.02625,-0.025,0.0,0.0,0.05585031721730267,7480.7633422535955,1
2022-06-28,1401-04-06,8000.0,8210.0,7800.0,8000.0,8000.0,4930577.0,وبشهر,8000.0,0.02625,-0.025,0.0,0.0,0.05585031721730267,7447.977081840115,0
2022-06-29,1401-04-06,8000.0,8210.0,7800.0,8000.0,8000.0,4930577.0,وبشهر,8000.0,0.02625,-0.025,0.0,0.0,0.05585031721730267,7451.76172463405,0
2022-07-02,1401-04-06,8000.0,8210.0,7800.0,8000.0,8000.0,4930577.0,وبشهر,8000.0,0.02625,-0.025,0.0,0.0,0.05585031721730267,7438.765465560662,0
2022-07-03,1401-04-12,7800.0,7800.0,7610.0,7720.0,7740.0,219461.0,وبشهر,8000.0,-0.025,-0.04875,-0.025,-0.035,-0.8050444632396281,7319.272380392444,0
2022-07-04,1401-04-13,7740.0,7990.0,7340.0,7350.0,7560.0,4128301.0,وبشهر,7740.0,0.03229974160206718,-0.05167958656330749,0.0,-0.050387596899224806,-0.09075511998396017,7152.343123533761,0
2022-07-05,1401-04-14,7540.0,7540.0,7190.0,7300.0,7460.0,2203886.0,وبشهر,7560.0,-0.0026455026455026454,-0.04894179894179894,-0.0026455026455026454,-0.03439153439153439,-0.4424167706274647,7057.61047426806,0
2022-07-06,1401-04-15,7440.0,7440.0,7070.0,7110.0,7290.0,3543182.0,وبشهر,7460.0,-0.002680965147453083,-0.05227882037533512,-0.002680965147453083,-0.04691689008042895,-0.19767795802194923,7025.287469667093,0
2022-07-09,1401-04-18,7270.0,7270.0,6930.0,7000.0,7250.0,1099057.0,وبشهر,7290.0,-0.0027434842249657062,-0.04938271604938271,-0.0027434842249657062,-0.039780521262002745,-0.6443098081577336,6975.323100115063,0
2022-07-11,1401-04-20,7230.0,7230.0,6890.0,7000.0,7190.0,1370621.0,وبشهر,7250.0,-0.002758620689655172,-0.0496551724137931,-0.002758620689655172,-0.034482758620689655,-0.5946850419324897,6923.32743091726,0
2022-07-12,1401-04-21,7140.0,7140.0,6760.0,6970.0,7140.0,1145374.0,وبشهر,7190.0,-0.006954102920723227,-0.059805285118219746,-0.006954102920723227,-0.030598052851182198,-0.6358459826976041,6932.1179469189965,0
2022-07-13,1401-04-22,7020.0,7250.0,6890.0,6980.0,7120.0,1693392.0,وبشهر,7140.0,0.015406162464985995,-0.0350140056022409,-0.01680672268907563,-0.022408963585434174,-0.5357028667572523,6967.445664010468,0
2022-07-16,1401-04-25,7100.0,7150.0,6810.0,6990.0,7100.0,1531991.0,وبشهر,7120.0,0.004213483146067416,-0.04353932584269663,-0.0028089887640449437,-0.018258426966292134,-0.5651967867669759,6944.633335268977,0
2022-07-17,1401-04-26,7070.0,7070.0,6810.0,6900.0,7030.0,2411221.0,وبشهر,7100.0,-0.004225352112676056,-0.04084507042253521,-0.004225352112676056,-0.028169014084507043,-0.4045290133941387,6870.533028161406,0
