Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,Volume_rate,smooth-close,label
2022-06-01,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1475.053183858996,0
2022-06-06,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1326.3830316299297,0
2022-06-07,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1351.3184333414633,0
2022-06-08,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1397.812974361813,0
2022-06-11,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1375.781786027739,0
2022-06-12,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1351.7355720804583,0
2022-06-13,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1371.7452533055518,0
2022-06-14,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1385.0423308132504,0
2022-06-15,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1366.9143077101457,0
2022-06-18,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1360.267765071266,0
2022-06-19,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1376.4673495844868,0
2022-06-20,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1378.5006345633371,0
2022-06-21,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1364.318360485575,0
2022-06-22,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1365.6421441507277,0
2022-06-25,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1377.731007638231,0
2022-06-26,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1373.946899148495,0
2022-06-27,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1363.9879619950782,0
2022-06-28,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1369.5285544523915,0
2022-06-29,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1377.3777793957702,0
2022-07-02,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1370.661291843343,0
2022-07-03,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1364.8276708372564,0
2022-07-04,1401-04-22,1150.0,1215.0,1120.0,1168.0,1175.0,180514286.0,وساخت,1175.0,0.03404255319148936,-0.04680851063829787,-0.02127659574468085,-0.005957446808510639,0.8956206748383767,1372.2422774083118,0
