Date,J-Date,Open,High,Low,Close,Final,Volume,Ticker,Final_yes,high_rate,low_rate,open_rate,earning_rate,smooth-close,label
2023-01-21,1401-11-01,6400.0,6550.0,5990.0,5990.0,6090.0,0.38386404708683386,کسرا,6090.0,0.0180623973727422,-0.05747126436781609,-0.04597701149425287,0.0016420361247947454,6358.467858057407,1
2023-01-22,1401-11-02,5810.0,6200.0,5740.0,6100.0,5950.0,-0.03264740983972361,کسرا,6090.0,0.0180623973727422,-0.05747126436781609,-0.04597701149425287,0.0016420361247947454,6368.118660902039,1
2023-01-23,1401-11-03,6070.0,6230.0,5780.0,5980.0,5940.0,-0.252835641761229,کسرا,5950.0,0.047058823529411764,-0.02857142857142857,0.020168067226890758,0.005042016806722689,6349.504944414888,1
2023-01-24,1401-11-04,6010.0,6110.0,5860.0,5950.0,5960.0,-0.7027931941991057,کسرا,5940.0,0.02861952861952862,-0.013468013468013467,0.011784511784511785,0.0016835016835016834,6298.877581159113,1
2023-01-25,1401-11-05,5960.0,6220.0,5610.0,6140.0,5960.0,1.2565027036358027,کسرا,5960.0,0.0436241610738255,-0.0587248322147651,0.0,0.030201342281879196,6422.41060856783,0
2023-01-28,1401-11-08,6260.0,6370.0,5960.0,6370.0,6280.0,0.2547385028136739,کسرا,5960.0,0.06879194630872483,0.0,0.050335570469798654,0.06879194630872483,6516.730192886001,0
2023-01-29,1401-11-09,6480.0,6570.0,5860.0,6400.0,6270.0,1.8916485487648347,کسرا,6280.0,0.04617834394904458,-0.06687898089171974,0.03184713375796178,0.01910828025477707,6544.449947626803,0
2023-01-30,1401-11-10,6400.0,6670.0,6140.0,6440.0,6410.0,1.1893646364913748,کسرا,6270.0,0.06379585326953748,-0.02073365231259968,0.02073365231259968,0.02711323763955343,6559.126457255295,0
2023-01-31,1401-11-11,6440.0,6580.0,5970.0,6100.0,6130.0,0.9836292280559383,کسرا,6410.0,0.0265210608424337,-0.0686427457098284,0.0046801872074883,-0.0483619344773791,6388.258367931263,0
2023-02-01,1401-11-12,6110.0,6110.0,5850.0,5880.0,5950.0,-0.4698634557521466,کسرا,6130.0,-0.0032626427406199023,-0.04567699836867863,-0.0032626427406199023,-0.040783034257748776,6283.558768417488,0
2023-02-04,1401-11-12,6110.0,6110.0,5850.0,5880.0,5950.0,-0.4698634557521466,کسرا,5950.0,0.02689075630252101,-0.01680672268907563,0.02689075630252101,-0.011764705882352941,6276.005931068256,0
2023-02-05,1401-11-16,5800.0,6000.0,5640.0,5660.0,5730.0,-0.19111091930013493,کسرا,5950.0,0.008403361344537815,-0.052100840336134456,-0.025210084033613446,-0.04873949579831933,6173.383521820916,0
2023-02-06,1401-11-17,5680.0,5880.0,5530.0,5670.0,5700.0,-0.6193705623730761,کسرا,5730.0,0.02617801047120419,-0.034904013961605584,-0.008726003490401396,-0.010471204188481676,6173.658075136704,0
2023-02-07,1401-11-18,5800.0,5900.0,5730.0,5800.0,5810.0,-0.8911853580984581,کسرا,5700.0,0.03508771929824561,0.005263157894736842,0.017543859649122806,0.017543859649122806,6238.414016338116,0
2023-02-08,1401-11-19,5770.0,5950.0,5760.0,5820.0,5840.0,-0.6397075940892459,کسرا,5810.0,0.024096385542168676,-0.008605851979345954,-0.0068846815834767644,0.0017211703958691911,6255.5835684153235,0
2023-02-11,1401-11-19,5770.0,5950.0,5760.0,5820.0,5840.0,-0.6397075940892459,کسرا,5840.0,0.018835616438356163,-0.0136986301369863,-0.011986301369863013,-0.003424657534246575,6240.071712334628,0
2023-02-12,1401-11-23,5820.0,5820.0,5540.0,5590.0,5630.0,-0.9547633089818917,کسرا,5840.0,-0.003424657534246575,-0.05136986301369863,-0.003424657534246575,-0.04280821917808219,6149.665480759797,0
2023-02-13,1401-11-24,5300.0,5580.0,5300.0,5410.0,5450.0,-0.23494731595904525,کسرا,5630.0,-0.008880994671403197,-0.0586145648312611,-0.0586145648312611,-0.03907637655417407,6026.012650523326,0
2023-02-14,1401-11-25,5450.0,5500.0,5110.0,5190.0,5300.0,-0.5381340613523932,کسرا,5450.0,0.009174311926605505,-0.062385321100917435,0.0,-0.047706422018348627,5957.915781813583,0
2023-02-15,1401-11-26,5190.0,5670.0,5110.0,5670.0,5520.0,0.20823356017375383,کسرا,5300.0,0.06981132075471698,-0.035849056603773584,-0.020754716981132074,0.06981132075471698,6149.314501595669,1
2023-02-18,1401-11-26,5190.0,5670.0,5110.0,5670.0,5520.0,0.20823356017375383,کسرا,5520.0,0.02717391304347826,-0.07427536231884058,-0.059782608695652176,0.02717391304347826,6202.425627439623,1
2023-02-19,1401-11-30,5570.0,5820.0,5330.0,5400.0,5530.0,-0.37595972577834214,کسرا,5520.0,0.05434782608695652,-0.034420289855072464,0.009057971014492754,-0.021739130434782608,6012.46391810596,1
2023-02-20,1401-12-01,5500.0,5780.0,5390.0,5580.0,5590.0,0.05646724223513469,کسرا,5530.0,0.045207956600361664,-0.02531645569620253,-0.0054249547920434,0.009041591320072333,6156.357202300102,1
2023-02-21,1401-12-02,5620.0,5940.0,5610.0,5720.0,5770.0,-0.13130215120481642,کسرا,5590.0,0.0626118067978533,0.0035778175313059034,0.005366726296958855,0.023255813953488372,6176.470151142358,1
2023-02-22,1401-12-03,5760.0,5760.0,5530.0,5600.0,5640.0,-0.7872202192091059,کسرا,5770.0,-0.0017331022530329288,-0.0415944540727903,-0.0017331022530329288,-0.029462738301559793,6159.645618253755,1
2023-02-25,1401-12-06,5740.0,6030.0,5740.0,6030.0,6010.0,0.1822142642476676,کسرا,5640.0,0.06914893617021277,0.01773049645390071,0.01773049645390071,0.06914893617021277,6340.414103898681,1
2023-02-26,1401-12-07,6290.0,6300.0,5700.0,5870.0,5970.0,-0.07146722734873304,کسرا,6010.0,0.048252911813643926,-0.051580698835274545,0.04658901830282862,-0.02329450915141431,6284.151144608153,0
2023-02-27,1401-12-08,5950.0,5980.0,5660.0,5800.0,5820.0,-0.15696909252307034,کسرا,5970.0,0.0016750418760469012,-0.051926298157453935,-0.0033500837520938024,-0.02847571189279732,6236.619081896943,0
2023-02-28,1401-12-09,5930.0,6090.0,5750.0,5790.0,5900.0,-0.7709287714325661,کسرا,5820.0,0.04639175257731959,-0.012027491408934709,0.018900343642611683,-0.005154639175257732,6233.167695056336,0
2023-03-01,1401-12-10,5770.0,5920.0,5650.0,5650.0,5800.0,0.0051433550495369965,کسرا,5900.0,0.003389830508474576,-0.0423728813559322,-0.022033898305084745,-0.0423728813559322,6171.433532540141,0
2023-03-05,1401-12-14,5670.0,5970.0,5550.0,5590.0,5670.0,-0.4926371030764113,کسرا,5800.0,0.029310344827586206,-0.04310344827586207,-0.022413793103448276,-0.03620689655172414,6125.404250594443,0
2023-03-06,1401-12-15,5640.0,5680.0,5500.0,5560.0,5560.0,-0.6049194147709921,کسرا,5670.0,0.001763668430335097,-0.029982363315696647,-0.005291005291005291,-0.019400352733686066,6131.40795129428,0
2023-03-07,1401-12-16,5550.0,5840.0,5550.0,5670.0,5670.0,-0.06842651541706907,کسرا,5560.0,0.050359712230215826,-0.0017985611510791368,-0.0017985611510791368,0.019784172661870502,6163.743486060283,1
