,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,50,2,35,1,9350983,1053167,8004150,2400000,14279673841,1611494559,12226185150,3664983250,1527.0772966863483,1527.4807631041397,1530.1415245635308,1527.0763541666668,1346833.0
1,2024-08-04,108,3,40,1,5090357,1251465,4776522,1565300,7843590919,1920799825,7357317768,2407072976,1540.8724612045874,1540.3085692895374,1534.8410263171563,1537.7710189739987,313835.0
2,2024-08-03,54,3,86,0,6436457,6855276,13291733,0,9917669759,10630941302,20548611061,0,1540.8585436055891,1545.969292416572,1550.7678030760542,,-6855276.0
3,2024-07-31,130,1,82,1,10071203,2000000,11894575,176628,16134413242,3251010245,19102686273,282737214,1602.0343589539402,1605.9999010473261,1625.5051225,1600.7496772878592,-1823372.0
4,2024-07-30,64,1,58,1,2901416,400000,3161862,139554,4873032316,664000000,5301278180,235754136,1679.5358941978675,1676.6317378810334,1660.0,1689.339868438024,-260446.0
5,2024-07-29,154,1,38,0,11410499,1266850,12677349,0,19502333159,2156987500,21659320659,0,1709.1569053202668,1708.505513179451,1702.6384339108813,,-1266850.0
6,2024-07-27,52,2,33,0,2318057,803958,3122015,0,4111307128,1419043742,5530350870,0,1773.6005318247135,1771.4043238101035,1765.0719838598534,,-803958.0
7,2024-07-24,42,2,27,0,1054297,403803,1458100,0,1877831633,719531680,2597363313,0,1781.1220491000165,1781.334142377066,1781.8879007833027,,-403803.0
8,2024-07-23,80,1,40,0,1832520,100000,1932520,0,3292949556,179000000,3471949556,0,1796.9514963001768,1796.5917848198208,1790.0,,-100000.0
9,2024-07-22,67,1,27,0,3493863,743291,4237154,0,6274697918,1332903108,7607601026,0,1795.9198508928368,1795.450678922692,1793.2453211460922,,-743291.0
10,2024-07-21,121,1,38,1,3538686,14585,3273271,280000,6357368860,26238415,5884346348,499260927,1796.5337585759235,1797.696050220101,1799.0,1783.0747392857143,265415.0
11,2024-07-20,64,1,52,1,2617291,4511763,6241294,887760,4840710255,8502542317,11661314434,1681938138,1849.5116725652592,1868.4129339204337,1884.5276928331564,1894.586530143282,-3624003.0
12,2024-07-17,48,0,34,0,2012043,0,2012043,0,3763850235,0,3763850235,0,1870.6609326937844,1870.6609326937844,,,0.0
13,2024-07-14,78,0,32,0,1457017,0,1457017,0,2705768818,0,2705768818,0,1857.0605682706516,1857.0605682706516,,,0.0
14,2024-07-13,88,0,27,1,1944192,0,1929693,14499,3636020407,0,3609161693,26858714,1870.1961570667918,1870.3294736520265,,1852.4528588178496,14499.0
15,2024-07-10,73,0,36,0,2364304,0,2364304,0,4486561000,0,4486561000,0,1897.6244171646285,1897.6244171646285,,,0.0
16,2024-07-09,75,0,61,0,4664877,0,4664877,0,9067184590,0,9067184590,0,1943.7135405713805,1943.7135405713805,,,0.0
17,2024-07-08,133,0,135,0,11168509,0,11168509,0,22113106801,0,22113106801,0,1979.951558529433,1979.951558529433,,,0.0
18,2024-07-07,34,0,53,1,3823502,0,3818502,5000,7471122908,0,7461352908,9770000,1954.0,1954.0,,1954.0,5000.0
19,2024-06-19,59,0,67,1,7194488,0,6923834,270654,15058254592,0,14501271822,556982770,2093.0265770128467,2094.399117887575,,2057.9144221034976,270654.0
20,2024-06-18,23,1,63,2,6131016,1282652,5613668,1800000,12649898055,2617338643,11551036698,3716200000,2063.2629330929817,2057.6629572678685,2040.5680129918326,2064.5555555555557,517348.0
21,2024-06-16,67,3,45,2,3724482,7132033,3791887,7064628,7511369948,14477626062,7772557173,14216438837,2016.7556046720053,2049.7860756399123,2029.9437848927507,2012.3407541062318,-67405.0
22,2024-06-15,60,2,44,1,1031713,2487549,2119262,1400000,2102639445,5069922136,4330373969,2842187612,2038.0080943052963,2043.3405444914315,2038.1195047816143,2030.1340085714285,-1087549.0
23,2024-06-12,32,1,35,2,484024,2122920,1696548,910396,991726543,4346814066,3479975015,1858565594,2048.9201837098985,2051.209287918762,2047.563764060822,2041.4913883628662,-1212524.0
24,2024-06-11,31,1,31,1,1307496,1410546,2497533,220509,2707961502,2924735263,5177468427,455228338,2071.1049991739937,2073.033039803678,2073.477407330211,2064.44334698357,-1190037.0
25,2024-06-10,24,0,43,0,915008,0,915008,0,1921046427,0,1921046427,0,2099.485935642093,2099.485935642093,,,0.0
26,2024-06-09,49,2,25,0,594453,1615909,2210362,0,1216520578,3299764715,4516285293,0,2046.4537616935233,2043.2333224150614,2042.0486023656035,,-1615909.0
27,2024-06-08,48,1,20,0,945347,108300,1053647,0,1933903417,221473500,2155376917,0,2045.7074672051638,2045.6347495888092,2045.0,,-108300.0
28,2024-06-05,83,1,26,0,3870616,308300,4178916,0,7998458189,636947800,8635405989,0,2066.456137472692,2066.422485879113,2066.0,,-308300.0
29,2024-06-02,38,1,23,0,593918,147062,740980,0,1234547163,310058636,1544605799,0,2078.6491788428707,2084.5445207697912,2108.3531843712176,,-147062.0
30,2024-06-01,34,0,26,0,532417,0,532417,0,1125764338,0,1125764338,0,2114.4410077063653,2114.4410077063653,,,0.0
31,2024-05-29,52,0,46,1,1673390,0,1394541,278849,3572321615,0,2975584755,596736860,2134.7812613915466,2133.737735211801,,2140.0,278849.0
32,2024-05-28,60,0,46,0,1424282,0,1424282,0,3004694201,0,3004694201,0,2109.6202865724626,2109.6202865724626,,,0.0
33,2024-05-27,45,1,26,1,1457479,127966,1334972,250473,3015565583,264761654,2762098600,518228637,2069.028495779356,2069.03111076487,2069.0,2069.0,122507.0
34,2024-05-26,37,1,11,1,631435,108300,517286,222449,1308970504,224505900,1072339627,461136777,2073.0091046584366,2073.011113774585,2073.0,2073.0,114149.0
35,2024-05-25,83,1,39,1,1052327,2040150,3086598,5879,2199356127,4261873350,6448942367,12287110,2089.993060141952,2089.3366635370076,2089.0,2090.0,-2034271.0
36,2024-05-21,29,0,17,0,305998,0,305998,0,647414681,0,647414681,0,2115.748080052811,2115.748080052811,,,0.0
37,2024-05-19,139,2,47,2,4712591,935297,3693285,1954603,9933060263,1961271480,7798422009,4095909734,2107.7704946175045,2111.513736145464,2096.9504660017087,2095.520028363816,1019306.0
38,2024-05-18,36,1,48,0,1140174,19313,1159487,0,2527230370,42411348,2569641718,0,2216.53043307425,2216.188467831032,2196.0,,-19313.0
39,2024-05-15,56,1,35,0,1318411,58000,1376411,0,2864787390,125633779,2990421169,0,2172.909199028224,2172.622253818082,2166.0996379310345,,-58000.0
40,2024-05-14,59,0,51,0,1618185,0,1618185,0,3526503115,0,3526503115,0,2179.2953926775986,2179.2953926775986,,,0.0
41,2024-05-13,97,2,46,0,1976299,584865,2561164,0,4256024347,1263997520,5520021867,0,2153.5326117151303,2155.2785635749997,2161.178254810939,,-584865.0
42,2024-05-12,62,1,50,0,2767490,20000,2787490,0,6134940106,44270000,6179210106,0,2216.788536182606,2216.76494121952,2213.5,,-20000.0
43,2024-05-11,39,0,50,0,1083442,0,1083442,0,2412334938,0,2412334938,0,2226.5473721712838,2226.5473721712838,,,0.0
44,2024-05-08,74,0,41,1,2398752,0,2381953,16799,5269143949,0,5232295815,36848134,2196.6188872380303,2196.6410819189127,,2193.4718733257932,16799.0
45,2024-05-07,51,0,31,0,1245516,0,1245516,0,2748104353,0,2748104353,0,2206.3982742895314,2206.3982742895314,,,0.0
46,2024-05-06,126,1,46,1,4247572,101788,3843685,505675,9342290999,221644960,8444786615,1119149344,2199.4426460575596,2197.0548093821426,2177.515620701851,2213.179105156474,403887.0
47,2024-05-05,89,1,35,1,4675606,148300,4775917,47989,10411850704,335617689,10640907866,106560527,2226.8451841322812,2228.0345043684806,2263.0997235333784,2220.5198482985684,-100311.0
48,2024-05-01,83,1,42,1,2623874,253123,2856997,20000,5902899236,567786424,6425925660,44760000,2249.68852772656,2249.1888020883466,2243.1245837004144,2238.0,-233123.0
49,2024-04-30,159,1,32,0,4452312,433200,4885512,0,9949877293,974523272,10924400565,0,2234.7664074305662,2236.0810013361956,2249.5920406278856,,-433200.0
50,2024-04-29,84,2,29,0,1959859,244699,2204558,0,4479665653,559853945,5039519598,0,2285.708131554362,2285.9546439694486,2287.9290270904253,,-244699.0
51,2024-04-28,85,1,43,0,1597887,2826,1600713,0,3637696611,6398064,3644094675,0,2276.5668730016578,2276.544686649012,2264.0,,-2826.0
52,2024-04-27,180,1,46,1,5018075,468357,3102167,2384265,11602712505,1089401463,7204645931,5487468037,2312.1839559990635,2322.4558610158642,2326.0065783152595,2301.5344506587985,1915908.0
53,2024-04-24,156,1,47,1,3934878,108300,2698283,1344895,9280486179,254271068,6369151718,3165605529,2358.519420170079,2360.4461496440513,2347.8399630655585,2353.7938121563393,1236595.0
54,2024-04-23,90,2,115,0,2512108,4194900,6707008,0,6066614955,10159664315,16226279270,0,2414.949896660494,2419.302208973062,2421.908583041312,,-4194900.0
55,2024-04-22,64,2,104,0,6030965,6338300,12369265,0,14217238396,14990418317,29207656713,0,2357.3737197944274,2361.308995562792,2365.053455500686,,-6338300.0
56,2024-04-21,112,1,60,0,7494413,108300,7602713,0,17495600946,250519420,17746120366,0,2334.4858291102987,2334.182595870711,2313.198707294552,,-108300.0
57,2024-04-20,89,2,112,0,6284970,812888,7097858,0,14541816809,1891965998,16433782807,0,2313.7448243985255,2315.3158047117877,2327.462083337434,,-812888.0
58,2024-04-17,166,2,42,0,5312356,5159671,10472027,0,11704303017,11335797187,23040100204,0,2203.222641140767,2200.156684469969,2197.0,,-5159671.0
59,2024-04-16,77,2,16,0,2582563,4616600,7199163,0,5726643499,10235002200,15961645699,0,2217.426447680076,2217.152980006148,2217.0,,-4616600.0
60,2024-04-15,91,1,45,0,7740679,108300,7848979,0,17336388532,239776200,17576164732,0,2239.6470040935687,2239.293127424599,2214.0,,-108300.0
61,2024-04-14,23,1,5,0,182492,2166000,2348492,0,405132240,4808520000,5213652240,0,2220.0,2220.0,2220.0,,-2166000.0
62,2024-04-13,152,1,76,2,6502441,528600,7026766,4275,14446031602,1200931426,15637587953,9375075,2221.6320920097546,2225.4317210790855,2271.9096216420735,2193.0,-524325.0
63,2024-04-09,67,1,36,0,2160621,308300,2468921,0,5083330326,719873507,5803203833,0,2352.7172632312654,2350.502034289473,2334.977317547843,,-308300.0
64,2024-04-08,65,2,54,0,2947316,255660,3202976,0,6960881203,600025960,7560907163,0,2361.7695567764026,2360.5881414659366,2346.9684737542048,,-255660.0
65,2024-04-07,63,2,59,0,3145758,258022,3403780,0,7383090431,603858571,7986949002,0,2346.9988571911763,2346.493898548085,2340.3375332336004,,-258022.0
66,2024-04-06,131,1,90,1,7367124,610209,6784958,1192375,17262941152,1452742321,15912809848,2802873625,2343.2402049972284,2345.3070524533828,2380.7290960965834,2350.664535066569,582166.0
67,2024-04-03,105,2,76,0,3505297,532118,4037415,0,8558001723,1290894574,9848896297,0,2441.448391676939,2439.406475925809,2425.9554722824637,,-532118.0
68,2024-04-02,100,3,87,0,3006806,4262887,7269693,0,7330291284,10450352221,17780643505,0,2437.89964633568,2445.8589248541857,2451.472962102913,,-4262887.0
69,2024-03-30,79,2,76,0,3220555,3852360,7072915,0,8046391167,9625041217,17671432384,0,2498.4486111865813,2498.465255697262,2498.479170430593,,-3852360.0
70,2024-03-27,76,4,148,1,3868264,6221486,7889750,2200000,9678276011,15481259220,19696461415,5463073816,2501.9688446807145,2496.4620444247284,2488.3539430933383,2483.215370909091,-4021486.0
71,2024-03-26,80,2,78,0,3983381,911875,4895256,0,9679489299,2213801616,11893290915,0,2429.968235275511,2429.55443290402,2427.7468030157643,,-911875.0
72,2024-03-25,136,1,110,0,8486997,418539,8905536,0,20650084564,1018237886,21668322450,0,2433.143850999358,2433.1295106774032,2432.8387223173945,,-418539.0
73,2024-03-24,107,2,127,1,8494092,1588905,10035840,47157,19995376519,3832444266,23718297231,109523554,2354.033429235285,2363.3594428568013,2412.003402343123,2322.530143987107,-1541748.0
74,2024-03-18,132,2,55,0,5044006,614235,5658241,0,11448026578,1404132458,12852159036,0,2269.6298493697273,2271.405377749021,2285.9857513818,,-614235.0
75,2024-03-17,94,3,52,0,2904008,692418,3596426,0,6561299849,1567477104,8128776953,0,2259.3945502216247,2260.237511629601,2263.7729001845705,,-692418.0
76,2024-03-16,199,1,67,0,7684241,13130,7697371,0,17182870614,29111750,17211982364,0,2236.1181298191973,2236.085848531921,2217.1934501142423,,-13130.0
77,2024-03-13,216,2,50,2,12509236,1927501,5747696,8689041,28112771984,4335243628,12968563938,19479451674,2247.361228455519,2256.3065162110174,2249.1524663281625,2241.8413808842656,6761540.0
78,2024-03-12,108,3,47,1,3674552,848233,2681856,1840929,8513792377,1960357632,6226613759,4247536250,2316.9606463590662,2321.7554406351423,2311.1074810812597,2307.278689183559,992696.0
79,2024-03-11,121,4,76,1,6126760,8393266,14364526,155500,14372060988,19689127552,33697318540,363870000,2345.7848827112534,2345.870552220101,2345.8243253579717,2340.0,-8237766.0
80,2024-03-10,78,1,63,2,3617292,92836,2640513,1069615,8681740745,222431375,6335432395,2568739725,2400.0663327704815,2399.318766845685,2395.9603494334096,2401.555442846258,976779.0
81,2024-03-09,63,1,63,4,2351024,600000,1575999,1375025,5629512406,1439026185,3772196675,3296341916,2394.493806103213,2393.5273277457663,2398.376975,2397.295988072944,775025.0
82,2024-03-06,67,3,81,2,9294957,6007043,6589018,8712982,22249965487,14340068983,15758221870,20831812600,2393.7674469069625,2391.5888331159513,2387.2093113034152,2390.893565486535,2705939.0
83,2024-03-05,110,2,101,3,8142010,12100000,4769919,15472091,19514182207,29012122138,11403142597,37123161748,2396.727860442323,2390.6365279997417,2397.69604446281,2399.3629398896373,3372091.0
84,2024-03-04,106,2,89,3,4886655,1392667,2945721,3333601,11592096909,3286878569,6969994935,7908980543,2372.1946626066297,2366.1422568532457,2360.132443003245,2372.503650856836,1940934.0
85,2024-03-03,224,2,135,3,20923993,1582365,6908739,15597619,50570007567,3826334966,16667806074,37728536459,2416.8430742162836,2412.568498245483,2418.1114761764825,2418.865113899756,14015254.0
86,2024-03-02,99,2,157,0,4204566,1603079,5807645,0,9902305630,3720283121,13622588751,0,2355.131452330633,2345.6304149100024,2320.711032332156,,-1603079.0
87,2024-02-28,91,3,139,0,4013650,4555392,8569042,0,9109770179,10332647388,19442417567,0,2269.6972030446104,2268.9137907131276,2268.223544318469,,-4555392.0
88,2024-02-27,113,0,69,2,4168121,0,3254027,914094,9214547149,0,7199228217,2015318932,2210.7196861607426,2212.405802717679,,2204.7173835513636,914094.0
89,2024-02-26,170,1,104,1,7174938,680523,7759549,95912,15960559998,1503197720,17251900186,211857532,2224.487514456571,2223.31222935766,2208.8859891583384,2208.8740929185087,-584611.0
90,2024-02-24,123,2,64,1,4093372,404296,4451975,45693,9359222944,925997771,10181684204,103536511,2286.433518380445,2287.003903660735,2290.395578981736,2265.9162453767535,-358603.0
91,2024-02-21,187,0,81,1,6386834,0,6255684,131150,14787708770,0,14483104827,304603943,2315.342589145107,2315.191244794334,,2322.56151734655,131150.0
92,2024-02-20,201,2,90,1,5251064,109300,5351148,9216,12307802942,259574713,12546000959,21376696,2343.8683935293875,2344.543817326675,2374.883010064044,2319.519965277778,-100084.0
93,2024-02-19,331,1,173,3,17742546,290960,17612999,420507,42404850556,699709349,42098750155,1005809750,2390.0093343987946,2390.2090810883483,2404.830041930162,2391.8977567555357,129547.0
94,2024-02-18,60,0,26,1,1511747,0,1348355,163392,3677659191,0,3280577025,397082166,2432.721342261635,2433.0217375987777,,2430.2423986486488,163392.0
95,2024-02-17,74,1,44,1,2296242,334420,2463056,167606,5552159222,811746674,5961276258,402629638,2417.9329626406975,2420.276379424585,2427.326936188027,2402.2388100664652,-166814.0
96,2024-02-14,64,0,50,1,1316572,0,1280220,36352,3205976251,0,3117841583,88134668,2435.0937518039273,2435.3951531767975,,2424.4792033450703,36352.0
