,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,28,2,38,1,129363,1091129,1213492,7000,1103515850,9319274550,10362940400,59850000,8530.382334979862,8539.76820613568,8540.946625009508,8550.0,-1084129.0
1,2024-08-04,48,3,41,1,3845248,2974786,6492629,327405,33056268490,25540763880,55787897470,2809134900,8596.65449146583,8592.497348916748,8585.748312651733,8580.0,-2647381.0
2,2024-08-03,52,3,113,4,2502136,4710724,6121819,1091041,21667539120,40805681900,53046463610,9426757410,8659.616871345122,8665.147337743896,8662.29520133211,8640.149554416379,-3619683.0
3,2024-07-31,62,2,90,3,2065704,3198172,4924570,339306,18507997370,28710231740,44177250670,3040978440,8959.656063985934,8970.783371949226,8977.075573171174,8962.347969089848,-2858866.0
4,2024-07-30,45,1,49,2,806657,193906,965246,35317,7454924880,1789752380,8915103630,329573630,9241.753161504828,9236.094871152018,9230.0,9331.869354701701,-158589.0
5,2024-07-29,28,4,64,1,1675495,3347399,4989894,33000,15579826290,31266676410,46539597320,306905380,9298.64087329416,9326.770733005551,9340.588441951497,9300.16303030303,-3314399.0
6,2024-07-27,39,1,42,0,1687575,979547,2667122,0,15864412290,9205741800,25070154090,0,9400.715399315586,9399.702784499546,9397.95823988027,,-979547.0
7,2024-07-24,28,4,49,1,2259101,3549424,5558525,250000,21290020600,33577051740,52491572340,2375500000,9424.11189229698,9443.43550492262,9459.859329288358,9502.0,-3299424.0
8,2024-07-23,49,3,46,2,973414,1862907,1938269,898052,9202107560,17703898660,18405083760,8500922460,9453.436626142628,9495.629223807427,9503.372234899542,9465.957940074739,-964855.0
9,2024-07-22,54,4,52,4,715721,1480706,1169640,1026787,6765862800,13988418020,11055636140,9698644680,9453.21263453217,9452.170018125234,9447.127262265432,9445.624730348163,-453919.0
10,2024-07-21,42,6,54,5,2125693,1934283,1742807,2317169,20035337160,18213031040,16450770250,21797597950,9425.320194402484,9439.238108407873,9415.908137537268,9406.995324898615,382886.0
11,2024-07-20,74,4,78,4,1833458,2305449,3199483,939424,17503380590,21908640050,30453542290,8958478350,9546.649331481824,9518.269761083275,9502.981870342826,9536.139538696052,-1366025.0
