,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,90,0,7,0,574232,0,574232,0,4938395200,0,4938395200,0,8600.0,8600.0,,,0.0
1,2024-08-04,179,0,24,0,2924378,0,2924378,0,25383601040,0,25383601040,0,8680.0,8680.0,,,0.0
2,2024-08-03,296,0,37,0,3120835,0,3120835,0,27338514600,0,27338514600,0,8760.0,8760.0,,,0.0
3,2024-07-31,395,1,149,0,8158038,200000,8358038,0,75951333780,1862000000,77813333780,0,9310.0,9310.0,9310.0,,-200000.0
4,2024-07-30,434,2,298,3,9768266,142422,9508610,402078,96742651190,1413332990,94189306550,3966677630,9903.769122380574,9905.686167589163,9923.558087935853,9865.443098105343,259656.0
5,2024-07-29,412,0,448,3,12473484,0,11962165,511319,125048574170,0,119952603870,5095970300,10025.152088221703,10027.66672002936,,9966.322980370376,511319.0
6,2024-07-27,415,1,326,2,9344722,100000,9169371,275351,93899676510,1002000000,92140273260,2761403250,10048.418402388,10048.701624135396,10020.0,10028.666138855497,175351.0
7,2024-07-24,443,1,335,6,10421506,10000,9946559,484947,106095338900,102100000,101240559620,4956879280,10180.422954225618,10178.450619958117,10210.0,10221.486636684009,474947.0
8,2024-07-23,410,0,299,4,8821182,0,8113598,707584,91078605710,0,83702247650,7376358060,10324.988840497792,10316.2921862779,,10424.7100838911,707584.0
9,2024-07-22,363,0,343,1,7960448,0,7738380,222068,81685306540,0,79409226820,2276079720,10261.395657631329,10261.73783401694,,10249.471873480195,222068.0
10,2024-07-21,665,1,379,3,14125407,396881,14171848,350440,142725604490,3990911140,143187932310,3528583320,10104.176431164073,10103.688122395894,10055.687069927762,10069.008446524369,-46441.0
11,2024-07-20,764,0,456,2,16300482,0,15675892,624590,172925752060,0,166366058980,6559693080,10608.62814118012,10612.860753314708,,10502.39850141693,624590.0
12,2024-07-17,446,0,523,1,14759159,0,14587006,172153,163397867750,0,161483620160,1914247590,11070.94704718609,11070.374562127417,,11119.455310102061,172153.0
13,2024-07-14,438,0,471,3,14050843,0,13599135,451708,150349564030,0,145544862970,4804701060,10700.394562091398,10702.508870600961,,10636.741124797436,451708.0
14,2024-07-13,732,2,423,2,17589632,69289,17497545,161376,183153782670,726170160,182223181890,1656770940,10412.598891778975,10414.214216337206,10480.309428625034,10266.526249256394,92087.0
15,2024-07-10,764,1,425,2,17964569,900000,18296994,567575,194074848180,9695391270,197650719960,6119519490,10803.200910636931,10802.360210644438,10772.656966666667,10781.869338853896,-332425.0
