,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,66,7,133,0,5389778,10754886,16144664,0,16140221827,32208839264,48349061091,0,2994.598632262776,2994.7393820645634,2994.8099183943,,-10754886.0
1,2024-08-04,67,6,171,2,6286392,8055370,13218798,1122964,19039736523,24313417380,39924589914,3428563989,3028.7224409486394,3020.2889789222895,3018.2868546075474,3053.137935855468,-6932406.0
2,2024-08-03,100,6,92,0,2363038,15328247,17691285,0,7146082602,46525947192,53672029794,0,3024.108203930703,3033.8118341318905,3035.30776820076,,-15328247.0
3,2024-07-31,102,5,126,1,7556756,1547854,8974900,129710,24163192635,4932568744,28682108445,413652934,3197.561577348799,3195.813707673623,3186.7144730704576,3189.0597024130752,-1418144.0
4,2024-07-30,56,3,142,4,3483012,11197047,11962429,2717630,11675863677,37676641076,40225068561,9127436192,3352.2318260746733,3362.617120736934,3364.8729951745313,3358.601499100319,-8479417.0
5,2024-07-29,52,6,152,2,5900152,9701399,12836469,2765082,20018743574,32850660216,43492436836,9376966954,3392.919974604044,3388.193188952507,3386.1776240725694,3391.207549721853,-6936317.0
6,2024-07-27,70,4,149,7,12906763,6306495,7307626,11905632,43848626079,21466239969,24857545419,40457320629,3397.337200582361,3401.5897117613845,3403.8304904705387,3398.1665676379043,5599137.0
7,2024-07-24,91,8,131,11,8028650,12025115,6795468,13258297,27293967116,40956204785,23146434331,45103737570,3399.571175228712,3406.1575054139025,3405.888823932245,3401.925418475691,1233182.0
8,2024-07-23,127,7,226,11,12896675,12808849,11152380,14553144,43801678124,43529252088,37930197929,49400732283,3396.3543412546255,3401.0855018390694,3398.3734282448017,3394.505838944492,1744295.0
9,2024-07-22,287,9,301,16,35352745,15014043,19111168,31255620,120063199563,51270367628,64849307963,106484259228,3396.1492824107436,3393.2676413602767,3414.8275469838472,3406.883601349133,16241577.0
10,2024-07-21,29,0,130,3,8434346,0,6573382,1860964,27477798192,0,21383141092,6094657100,3257.8457407367446,3252.9892667123254,,3275.0,1860964.0
11,2024-07-06,41,4,117,1,5773248,2425000,5285533,2912715,38276634240,16077750000,35043083790,19311300450,6630.0,6630.0,6630.0,6630.0,487715.0
12,2024-07-03,85,7,115,2,2124968,4595932,5709310,1011590,13374064250,28718460420,35718019560,6374505110,6293.772070920598,6256.100922878597,6248.669566912652,6301.47106040985,-3584342.0
13,2024-07-02,111,9,123,4,6077359,5323938,7958710,3442587,37620699850,33039613660,49309950160,21350363350,6190.304020216677,6195.7214372681,6205.859959300803,6201.8369760880405,-1881351.0
14,2024-07-01,51,5,88,2,798218,5485617,5850307,433528,4910294560,33626364320,35853102290,2683556590,6151.570824010483,6128.413823411319,6129.914706039448,6190.042142606706,-5052089.0
15,2024-06-30,84,3,147,2,2360692,6687077,8486353,561416,14401084990,41090098370,52012404160,3478779200,6100.365905420953,6128.946575755215,6144.702441739492,6196.437579263861,-6125661.0
16,2024-06-29,101,11,117,3,11417146,4833057,7955895,8294308,72806045490,30813046960,50764480200,52854612250,6376.904130857221,6380.737830250399,6375.4776655851565,6372.395653742301,3461251.0
17,2024-06-26,68,8,81,1,7052145,10002186,15854331,1200000,43988595830,62387554260,98888150090,7488000000,6237.619310153152,6237.29566955553,6237.391932123638,6240.0,-8802186.0
18,2024-06-24,59,8,110,4,1508661,4410570,4797814,1121417,9215922780,27016029690,29368658750,6863293720,6108.677018892912,6121.258295965621,6125.292125507587,6120.19767847286,-3289153.0
19,2024-06-23,67,12,137,3,4635866,4807420,7700051,1743235,27874605910,28924979770,46306953330,10492632350,6012.815277663332,6013.85021086224,6016.736580119898,6019.057872289163,-3064185.0
20,2024-06-22,94,9,111,3,2430258,7587634,3948843,6069049,14330216280,44829404350,23465630910,35693989720,5896.582288794029,5942.406651771164,5908.219129968578,5881.315131909464,-1518585.0
21,2024-06-19,58,8,81,3,1793829,3058726,3917769,934786,10662906020,18193869390,23299898710,5556876700,5944.21542967585,5947.23647820992,5948.185417719665,5944.544205839626,-2123940.0
22,2024-06-18,50,3,110,0,406038,2834976,3241014,0,2371134070,16568698000,18939832070,0,5839.685127992946,5843.798289671072,5844.387395166661,,-2834976.0
23,2024-06-16,125,7,102,1,3887688,13145018,16825941,206765,22687827700,76783229070,98265549170,1205507600,5835.814936795339,5840.1220573636865,5841.241835499959,5830.327183033879,-12938253.0
24,2024-06-15,107,7,96,0,5117920,14793152,19911072,0,30455253770,87904784370,118360038140,0,5950.709227576828,5944.433234935818,5942.261958100613,,-14793152.0
25,2024-06-12,49,4,125,0,839720,3878900,4718620,0,5055165390,23557726800,28612892190,0,6020.060722621826,6063.82632846044,6073.300884271314,,-3878900.0
26,2024-06-11,76,5,94,2,2495877,2594914,4983324,107467,15118744980,15753405500,30216903230,655247250,6057.488001211598,6063.603977987384,6070.8776861198485,6097.194952869253,-2487447.0
27,2024-06-10,60,1,72,1,3542923,54013,2927824,669112,21470113380,327318780,17742613440,4054818720,6060.0,6060.0,6060.0,6060.0,615099.0
28,2024-06-09,63,3,70,2,3012478,572449,1116096,2468831,17922036000,3412652760,6677710430,14656978330,5949.267015393972,5983.0968214203795,5961.496587468927,5936.809093048491,1896382.0
29,2024-06-08,89,8,113,2,3597266,5090879,5539040,3149105,21411516700,30312516440,32978858390,18745174750,5952.163865557899,5953.894247017533,5954.2794947591565,5952.540404337105,-1941774.0
30,2024-06-05,79,3,129,2,5161005,2023057,5659573,1524489,31262897140,12346424580,34301631130,9307690590,6057.521188218187,6060.816095136506,6102.8555201361105,6105.449491600136,-498568.0
31,2024-06-02,109,2,124,3,6684094,8094,4153060,2539128,40815966340,49737740,25388699800,15477004280,6106.432126777391,6113.251385725224,6145.0135903138125,6095.401366138296,2531034.0
32,2024-06-01,126,7,208,4,16681687,1371701,13599864,4453524,102849615170,8325466870,83474162760,27700919280,6165.4205099280425,6137.867463968757,6069.447255633699,6220.0,3081823.0
33,2024-05-29,50,1,75,4,4640216,1000000,3719216,1921000,28305317600,6100000000,22687217600,11718100000,6100.0,6100.0,6100.0,6100.0,921000.0
34,2024-05-28,124,2,126,4,12101411,830000,7398771,5532640,72475244010,4971700000,44306430410,33140513600,5988.991201935047,5988.350012454771,5990.0,5990.0,4702640.0
35,2024-05-27,158,10,218,7,12706499,14042246,18090574,8658171,74840542010,82570626480,106463290980,50947877510,5889.941990315349,5885.014537404949,5880.158094367525,5884.369517534362,-5384075.0
36,2024-05-26,56,6,25,0,527735,10600000,11127735,0,3161132650,63494000000,66655132650,0,5990.0,5990.0,5990.0,,-10600000.0
