,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,50,0,48,2,3589152,0,2315095,1274057,10750560225,0,6931539726,3819020499,2995.2925440326853,2994.062760275496,,2997.527189913795,1274057.0
1,2024-08-04,75,1,78,2,4611193,2410000,4837258,2183935,13925080636,7242600000,14569619438,6598061198,3019.843375889927,3011.958311506229,3005.228215767635,3021.1802082021673,-226065.0
2,2024-08-03,71,1,46,0,4317421,1200000,5517421,0,13102675009,3640800000,16743475009,0,3034.838392873894,3034.6560483602757,3034.0,,-1200000.0
3,2024-07-31,126,1,62,2,5019698,885943,5631392,274249,16198755376,2858938061,18172691914,885001523,3227.037836937601,3227.033727007461,3227.0,3227.0,-611694.0
4,2024-07-30,141,0,102,2,8366345,0,8184528,181817,28709609240,0,28067869941,641739299,3431.5593296714396,3429.3816260387894,,3529.5890868290644,181817.0
5,2024-07-29,90,1,82,2,2509398,2000000,3510207,999191,8827330719,7022023060,12361213949,3488139830,3517.7085177401113,3521.5056972423563,3511.01153,3490.964019892093,-1000809.0
6,2024-07-27,87,1,86,0,6294353,490000,6784353,0,22710752591,1771307500,24482060091,0,3608.115495111253,3608.6064641683593,3614.9132653061224,,-490000.0
7,2024-07-24,64,1,60,0,3809188,213359,4022547,0,13740447056,772909300,14513356356,0,3607.1853255864503,3608.001685499262,3622.576502514541,,-213359.0
8,2024-07-23,50,1,97,1,3772139,10000,3782135,4,13550323735,35500000,13585809535,14200,3592.2121997625222,3592.100634958826,3550.0,3550.0,-9996.0
9,2024-07-22,69,1,68,0,3883121,100000,3983121,0,13695576862,351950000,14047526862,0,3526.9508372260357,3526.7637769477756,3519.5,,-100000.0
10,2024-07-21,125,0,69,1,5424351,0,5374351,50000,19010642340,0,18833142340,177500000,3504.685139291318,3504.263554799454,,3550.0,50000.0
11,2024-07-20,67,3,76,1,5198118,1850403,4692976,2355545,19262653798,6847541528,17392175240,8718020086,3705.6976771208347,3706.001317713962,3700.5676752577683,3701.062847875969,505142.0
12,2024-07-17,74,0,63,0,2902235,0,2902235,0,10961063887,0,10961063887,0,3776.766487551835,3776.766487551835,,,0.0
13,2024-07-14,62,2,68,0,1903580,1596021,3499601,0,7134692744,6005739384,13140432128,0,3748.0393490160645,3754.837230872891,3762.945089068377,,-1596021.0
14,2024-07-13,47,2,82,0,2161591,564052,2725643,0,8287447575,2162077865,10449525440,0,3833.9572911804316,3833.783602621473,3833.1179838029116,,-564052.0
15,2024-07-10,80,1,125,0,6108033,2179201,8287234,0,24032166356,8547738144,32579904500,0,3934.5180937954983,3931.336378338056,3922.4184203292857,,-2179201.0
16,2024-07-09,71,1,93,1,3563101,244615,3782216,25500,14010424056,960994628,14870360684,101058000,3932.087262190996,3931.6529473726514,3928.6005682398873,3963.0588235294117,-219115.0
17,2024-07-08,115,1,208,0,8129087,423815,8552902,0,31295898243,1637296203,32933194446,0,3849.8663186899093,3850.5286797393446,3863.2332574354377,,-423815.0
18,2024-07-07,94,4,155,0,8693606,4964988,13658594,0,31978024095,18278553512,50256577607,0,3678.3383207152474,3679.4839649674045,3681.489967750174,,-4964988.0
19,2024-07-06,5,1,39,1,1044696,2427990,3471200,1486,3683598096,8561092740,12239451200,5239636,3526.0,3526.0,3526.0,3526.0,-2426504.0
20,2024-07-03,69,1,51,0,3022482,141860,3164342,0,10068974454,472972900,10541947354,0,3331.3596090894835,3331.481664750523,3334.0821937121104,,-141860.0
21,2024-06-26,176,1,56,0,7671130,1486,7672616,0,25973232148,5080634,25978312782,0,3385.841740134765,3385.84816208709,3419.0,,-1486.0
22,2024-06-24,60,1,66,0,3964675,290040,4254715,0,13425671837,972798234,14398470071,0,3386.323428023735,3384.1209272536466,3354.014046338436,,-290040.0
23,2024-06-23,65,1,56,0,668897,2400000,3068897,0,2206889729,8062560000,10269449729,0,3299.296796068752,3346.299901560724,3359.4,,-2400000.0
24,2024-06-22,42,2,49,0,921702,1027807,1949509,0,3109250993,3459857595,6569108588,0,3373.3798917654512,3369.6220884335494,3366.2522195314878,,-1027807.0
25,2024-06-19,44,0,86,0,3142894,0,3142894,0,10563763996,0,10563763996,0,3361.1582178718086,3361.1582178718086,,,0.0
26,2024-06-18,50,1,32,0,2131158,10000,2141158,0,6974469005,32760000,7007229005,0,3272.619395183276,3272.635183858454,3276.0,,-10000.0
27,2024-06-16,53,1,63,0,2775598,1600000,4375598,0,9265574225,5340800000,14606374225,0,3338.2262939373786,3338.1435463221255,3338.0,,-1600000.0
28,2024-06-15,32,0,43,0,3275637,0,3275637,0,11101261266,0,11101261266,0,3389.038915484225,3389.038915484225,,,0.0
29,2024-06-12,57,1,35,0,2872802,800000,3672802,0,9911560745,2760000000,12671560745,0,3450.137094376849,3450.107232842936,3450.0,,-800000.0
30,2024-06-11,89,2,60,1,4175760,1196130,4971890,400000,14685018225,4225594130,17506612355,1404000000,3516.729463618599,3521.118197506381,3532.721468402264,3510.0,-796130.0
31,2024-06-10,102,1,97,0,4991180,331643,5322823,0,17884229426,1175751738,19059981164,0,3583.1665910666416,3580.8031121831405,3545.233091004484,,-331643.0
32,2024-06-09,89,0,65,2,5064631,0,4300652,763979,17946898406,0,15243399110,2703499296,3543.57472558218,3544.4391013269615,,3538.7089121559625,763979.0
33,2024-06-08,31,0,6,0,791772,0,791772,0,2807623512,0,2807623512,0,3546.0,3546.0,,,0.0
34,2024-06-05,107,1,81,1,2946983,4500,2950083,1400,10647823267,16380000,10659182867,5020400,3613.1268035818325,3613.180668815081,3640.0,3586.0,-3100.0
35,2024-06-02,76,0,89,0,4234542,0,4234542,0,15370983471,0,15370983471,0,3629.904596766309,3629.904596766309,,,0.0
36,2024-06-01,117,0,76,0,3710228,0,3710228,0,13545494161,0,13545494161,0,3650.8522282188587,3650.8522282188587,,,0.0
37,2024-05-29,70,0,83,0,3131073,0,3131073,0,11581223307,0,11581223307,0,3698.803351758327,3698.803351758327,,,0.0
38,2024-05-28,122,1,97,0,4085311,612618,4697929,0,14795139530,2247750599,17042890129,0,3621.5454661836025,3627.74535949777,3669.090034899399,,-612618.0
39,2024-05-27,39,1,7,0,664542,74518,739060,0,2361117726,264762454,2625880180,0,3553.0,3553.0,3553.0,,-74518.0
40,2024-05-26,29,1,3,0,708253,1500,709753,0,2525630198,5349000,2530979198,0,3566.0,3566.0,3566.0,,-1500.0
41,2024-05-25,87,0,31,0,2320884,0,2320884,0,8371411161,0,8371411161,0,3606.992491223172,3606.992491223172,,,0.0
42,2024-05-21,80,0,72,0,2640024,0,2640024,0,9699537524,0,9699537524,0,3674.0338436317247,3674.0338436317247,,,0.0
43,2024-05-19,144,0,30,0,13886357,0,13886357,0,51208067070,0,51208067070,0,3687.6530734446765,3687.6530734446765,,,0.0
44,2024-05-15,85,1,82,0,3240960,26761,3267721,0,12821663377,106695305,12928358682,0,3956.1313243606833,3956.3838779381717,3986.9700310152834,,-26761.0
45,2024-05-14,64,2,59,1,2297636,41213,2335349,3500,9130564549,162832242,9279307191,14089600,3973.8951465767423,3973.413477386035,3950.9922111954966,4025.6,-37713.0
46,2024-05-13,124,1,117,0,4593953,115076,4709029,0,18237918947,459289548,18697208495,0,3969.983791083627,3970.501879474516,3991.1845041537767,,-115076.0
47,2024-05-12,70,1,103,1,2478946,7170,2438429,47687,10231254587,28758870,10064995255,195018202,4127.259967340959,4127.655656572326,4011.0,4089.546459202718,40517.0
48,2024-05-11,86,1,114,1,3409044,40518,3424312,25250,14006496400,162841842,14063288242,106050000,4108.628812065787,4106.894535895094,4019.0,4200.0,-15268.0
49,2024-05-08,97,0,122,1,4605412,0,4599186,6226,18857591670,0,18832138569,25453101,4094.6589946784347,4094.667745335805,,4088.194828140058,6226.0
50,2024-05-07,118,1,76,1,6417469,10000,5804162,623307,25763444790,40900000,23289413726,2514931064,4014.580325982097,4012.536818579495,4090.0,4034.8192207050456,613307.0
51,2024-05-06,112,0,83,2,3402410,0,3059066,343344,13752221100,0,12360416113,1391804987,4041.905913749372,4040.5849736488194,,4053.674993592432,343344.0
52,2024-05-05,144,0,96,3,5264588,0,4835352,429236,21607241331,0,19850990721,1756250610,4104.260643188033,4105.386892412383,,4091.5734234779934,429236.0
53,2024-05-01,108,0,54,3,2016138,0,1744511,271627,8303018721,0,7183513781,1119504940,4118.278967511153,4117.78073110459,,4121.478866239365,271627.0
54,2024-04-30,120,0,76,2,3127559,0,2875980,251579,12938757374,0,11892267284,1046490090,4137.0146411306705,4135.031288117441,,4159.687772031847,251579.0
55,2024-04-29,107,0,75,2,3023191,0,2151302,871889,12823339723,0,9116717709,3706622014,4241.657150672915,4237.767504980705,,4251.2544762005255,871889.0
56,2024-04-28,100,1,88,2,5329459,208440,5308044,229855,22484170012,876761490,22388868582,972062920,4218.846605631078,4217.913148798314,4206.301525618883,4229.026647234125,21415.0
57,2024-04-27,100,2,100,2,3601682,702274,3701903,602053,15483186746,2997608151,15895015092,2585779805,4298.876676508365,4293.741649092372,4268.431055400029,4294.937165000423,-100221.0
58,2024-04-24,130,0,127,2,5318783,0,4382050,936733,22877617091,0,18850089540,4027527551,4301.287924512055,4301.660076904645,,4299.546990444449,936733.0
59,2024-04-23,179,2,107,2,5425286,75416,4421055,1079647,22833706561,319288000,18582669915,4570324646,4208.756286949665,4203.220705238908,4233.690463562109,4233.165697677111,1004231.0
60,2024-04-22,196,0,127,2,8162314,0,6602062,1560252,34472727029,0,27896645192,6576081837,4223.401235115434,4225.444291798532,,4214.756229762885,1560252.0
61,2024-04-21,209,0,117,2,6628402,0,6214430,413972,27954945730,0,26201809571,1753136159,4217.448750090896,4216.285253997551,,4234.914822741634,413972.0
62,2024-04-20,149,0,169,3,7869833,0,5461802,2408031,32848461429,0,22817718057,10030743372,4173.971852897005,4177.690450331228,,4165.537475223533,2408031.0
63,2024-04-17,195,1,91,3,6493661,83741,5597402,980000,25903650091,336205340,22336855431,3903000000,3989.0671981490873,3990.575526110149,4014.8235631291723,3982.6530612244896,896259.0
64,2024-04-16,77,1,19,2,1588092,2400000,3918092,70000,6387306024,9652800000,15758566024,281540000,4022.0,4022.0,4022.0,4022.0,-2330000.0
65,2024-04-15,219,1,126,3,12847007,150000,9144525,3852482,52175065819,615450000,37193989745,15596526074,4061.2623484209203,4067.3506546266754,4103.0,4048.435806838293,3702482.0
66,2024-04-14,29,0,2,0,331287,0,331287,0,1334092749,0,1334092749,0,4027.0,4027.0,,,0.0
67,2024-04-13,206,2,64,1,4749510,3100000,7834930,14580,19356994612,12568085980,31862011792,63068800,4075.5771883836437,4066.661960221725,4054.221283870968,4325.7064471879285,-3085420.0
