,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,35,2,18,1,89759,58202,57961,90000,3357730100,2178421390,2162951490,3373200000,37408.28329192616,37317.359776401376,37428.63458300402,37480.0,31798.0
1,2024-08-04,16,2,12,0,96022,83070,179092,0,3583454040,3092588800,6676042840,0,37319.09395763471,37277.16949947513,37228.70831828578,,-83070.0
2,2024-08-03,42,2,50,1,133043,310664,443441,266,4930202300,11470556330,16390913970,9844660,37057.20932330149,36963.009667576975,36922.7085532923,37010.0,-310398.0
3,2024-07-31,59,3,39,0,139657,219902,359559,0,5411007940,8507023570,13918031510,0,38744.98191998969,38708.61669433946,38685.521595983664,,-219902.0
4,2024-07-30,60,2,42,3,261948,133931,215052,180827,10567625530,5554133200,8831409030,7290349700,40342.455487348634,41066.388733887616,41470.10923535253,40316.70989398707,46896.0
5,2024-07-29,16,3,37,1,52787,362763,407975,7575,2134681350,14473980470,16308545820,300116000,40439.52772462917,39974.375439671545,39899.27437472951,39619.27392739274,-355188.0
6,2024-07-27,25,3,71,1,99341,611287,680436,30192,4070998960,24842500280,27671673540,1241825700,40980.04811709163,40667.56247464861,40639.667259405156,41130.95190779014,-581095.0
7,2024-07-24,41,1,46,3,458801,40000,236358,262443,18902391050,1670279330,9726641240,10846029140,41199.541958278205,41152.155797561325,41756.98325,41327.18014959439,222443.0
8,2024-07-23,73,2,43,5,839679,414242,216402,1037519,34591028750,17095618830,9005498040,42681149540,41195.53871181725,41614.671028918405,41269.641489757196,41137.70402276971,623277.0
9,2024-07-22,49,2,67,5,417944,739706,310005,847645,16723594370,29454526490,12368847300,33809273560,40013.95969316464,39898.86388929211,39819.23424982358,39886.12397878829,107939.0
10,2024-07-21,35,1,47,3,279107,23293,199329,103071,10752773910,892073330,7687533240,3957314000,38525.63321593511,38567.0586818777,38297.91482419611,38394.058464553564,79778.0
11,2024-07-20,102,2,71,3,580456,35500,363233,252723,22522049090,1369450000,14176926590,9714572500,38800.61381052138,39029.84197471045,38576.05633802817,38439.60581347958,217223.0
12,2024-07-17,111,1,73,6,1473549,610671,239100,1845120,56256465240,23350731520,9078350460,70528846300,38177.53277291763,37968.84341279799,38237.82612896306,38224.53081642387,1234449.0
13,2024-07-14,36,1,56,3,853165,430,364502,489093,30791547260,15034800,13178705690,17627876370,36090.96395187332,36155.37278259104,34964.651162790695,36041.97232428189,488663.0
14,2024-07-13,22,1,23,2,37613,2691,22073,18231,1310184350,93698380,764541060,639341670,34833.28503442959,34636.93471662212,34819.16759568934,35068.93039328616,15540.0
15,2024-07-10,15,0,36,1,114189,0,87610,26579,3970252190,0,3058592490,911659700,34769.13003879533,34911.45405775597,,34300.0,26579.0
16,2024-07-09,41,2,13,1,207448,183333,49098,341683,7052371500,6196555400,1665736560,11583190340,33995.851972542514,33926.77013320298,33799.45454446281,33900.39990283392,158350.0
17,2024-07-08,45,1,11,0,50143,17220,67363,0,1712988790,588273200,2301261990,0,34162.07227329836,34162.10664608168,34162.20673635308,,-17220.0
18,2024-07-07,37,1,30,1,102806,270,100618,2458,3711832890,9644900,3632338110,89139680,36105.21652432737,36100.28136118786,35721.851851851854,36265.12611879577,2188.0
19,2024-07-06,52,1,38,1,331219,520000,202219,649000,11783721950,18501600000,7193901950,23091420000,35576.82968066446,35574.80726341244,35580.0,35580.0,129000.0
20,2024-07-03,37,0,17,2,84969,0,55354,29615,2914310210,0,1907114910,1007195300,34298.51133942967,34453.06409654226,,34009.633631605604,29615.0
21,2024-07-02,10,1,12,0,13911,2650,16561,0,474308180,89065400,563373580,0,34095.908274027744,34018.0894873498,33609.58490566038,,-2650.0
