,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,85,1,38,0,6563302,4000,6567302,0,8405145891,5124000,8410269891,0,1280.6276308784816,1280.6278576803686,1281.0,,-4000.0
1,2024-08-04,134,0,49,0,10267827,0,10267827,0,13259261812,0,13259261812,0,1291.3405934868206,1291.3405934868206,,,0.0
2,2024-08-03,147,1,84,0,12822281,14000000,26822281,0,16750015117,18214000000,34964015117,0,1306.3210139443988,1303.5436888085692,1301.0,,-14000000.0
3,2024-07-31,171,2,125,0,13300969,11342534,24643503,0,18403695741,15709069423,34112765164,0,1383.6357141348124,1384.249843214254,1384.970009611609,,-11342534.0
4,2024-07-30,103,1,80,0,7957597,4000,7961597,0,11596136995,5932000,11602068995,0,1457.2410483968968,1457.253989997233,1483.0,,-4000.0
5,2024-07-29,175,0,96,1,13807356,0,13674356,133000,20402781488,0,20203148488,199633000,1477.6747617719134,1477.447895023356,,1501.0,133000.0
6,2024-07-27,123,0,100,0,6574442,0,6574442,0,10124542022,0,10124542022,0,1539.9849937074507,1539.9849937074507,,,0.0
7,2024-07-24,84,1,80,0,7768893,32100,7800993,0,12274646146,50108100,12324754246,0,1579.9736392301966,1579.8955653466169,1561.0,,-32100.0
8,2024-07-23,2,0,5,0,0,0,0,0,0,0,0,0,,,,,0.0
9,2024-07-17,138,1,91,0,9070485,4500,9074985,0,14650963796,7276500,14658240296,0,1615.2348850144176,1615.2357602794937,1617.0,,-4500.0
10,2024-07-14,91,1,61,0,7029915,138420,7168335,0,11410681694,229516889,11640198583,0,1623.1606917011088,1623.8357419121735,1658.1194119346915,,-138420.0
11,2024-07-13,71,0,81,1,8687573,0,7750560,937013,14272578878,0,12741106720,1531472158,1642.8729724630803,1643.8949856526497,,1634.4193282270364,937013.0
12,2024-07-10,103,0,73,1,6445460,0,5078192,1367268,10655826220,0,8394060593,2261765627,1653.2297493119188,1652.9624309202961,,1654.22260083612,1367268.0
13,2024-07-09,121,0,78,0,8050185,0,8050185,0,13698473459,0,13698473459,0,1701.6346157262224,1701.6346157262224,,,0.0
