,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,6,1,7,0,79471,1200000,1279471,0,357142674,5392800000,5749942674,0,4494.0,4494.0,4494.0,,-1200000.0
1,2024-08-04,8,0,2,1,86678,0,76238,10440,389617610,0,342689810,46927800,4495.0,4495.0,,4495.0,10440.0
2,2024-07-29,54,1,39,1,517014,347020,720983,143051,2307323182,1546960900,3218499023,635785059,4462.786659548871,4464.04287341033,4457.843640136015,4444.464274978854,-203969.0
3,2024-07-27,90,0,27,2,1092519,0,419111,673408,4900943982,0,1890849751,3010094231,4485.911899015028,4511.57271224091,,4469.941300073655,673408.0
4,2024-07-24,56,0,26,2,896729,0,585941,310788,4064950741,0,2661448817,1403501924,4533.087187991021,4542.178849065008,,4515.9463171036205,310788.0
5,2024-07-23,81,0,30,1,2119300,0,1348021,771279,9748574340,0,6201339165,3547235175,4599.9029585240405,4600.328307199962,,4599.15954537852,771279.0
6,2024-07-22,106,0,36,1,2286532,0,2182561,103971,10704347490,0,10210282487,494065003,4681.477228396541,4678.120101568754,,4751.9500918525355,103971.0
7,2024-07-21,25,1,33,2,593257,205090,556442,241905,2876802081,992458471,2691710684,1177549868,4849.166686613053,4837.3607384058,4839.136335267443,4867.819466319423,36815.0
8,2024-07-20,31,1,54,3,1133367,105343,879199,359511,5604039884,517370271,4348854639,1772555516,4944.594190584338,4946.3826039383575,4911.292359245513,4930.462533830676,254168.0
9,2024-07-17,66,0,20,2,2335134,0,635521,1699613,11443822900,0,3098300274,8345522626,4900.713577893174,4875.213051968385,,4910.24876015893,1699613.0
10,2024-07-14,18,1,31,2,557683,611680,523504,645859,2773403133,3037681291,2601307509,3209776915,4973.081720260435,4969.030817338549,4966.128189576249,4969.779650047456,34179.0
11,2024-07-13,18,1,33,1,237212,447692,670904,14000,1172858161,2220067306,3323380567,69544900,4944.345821459286,4953.585858781585,4958.916634650608,4967.492857142857,-433692.0
12,2024-07-10,15,1,41,0,1686329,40260,1726589,0,8355834273,200337250,8556171523,0,4955.043928557239,4955.534596247283,4976.0866865375065,,-40260.0
13,2024-07-09,48,0,25,0,2020581,0,2020581,0,9994519502,0,9994519502,0,4946.359241228141,4946.359241228141,,,0.0
14,2024-07-08,23,0,25,1,580527,0,579527,1000,2933150104,0,2928010104,5140000,5052.5644870953465,5052.413613170741,,5140.0,1000.0
15,2024-07-07,48,1,52,2,1511737,474852,1750043,236546,7756548917,2454688186,8988521364,1222715739,5130.885145365894,5136.1717192091855,5169.3752706106325,5169.040013358924,-238306.0
16,2024-07-06,80,1,41,3,5269289,347336,2957361,2659264,27079410568,1789114175,15213041196,13655483547,5139.101417287987,5144.127212065081,5150.960957113573,5135.061260183269,2311928.0
17,2024-07-03,23,1,29,2,2220123,71824,660592,1631355,10846123550,352615840,3225263430,7973475960,4885.370562802151,4882.38342274808,4909.443083092003,4887.640004781301,1559531.0
18,2024-07-02,28,1,31,2,649090,681409,1225499,105000,3075656150,3259135020,5836941170,497850000,4738.412469765364,4762.909777976155,4782.935094781548,4741.428571428572,-576409.0
19,2024-07-01,35,1,37,2,1371057,706243,1825573,251727,6520944070,3367905240,8675739910,1213109400,4756.14366871691,4752.337983745378,4768.7626496829,4819.146932986926,-454516.0
20,2024-06-30,42,1,52,0,1171969,1875307,3047276,0,5630757280,8987442740,14618200020,0,4804.527491768127,4797.136859280223,4792.518099703142,,-1875307.0
21,2024-06-29,40,0,30,1,775263,0,658527,116736,3875025850,0,3280832590,594193260,4998.337144943071,4982.077560980795,,5090.060135690789,116736.0
22,2024-06-26,23,1,48,2,2536350,31180,1249874,1317656,12826453250,157147200,6312206790,6671393660,5057.051767303408,5050.2744996695665,5040.0,5063.076903228157,1286476.0
23,2024-06-24,22,1,33,0,847901,22224,870125,0,4234903630,111120000,4346023630,0,4994.57322258141,4994.711828760235,5000.0,,-22224.0
24,2024-06-23,42,1,30,1,946667,20000,666951,299716,4657754800,98200000,3274932070,1481022730,4920.161788675427,4910.303860403538,4910.0,4941.420311227963,279716.0
25,2024-06-22,42,0,35,1,980156,0,374315,605841,4827441760,0,1846704040,2980737720,4925.176971828974,4933.556069086198,,4920.0,605841.0
26,2024-06-19,30,2,56,4,870433,2756816,3071686,555563,4357837340,13854923880,15445999360,2766761860,5006.516687671538,5028.508565003063,5025.697717947081,4980.1046145981645,-2201253.0
27,2024-06-18,3,0,1,0,4547,0,4547,0,22598590,0,22598590,0,4970.0,4970.0,,,0.0
28,2024-06-12,41,0,11,2,359670,0,229065,130605,1791914460,0,1141109200,650805260,4982.1070981733255,4981.595616964617,,4983.004172887715,130605.0
29,2024-06-11,37,1,50,0,513882,1618261,2132143,0,2572356690,8254842570,10827199260,0,5005.734176328418,5078.083064785054,5101.0575982489845,,-1618261.0
30,2024-06-10,43,1,42,3,972388,1355208,1390772,936824,4944423650,6865022720,7041061920,4768384450,5084.825861693069,5062.700370729351,5065.659824912485,5089.946937738572,-418384.0
31,2024-06-09,34,0,55,1,2065729,0,1865729,200000,10474148310,0,9460148310,1014000000,5070.436785270478,5070.48360721198,,5070.0,200000.0
32,2024-06-08,4,0,2,0,135344,0,135344,0,686194080,0,686194080,0,5070.0,5070.0,,,0.0
33,2024-06-05,17,0,5,0,409565,0,409565,0,2080590200,0,2080590200,0,5080.0,5080.0,,,0.0
34,2024-05-29,48,0,26,0,941069,0,941069,0,4891079440,0,4891079440,0,5197.365379159232,5197.365379159232,,,0.0
35,2024-05-28,81,2,62,1,1723677,128952,1630362,222267,8854628070,664066980,8375505540,1143189510,5137.057621584554,5137.206056078343,5149.722222222223,5143.316416742026,93315.0
