,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,59,6,56,0,2685385,16827439,19512824,0,8177069824,51239551755,59416621579,0,3045.026997618591,3045.003715454001,3045.0,,-16827439.0
1,2024-08-04,129,8,62,0,26343860,18935000,45278860,0,81012310349,58225125000,139237435349,0,3075.1875522038154,3075.1091204372196,3075.0,,-18935000.0
2,2024-08-03,70,4,178,0,11796752,12040063,23836815,0,36664414400,37378245945,74042660345,0,3108.0092554289517,3106.231279011059,3104.4892327390644,,-12040063.0
3,2024-07-31,58,2,141,1,5799768,6208530,11926467,81831,18682128332,20097166892,38515071545,264223679,3221.185456383773,3229.3781171741807,3237.0250110734746,3228.8946609475624,-6126699.0
4,2024-07-30,44,3,131,2,3150550,2699280,5582951,266879,10564831619,9066021042,18722377096,908475565,3353.329297741664,3353.4912085024566,3358.681219436294,3404.0728757227057,-2432401.0
5,2024-07-29,73,3,136,3,8141512,2719536,10208886,652162,27723392450,9171446342,34693466004,2201372788,3405.1896564176286,3398.359625526233,3372.4305697736672,3375.499934065462,-2067374.0
6,2024-07-27,108,2,181,6,18445704,2886213,9931478,11400439,62987344850,9822205100,33973392812,38836157138,3414.7433380693956,3420.7791440508654,3403.146302784999,3406.5492686728994,8514226.0
7,2024-07-24,41,3,116,0,3225705,2911182,6136887,0,10809276342,9685320676,20494597018,0,3350.98105437416,3339.575426107732,3326.9375380859046,,-2911182.0
8,2024-07-23,59,2,78,0,2776233,2215518,4991751,0,9211662067,7328889927,16540551994,0,3318.043574512658,3313.577138362871,3307.9803129561574,,-2215518.0
9,2024-07-22,50,3,90,0,3304976,3824352,7129328,0,10849064574,12539703944,23388768518,0,3282.645493946098,3280.6413897635234,3278.9094581251934,,-3824352.0
10,2024-07-21,73,4,153,2,6844481,4312050,9804531,1352000,22585654747,14146948461,32292325976,4440277232,3299.8345304779136,3293.6125120110282,3280.794160781995,3284.228721893491,-2960050.0
11,2024-07-20,87,2,179,2,13091437,6140050,12841487,6390000,43474989120,20286754068,42651261844,21110481344,3320.8721945497655,3321.3647176530258,3304.004701590378,3303.6747017214398,249950.0
12,2024-07-17,47,4,122,1,2056901,4095973,5502874,650000,6712600536,13371044267,17965816238,2117828565,3263.453387401727,3264.8060337198344,3264.4366227511755,3258.1977923076925,-3445973.0
13,2024-07-14,89,3,148,3,12375899,6238009,10481222,8132686,40283622377,20169889885,34157926607,26295585655,3255.0057476228594,3258.964136719936,3233.3858263109273,3233.3211506014127,1894677.0
14,2024-07-13,55,2,115,1,4634257,4181125,7515382,1300000,14597003620,13195792699,23675196319,4117600000,3149.804514510093,3150.231926866791,3156.038793147777,3167.3846153846152,-2881125.0
15,2024-07-10,52,2,104,2,8389001,2455934,6654935,4190000,26666982556,7748072518,21101050293,13314004781,3178.8031204192253,3170.7372488236174,3154.837433742112,3177.5667735083534,1734066.0
16,2024-07-09,40,3,81,2,1495642,2078822,3117197,457267,4732721640,6575546605,9862515771,1445752474,3164.341226042061,3163.905191426785,3163.1118994315048,3161.724930948439,-1621555.0
17,2024-07-08,58,6,120,3,3288624,4736831,6063881,1961574,10492705370,14998500149,19245943836,6245261683,3190.606578921762,3173.86568700804,3166.3574548046995,3183.8012142289813,-2775257.0
18,2024-07-07,155,6,222,2,36604409,12259423,45313172,3550660,116791347635,39063597882,144604405715,11250539802,3190.6360688680975,3191.222316438143,3186.414065490684,3168.577053843511,-8708763.0
19,2024-07-06,4,1,68,0,1142366,400000,1542366,0,3585886874,1255600000,4841486874,0,3139.0,3139.0,3139.0,,-400000.0
20,2024-07-03,48,7,128,2,4204595,10527468,7207903,7524160,12412985184,31222708334,21512278925,22123414593,2952.2427686852125,2984.5405695664886,2965.832651687946,2940.316871650789,-3003308.0
21,2024-07-02,31,7,84,1,1493121,11367283,12421894,438510,4269981481,32847233714,35848323815,1268891380,2859.769222320227,2885.898383531529,2889.6292732397,2893.642972794235,-10928773.0
22,2024-07-01,35,5,86,1,2797095,6428881,7146744,2079232,7872933350,18120309622,20085227606,5908015366,2814.6821434381027,2810.4025561850262,2818.5790998464586,2841.4411503862966,-4349649.0
23,2024-06-29,80,6,89,1,5643049,6050150,11482154,211045,15950423444,17171811664,32521091698,601143410,2826.5612161085255,2832.316279506441,2838.245607794848,2848.413418939089,-5839105.0
24,2024-06-26,105,1,73,4,9308727,50000,2713449,6645278,26398746491,141850000,7693792765,18846803726,2835.913706675467,2835.429287596708,2837.0,2836.119681674717,6595278.0
25,2024-06-24,31,1,57,2,6650060,3206285,4572862,5283483,18499403274,8922721288,12718191373,14703933189,2781.8400546761986,2781.2322726992415,2782.8846431306015,2783.0,2077198.0
26,2024-06-23,67,2,68,3,6156057,758510,4856449,2058118,16804949208,2063765642,13265483273,5603231577,2729.823523076541,2731.5191146864713,2720.8153379652213,2722.502585857565,1299608.0
27,2024-06-22,54,3,97,1,5081487,469268,5522375,28380,13748082450,1257227338,14928712168,76597620,2705.523491450436,2703.313731501392,2679.1243766888006,2699.0,-440888.0
28,2024-06-19,86,2,91,1,4022770,647180,3213427,1456523,10766912305,1723578740,8609290151,3881200894,2676.492144716203,2679.161577655257,2663.213850860657,2664.7027846453507,809343.0
29,2024-06-18,104,2,83,4,12075234,97740,6072974,6100000,32016793108,256724980,16096318088,16177200000,2651.442871252019,2650.483616099789,2626.611213423368,2652.0,6002260.0
30,2024-06-16,172,4,147,4,48122344,5686000,14748315,39060029,125361517754,14539263700,38765454399,101135327055,2605.058426788188,2628.466668836406,2557.0284382694335,2589.228160967315,33374029.0
31,2024-06-15,59,2,31,3,862711,4375701,1557911,3680501,2246579165,11385399680,4048309664,9583669181,2604.0924075385615,2598.5500224338875,2601.960161354718,2603.903430810099,-695200.0
32,2024-06-12,40,2,52,3,1964480,4022610,1028409,4958681,5192265874,10651735387,2727481294,13116519967,2643.073929996742,2652.136741315955,2647.9662177044256,2645.163092161,936071.0
33,2024-06-11,49,2,56,6,4609772,11331364,7914806,8026330,12325870142,30385913628,21211924032,21499859738,2673.856785541671,2680.030822233672,2681.5759892630754,2678.6663067678505,-3305034.0
34,2024-06-10,41,1,63,0,3136944,2180,3139124,0,8319069265,5731850,8324801115,0,2651.966138063032,2651.9503896628485,2629.288990825688,,-2180.0
35,2024-06-09,51,1,74,1,3742411,388310,4128921,1800,9740113442,1004384360,10739835802,4662000,2602.6306148629856,2601.12407139783,2586.5529087584664,2590.0,-386510.0
36,2024-06-08,52,2,74,2,2894234,2928988,5819202,4020,7548882043,7659706736,15198088419,10500360,2608.248691363587,2611.7134993767186,2615.1376297888555,2612.0298507462685,-2924968.0
