,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,657,9,714,29,13887388,76123642,17240911,72770119,87519895440,479500520490,108656573270,458363842660,6302.113503273617,6302.252431440543,6298.969779848421,6298.79198988255,-3353523.0
1,2024-08-04,1410,7,628,19,31047509,22916823,23836284,30128048,195410176540,144092938000,149741329990,189761784550,6293.908362825501,6282.075259297968,6287.648946802094,6298.509101884065,7211225.0
2,2024-08-03,1433,10,1335,33,23354693,168979576,69355430,122978839,146724130960,1066197694320,438065904180,774855921100,6282.426018616473,6316.245233862727,6309.624627771584,6300.725615892341,-46000737.0
3,2024-07-31,1558,9,1579,30,40373879,99839521,91737939,48475461,262789623580,651171741900,598083235100,315878130380,6508.902044809714,6519.475384115616,6522.184154909958,6516.248094680317,-51364060.0
4,2024-07-30,1144,10,800,27,25409128,87828564,27869304,85368388,171218299700,592907652900,188199203550,575926749050,6738.4563413589,6752.920831822711,6750.738323582292,6746.370202632853,-2460176.0
5,2024-07-29,1466,15,1067,33,27132316,107436592,57622497,76946411,184596436600,733244986030,393207524610,524633898020,6803.5635660442695,6823.8543117977,6824.909208121569,6818.172429380755,-30490181.0
6,2024-07-27,1547,16,1088,30,39537703,93871714,68384319,65025098,276143801150,659009103180,479934680160,455218224170,6984.315734022282,7018.197843865346,7020.316079239802,7000.654180790316,-28846616.0
7,2024-07-24,929,12,812,25,28459562,113186512,65035505,76610569,202764207240,813684085120,465715075620,550733216740,7124.642580233666,7160.93579376373,7188.87852220413,7188.736801315234,-36575943.0
8,2024-07-17,1011,8,850,17,35269446,58211586,53506361,39974671,271078338440,447541898170,411320669180,307299567430,7685.925615049355,7687.322805974415,7688.192831062875,7687.357012394174,-18236915.0
9,2024-07-14,595,4,614,26,23909369,16414611,30215886,10108094,183816133710,126224734000,232325836170,77715031540,7688.037844495185,7688.8639363413,7689.779185141822,7688.396204071707,-6306517.0
10,2024-07-13,615,7,968,26,8563850,89521928,57585152,40500626,65823798200,688638874350,442835702650,311626969900,7686.239039684254,7690.102175123198,7692.404416826233,7694.374153624193,-49021302.0
11,2024-07-10,625,6,1061,16,8908787,72438998,42506364,38841421,68480171080,557137802710,326924816710,298693157080,7686.812029516476,7691.196939592387,7691.130718152673,7690.067700664195,-33597577.0
12,2024-07-09,635,13,912,16,8292398,51050044,29597643,29744799,63785478300,392677995480,227607361690,228856112090,7692.042555120967,7690.050241162785,7692.02070579998,7693.987513245593,-21305245.0
13,2024-07-08,958,8,1349,13,19115467,93164282,38036008,74243741,147019180350,718827143100,293083694240,572762629210,7691.111096056403,7705.427295104155,7715.694552339275,7714.625118499888,-18920541.0
14,2024-07-07,2021,19,1587,29,51072014,102977462,80876735,73172741,394636580580,792431684700,623216209760,563852055520,7727.061254721617,7705.753821046312,7695.195330217014,7705.766489190285,-29804721.0
15,2024-07-06,330,19,871,12,42621874,59171594,23393468,78400000,328188429800,455621273800,180129703600,603680000000,7700.0,7700.0,7700.0,7700.0,19228406.0
16,2024-07-03,622,18,964,14,18308283,34430919,42347593,10391609,133251939350,250267318360,307829128410,75690129300,7278.232445390974,7269.105670539528,7268.6795946399225,7283.773792874616,-24039310.0
17,2024-07-02,508,11,705,15,13651793,31256723,28754352,16154164,98362520780,225419018340,207347590400,116433948720,7205.099050359173,7210.998543803039,7211.857056800228,7207.674053575289,-15102559.0
18,2024-07-01,528,10,741,9,10086029,45821138,44663922,11243245,71993208700,327551718370,319144169770,80400757300,7137.914108714143,7145.457798578459,7148.485015147376,7151.027777123064,-34577893.0
19,2024-06-30,556,6,1106,14,6577311,87375530,67309005,26643836,46668772590,622646832130,479440177070,189875427650,7095.418262873688,7122.972283871973,7126.100775926624,7126.4298297737605,-60731694.0
20,2024-06-29,967,10,829,6,22380597,12359401,26963136,7776862,160589428040,88699807710,193527339600,55761896150,7175.386252654475,7177.478895629944,7176.707650314122,7170.2308913286615,-4582539.0
21,2024-06-26,351,5,712,9,11176776,20642346,24768927,7050195,79907216340,147592773900,177091868050,50408122190,7149.397674248818,7149.75937593098,7150.0,7149.890490972236,-13592151.0
22,2024-06-24,816,13,842,11,21263248,29578752,35699866,15142134,149178292630,207220314200,250059752250,106338854580,7015.781061764412,7004.501144346032,7005.715258033875,7022.712556895877,-14436618.0
23,2024-06-23,649,8,627,14,15462480,15836192,25889866,5408806,107056512200,109706135760,179289547770,37473100190,6923.63140970918,6925.0859687724915,6927.557821981446,6928.164957293717,-10427386.0
24,2024-06-22,875,9,746,9,12578808,13727219,19508433,6797594,86697385080,94626299150,134486308400,46837375830,6892.337102211911,6893.7524812987285,6893.333540464387,6890.287332547369,-6929625.0
25,2024-06-19,794,9,512,4,18122746,6452587,15606150,8969183,124381809030,44200887820,107114247710,61468449140,6863.298146428803,6863.592090938509,6850.103349245815,6853.294122775731,2516596.0
26,2024-06-18,1158,10,677,12,17222992,41625479,35897155,22951316,117601537810,284009479930,245378340280,156232677460,6828.17119174183,6835.592967743544,6822.97205348676,6807.13373734212,-18674163.0
27,2024-06-16,646,14,879,12,17699210,31706417,31618375,17787252,122179269370,219010805880,218533785430,122656289820,6903.091684318114,6911.607109157254,6907.459959288368,6895.741389395057,-13919165.0
28,2024-06-15,815,9,914,12,16845084,58359184,45326363,29877905,118212465650,409336734220,318099253410,209449946460,7017.62399344521,7017.974360969575,7014.092832757909,7010.195208131226,-28481279.0
29,2024-06-12,496,5,870,16,6712897,83913145,48380658,42245384,47647121900,597738823470,344745354260,300640591110,7097.847903818575,7125.685522094387,7123.3037859563,7116.531148349841,-41667761.0
30,2024-06-11,582,8,803,13,11228744,23635771,32287975,2576540,80241325620,169078420620,230907829390,18411916850,7146.064209852856,7151.51165069968,7153.497155645991,7145.98525542006,-21059231.0
31,2024-06-10,1131,13,1072,21,52756020,15730662,47436053,21050629,377934215690,112711616200,339774242880,150871589010,7163.8121240002565,7162.7848733536075,7165.090458367232,7167.082228754305,5319967.0
