,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,486,3,694,13,39149519,212494196,134727271,116916444,75411620241,409503794684,259616643495,225298771430,1926.2464052495766,1926.9791599578975,1927.1293164355416,1927.0067042921696,-95577752.0
1,2024-08-04,894,6,717,8,119158647,6974325,108437314,17695658,229477647503,13475460833,208781390333,34171718003,1925.8161558598429,1925.364827212522,1932.1526933430835,1931.0792513621138,10721333.0
2,2024-08-03,2028,13,1358,20,199399846,219450186,385531636,33318396,379042003682,424178214090,739278034773,63942182999,1900.914224788318,1917.5547886114332,1932.9134407295512,1919.1254884838995,-186131790.0
3,2024-07-31,1359,12,1167,21,161388181,340319926,405087940,96620167,323927908011,684285460223,814177055682,194036312552,2007.1352561498911,2009.8773014126266,2010.7122972958098,2008.2382237240388,-243699759.0
4,2024-07-30,831,7,773,13,128372984,166404633,179628434,115149183,266320578684,348043772655,373814434912,240549916427,2074.584311945261,2081.0426645037724,2091.550976558447,2089.028425212535,-51255450.0
5,2024-07-29,1085,12,759,11,66512728,139663829,152951128,53225429,138534972696,292896390446,320105236819,111326126323,2082.834020820797,2092.8596016565502,2097.1528028635103,2091.5965998695847,-86438400.0
6,2024-07-27,673,10,679,11,62654743,129205967,144280869,47579841,133029900926,275663411346,307116828318,101576483954,2123.221556044049,2128.603954540917,2133.5191999762674,2134.8638797258695,-81626126.0
7,2024-07-24,442,4,648,16,52602256,167065098,128609799,91057555,112667097719,357993631027,275645507585,195015221161,2141.8681685249394,2143.269873122187,2142.839140626488,2141.669861012631,-76007543.0
8,2024-07-23,612,8,664,20,65808326,140562234,130544736,75825824,140897532971,300765849235,279439864109,162223518097,2141.028978172154,2140.567844183315,2139.734412836666,2139.423082260207,-64736410.0
9,2024-07-22,882,11,697,14,70069861,179795143,153707275,96157729,148785353582,381859654357,326465178802,204179829137,2123.385881727381,2123.9409702761304,2123.8596771048483,2123.384477362189,-83637414.0
10,2024-07-21,759,9,741,13,75953352,129752265,177571560,28134057,161998650970,277193415919,379120279953,60071786936,2132.870330331175,2135.028154018583,2136.3281474816645,2135.1981669760603,-101618208.0
11,2024-07-20,599,9,814,17,84901930,103572080,146827201,41646809,184553168077,225691339487,319756494072,90488013492,2173.7217054665307,2177.774226398282,2179.075089415989,2172.747820655359,-61925271.0
