,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,5,0,2,0,491021,0,491021,0,995790588,0,995790588,0,2028.0,2028.0,,,0.0
1,2024-08-04,17,0,5,0,1528411,0,1528411,0,3104202741,0,3104202741,0,2031.0,2031.0,,,0.0
2,2024-08-03,45,0,19,0,3087591,0,3087591,0,6082645187,0,6082645187,0,1970.0294459337392,1970.0294459337392,,,0.0
3,2024-07-31,57,0,20,0,7489446,0,7489446,0,15540600450,0,15540600450,0,2075.0,2075.0,,,0.0
4,2024-07-30,52,1,28,1,2012526,270397,2240268,42655,4309395917,591947646,4809763278,91580285,2141.287077533408,2146.958880812474,2189.1797837993763,2147.0,-227742.0
5,2024-07-29,62,2,47,2,3532420,1323169,4179042,676547,7701475080,2902514521,9132166268,1471823333,2180.226326427775,2185.22959759677,2193.608315339915,2175.4931039528665,-646622.0
6,2024-07-27,35,1,34,1,798437,672100,1400116,70421,1795013227,1515224920,3152089969,158148178,2248.1588741503715,2251.3062981924354,2254.4635024549916,2245.7530850172534,-601679.0
7,2024-07-24,50,1,24,2,2174443,950000,2885524,238919,4871645138,2202950000,6539304950,535290188,2240.4105961848622,2266.2452123080593,2318.8947368421054,2240.467221108409,-711081.0
8,2024-07-23,46,1,55,4,4991926,35000,3457518,1569408,11482986239,79950000,7962242988,3600693251,2300.3117912805596,2302.8782461870046,2284.285714285714,2294.300303681388,1534408.0
9,2024-07-22,24,2,29,1,765037,2125000,2877315,12722,1748568082,4907428630,6626481672,29515040,2285.5993657823087,2303.0087675489126,2309.378178823529,2320.0,-2112278.0
10,2024-07-21,37,3,37,2,1804306,484107,2061466,226947,4117582744,1120217874,4725417444,512383174,2282.086710347358,2292.2606746849087,2313.988176167665,2257.7217323868567,-257160.0
11,2024-07-20,42,3,97,2,4146716,8310310,12320161,136865,9602811097,19228436474,28514535884,316711687,2315.7629065988604,2314.461303224852,2313.8049572157956,2314.044401417455,-8173445.0
12,2024-07-17,28,2,47,2,3081434,3009000,3440634,2649800,6944281771,6779564510,7759156663,5964689618,2253.587703322544,2255.153167410425,2253.095550016617,2250.996157445845,-359200.0
13,2024-07-14,58,2,48,3,2270841,1303396,2965296,608941,5072065577,2969073980,6672198998,1368940559,2233.562621513351,2250.09543667816,2277.9523490942124,2248.0676436633435,-694455.0
14,2024-07-13,36,3,28,1,1867309,234000,2037109,64200,4197598674,529418289,4581951963,145065000,2247.9400431315867,2249.242413145296,2262.4713205128205,2259.5794392523367,-169800.0
15,2024-07-10,28,0,62,1,4740299,0,4583157,157142,10835912915,0,10479200575,356712340,2285.913381202325,2286.459000859015,,2270.0,157142.0
16,2024-07-09,32,0,48,0,2356159,0,2356159,0,5402296232,0,5402296232,0,2292.8402675710763,2292.8402675710763,,,0.0
17,2024-07-08,54,0,45,1,4327975,0,4186767,141208,9852923669,0,9531715469,321208200,2276.5666781809045,2276.629071787372,,2274.7167299303155,141208.0
18,2024-07-07,83,3,84,1,7909981,1547779,9425862,31898,18427115237,3597564108,21950992465,73686880,2329.602970854165,2328.804778279164,2324.3396557260435,2310.0783748197377,-1515881.0
19,2024-07-06,101,3,55,2,34881759,3775456,8450720,30206495,80646606890,8728854272,19538044722,69837416440,2311.9994289852184,2311.997643041066,2312.0,2312.0,26431039.0
20,2024-07-03,34,1,36,0,1903434,50000,1953434,0,4160348150,110600000,4270948150,0,2185.7065440671963,2186.3795500641436,2212.0,,-50000.0
21,2024-07-02,44,0,41,0,2344273,0,2344273,0,5128518277,0,5128518277,0,2187.6796247706643,2187.6796247706643,,,0.0
22,2024-07-01,35,0,38,0,1302629,0,1302629,0,2814403036,0,2814403036,0,2160.55610308077,2160.55610308077,,,0.0
23,2024-06-30,38,0,57,3,1891001,0,1854652,36349,4025122719,0,3947952407,77170312,2128.5672080554164,2128.6755720210585,,2123.0381028363918,36349.0
24,2024-06-29,32,1,46,1,885077,700000,1569077,16000,1970680959,1564213324,3499070283,35824000,2226.564422078531,2230.018210068722,2234.590462857143,2239.0,-684000.0
25,2024-06-26,22,2,52,0,4884103,516000,5400103,0,10769744609,1138381009,11908125618,0,2205.0609106728502,2205.1663862707805,2206.164746124031,,-516000.0
26,2024-06-24,45,1,40,3,4365813,1850142,5527942,688013,9474170721,4017778592,11997931483,1494017830,2170.0816597046187,2170.4155873921977,2171.605526494723,2171.49651242055,-1162129.0
27,2024-06-23,65,2,63,4,2495648,4419613,6879675,35586,5286397761,9549801702,14760439757,75759706,2118.2465479907423,2145.5141059715756,2160.777810636361,2128.9188444894057,-4384027.0
28,2024-06-22,86,2,90,3,4548500,3323966,4328387,3544079,9756179171,7164593812,9321838032,7598934951,2144.922319665824,2153.651702585744,2155.4353480149916,2144.121209205551,220113.0
29,2024-06-19,126,2,110,2,10981770,2082765,7297886,5766649,23928827870,4550447656,15932082956,12547192570,2178.959117701427,2183.1093217953803,2184.8108912911443,2175.8204062706086,3683884.0
30,2024-06-18,33,1,46,0,2387043,1600000,3987043,0,5239559385,3512000000,8751559385,0,2195.0,2195.0,2195.0,,-1600000.0
31,2024-06-16,21,1,7,0,102884,800000,902884,0,226344800,1760000000,1986344800,0,2200.0,2200.0,2200.0,,-800000.0
32,2024-06-15,17,0,3,0,274000,0,274000,0,603074000,0,603074000,0,2201.0,2201.0,,,0.0
33,2024-06-12,26,1,7,0,809371,1000000,1809371,0,1787908539,2209000000,3996908539,0,2209.0098842187326,2209.0044214260092,2209.0,,-1000000.0
34,2024-06-11,66,1,40,2,4319870,58250,3978120,400000,9660123822,129664500,8899266136,890522186,2236.2070668793276,2237.0532150865233,2226.0,2226.305465,341750.0
