,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,16,1,22,0,199303,1275268,1474571,0,775523722,4971464205,5746987927,0,3891.1793701048155,3897.3965492336415,3898.368190058874,,-1275268.0
1,2024-08-04,24,1,24,0,537220,1679561,2216781,0,2102954986,6562044827,8664999813,0,3914.513581028257,3908.8208591647076,3907.0,,-1679561.0
2,2024-08-03,22,2,34,1,251623,2524103,2366757,408969,980867759,9849320254,9248376850,1581811163,3898.1641543102182,3907.6157163578687,3902.107106564193,3867.802114585702,-2115134.0
3,2024-07-31,18,1,32,1,321134,1849081,2123231,46984,1294385138,7450800680,8556879187,188306631,4030.669869898547,4030.121633962579,4029.461489247902,4007.8884513877065,-1802097.0
4,2024-07-30,11,1,23,1,940543,933537,1836958,37122,3914862021,3872422952,7633106165,154178808,4162.342413903458,4155.297053607105,4148.119412513912,4153.3001454663,-896415.0
5,2024-07-29,13,1,40,1,1867729,525527,2322256,71000,7816728484,2173153859,9696764343,293118000,4185.151316920174,4175.579412002811,4135.189740964784,4128.422535211268,-454527.0
6,2024-07-27,16,1,26,1,1666409,1417530,2315053,768886,6990579222,5966056553,9711747855,3244887920,4194.996079593905,4195.043420172238,4208.769163968311,4220.2458101721195,-648644.0
7,2024-07-24,19,1,28,2,1785502,355000,1559388,581114,7658522382,1510310000,6687641229,2481191153,4289.282443816921,4288.631969080177,4254.394366197183,4269.714983634881,226114.0
8,2024-07-23,30,2,20,0,312760,287738,600498,0,1336685071,1217783622,2554468693,0,4273.836395319095,4253.917070498153,4232.2655401789125,,-287738.0
9,2024-07-22,25,2,24,0,1370835,710376,2081211,0,5872237743,3025331140,8897568883,0,4283.694057271663,4275.188283648318,4258.774423685485,,-710376.0
10,2024-07-14,72,1,88,2,12278518,337620,12056138,560000,56974391161,1540200848,55887952009,2626640000,4640.168394996856,4635.643023412638,4561.936046442746,4690.428571428572,222380.0
11,2024-07-13,17,1,27,0,400085,300024,700109,0,1791186587,1348173480,3139360067,0,4477.015101790869,4484.101856996554,4493.552115830734,,-300024.0
12,2024-07-10,14,3,29,0,373889,1150000,1523889,0,1680823509,5222741868,6903565377,0,4495.51473565684,4530.2284989261025,4541.514667826087,,-1150000.0
13,2024-07-09,24,2,28,2,797421,116593,418284,495730,3641165448,534335704,1884401884,2291099268,4566.177023178471,4505.077612339941,4582.914102904977,4621.6675771085065,379137.0
14,2024-07-08,34,2,19,1,839912,150000,889912,100000,3777090045,673700000,4000685045,450105000,4497.006882863919,4495.596244347756,4491.333333333333,4501.05,-50000.0
15,2024-07-07,26,1,40,1,983045,200000,1109099,73946,4640863672,972400000,5258468264,354795408,4720.906644151591,4741.207289881246,4862.0,4798.033808454818,-126054.0
16,2024-07-06,40,2,26,0,1812290,340000,2152290,0,8498948870,1594600000,10093548870,0,4689.6185875329,4689.678839747432,4690.0,,-340000.0
17,2024-07-03,21,3,55,0,2328869,323116,2651985,0,10385985561,1452118119,11838103680,0,4459.669290544037,4463.8652481066065,4494.107747681947,,-323116.0
18,2024-07-02,5,3,39,1,124148,2635868,2310016,450000,540250121,11534845029,10103195150,1971900000,4351.661895479589,4373.647260451876,4376.108753928497,4382.0,-2185868.0
19,2024-07-01,14,2,21,0,278151,227465,505616,0,1147252030,935299396,2082551426,0,4124.56554173812,4118.84004066327,4111.838726837096,,-227465.0
20,2024-06-30,16,1,19,0,201148,549535,750683,0,807775389,2248722417,3056497806,0,4015.8261031678167,4071.6225170944326,4092.0458514926254,,-549535.0
21,2024-06-29,12,1,11,0,130572,93898,224470,0,542680034,387892638,930572672,0,4156.174631620868,4145.643836592863,4131.0,,-93898.0
22,2024-06-26,21,3,26,0,1274635,600564,1875199,0,5341842484,2520830856,7862673340,0,4190.880121760347,4192.980766308003,4197.439167182848,,-600564.0
23,2024-06-24,22,2,29,1,276740,288988,532395,33333,1136259851,1195032046,2195293257,135998640,4105.8750126472505,4123.429515679148,4135.2306877794235,4080.0,-255655.0
24,2024-06-23,21,3,21,0,268430,103538,371968,0,1106990940,420561832,1527552772,0,4123.946429236673,4106.677918530626,4061.9080144488016,,-103538.0
25,2024-06-22,36,2,39,1,5513141,412979,5906121,19999,22697199925,1700159543,24315023585,82335883,4116.927160941467,4116.919308798449,4116.818392702777,4117.0,-392980.0
26,2024-06-19,3,0,12,0,139682,0,139682,0,574651748,0,574651748,0,4114.0,4114.0,,,0.0
27,2024-06-18,2,0,17,1,1089274,0,689275,399999,4456219934,0,2819824025,1636395909,4091.0,4091.0,,4091.0,399999.0
28,2024-06-16,5,1,42,0,588605,238623,827228,0,2389187125,945161765,3334348890,0,4059.066988897478,4030.7495515142136,3960.8996827631872,,-238623.0
29,2024-06-15,11,1,24,0,125079,700002,825081,0,494974541,2783763015,3278737556,0,3957.2953173594287,3973.837182046369,3976.7929448773,,-700002.0
30,2024-06-12,10,1,13,0,176882,862079,1038961,0,700216454,3440504956,4140721410,0,3958.6642733573794,3985.444506579169,3990.939294426613,,-862079.0
31,2024-06-11,19,1,15,0,170800,857273,1028073,0,681568437,3424317317,4105885754,0,3990.4475234192037,3993.7686856867167,3994.430382153643,,-857273.0
32,2024-06-10,13,0,13,0,358397,0,358397,0,1452711055,0,1452711055,0,4053.357184909472,4053.357184909472,,,0.0
33,2024-06-09,17,1,18,0,119924,391333,511257,0,481497796,1572425320,2053923116,0,4015.024482172042,4017.398521682833,4018.1260461039574,,-391333.0
34,2024-06-08,23,2,20,0,263051,6681478,6944529,0,1059818392,27018769633,28078588025,0,4028.9464476470343,4043.2674447755926,4043.831265028486,,-6681478.0
35,2024-06-05,8,1,24,0,440639,912323,1352962,0,1811264468,3754104110,5565368578,0,4110.54052864136,4113.469985114142,4114.884870818778,,-912323.0
36,2024-06-02,5,3,24,0,14185,470212,484397,0,58130014,1941433560,1999563574,0,4097.991822347551,4127.943761005952,4128.847328439087,,-470212.0
37,2024-06-01,6,2,19,0,347020,194949,541969,0,1434376816,799628646,2234005462,0,4133.412529537202,4122.0170563261,4101.7324838804,,-194949.0
38,2024-05-29,9,2,17,0,485995,577118,1063113,0,2016204325,2397347393,4413551718,0,4148.611251144559,4151.535836736076,4153.998650189389,,-577118.0
39,2024-05-28,17,2,17,0,566381,100077,666458,0,2324200710,410117855,2734318565,0,4103.599361560504,4102.762012009759,4098.0230722343795,,-100077.0
40,2024-05-27,24,3,31,3,466606,1174480,1226136,414950,1880336970,4731596273,4941267190,1670666053,4029.8173834026993,4029.950339929665,4028.6733473537224,4026.1864152307508,-759530.0
41,2024-05-26,19,2,25,3,322332,2608857,1948021,983168,1319484640,10652924561,7948461627,4023947574,4093.5576982738294,4080.2751238308006,4083.3685253733724,4092.838227037495,-1625689.0
42,2024-05-25,23,1,25,1,155570,1108497,1210928,53139,638741324,4547907451,4968609458,218039317,4105.812971652632,4103.141935771573,4102.7692912114335,4103.188185701651,-1055358.0
43,2024-05-21,34,3,13,0,240643,241675,482318,0,991413916,996744384,1988158300,0,4119.853542384362,4122.0901977533495,4124.317302161994,,-241675.0
44,2024-05-19,38,2,33,1,738139,1322584,1679745,380978,3019855142,5445100065,6903052599,1561902608,4091.174076969243,4109.583656447854,4117.016435250994,4099.718639921465,-941606.0
45,2024-05-18,39,2,21,2,1566856,1943383,786284,2723955,6777212976,8413202894,3397264433,11793151437,4325.3578988752,4320.658226544098,4329.15328270341,4329.422269090348,780572.0
46,2024-05-15,31,3,28,0,459623,131101,590724,0,2003270946,569050915,2572321861,0,4358.508921442139,4354.52404337728,4340.553580826996,,-131101.0
47,2024-05-14,47,3,26,0,496493,1155198,1651691,0,2157101510,5030776262,7187877772,0,4344.676581542943,4351.829592823355,4354.903888337757,,-1155198.0
48,2024-05-13,16,2,24,0,196659,1518371,1715030,0,859622863,6677179278,7536802141,0,4371.134110312775,4394.559944140919,4397.594051783128,,-1518371.0
49,2024-05-12,29,2,27,1,974355,1088587,940924,1122018,4361260709,4834972055,4210940447,4985292317,4476.048985226124,4475.324730796536,4441.511845171769,4443.148253414829,33431.0
50,2024-05-11,22,1,27,0,337266,224221,561487,0,1516772120,1006272133,2523044253,0,4497.257713496172,4493.504307312547,4487.858554729486,,-224221.0
51,2024-05-08,14,4,31,2,350974,1535757,1021034,865697,1597490722,7029148231,4645078495,3981560458,4551.592773253859,4549.386695252068,4576.992474069791,4599.254078505528,-670060.0
52,2024-05-07,27,3,59,0,727950,417764,1145714,0,3323572097,1917748076,5241320173,0,4565.659862627927,4574.719496314089,4590.505826255972,,-417764.0
53,2024-05-06,27,3,45,0,1042361,677765,1720126,0,4746063616,3084056828,7830120444,0,4553.186099633428,4552.062141959368,4550.333563993419,,-677765.0
