,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,80,1,31,0,3109562,1000000,4109562,0,9070679807,2917000000,11987679807,0,2917.0281238965485,2917.0212803700247,2917.0,,-1000000.0
1,2024-08-04,254,1,140,0,17733004,1000000,18733004,0,52243492211,2942000000,55185492211,0,2946.1163044343757,2945.896569017975,2942.0,,-1000000.0
2,2024-08-03,328,1,299,2,115462791,1000000,103165088,13297703,343044907962,2981676074,306518616070,39507967966,2971.042922061359,2971.1467514087713,2981.676074,2971.0370254170966,12297703.0
3,2024-07-31,468,2,237,2,43765491,13138298,55634789,1269000,138179135825,41612006786,175784909611,4006233000,3157.262323984895,3159.6221136203103,3167.2296355281333,3157.0,-11869298.0
4,2024-07-30,247,0,156,3,22643431,0,14798514,7844917,76041173551,0,49632655229,26408518322,3358.200157520298,3353.894534883705,,3366.322208635222,7844917.0
5,2024-07-29,369,0,175,3,21578754,0,20489566,1089188,73952241838,0,70247680958,3704560880,3427.0858195982955,3428.461147395704,,3401.2134544266005,1089188.0
6,2024-07-27,243,1,179,1,16174900,531163,16693688,12375,57983662466,1917892259,59857004725,44550000,3584.7926395835525,3585.6070105659096,3610.7414465992547,3600.0,-518788.0
7,2024-07-24,196,0,124,2,13041304,0,12021802,1019502,47513901364,0,43783929998,3729971366,3643.339758355453,3642.043846504875,,3658.6209404199303,1019502.0
8,2024-07-23,166,0,140,0,10416180,0,10416180,0,38727241695,0,38727241695,0,3717.9889071617426,3717.9889071617426,,,0.0
9,2024-07-22,170,0,184,0,10533658,0,10533658,0,39113061785,0,39113061785,0,3713.1509096839864,3713.1509096839864,,,0.0
10,2024-07-21,284,0,188,1,17007412,0,16857412,150000,62216153663,0,61667403663,548750000,3658.1787789347372,3658.177403684504,,3658.3333333333335,150000.0
11,2024-07-20,249,1,208,2,22191945,64046,22145902,110089,84685583263,249074894,84503830856,430827301,3816.0505202676018,3815.777332347989,3889.0,3913.445494100228,46043.0
12,2024-07-17,324,1,298,3,31844223,750000,25383126,7211097,125288870518,2986364908,100069748566,28205486860,3934.4301325235665,3942.372919946897,3981.8198773333334,3911.400284866505,6461097.0
13,2024-07-14,239,0,172,2,13666651,0,13200651,466000,51914784629,0,50132710629,1782074000,3798.64713227842,3797.745325514628,,3824.1931330472103,466000.0
14,2024-07-13,186,0,215,1,14633468,0,13331434,1302034,55931482346,0,50950746708,4980735638,3822.161796916493,3821.85042569314,,3825.3499048411945,1302034.0
15,2024-07-10,189,0,210,2,20014036,0,19769672,244364,76649586192,0,75713149888,936436304,3829.791561881871,3829.7625720851615,,3832.13691051055,244364.0
16,2024-07-09,211,3,241,0,19979461,376211,20355672,0,78285928725,1463453041,79749381766,0,3918.3203553389153,3917.796561371199,3889.9794025161414,,-376211.0
17,2024-07-08,327,5,501,3,45236321,3678221,48563323,351219,178776134248,14435913412,191811448115,1400599545,3952.048493245063,3949.718352572372,3924.699851368365,3987.823964534948,-3327002.0
18,2024-07-07,27,0,27,1,0,0,0,0,0,0,0,0,,,,,0.0
19,2024-07-01,268,3,269,2,25369638,6133243,30281185,1221696,93367228561,22636944694,111508497019,4495676236,3680.274372105743,3682.435050642833,3690.8605600658575,3679.864905835822,-4911547.0
20,2024-06-30,211,0,64,0,7803051,0,7803051,0,29129404423,0,29129404423,0,3733.0788204511286,3733.0788204511286,,,0.0
21,2024-06-29,249,2,214,1,17402588,3350043,16709228,4043403,68313065562,13209230410,65674751732,15847544240,3925.4543957484943,3930.447997477801,3943.003242047938,3919.358085256404,693360.0
22,2024-06-26,78,0,136,0,7337700,0,7337700,0,28563026639,0,28563026639,0,3892.6402876923285,3892.6402876923285,,,0.0
23,2024-06-24,127,1,180,1,11748557,671653,11370210,1050000,44853368202,2570416031,43416184233,4007600000,3817.7767875663367,3818.415335600662,3827.0,3816.7619047619046,378347.0
24,2024-06-23,327,2,164,0,19357005,1312478,20669483,0,72617513823,4928068915,77545582738,0,3751.4849958968343,3751.694357231867,3754.7821106334736,,-1312478.0
25,2024-06-22,183,0,227,1,11675980,0,10504129,1171851,44668618435,0,40186459076,4482159359,3825.684733529862,3825.7773753540155,,3824.854319363127,1171851.0
26,2024-06-19,270,2,300,1,21244071,5167855,26316361,95565,80877267174,19863284280,100370094649,370456805,3807.051255571496,3813.9807646277536,3843.6226016403325,3876.49039920473,-5072290.0
27,2024-06-18,191,0,57,1,7992564,0,7617564,375000,30560512737,0,29126345085,1434167652,3823.618145190955,3823.57733850349,,3824.447072,375000.0
28,2024-06-16,103,0,11,0,4887340,0,4887340,0,18918893140,0,18918893140,0,3871.0,3871.0,,,0.0
29,2024-06-15,102,0,26,0,3914046,0,3914046,0,15305956099,0,15305956099,0,3910.5202389036817,3910.5202389036817,,,0.0
30,2024-06-12,221,0,100,0,20936313,0,20936313,0,83519945368,0,83519945368,0,3989.2384761347425,3989.2384761347425,,,0.0
31,2024-06-11,174,1,184,1,6225983,5000000,10976383,249600,25315726248,20356152043,44665795692,1006082599,4066.1412419532785,4069.263590018679,4071.2304086,4030.7796434294874,-4750400.0
32,2024-06-10,142,0,222,1,22152233,0,21762614,389619,90683806914,0,89088706728,1595100186,4093.664368463441,4093.6583596069845,,4094.0,389619.0
33,2024-06-09,388,0,285,1,28470974,0,28470169,805,114268900253,0,114265676228,3224025,4013.522693428051,4013.522934408995,,4005.0,805.0
34,2024-06-08,79,0,35,0,4562533,0,4562533,0,18483031375,0,18483031375,0,4051.0460691462395,4051.0460691462395,,,0.0
35,2024-06-05,282,0,274,1,19387751,0,19386343,1408,80120150792,0,80114194952,5955840,4132.513915203471,4132.506834940453,,4230.0,1408.0
36,2024-06-02,255,0,206,1,19550518,0,18926292,624226,81186576695,0,78543479874,2643096821,4152.656041901294,4149.966611209422,,4234.198545078225,624226.0
37,2024-06-01,286,0,329,2,30103751,0,29045843,1057908,126941103535,0,122451583295,4489520240,4216.786922500123,4215.804075474759,,4243.771896989152,1057908.0
38,2024-05-29,66,0,108,1,13981262,0,10781262,3200000,58627259910,0,45203259910,13424000000,4193.273819630875,4192.7614698539,,4195.0,3200000.0
39,2024-05-28,252,1,194,2,30350755,5000000,24992400,10358355,124822710144,20569957054,102793505007,42599162191,4112.672325416616,4112.99054940702,4113.9914108,4112.54124723472,5358355.0
40,2024-05-27,319,1,195,2,26895627,65812,22844979,4116460,108487785039,264761676,92167835540,16584711175,4033.6588932840273,4034.489834287,4023.0,4028.8770387663185,4050648.0
41,2024-05-26,101,1,50,1,2196756,10000000,10296756,1900000,9017754476,41050000000,42268254476,7799500000,4105.032364085952,4105.0069046989165,4105.0,4105.0,-8100000.0
42,2024-05-25,194,0,107,0,9635017,0,9635017,0,40352962135,0,40352962135,0,4188.156817471106,4188.156817471106,,,0.0
43,2024-05-21,121,3,221,2,10469459,9934627,19877977,526109,44380484499,42237047630,84382825399,2234706730,4239.0427718375895,4245.040901244629,4251.498081407586,4247.611673626568,-9408518.0
44,2024-05-19,615,1,292,4,36112688,700000,30229140,6583548,150569367306,2954175750,126070488754,27453054302,4169.431179036022,4170.495381410123,4220.251071428572,4169.948225789498,5883548.0
45,2024-05-18,223,0,230,3,14388323,0,12057138,2331185,63925342114,0,53659251288,10266090826,4442.862598650308,4450.413629503121,,4403.8078599510545,2331185.0
