,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,20,4,20,8,182635,4206467,1096663,3292439,2966059880,68613910030,17922186680,53657783230,16240.369480110603,16342.474105536523,16311.529373700067,16297.274825744684,-914028.0
1,2024-08-04,15,4,25,3,70683,1741868,968722,843829,1164684100,28676701350,15918206950,13923178500,16477.57027856769,16432.172439564703,16463.1885711202,16500.0,-898039.0
2,2024-08-03,30,3,38,6,244752,6713723,4197359,2761116,3987856660,109680254130,68357525840,45310584950,16293.458929855527,16285.84208308129,16336.726154772843,16410.243158925594,-3952607.0
3,2024-07-31,17,5,48,6,215440,2991285,2246346,960379,3617536950,50941038420,38259063810,16299511560,16791.389481990347,17031.68782102134,17029.817760594527,16971.957487616866,-2030906.0
4,2024-07-30,26,3,40,8,1146826,8921840,3452808,6615858,19522667490,154302340830,59943128890,113881879430,17023.216678031367,17360.689876181936,17294.90114483111,17213.47094057944,-2305982.0
5,2024-07-29,33,6,45,5,592661,4193976,1968336,2818301,10117751430,72351962220,33950591230,48519122420,17071.734819736746,17248.371837938237,17251.401109591472,17215.73473521813,-1375675.0
6,2024-07-27,32,3,41,4,2131925,7582104,5178446,4535583,37145124620,134477999370,91908378940,79714745050,17423.279252318913,17748.254773729415,17736.237773842196,17575.413138729906,-3046521.0
7,2024-07-24,40,5,37,6,680518,6572469,1814672,5438315,11883158470,116666724360,32602430730,95947452100,17461.93116126245,17966.018503619387,17750.821549709857,17642.86403049474,-1134154.0
8,2024-07-23,46,5,74,6,495135,3840567,2859302,1476400,8601383070,68609800960,51146426220,26064757810,17371.793692629282,17887.73141836714,17864.497861904245,17654.265652939583,-2364167.0
9,2024-07-14,42,4,47,4,935168,1080544,993593,1022119,19026515280,22082471690,20327130110,20781856860,20345.55853065973,20458.205834783457,20436.43913621287,20332.13046621773,-58425.0
10,2024-07-13,46,6,47,2,1423793,1555931,1970262,1009462,28574798660,31382809330,39669294080,20288313910,20069.48949741992,20134.019780110462,20169.79501661706,20098.145259554098,-546469.0
11,2024-07-10,42,6,52,11,775694,5026893,1485515,4317072,15538721210,101011365970,29970614980,86579472200,20032.02449677321,20175.23551091709,20094.194559144187,20055.137417212405,-709821.0
12,2024-07-09,38,7,56,9,423738,7439726,1480770,6382694,8498508500,149826676620,30334201820,127990983300,20056.04524493909,20485.42435354579,20138.73583785209,20052.815206243635,-1057032.0
13,2024-07-08,20,4,38,3,119394,899662,637302,381754,2384880650,18061061980,12806236890,7639705740,19974.87855336114,20094.455830987506,20075.386067211908,20012.117070155127,-517908.0
14,2024-07-07,34,10,64,5,537074,7702508,1751859,6487723,10695087750,154321237020,35934538980,129081785790,19913.62037633548,20512.23242281485,20035.19334481704,19896.315824519635,-1214785.0
15,2024-07-06,86,5,25,7,6193488,22900000,138488,28955000,122321084650,452275000000,2734834650,571861250000,19749.95102113704,19747.80955750679,19750.0,19750.0,6055000.0
16,2024-07-03,12,3,24,3,63751,431080,248719,246112,1199619710,8175234920,4705884040,4668970590,18817.268905585795,18920.484723724363,18964.542358726918,18970.918077948252,-184968.0
17,2024-07-02,11,2,13,4,707198,46460,395978,357680,13274013820,875098300,7429388510,6719723610,18769.869004154425,18762.124436206053,18835.520878174775,18786.97050436144,311220.0
18,2024-07-01,17,5,19,6,130567,2931872,333109,2729330,2429909710,54711585610,6245711740,50895783580,18610.442990954834,18749.7538043103,18660.973470192424,18647.720715340394,-202542.0
19,2024-06-30,7,2,25,2,56245,1129469,764708,421006,1035905100,20755415770,14041619550,7749701320,18417.72779802649,18362.067024275933,18376.259791105378,18407.57927440464,-708463.0
20,2024-06-29,20,3,21,1,48992,78913,127305,600,913410990,1465996440,2368253430,11154000,18644.084544415415,18602.98833510074,18577.375590840547,18590.0,-78313.0
21,2024-06-26,37,6,35,7,4730443,4976524,1651129,8055838,87908148560,92510138650,30690061280,149728225930,18583.4917702211,18587.31890724468,18589.30825009585,18586.30051026349,3079314.0
22,2024-06-24,27,4,15,6,814983,1034688,235725,1613946,14897543500,18837092800,4271259550,29463376750,18279.57577029214,18119.671439177007,18205.57772004701,18255.491044929633,579258.0
23,2024-06-23,19,6,40,9,173742,4831088,1568234,3436596,3159326200,88185951790,28395920250,62949357740,18184.009623464677,18106.94083280939,18253.84919297682,18317.357565451395,-1394492.0
24,2024-06-22,26,5,57,5,536979,1903976,685102,1755853,9680752960,34855512330,12480013680,32056251610,18028.177936194897,18216.285574994672,18306.697316562815,18256.796901562942,-148123.0
25,2024-06-19,38,5,28,5,1034998,1629243,597189,2067052,18673956560,29380951250,10789715350,37265192460,18042.5049710241,18067.5051784276,18033.49853275417,18028.183354845452,437809.0
26,2024-06-18,31,3,30,5,641395,1362464,455122,1548737,11436366730,24773803990,8287331570,27922839150,17830.458188791617,18209.033116395163,18183.0888669352,18029.42600970985,186273.0
27,2024-06-16,19,2,27,2,84209,405558,230660,259107,1497324960,7248234040,4107438930,4638120070,17781.056181643293,17807.330833261076,17872.250183697524,17900.404350326313,-146451.0
28,2024-06-15,16,5,22,3,169183,1178056,587739,759500,3033742230,21096524930,10536396390,13593870770,17931.720267402754,17926.998871948264,17907.91348628588,17898.447360105332,-418556.0
29,2024-06-12,12,4,33,8,33415,4480821,224812,4289424,609260960,81333347770,4089215500,77853393230,18233.157563968278,18189.489440065478,18151.43871402138,18150.081043515398,-191397.0
30,2024-06-11,10,3,31,6,26611,1018274,708182,336703,484587950,18579836610,12922185290,6142239270,18210.061628649808,18246.98352965763,18246.401862367104,18242.30633525689,-681571.0
31,2024-06-10,24,6,26,5,223288,3339610,151192,3411706,4057198970,60855222260,2783911490,62128509740,18170.25084196195,18413.087266522038,18222.254173391502,18210.393785396514,72096.0
32,2024-06-09,10,3,34,5,12131,547673,385826,173978,218738190,9888803210,6969049990,3138491410,18031.34036765312,18062.67589535179,18056.035645357722,18039.587821448687,-373695.0
33,2024-06-08,18,2,33,5,470176,120241,226105,364312,8463870990,2159133890,4082362930,6540641950,18001.49516351324,18055.164326308575,17956.71933866152,17953.40793056501,244071.0
34,2024-06-05,19,1,23,6,113396,283152,299748,96800,2045617680,5088462760,5387167110,1746913330,18039.59293096758,17972.32044917731,17970.781629654743,18046.625309917355,-186352.0
35,2024-06-02,14,2,23,4,23603,114638,73780,64461,427167730,2072317530,1335889030,1163596230,18098.026945727237,18106.384250474384,18077.05586280291,18051.16628659189,-50177.0
36,2024-06-01,17,6,40,7,101820,1908337,1233061,777096,1855262770,34843456940,22502084640,14196635070,18221.005401689257,18248.963060221675,18258.544973974724,18268.830453380277,-1131241.0
