,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,17,0,85,1,7298277,0,7294881,3396,10932538947,0,10927451739,5087208,1497.961634917392,1497.9616170572212,,1498.0,3396.0
1,2024-08-04,12,0,61,1,5427330,0,5216128,211202,8090954160,0,7776051978,314902182,1490.7798420217675,1490.7709277839808,,1491.0,211202.0
2,2024-08-03,63,1,199,1,24650108,1192650,25336763,505995,36467161072,1695948300,37412151085,750958287,1479.3915333758375,1476.5955337309663,1422.0,1484.1219517979428,-686655.0
3,2024-07-31,92,1,133,1,24504390,1922089,26368348,58131,37104376552,2861990521,39879647250,86719823,1514.1930303916972,1512.4059819750557,1489.0,1491.799951832929,-1863958.0
4,2024-07-30,64,1,140,1,11966728,4000,11924799,45929,18961279789,6216000,18896017291,71478498,1584.4999392482223,1584.5983895409893,1554.0,1556.2824794791961,41929.0
5,2024-07-29,63,1,206,2,23858293,94270,23712563,240000,37914615982,147534380,37682950362,379200000,1589.1587877640702,1589.1555190385789,1565.0194123262968,1580.0,145730.0
6,2024-07-27,66,0,169,0,13997411,0,13997411,0,22069354838,0,22069354838,0,1576.67406051019,1576.67406051019,,,0.0
7,2024-07-24,53,0,121,0,7459037,0,7459037,0,11484756113,0,11484756113,0,1539.7103021475828,1539.7103021475828,,,0.0
8,2024-07-23,40,0,142,2,9225322,0,8997192,228130,14179480281,0,13830832031,348648250,1537.0173833498711,1537.2387330402642,,1528.2875991759086,228130.0
9,2024-07-22,80,0,152,0,8893207,0,8893207,0,13429452223,0,13429452223,0,1510.0797971980187,1510.0797971980187,,,0.0
10,2024-07-21,114,0,179,3,22233261,0,21893620,339641,33398083613,0,32887636420,510447193,1502.1675683562569,1502.1561724374499,,1502.902161399831,339641.0
11,2024-07-20,73,0,210,0,12894809,0,12894809,0,18811471307,0,18811471307,0,1458.8406316836488,1458.8406316836488,,,0.0
12,2024-07-17,40,0,119,2,6483367,0,5143400,1339967,9180471727,0,7284458422,1896013305,1416.0037102635097,1416.272975463701,,1414.9701485185828,1339967.0
13,2024-07-14,52,0,31,0,1246376,0,1246376,0,1715287949,0,1715287949,0,1376.2202970853098,1376.2202970853098,,,0.0
14,2024-07-13,42,1,96,1,4716664,20000,4716664,20000,6585315913,27300000,6584635913,27980000,1396.1808415863416,1396.0366718935247,1365.0,1399.0,0.0
15,2024-07-10,51,1,118,1,7148932,6080,7149012,6000,9921700581,8232320,9921592901,8340000,1387.8577360926079,1387.8271432472068,1354.0,1390.0,-80.0
16,2024-07-09,69,0,45,0,1916802,0,1916802,0,2603191266,0,2603191266,0,1358.0908544544507,1358.0908544544507,,,0.0
17,2024-07-08,89,0,80,0,4504935,0,4504935,0,6240897716,0,6240897716,0,1385.3468953492115,1385.3468953492115,,,0.0
18,2024-07-07,125,1,120,0,9308851,3800,9312651,0,13012934947,5187000,13018121947,0,1397.909897472846,1397.8964686854474,1365.0,,-3800.0
19,2024-07-06,53,0,75,0,12785460,0,12785460,0,17910477870,0,17910477870,0,1400.8473586402054,1400.8473586402054,,,0.0
