,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-07-22,279,7,223,12,1838310,7235095,5011551,4061854,40305721470,159352396430,110220743300,89437374600,21925.421430553062,21993.33964674808,22024.92108673072,22018.855084402345,-3173241.0
1,2024-07-21,171,9,268,13,1214761,12559052,4058153,9715660,26628446890,277395669700,89665468710,214358647880,21920.729172240466,22095.142472449905,22087.309591520123,22063.21010409998,-2843392.0
2,2024-07-20,137,8,212,4,826772,2248036,1491915,1582893,18203150530,49525932920,32866292460,34862790990,22017.134748153057,22029.601190416342,22030.756144474555,22024.730029130205,-665143.0
3,2024-07-17,133,6,150,4,1041984,1606708,1399740,1248952,23000944520,35587507340,30977994850,27610457010,22074.182060377127,22131.24926772115,22149.331017210345,22106.900032987658,-357756.0
4,2024-07-14,144,9,177,8,1008087,3696899,2651141,2053845,22169422200,81495651110,58417435320,45247637990,21991.576322281708,22034.827766610677,22044.32718069928,22030.697540466783,-1643054.0
5,2024-07-13,142,8,220,7,792618,2829805,3004634,617789,17480044810,62333167530,66144935090,13668277250,22053.555193043812,22014.30693056126,22027.372038002617,22124.50731560452,-2212016.0
6,2024-07-10,107,11,290,13,739104,7030807,4022863,3747048,16268009750,154986233390,88744769210,82509473930,22010.44744717929,22060.10227293348,22043.875388700046,22019.86041545238,-3283759.0
7,2024-07-09,94,8,224,7,433210,4079559,2483432,2029337,9540610050,90011400000,54778576190,44773433860,22023.06052491863,22057.61067345512,22064.00250615324,22063.084573927346,-2050222.0
8,2024-07-08,124,6,297,2,439042,5855621,5840471,454192,9684791320,129358424220,128994480460,10048735080,22058.917643414527,22086.3146927705,22091.32459563213,22124.421125867473,-5401429.0
9,2024-07-07,369,12,364,12,6795554,13639620,6319521,14115653,149841853740,302534171640,140262031600,312113993780,22049.983524522064,22195.041617869454,22180.54254004144,22111.197673958122,476033.0
