,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,13,1,64,0,14226,3927633,3941859,0,90259340,24948722320,25038981660,0,6344.674539575425,6352.074404487832,6352.101207011959,,-3927633.0
1,2024-08-04,16,0,3,0,270896,0,270896,0,1717480640,0,1717480640,0,6340.0,6340.0,,,0.0
2,2024-08-03,39,2,48,1,441704,1774766,2161397,55073,2713744720,10876503740,13253318040,336930420,6143.808342238241,6131.829571337426,6128.4156559230905,6117.887531095092,-1719693.0
3,2024-07-31,42,0,52,1,517541,0,497909,19632,3221199730,0,3099256350,121943380,6224.047428126467,6224.543741928746,,6211.459861450693,19632.0
4,2024-07-30,38,1,66,2,707389,1550146,2172024,85511,4473065890,9994373460,13918430270,549009080,6323.346687607525,6408.0462600781575,6447.375576236045,6420.332822677784,-1464635.0
5,2024-07-29,51,2,42,3,497868,793665,662772,628761,3158373750,5123318420,4232088620,4049603550,6343.797452336764,6385.436650914643,6455.265659944687,6440.608673247863,-164904.0
6,2024-07-27,33,2,36,3,477513,1586283,1381498,682298,3057753120,10201761780,8859264850,4400250050,6403.497119450151,6412.796001152372,6431.236910437797,6449.161583355073,-903985.0
7,2024-07-24,10,1,41,2,595906,2286021,1231978,1649949,3871428650,14857045080,8008679930,10719793800,6496.71030330287,6500.667974590456,6499.085126514586,6497.0455450441195,-636072.0
8,2024-07-23,21,1,25,1,458493,1296025,754518,1000000,2974722560,8399824490,4889433510,6485113540,6488.043568822207,6480.20790756483,6481.221033544877,6485.11354,-296025.0
9,2024-07-22,47,1,81,3,437655,5812359,3754752,2495262,2799568350,37753173390,24401748690,16150993050,6396.747095314803,6498.8975809853755,6495.327179549646,6472.664213216889,-3317097.0
10,2024-07-21,69,1,33,1,1537853,679827,1816874,400806,9680306680,4254039670,11424284670,2510061680,6294.689206315558,6287.879440181322,6257.532681108576,6262.535191588949,-279021.0
11,2024-07-20,43,2,44,3,864407,1978440,1936655,906192,5549212690,12740541020,12458329550,5831424160,6419.675789298328,6432.911153509531,6439.69037221245,6435.08678072638,-1072248.0
12,2024-07-17,33,2,41,1,395434,992298,1323388,64344,2563709170,6463887300,8608960370,418636100,6483.279561190995,6505.242884173047,6514.05857917682,6506.218139997513,-927954.0
13,2024-07-14,47,2,30,1,580801,621690,1199418,3073,3743542880,4029712180,7753587860,19667200,6445.482841799515,6464.4584790289955,6481.8674580578745,6400.0,-618617.0
14,2024-07-13,46,1,28,1,1821446,895172,2679024,37594,11801325920,5781840140,17333541900,249624160,6479.0973325588575,6470.095788615556,6458.915314598758,6640.0,-857578.0
15,2024-07-10,23,2,37,1,371254,1404037,975291,800000,2426483550,9172997160,6376683630,5222797080,6535.912205659737,6538.236926209715,6533.301586781545,6528.49635,-604037.0
16,2024-07-09,29,2,44,1,493045,226758,386698,333105,3251329430,1491560520,2550253290,2192636660,6594.386780111349,6594.948228333221,6577.763607017173,6582.418936971826,106347.0
17,2024-07-08,43,3,49,2,754955,961517,969419,747053,4915156910,6313249930,6333896800,4894510040,6510.529647462432,6533.7040020878485,6565.9264786790045,6551.75742551064,-214464.0
18,2024-07-07,52,1,64,2,1512787,23360,968166,567981,10156111000,154722200,6515916180,3794917020,6713.510229794412,6730.164228035275,6623.381849315068,6681.41543467123,544621.0
19,2024-07-06,52,2,85,3,5028726,612122,3460848,2180000,34445911200,4193015700,23705926900,14933000000,6849.828604700276,6849.745178060406,6849.967326774728,6850.0,1567878.0
20,2024-07-03,16,2,47,1,215520,304742,519533,729,1405713220,1982946900,3383921620,4738500,6522.425853749072,6513.391103163803,6506.969502070604,6500.0,-304013.0
21,2024-07-02,55,3,52,1,756478,423952,980430,200000,4862479450,2740011760,6306491210,1296000000,6427.786994466462,6432.372744612058,6463.023549835831,6480.0,-223952.0
22,2024-07-01,20,2,35,2,625016,554150,779166,400000,4051804100,3595804600,5052947060,2594661640,6482.72060235258,6485.071294178648,6488.865108725075,6486.6541,-154150.0
23,2024-06-30,23,2,45,0,128011,760058,888069,0,821849970,4891199000,5713048970,0,6420.151158884783,6433.113834623211,6435.297043120393,,-760058.0
24,2024-06-29,28,1,50,1,534565,13460,545228,2797,3530169670,86775100,3598540510,18404260,6603.817440348695,6600.065495535812,6446.887072808321,6580.0,-10663.0
25,2024-06-26,47,1,43,1,1158548,254371,1142179,270740,7526674940,1643236660,7420077730,1749833870,6496.644886530381,6496.422828645947,6460.0,6463.152360197976,16369.0
26,2024-06-24,24,1,23,0,482086,308452,790538,0,3114616320,1992599920,5107216240,0,6460.706844836814,6460.431048222856,6460.0,,-308452.0
27,2024-06-23,11,3,41,3,36879,1049539,1024352,62066,239859770,6816728620,6653509470,403078920,6503.966213834431,6495.335070366436,6494.974098151664,6494.359552734186,-987473.0
28,2024-06-22,17,4,54,2,547442,1263429,1609176,201695,3545934420,8158393070,10399414740,1304912750,6477.278725417487,6462.571365717609,6457.341940069446,6469.732764818166,-1061734.0
29,2024-06-19,9,2,30,0,186867,569201,756068,0,1214155060,3693333300,4907488360,0,6497.4289735480315,6490.802890745277,6488.627567414675,,-569201.0
30,2024-06-18,14,3,69,1,268407,1065868,1332722,1553,1734603980,6905816260,8630341610,10078630,6462.588457081969,6475.725327562687,6479.053935384119,6489.781068898906,-1064315.0
31,2024-06-16,16,4,64,2,476610,1440604,1486174,431040,3041321540,9272390240,9538463720,2775248060,6381.153437821279,6418.1338928012465,6436.46015143648,6438.493086488493,-1009564.0
32,2024-06-15,10,3,42,0,438123,795022,1233145,0,2810737880,5108703390,7919441270,0,6415.408184459615,6422.1492768490325,6425.86417734352,,-795022.0
33,2024-06-12,12,3,39,4,33867,1990534,582827,1441574,217959130,12881752540,3775375630,9324336040,6435.737738801783,6477.695147959857,6471.5059074600085,6468.16329928259,-548960.0
34,2024-06-11,24,2,57,4,283893,1448596,1716869,15620,1812995510,9436081990,11147461300,101616200,6386.193072742195,6492.901496852701,6513.950052326529,6505.518565941101,-1432976.0
35,2024-06-10,36,2,31,0,418695,798974,1217669,0,2692883010,5154478920,7847361930,0,6431.610145810196,6444.577245540455,6451.372535276492,,-798974.0
36,2024-06-09,17,4,49,3,394649,2077876,2216525,256000,2534394360,13415162820,14305427180,1644130000,6421.894797655638,6453.988644387047,6456.190273144307,6422.3828125,-1821876.0
37,2024-06-08,25,3,43,2,740070,3275426,3599955,415541,4736577950,20962726400,23039841950,2659462400,6400.175591498101,6400.036097673443,6400.0,6400.0,-2859885.0
38,2024-06-05,35,2,36,2,308889,413058,513811,208136,1985282720,2660879270,3310494760,1335667230,6427.171961448935,6443.020410228663,6441.902275225271,6417.281152707845,-204922.0
39,2024-06-02,47,7,49,2,603482,3222592,2555188,1270886,3891579630,20788854020,16482299960,8198133690,6448.543005425183,6450.523390059753,6450.973011786786,6450.723109704569,-1951706.0
40,2024-06-01,48,1,39,4,476410,410497,864305,22602,3087741580,2669098000,5609467750,147371830,6481.269452782268,6490.148442968628,6502.11329193636,6520.300415892399,-387895.0
41,2024-05-29,40,2,30,1,3285884,130817,3326333,90368,21711544370,859388590,21971793120,599139840,6607.520037225903,6605.409957451644,6569.3953385263385,6630.0,-40449.0
42,2024-05-28,54,3,51,1,1374349,868816,2241345,1820,8976917800,5660771730,14625914130,11775400,6531.759982362559,6525.507733079914,6515.501245373013,6470.0,-866996.0
43,2024-05-27,46,7,43,3,742218,3354274,3952493,143999,4817045600,21769238260,25651730350,934553510,6490.068416556861,6490.012847587586,6490.0,6490.0,-3210275.0
