,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,95,5,67,4,522778,1047411,1534350,35839,18004533950,36141310730,52911856200,1233988480,34440.11406371347,34484.8673379607,34505.376332690794,34431.44284159714,-1011572.0
1,2024-08-04,210,5,65,3,1658419,569318,591940,1635797,57548161680,19782749100,20505004900,56825905880,34700.61647870653,34640.343446970975,34748.15322895113,34738.97181618502,1066479.0
2,2024-08-03,131,1,93,2,724162,120286,573430,271018,24945747410,4123577160,19754466690,9314857880,34447.74430307031,34449.6567846119,34281.43890394559,34369.88642820772,150732.0
3,2024-07-31,229,4,79,0,2384431,1730960,4115391,0,85366010320,61916427580,147282437900,0,35801.41774704321,35788.20041643674,35769.99328696215,,-1730960.0
4,2024-07-30,91,1,52,1,392922,3659,363026,33555,14847145190,139042000,13710800490,1275386700,37786.4950040975,37768.095095117154,38000.0,38008.842199374165,29896.0
5,2024-07-29,108,3,77,2,715376,265760,870124,111012,27349896260,10198686760,33329519430,4219063590,38231.49820513967,38304.33298012697,38375.55222757375,38005.473192087346,-154748.0
6,2024-07-27,89,1,102,1,723452,224913,918515,29850,28150655690,8706625280,35688717970,1168563000,38911.57352526498,38854.801467586265,38711.08064006972,39147.8391959799,-195063.0
7,2024-07-24,65,1,56,2,325133,396340,683623,37850,12567965090,15295445140,26395923690,1467486540,38654.84306422295,38611.81336789429,38591.72715345411,38771.1107001321,-358490.0
8,2024-07-23,105,2,82,2,534254,846571,1162825,218000,20552885160,32772019130,44871355960,8453548330,38470.25040523796,38588.2277728807,38711.48330145965,38777.74463302752,-628571.0
9,2024-07-22,73,2,45,5,729030,106819,244578,591271,28277238400,4113595940,9459974340,22930860000,38787.48254529992,38678.76235802075,38509.96489388592,38782.318091027635,484452.0
10,2024-07-21,96,3,67,1,520204,923225,1433429,10000,19834353380,35738137530,55182540910,389950000,38128.02935002422,38496.87770374396,38710.10591134339,38995.0,-913225.0
11,2024-07-20,80,2,90,4,537444,139370,502736,174078,21073377020,5447412670,19692511870,6828277820,39210.36800113128,39170.681769358074,39085.977398292314,39225.39218051678,34708.0
12,2024-07-17,88,0,133,3,1003757,0,718635,285122,38831085370,0,27766643470,11064441900,38685.74303342343,38638.03386976699,,38805.99147031797,285122.0
13,2024-07-14,106,0,106,6,2177149,0,672411,1504738,81566808980,0,25335335050,56231473930,37464.964033237964,37678.34709723666,,37369.611141607376,1504738.0
14,2024-07-13,68,1,67,1,737088,1000,727088,11000,26453687990,35450000,26092439720,396698270,35889.45687624816,35886.219714807565,35450.0,36063.47909090909,10000.0
15,2024-07-10,52,7,49,0,416144,505807,921951,0,14914116690,18095403150,33009519840,0,35838.83629224499,35803.9850707901,35775.311828424674,,-505807.0
16,2024-07-09,41,1,46,0,270586,15000,285586,0,9817848790,540000000,10357848790,0,36283.65395844574,36268.75543619085,36000.0,,-15000.0
17,2024-07-08,59,4,39,1,305414,31800,305767,31447,11115923850,1169524050,11143273940,1142173960,36396.24853477575,36443.677506074884,36777.485849056604,36320.60164721595,-353.0
