,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,69,3,32,4,1432483,998350,1648995,781838,7218291650,5013396400,8294707300,3936980750,5039.006850343076,5030.159157547476,5021.682175589723,5035.545407104797,-216512.0
1,2024-08-04,56,2,55,2,1414403,541118,1509869,445652,7179246720,2726937400,7650229580,2255954540,5075.8141208693705,5066.816776819711,5039.450544982795,5062.143870104925,-95466.0
2,2024-08-03,102,7,50,2,1562205,16200223,17423251,339177,7866058430,81740595990,87901141930,1705512490,5035.2280462551325,5045.048247884393,5045.646346349677,5028.3848551051515,-15861046.0
3,2024-07-31,47,5,98,2,973367,3149667,2500236,1622798,5212969850,16746018410,13347613390,8611374870,5355.605696515292,5338.541397692058,5316.758377949161,5306.498325731237,-1526869.0
4,2024-07-30,46,6,65,2,486690,2595994,2012368,1070316,2657308130,14227561990,11039272770,5845597350,5459.960406007931,5485.712737431722,5480.583541410342,5461.562146132544,-1525678.0
5,2024-07-29,63,2,67,1,752263,1030410,1745173,37500,4089645000,5601223370,9485358970,205509400,5436.456398892408,5435.1969518208225,5435.9171300744365,5480.250666666667,-992910.0
6,2024-07-27,63,3,86,2,1005125,2313616,2951741,367000,5568008120,12896344810,16422917930,2041435000,5539.617579902997,5563.807234442317,5574.10772141963,5562.493188010899,-1946616.0
7,2024-07-24,72,2,67,2,1544698,1364843,2597814,311727,8713769630,7719201720,14673876520,1759094830,5641.083001337478,5648.547786716062,5655.74334923504,5643.062134495889,-1053116.0
8,2024-07-23,72,1,48,1,1597413,100000,941913,755500,9070964670,566000000,5368745040,4268219630,5678.534399056474,5699.831130900625,5660.0,5649.52962276638,655500.0
9,2024-07-22,46,0,40,0,642067,0,642067,0,3687580410,0,3687580410,0,5743.295341451904,5743.295341451904,,,0.0
10,2024-07-21,72,6,95,1,1415997,3741409,5067406,90000,8046254870,21680687580,29215709450,511233000,5682.395421741713,5765.417148339801,5794.792170543236,5680.366666666667,-3651409.0
11,2024-07-20,48,3,57,2,1142443,601903,1627545,116801,6722015540,3521898080,9550283690,693629930,5883.895774231187,5867.907609313414,5851.271849450825,5938.561570534499,-485102.0
12,2024-07-17,47,4,72,2,1344903,1423931,2368834,400000,7973948630,8441279200,14031156490,2384071340,5929.013936321058,5923.233324918504,5928.1518556727815,5960.17835,-1023931.0
13,2024-07-14,52,3,73,1,1173503,495178,1518681,150000,6896560950,2916709150,8927270100,886000000,5876.900996418416,5878.304989658789,5890.223616558086,5906.666666666667,-345178.0
