,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,244,3,335,1,4628955,21876150,26443341,61764,20596621094,97334595363,117656364657,274851800,4449.51854014567,4449.3759187615515,4449.347593749357,4450.032381322453,-21814386.0
1,2024-08-04,545,2,448,1,27332693,5138539,32360479,110753,122926276313,22980274520,145410913670,495637163,4497.40815195195,4493.472227960532,4472.141696307063,4475.157900914648,-5027786.0
2,2024-08-03,659,8,596,2,25939041,52056000,77918615,76426,117232420211,234913572000,351801158099,344834112,4519.535637844128,4514.982178507665,4512.708852005532,4512.0,-51979574.0
3,2024-07-31,783,10,519,2,28450162,31055548,59481284,24426,136560857930,149232590990,285675221030,118227890,4800.0028235340105,4802.774954051093,4805.343991675819,4840.247686891018,-31031122.0
4,2024-07-30,471,2,602,6,26974184,233653,22830321,4377516,137417668710,1161354490,116109693470,22469329730,5094.414300354739,5085.767014401594,4970.42404762618,5132.894940875145,4143863.0
5,2024-07-29,356,6,353,3,9571141,12441207,12751998,9260350,47003701770,61026655660,62693293710,45337063720,4910.982062640181,4916.350654226891,4905.203784488112,4895.826153439125,-3180857.0
6,2024-07-27,458,3,347,2,14522993,2862093,16462470,922616,72239184670,14243980370,81920403510,4562761530,4974.125145553675,4976.191513788635,4976.770625552698,4945.461091071475,-1939477.0
7,2024-07-24,349,5,321,1,10535899,6546587,16907486,175000,53807017240,33596309400,86501726640,901600000,5107.017183820763,5116.179107881562,5131.88160487289,5152.0,-6371587.0
8,2024-07-23,473,6,532,4,18909205,17408636,30001491,6316350,98834755620,90249376080,156169767920,32914363780,5226.806500855007,5205.40022227562,5184.172733578897,5210.978457495231,-11092286.0
9,2024-07-22,766,1,906,10,54610345,128464,46638244,8100565,283020299320,643604640,241862439660,41801464300,5182.540035592157,5185.925088860549,5010.0,5160.314657064045,7972101.0
10,2024-07-21,790,7,567,5,30031531,8894896,33760682,5165745,147979135910,43645495680,166387018040,25237613550,4927.45894007202,4928.425854667273,4906.802247041449,4885.570919586623,-3729151.0
11,2024-07-20,1275,6,1090,15,84203050,5108017,64354292,24956775,437676721170,26005998740,333519601660,130163118250,5197.872537514972,5182.554128013715,5091.212253209024,5215.542402814466,19848758.0
12,2024-07-17,194,2,442,5,17039725,418500,15044615,2413610,85629677080,2026963880,75511054724,12145586236,5025.296891821904,5019.141714427388,4843.402341696536,5032.124591794035,1995110.0
13,2024-07-14,475,7,333,4,26679455,5162500,28355369,3486586,128301738528,24769083822,136381550092,16689272258,4809.008974433698,4809.725808611413,4797.885486101695,4786.70890607603,-1675914.0
