,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,58,1,40,1,1041812,1400000,2380132,61680,4712137967,6332200000,10765359327,278978640,4523.021396374777,4523.009365446958,4523.0,4523.0,-1338320.0
1,2024-08-04,82,1,56,0,942091,59232,1001323,0,4280240710,268439424,4548680134,0,4543.341046671712,4542.670181350074,4532.0,,-59232.0
2,2024-08-03,165,0,105,0,2933765,0,2933765,0,13212671565,0,13212671565,0,4503.657097620294,4503.657097620294,,,0.0
3,2024-07-31,205,1,105,0,3591799,2000000,5591799,0,17075608430,9654102000,26729710430,0,4754.054564300508,4780.162954712786,4827.051,,-2000000.0
4,2024-07-30,84,0,78,0,1575794,0,1575794,0,7877160840,0,7877160840,0,4998.851905769409,4998.851905769409,,,0.0
5,2024-07-29,90,0,84,0,2788903,0,2788903,0,14089964810,0,14089964810,0,5052.153054444705,5052.153054444705,,,0.0
6,2024-07-27,192,1,98,2,3922196,885920,3736988,1071128,19994085530,4513269160,19028516720,5478837970,5097.676283898102,5091.939476391147,5094.443245439769,5115.017038113092,185208.0
7,2024-07-24,87,0,71,1,1829682,0,1652346,177336,9567291800,0,8636860480,930431320,5228.936940954767,5227.029012083425,,5246.71425993594,177336.0
8,2024-07-23,184,0,94,1,2854079,0,2477969,376110,14993598030,0,12990890820,2002707210,5253.39278625434,5242.555826969587,,5324.791178112786,376110.0
9,2024-07-22,183,0,48,1,3186939,0,2824458,362481,17031115100,0,15100903480,1930211620,5344.035483578443,5346.478326107168,,5325.00081383576,362481.0
10,2024-07-17,160,0,72,2,2269146,0,1789980,479166,12645192990,0,9963561560,2681631430,5572.666099933632,5566.297701650298,,5596.455988112679,479166.0
11,2024-07-14,93,0,43,1,752097,0,742266,9831,4233847140,0,4177417200,56429940,5629.38974626943,5627.924760126423,,5740.0,9831.0
12,2024-07-13,63,0,53,0,778732,0,778732,0,4410522820,0,4410522820,0,5663.723617367721,5663.723617367721,,,0.0
13,2024-07-10,54,1,69,2,1554962,9000,1259797,304165,8970804070,50940000,7261220320,1760523750,5769.146815163329,5763.801882366763,5660.0,5788.055003041112,295165.0
14,2024-07-09,56,0,95,1,1402230,0,1205942,196288,8170595570,0,7029583550,1141012020,5826.858339929969,5829.122420481251,,5812.948422725791,196288.0
15,2024-07-08,67,0,97,1,1330631,0,1169913,160718,7671324970,0,6736996050,934328920,5765.178302624845,5758.5444815127275,,5813.467813188317,160718.0
16,2024-07-07,193,0,96,1,4285321,0,4112693,172628,24769200890,0,23752533570,1016667320,5780.01061997456,5775.421012460692,,5889.353523182797,172628.0
17,2024-07-06,79,0,50,2,5198751,0,1997294,3201457,30713658460,0,11793047590,18920610870,5907.891810936896,5904.512600548542,,5910.0,3201457.0
18,2024-07-03,57,1,58,4,609831,852658,1041403,421086,3418277040,4775816120,5837222710,2356870450,5605.285792293274,5605.152577820498,5601.0922550424675,5597.123746693074,-431572.0
19,2024-07-02,56,0,46,3,1514969,0,746297,768672,8486007050,0,4181777490,4304229560,5601.439402390412,5603.369020644596,,5599.565952708047,768672.0
20,2024-07-01,35,2,70,2,603078,1115879,1455190,263767,3343216970,6179815500,8058576740,1464455730,5543.5896683347755,5537.817563342244,5538.069539797773,5552.080927485243,-852112.0
21,2024-06-30,100,0,86,0,1395920,0,1395920,0,7502485040,0,7502485040,0,5374.580950197719,5374.580950197719,,,0.0
22,2024-06-29,117,0,73,3,1400758,0,1299124,101634,7875737380,0,7302233270,573504110,5622.482527317353,5620.890130580298,,5642.837141114194,101634.0
23,2024-06-26,99,0,73,4,3069063,0,1155118,1913945,17436529930,0,6546583070,10889946860,5681.385468463827,5667.458276989883,,5689.790908307187,1913945.0
24,2024-06-24,85,1,77,2,2808104,442725,2142949,1107880,15700108410,2457662970,11944879160,6212892220,5590.999624657777,5574.038000904361,5551.2179569710315,5607.910802614001,665155.0
25,2024-06-23,160,1,111,3,4104911,826252,3318588,1612575,22706307490,4652260650,18438915310,8919652830,5531.498122614595,5556.253234809504,5630.559018314026,5531.310376261569,786323.0
26,2024-06-22,186,2,115,2,2712105,2061071,4229755,543421,15253844210,11661310570,23860649890,3054504890,5624.356066597717,5641.1423096609615,5657.888820909129,5620.8812136446695,-1517650.0
27,2024-06-19,128,1,127,0,2866213,3020602,5886815,0,16388616450,17341139850,33729756300,0,5717.864111983304,5729.712297736552,5740.954899056545,,-3020602.0
28,2024-06-18,106,1,76,1,3248842,3610000,6858842,0,18785359200,20906800000,39692159200,0,5782.170754995164,5787.005911493515,5791.357340720222,,-3610000.0
29,2024-06-16,57,1,74,2,1348064,593990,1549068,392986,7884132080,3489820440,9065897110,2308055410,5848.484997744914,5852.484919964779,5875.217495244027,5873.123749955469,-201004.0
30,2024-06-15,101,1,92,1,1889867,199284,1812579,276572,11130137340,1165811400,10677236820,1618711920,5889.375993125442,5890.6325296718105,5850.0,5852.76860998221,77288.0
31,2024-06-12,131,2,46,0,1060308,217727,1278035,0,6261867820,1293298380,7555166200,0,5905.706473967942,5911.548744752687,5940.0,,-217727.0
32,2024-06-11,63,1,74,1,797072,1674449,2471521,0,4769602190,10046271050,14815873240,0,5983.903825501335,5994.637812100322,5999.747409446331,,-1674449.0
33,2024-06-10,79,0,76,0,1708463,0,1708463,0,10305210250,0,10305210250,0,6031.860362208605,6031.860362208605,,,0.0
34,2024-06-09,149,1,87,0,2647939,1277957,3925896,0,15690437640,7662534830,23352972470,0,5925.528359981102,5948.443990874949,5995.925394985903,,-1277957.0
35,2024-06-08,107,1,90,0,1122406,600000,1722406,0,6709220450,3582000000,10291220450,0,5977.534377043601,5974.909777369563,5970.0,,-600000.0
36,2024-06-05,64,0,68,0,1663297,0,1663297,0,10066934480,0,10066934480,0,6052.397425114095,6052.397425114095,,,0.0
37,2024-06-02,67,1,63,0,895621,17186,912807,0,5425951190,105034700,5530985890,0,6058.3117077424495,6059.315813748141,6111.643197951821,,-17186.0
38,2024-06-01,127,0,100,1,3617025,0,3557025,60000,22117924370,0,21753428150,364496220,6114.949266316932,6115.624194375918,,6074.937,60000.0
39,2024-05-29,39,1,58,1,1216507,43093,1098907,160693,7541117250,267176600,6811997250,996296600,6198.992073206319,6198.884209491795,6200.0,6200.0,117600.0
40,2024-05-28,62,2,97,0,1125344,830000,1955344,0,6907120060,5096200000,12003320060,0,6137.785477151875,6138.725492803313,6140.0,,-830000.0
41,2024-05-27,177,0,95,2,2839522,0,1745710,1093812,16999109920,0,10457908910,6541201010,5986.609689940772,5990.633558838525,,5980.187646505981,1093812.0
42,2024-05-26,112,1,124,0,789146,2400000,3189146,0,4788730550,14616000000,19404730550,0,6068.244089179949,6084.616555654711,6090.0,,-2400000.0
43,2024-05-25,154,2,83,1,2256647,1686682,3739121,204208,13942332160,10413051840,23081025200,1274358800,6178.3398821348665,6172.847896604576,6173.690025742849,6240.494006111416,-1482474.0
44,2024-05-21,283,4,90,0,9373157,2169019,11542176,0,58630225650,13633368750,72263594400,0,6255.120409270858,6260.829361811846,6285.499919548884,,-2169019.0
45,2024-05-19,257,2,76,1,5762260,85000,5795355,51905,36707782320,552500000,36930889820,329392500,6370.379385865962,6372.498288715704,6500.0,6346.0649263076775,-33095.0
46,2024-05-18,142,0,128,2,3222826,0,1680308,1542518,21998921860,0,11436144930,10562776930,6825.972565692346,6805.981361750346,,6847.749543279236,1542518.0
47,2024-05-15,148,2,176,3,4525254,136345,3081332,1580267,30477977130,889709190,20644690470,10722995850,6735.08650122181,6699.924081533571,6525.425868201987,6785.559560504649,1443922.0
48,2024-05-14,120,2,103,2,1580988,484177,1827736,237429,10298247140,3154955430,11896284120,1556918450,6513.804747411113,6508.75406513851,6516.119993308233,6557.406424657476,-246748.0
49,2024-05-13,186,1,120,1,2055098,40000,2055098,40000,13166657330,257200000,13164257330,259600000,6406.826988299342,6405.659160779681,6430.0,6490.0,0.0
50,2024-05-12,176,3,146,2,2815318,2392507,5191158,16667,18666450680,16038134930,34593850110,110735500,6630.316958865748,6663.9948369901285,6703.485059813827,6643.997120057599,-2375840.0
51,2024-05-11,195,0,126,1,3352067,0,3237894,114173,22673973730,0,21907774670,766199060,6764.176769139757,6766.056785676122,,6710.8603610310665,114173.0
52,2024-05-08,105,1,106,1,3199177,525812,3206140,518849,22361446520,3654512820,22360144570,3655814770,6989.749713754506,6974.1635019057185,6950.227115394856,7046.009089349695,-6963.0
53,2024-05-07,93,3,149,2,4370695,1721331,3534210,2557816,30754727420,12044277110,24831501520,17967503010,7036.575972471197,7026.040195687297,6997.072097115546,7024.548681375048,836485.0
54,2024-05-06,183,2,185,3,8474478,60000,7180990,1353488,59342066610,418200000,50298635040,9461631570,7002.44506033292,7004.4151349605,6970.0,6990.554456337994,1293488.0
55,2024-05-05,106,3,182,1,2236069,3382431,5346078,272422,16161506710,24446648150,38638155570,1969999290,7227.642219448506,7227.383433238348,7227.5378714303415,7231.425105167717,-3110009.0
56,2024-05-01,117,2,134,0,1964906,232514,2197420,0,14258983530,1675324960,15934308490,0,7256.827313876593,7251.371376432362,7205.264887275605,,-232514.0
57,2024-04-30,236,1,241,4,7823881,500000,4665124,3658757,56564693380,3590085300,33794347610,26360431070,7229.748686106039,7244.040589274798,7180.1706,7204.750430269078,3158757.0
58,2024-04-29,195,2,120,2,2733517,5126419,4835826,3024110,19269163620,36034995970,33982214830,21321944760,7049.220334097063,7027.17898245305,7029.272474606543,7050.651186630116,-2102309.0
59,2024-04-28,235,2,137,0,3235878,242920,3478798,0,23023413840,1722539860,24745953700,0,7115.04384281484,7113.36320763666,7090.975876831879,,-242920.0
