,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,32,0,1,0,736184,0,736184,0,2028923104,0,2028923104,0,2756.0,2756.0,,,0.0
1,2024-08-04,74,0,4,2,3009705,0,594537,2415168,8342902260,0,1648056564,6694845696,2772.0,2772.0,,2772.0,2415168.0
2,2024-08-03,123,0,47,0,6376078,0,6376078,0,17852802094,0,17852802094,0,2799.966075383645,2799.966075383645,,,0.0
3,2024-07-31,273,2,140,1,16168074,4100000,20093074,175000,48119007185,12201600000,59799807185,520800000,2976.174353543904,2976.1402951584214,2976.0,2976.0,-3925000.0
4,2024-07-30,150,1,139,0,5727417,453411,6180828,0,18136993876,1427635898,19564629774,0,3166.6969379041197,3165.37359945949,3148.6573947257566,,-453411.0
5,2024-07-29,183,1,120,4,7437189,100000,6856468,680721,23827920193,315200000,21916185303,2226934890,3203.8879465077466,3196.4249381751656,3152.0,3271.435566112989,580721.0
6,2024-07-27,213,0,147,1,8780294,0,8581421,198873,28782681105,0,28136019413,646661692,3278.099925241683,3278.7133288298055,,3251.631402955655,198873.0
7,2024-07-24,177,2,107,3,8502964,80000,7846967,735997,28506746543,269289809,26312511794,2463524558,3352.56582798657,3353.207907462845,3366.1226125,3347.1937494310437,655997.0
8,2024-07-23,214,1,143,3,9116159,170000,7490402,1795757,31159066799,572072618,25556301365,6174838052,3418.0038763036055,3411.8731364484843,3365.1330470588236,3438.5710605610893,1625757.0
9,2024-07-22,376,1,158,0,14772433,9509,14781942,0,50130847111,33842531,50164689642,0,3393.540326837157,3393.6467645455514,3559.0,,-9509.0
10,2024-07-13,233,4,214,1,11630371,3690411,15295103,25679,42467804320,13340647926,55716880932,91571314,3651.4574057869695,3642.7921362804814,3614.9491007912125,3566.0,-3664732.0
11,2024-07-10,258,4,171,2,7960238,4808241,11362876,1405603,29646458857,17890938052,42352401635,5184995274,3724.3181494070905,3727.260742350792,3720.89045702992,3688.8049285609095,-3402638.0
12,2024-07-09,178,5,198,2,6518470,5332123,11550593,300000,25335192222,20762121379,44927996929,1169316672,3886.677736033149,3889.670160570977,3893.781403579775,3897.72224,-5032123.0
13,2024-07-08,379,3,394,2,29101605,508111,29325684,284032,113446011689,1990851511,114326601380,1110261820,3898.2733663315134,3898.5144005507254,3918.1429077504717,3908.9321625732314,-224079.0
14,2024-07-07,410,1,274,2,27870777,10000,26622562,1258215,104170884012,37510000,99489122109,4719271903,3737.6383160038918,3737.0228345791816,3751.0,3750.7674785310937,1248215.0
15,2024-07-06,1,0,77,1,1755688,0,1695688,60000,6429329456,0,6209609456,219720000,3662.0,3662.0,,3662.0,60000.0
