,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2024-08-05,53,2,44,1,2604514,939367,3047193,496688,5911031839,2138338203,6918728887,1130641155,2269.5335248725864,2270.5253283923926,2276.3607865722342,2276.3609247656477,-442679.0
1,2024-08-04,61,5,55,1,1698219,1784754,2625475,857498,3875930054,4098549349,5993659023,1980820380,2282.3499525090697,2282.8855818470943,2296.4225596356696,2310.0,-927256.0
2,2024-08-03,119,2,127,3,15979991,3278925,17611561,1647355,36580293596,7573265625,40387250691,3766308530,2289.1310512002165,2293.223791519673,2309.6794299961116,2286.2762003332614,-1631570.0
3,2024-07-31,128,2,65,2,2820952,110000,2679967,250985,6671053501,259110000,6339474602,590688899,2364.823471296215,2365.504725244751,2355.5454545454545,2353.4828734784946,140985.0
4,2024-07-30,61,3,67,3,2110993,3783373,4063855,1830511,5273533794,9434425382,10135272330,4572686846,2498.1294556637563,2494.0044194490206,2493.6545727846556,2498.0384417247424,-1952862.0
5,2024-07-29,77,3,78,3,1538945,4877479,5829729,586695,3790169657,12187541992,14521972444,1455739205,2462.836330733067,2491.0201561684944,2498.7379734489887,2481.2538116056894,-4290784.0
6,2024-07-27,83,2,57,0,2258320,221430,2479750,0,5637026445,557996550,6195022995,0,2496.1150080590883,2498.2449823570923,2519.968161495732,,-221430.0
7,2024-07-24,89,3,46,4,4593198,1734559,3040149,3287608,11566734084,4366962295,7639477926,8294218453,2518.2311069542397,2512.862996517605,2517.6210754433837,2522.8733027173557,1553049.0
8,2024-07-23,110,2,48,2,5576779,1285757,3137981,3724555,14125977479,3229157749,7937181692,9417953536,2532.9993315137644,2529.3912525282976,2511.4837010414876,2528.6117498600506,2438798.0
9,2024-07-22,63,4,75,1,1656097,5583248,6508055,731290,4205721215,14253312210,16589434355,1869599070,2539.5379709038784,2549.061794191967,2552.871054626268,2556.5768299853685,-4851958.0
10,2024-07-21,85,0,45,1,2649736,0,2449736,200000,6654487359,0,6152881426,501605933,2511.3774953429324,2511.650817067635,,2508.029665,200000.0
11,2024-07-20,71,1,56,3,1241581,1035345,2233283,43643,3179238140,2666583713,5734158430,111663423,2560.6369137414313,2567.5914919873567,2575.550867585201,2558.564328758335,-991702.0
12,2024-07-17,60,1,66,1,3512648,139998,2580246,1072400,9115774119,364694800,6682114519,2798354400,2595.1288369913523,2589.719941044381,2605.000071429592,2609.43155538978,932402.0
13,2024-07-14,62,0,50,0,2233952,0,2233952,0,5774294621,0,5774294621,0,2584.78902903912,2584.78902903912,,,0.0
14,2024-07-13,93,1,51,1,3980150,109000,3529691,559459,10372670129,286897730,9196043767,1463524092,2606.10030501363,2605.339608197998,2632.0892660550458,2615.9630857667853,450459.0
15,2024-07-10,86,3,67,0,2438159,661363,3099522,0,6433522467,1753011950,8186534417,0,2638.6804416775117,2641.2248136970798,2650.604811578513,,-661363.0
16,2024-07-09,50,2,45,2,2205724,1700000,2695550,1210174,5947505390,4608223177,7290059993,3265668574,2696.396008748148,2704.479602678489,2710.719515882353,2698.5115975058134,-489826.0
17,2024-07-08,89,2,86,2,4042460,3245348,6434418,853390,10896527776,8862873713,17474567264,2284834225,2695.519009711908,2715.796092824557,2730.947101204555,2677.362313830722,-2391958.0
18,2024-07-07,117,6,127,2,10829893,5241043,15018936,1052000,29528805307,14429222364,41147036760,2810990911,2726.6017593156275,2739.677215483174,2753.1203930210077,2672.044592205323,-4189043.0
19,2024-07-06,5,2,47,1,1571987,1352000,2733987,190000,4227073043,3635528000,7351691043,510910000,2689.0,2689.0,2689.0,2689.0,-1162000.0
20,2024-07-03,50,5,79,2,2989816,7558463,3202897,7345382,7584974448,19180392944,8138028185,18627339207,2536.9368710315284,2540.8335594307277,2537.6049262925544,2535.9251849665543,-213081.0
