Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,3750.0,3796.0,3564.0,3669.0,3654.0,10536925.0,38506415538.0,1114.0,بموتو,موتوژن,بورس
2022-06-06,1401-03-16,3605.0,3791.0,3550.0,3580.0,3678.0,15683939.0,57677688947.0,1367.0,بموتو,موتوژن,بورس
2022-06-07,1401-03-17,3555.0,3639.0,3458.0,3458.0,3493.0,15637550.0,54614260553.0,1176.0,بموتو,موتوژن,بورس
2022-06-08,1401-03-18,3401.0,3525.0,3354.0,3400.0,3405.0,9053267.0,30822742132.0,805.0,بموتو,موتوژن,بورس
2022-06-11,1401-03-21,3341.0,3400.0,3201.0,3203.0,3235.0,12851008.0,41575339449.0,1118.0,بموتو,موتوژن,بورس
2022-06-12,1401-03-22,3062.0,3228.0,3041.0,3135.0,3057.0,106708243.0,326204962679.0,3973.0,بموتو,موتوژن,بورس
2022-06-13,1401-03-23,3160.0,3240.0,3160.0,3240.0,3233.0,35327368.0,114230114043.0,1837.0,بموتو,موتوژن,بورس
2022-06-14,1401-03-24,3330.0,3350.0,3145.0,3180.0,3215.0,13217726.0,42490532881.0,1756.0,بموتو,موتوژن,بورس
2022-06-15,1401-03-25,3180.0,3189.0,3027.0,3109.0,3089.0,12760708.0,39420660154.0,1270.0,بموتو,موتوژن,بورس
2022-06-18,1401-03-28,3089.0,3236.0,3060.0,3130.0,3151.0,11722375.0,36942018512.0,1113.0,بموتو,موتوژن,بورس
2022-06-19,1401-03-29,3166.0,3180.0,3020.0,3033.0,3071.0,6015190.0,18471948489.0,966.0,بموتو,موتوژن,بورس
2022-06-20,1401-03-30,3130.0,3130.0,2887.0,2997.0,2943.0,39605886.0,116543154753.0,2220.0,بموتو,موتوژن,بورس
2022-06-21,1401-03-31,3000.0,3119.0,2974.0,3119.0,3106.0,21360346.0,66342067945.0,773.0,بموتو,موتوژن,بورس
2022-06-22,1401-04-01,3200.0,3268.0,3040.0,3089.0,3154.0,33639499.0,106112481931.0,2667.0,بموتو,موتوژن,بورس
2022-06-25,1401-04-04,3099.0,3149.0,2965.0,3020.0,3006.0,31223624.0,93873248953.0,2363.0,بموتو,موتوژن,بورس
2022-06-26,1401-04-05,2971.0,3059.0,2866.0,2887.0,2950.0,10987053.0,32416564097.0,1041.0,بموتو,موتوژن,بورس
2022-06-27,1401-04-06,2871.0,2940.0,2812.0,2933.0,2877.0,13242362.0,38098765628.0,1357.0,بموتو,موتوژن,بورس
2022-06-28,1401-04-07,2890.0,3049.0,2830.0,3049.0,2989.0,18755742.0,56062257415.0,1502.0,بموتو,موتوژن,بورس
2022-06-29,1401-04-08,3089.0,3118.0,2989.0,3000.0,3028.0,13263949.0,40164333481.0,1455.0,بموتو,موتوژن,بورس
2022-07-02,1401-04-11,2966.0,3037.0,2875.0,2880.0,2909.0,12157319.0,35371076892.0,1223.0,بموتو,موتوژن,بورس
2022-07-03,1401-04-12,2969.0,3079.0,2913.0,2965.0,2983.0,9527700.0,28417902032.0,925.0,بموتو,موتوژن,بورس
2022-07-04,1401-04-13,2967.0,3028.0,2915.0,2939.0,2972.0,6093383.0,18107618528.0,803.0,بموتو,موتوژن,بورس
2022-07-05,1401-04-14,2922.0,2948.0,2887.0,2888.0,2907.0,7796947.0,22665476147.0,970.0,بموتو,موتوژن,بورس
