Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,7070.0,7100.0,6650.0,6760.0,6830.0,40027806.0,273309377480.0,4133.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-22,1401-11-02,6690.0,7100.0,6520.0,6890.0,6810.0,24725465.0,168324926900.0,2423.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-23,1401-11-03,6990.0,7040.0,6480.0,6710.0,6740.0,28755871.0,193873020830.0,2398.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-24,1401-11-04,6710.0,6870.0,6460.0,6600.0,6580.0,29649909.0,195010053380.0,2788.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-25,1401-11-05,6580.0,6620.0,6120.0,6190.0,6200.0,39656616.0,245744517540.0,3332.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-28,1401-11-08,6230.0,6250.0,5900.0,6010.0,6090.0,29224845.0,177994524910.0,2402.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-29,1401-11-09,6020.0,6090.0,5670.0,5690.0,5690.0,53642372.0,305483985460.0,3008.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-30,1401-11-10,5640.0,5780.0,5370.0,5700.0,5600.0,40049971.0,224202945220.0,2222.0,بورس,بورس اوراق بهادار تهران,بورس
2023-01-31,1401-11-11,5660.0,5780.0,5550.0,5700.0,5650.0,24816693.0,140207297530.0,1726.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-01,1401-11-12,5620.0,5730.0,5500.0,5670.0,5620.0,16049893.0,90243612110.0,1314.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-04,1401-11-12,5620.0,5730.0,5500.0,5670.0,5620.0,16049893.0,90243612110.0,1314.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-05,1401-11-16,5720.0,5720.0,5230.0,5270.0,5340.0,29818036.0,159347798060.0,2161.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-06,1401-11-17,5280.0,5450.0,5060.0,5330.0,5300.0,18812608.0,99728541710.0,1670.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-07,1401-11-18,5420.0,5660.0,5410.0,5600.0,5550.0,19194789.0,106591610280.0,1412.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-08,1401-11-19,5660.0,5690.0,5350.0,5430.0,5460.0,14547003.0,79492019480.0,1424.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-11,1401-11-19,5660.0,5690.0,5350.0,5430.0,5460.0,14547003.0,79492019480.0,1424.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-12,1401-11-23,5490.0,5490.0,5220.0,5320.0,5320.0,12366028.0,65774767160.0,1141.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-13,1401-11-24,5390.0,5560.0,5330.0,5380.0,5430.0,13877944.0,75317863240.0,1221.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-14,1401-11-25,5390.0,5440.0,5220.0,5240.0,5270.0,16155066.0,85189719670.0,1557.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-15,1401-11-26,5230.0,5280.0,5110.0,5180.0,5180.0,10648712.0,55151188630.0,1181.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-18,1401-11-26,5230.0,5280.0,5110.0,5180.0,5180.0,10648712.0,55151188630.0,1181.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-19,1401-11-30,5240.0,5380.0,5170.0,5250.0,5260.0,30961563.0,162903011110.0,1766.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-20,1401-12-01,5400.0,5620.0,5290.0,5620.0,5610.0,69773309.0,391330251300.0,2224.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-21,1401-12-02,6000.0,6000.0,5700.0,5770.0,5950.0,86354302.0,513396548690.0,3096.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-22,1401-12-03,5720.0,6100.0,5680.0,6100.0,5900.0,55997377.0,330135471020.0,2644.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-25,1401-12-06,6240.0,6310.0,6240.0,6310.0,6310.0,38258211.0,241347852500.0,1012.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-26,1401-12-07,6750.0,6750.0,6400.0,6540.0,6650.0,78930344.0,525140023120.0,4075.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-27,1401-12-08,6640.0,6930.0,6560.0,6630.0,6720.0,45266593.0,304087445240.0,2152.0,بورس,بورس اوراق بهادار تهران,بورس
2023-02-28,1401-12-09,6570.0,7090.0,6460.0,6800.0,6850.0,66390263.0,454473282890.0,3598.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-01,1401-12-10,6740.0,6950.0,6380.0,6380.0,6590.0,51428109.0,339127781280.0,3465.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-05,1401-12-14,6410.0,6520.0,6210.0,6250.0,6320.0,38576123.0,243773987330.0,2280.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-06,1401-12-15,6250.0,6700.0,6150.0,6570.0,6490.0,58544432.0,380139981060.0,3541.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-07,1401-12-16,6680.0,6940.0,6500.0,6940.0,6860.0,149293649.0,1024098136870.0,5823.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-08,1401-12-16,6680.0,6940.0,6500.0,6940.0,6860.0,149293649.0,1024098136870.0,5823.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-12,1401-12-21,7260.0,7510.0,7060.0,7090.0,7290.0,147352243.0,1073868943650.0,9331.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-13,1401-12-22,7150.0,7290.0,6940.0,7020.0,7100.0,45092311.0,320208498680.0,3569.0,بورس,بورس اوراق بهادار تهران,بورس
2023-03-14,1401-12-23,7000.0,7410.0,6940.0,7250.0,7250.0,73221382.0,531040806610.0,5361.0,بورس,بورس اوراق بهادار تهران,بورس
