Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,3760.0,3760.0,3536.0,3610.0,3730.0,1006004.0,3738720762.0,50.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-06,1401-03-16,3600.0,3679.0,3507.0,3507.0,3520.0,8436936.0,29699449051.0,467.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-07,1401-03-17,3334.0,3500.0,3309.0,3375.0,3330.0,16015539.0,53334336810.0,872.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-08,1401-03-18,3350.0,3529.0,3350.0,3499.0,3480.0,9014736.0,31369545415.0,592.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-11,1401-03-21,3585.0,3585.0,3360.0,3363.0,3436.0,4917048.0,16895096965.0,431.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-12,1401-03-22,3517.0,3530.0,3325.0,3490.0,3473.0,4674262.0,16232813639.0,386.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-13,1401-03-23,3400.0,3658.0,3400.0,3473.0,3574.0,6614300.0,23640518404.0,482.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-14,1401-03-24,3471.0,3610.0,3450.0,3455.0,3506.0,7418582.0,26011955642.0,459.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-15,1401-03-25,3490.0,3650.0,3421.0,3519.0,3546.0,6845905.0,24277657029.0,487.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-18,1401-03-28,3636.0,3636.0,3417.0,3421.0,3496.0,4055424.0,14169920627.0,339.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-19,1401-03-29,3419.0,3492.0,3362.0,3381.0,3434.0,2931953.0,9986284059.0,318.0,ثمسکن,سرمایه گذاری مسکن,بورس
2022-06-20,1401-03-30,3420.0,3480.0,3287.0,3360.0,3370.0,5463479.0,18411024772.0,355.0,ثمسکن,سرمایه گذاری مسکن,بورس
