Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,5540.0,5810.0,5500.0,5730.0,5770.0,11956046.0,68983225340.0,1048.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-06,1401-03-16,5630.0,5830.0,5430.0,5470.0,5490.0,10557471.0,58010607690.0,735.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-07,1401-03-17,5490.0,5580.0,5370.0,5460.0,5480.0,4241249.0,23230381530.0,346.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-08,1401-03-18,5460.0,5620.0,5420.0,5470.0,5490.0,2592451.0,14234931000.0,304.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-11,1401-03-21,5590.0,5590.0,5350.0,5350.0,5420.0,3340224.0,18089553900.0,385.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-12,1401-03-22,5460.0,5490.0,5320.0,5430.0,5400.0,4012513.0,21684653290.0,421.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-13,1401-03-23,5490.0,5580.0,5400.0,5430.0,5470.0,5116705.0,28002868510.0,415.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-14,1401-03-24,5500.0,5550.0,5400.0,5440.0,5440.0,2843723.0,15483675400.0,261.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-15,1401-03-25,5540.0,5540.0,5310.0,5440.0,5420.0,5978126.0,32372788920.0,404.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-18,1401-03-28,5530.0,5530.0,5250.0,5330.0,5320.0,4420362.0,23521617480.0,467.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-19,1401-03-29,5360.0,5370.0,5200.0,5280.0,5250.0,5545889.0,29096448030.0,572.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-20,1401-03-30,5260.0,5550.0,5130.0,5390.0,5360.0,11529311.0,61798964920.0,1038.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-21,1401-03-31,5390.0,5490.0,5280.0,5370.0,5400.0,6516433.0,35216794100.0,766.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-22,1401-04-01,5370.0,5450.0,5210.0,5400.0,5300.0,5409328.0,28683533440.0,657.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-25,1401-04-04,5470.0,5550.0,5330.0,5330.0,5430.0,7062938.0,38320907250.0,708.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-26,1401-04-05,5490.0,5500.0,5250.0,5420.0,5380.0,5907349.0,31764522120.0,585.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-27,1401-04-06,5380.0,5700.0,5300.0,5700.0,5610.0,28761785.0,161274378730.0,1611.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-28,1401-04-07,5790.0,5940.0,5660.0,5940.0,5920.0,28607820.0,169246087590.0,1552.0,حتاید,تایدواترخاورمیانه,بورس
2022-06-29,1401-04-08,6050.0,6050.0,5780.0,5850.0,5900.0,12390000.0,73157958610.0,1231.0,حتاید,تایدواترخاورمیانه,بورس
2022-07-02,1401-04-11,5650.0,5700.0,5550.0,5550.0,5560.0,18789871.0,104396317420.0,921.0,حتاید,تایدواترخاورمیانه,بورس
2022-07-03,1401-04-12,5550.0,5570.0,5320.0,5500.0,5400.0,7879219.0,42542828510.0,919.0,حتاید,تایدواترخاورمیانه,بورس
