J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,2460.0,2500.0,2326.0,2330.0,2352.0,348335476.0,819415799162.0,8323.0,خبهمن,گروه بهمن,بورس
2023-01-22,1401-11-02,2360.0,2420.0,2229.0,2325.0,2290.0,229284793.0,525011742183.0,5424.0,خبهمن,گروه بهمن,بورس
2023-01-23,1401-11-03,2360.0,2371.0,2157.0,2200.0,2240.0,226216589.0,506743109613.0,5913.0,خبهمن,گروه بهمن,بورس
2023-01-24,1401-11-04,2230.0,2300.0,2195.0,2263.0,2241.0,158999771.0,356367884479.0,3874.0,خبهمن,گروه بهمن,بورس
2023-01-25,1401-11-05,2299.0,2299.0,2095.0,2130.0,2139.0,295465878.0,632044955366.0,5936.0,خبهمن,گروه بهمن,بورس
2023-01-28,1401-11-08,2160.0,2175.0,2000.0,2041.0,2077.0,297119118.0,617180598457.0,5963.0,خبهمن,گروه بهمن,بورس
2023-01-29,1401-11-09,1932.0,1945.0,1932.0,1932.0,1932.0,231346958.0,446980063316.0,3199.0,خبهمن,گروه بهمن,بورس
2023-01-30,1401-11-10,1865.0,1977.0,1836.0,1972.0,1904.0,233884633.0,445382162999.0,5045.0,خبهمن,گروه بهمن,بورس
2023-01-31,1401-11-11,2010.0,2036.0,1904.0,2027.0,1963.0,103771956.0,203702728565.0,2659.0,خبهمن,گروه بهمن,بورس
2023-02-01,1401-11-12,2027.0,2030.0,1950.0,1970.0,1976.0,88643070.0,175142459625.0,2340.0,خبهمن,گروه بهمن,بورس
2023-02-04,1401-11-12,2027.0,2030.0,1950.0,1970.0,1976.0,88643070.0,175142459625.0,2340.0,خبهمن,گروه بهمن,بورس
2023-02-05,1401-11-16,1988.0,1990.0,1838.0,1838.0,1870.0,261719365.0,489514876562.0,5425.0,خبهمن,گروه بهمن,بورس
2023-02-06,1401-11-17,1781.0,1847.0,1780.0,1812.0,1815.0,68518923.0,124336883002.0,2413.0,خبهمن,گروه بهمن,بورس
2023-02-07,1401-11-18,1900.0,1942.0,1856.0,1942.0,1938.0,219916595.0,426117780281.0,3271.0,خبهمن,گروه بهمن,بورس
2023-02-08,1401-11-19,2073.0,2073.0,1990.0,2040.0,2042.0,337349374.0,688929583255.0,6464.0,خبهمن,گروه بهمن,بورس
2023-02-11,1401-11-19,2073.0,2073.0,1990.0,2040.0,2042.0,337349374.0,688929583255.0,6464.0,خبهمن,گروه بهمن,بورس
2023-02-12,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,126745570.0,254675861539.0,3401.0,خبهمن,گروه بهمن,بورس
2023-02-13,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,126745570.0,254675861539.0,3401.0,خبهمن,گروه بهمن,بورس
2023-02-14,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,126745570.0,254675861539.0,3401.0,خبهمن,گروه بهمن,بورس
2023-02-15,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,126745570.0,254675861539.0,3401.0,خبهمن,گروه بهمن,بورس
2023-02-18,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,126745570.0,254675861539.0,3401.0,خبهمن,گروه بهمن,بورس
2023-02-19,1401-11-23,2070.0,2073.0,1983.0,2005.0,2009.0,126745570.0,254675861539.0,3401.0,خبهمن,گروه بهمن,بورس
2023-02-20,1401-12-01,2060.0,2110.0,2059.0,2090.0,2073.0,213686477.0,443039758913.0,2739.0,خبهمن,گروه بهمن,بورس
2023-02-21,1401-12-02,2100.0,2163.0,1986.0,1999.0,2075.0,828612672.0,1719608712809.0,18261.0,خبهمن,گروه بهمن,بورس
2023-02-22,1401-12-03,2000.0,2017.0,1930.0,1952.0,1953.0,242809442.0,474298682255.0,6883.0,خبهمن,گروه بهمن,بورس
2023-02-25,1401-12-06,1990.0,2089.0,1980.0,2089.0,2052.0,455807958.0,935134656369.0,10461.0,خبهمن,گروه بهمن,بورس
