J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,5460.0,5680.0,5200.0,5290.0,5390.0,15132327.0,81522214200.0,1528.0,خزر,فنرسازی زر,بورس
2023-01-22,1401-11-02,5350.0,5450.0,5030.0,5270.0,5220.0,13936696.0,72705640800.0,1479.0,خزر,فنرسازی زر,بورس
2023-01-23,1401-11-03,5450.0,5450.0,4860.0,5050.0,5100.0,19309544.0,98480295190.0,1512.0,خزر,فنرسازی زر,بورس
2023-01-24,1401-11-04,5250.0,5250.0,4910.0,5110.0,5060.0,14439779.0,73096536720.0,1194.0,خزر,فنرسازی زر,بورس
2023-01-25,1401-11-05,5270.0,5270.0,4800.0,4930.0,5020.0,13744415.0,68953495030.0,1204.0,خزر,فنرسازی زر,بورس
2023-01-28,1401-11-08,4910.0,5100.0,4670.0,4680.0,4760.0,19400474.0,92272026570.0,1316.0,خزر,فنرسازی زر,بورس
2023-01-29,1401-11-09,4530.0,4680.0,4430.0,4430.0,4440.0,10278691.0,45612896610.0,587.0,خزر,فنرسازی زر,بورس
2023-01-30,1401-11-10,4240.0,4450.0,4130.0,4310.0,4220.0,27306541.0,115340425360.0,1597.0,خزر,فنرسازی زر,بورس
2023-01-31,1401-11-11,4350.0,4510.0,4190.0,4510.0,4460.0,21180282.0,94505231060.0,1361.0,خزر,فنرسازی زر,بورس
2023-02-01,1401-11-12,4560.0,4760.0,4470.0,4640.0,4640.0,13144570.0,60937047800.0,1102.0,خزر,فنرسازی زر,بورس
2023-02-04,1401-11-12,4560.0,4760.0,4470.0,4640.0,4640.0,13144570.0,60937047800.0,1102.0,خزر,فنرسازی زر,بورس
2023-02-05,1401-11-12,4560.0,4760.0,4470.0,4640.0,4640.0,13144570.0,60937047800.0,1102.0,خزر,فنرسازی زر,بورس
2023-02-06,1401-11-12,4560.0,4760.0,4470.0,4640.0,4640.0,13144570.0,60937047800.0,1102.0,خزر,فنرسازی زر,بورس
2023-02-07,1401-11-18,4964.0,4964.0,4836.0,4964.0,4952.0,21618049.0,107049943825.0,1159.0,خزر,فنرسازی زر,بورس
2023-02-08,1401-11-19,5000.0,5150.0,4760.0,4830.0,4919.0,14057436.0,69150252928.0,1257.0,خزر,فنرسازی زر,بورس
2023-02-11,1401-11-19,5000.0,5150.0,4760.0,4830.0,4919.0,14057436.0,69150252928.0,1257.0,خزر,فنرسازی زر,بورس
2023-02-12,1401-11-23,4661.0,4870.0,4575.0,4586.0,4612.0,14482068.0,66790873515.0,1218.0,خزر,فنرسازی زر,بورس
2023-02-13,1401-11-24,4580.0,4790.0,4500.0,4563.0,4622.0,8334684.0,38520378588.0,777.0,خزر,فنرسازی زر,بورس
2023-02-14,1401-11-25,4560.0,4689.0,4440.0,4440.0,4563.0,5160811.0,23547956637.0,643.0,خزر,فنرسازی زر,بورس
2023-02-15,1401-11-26,4562.0,4562.0,4244.0,4244.0,4307.0,14684885.0,63254736346.0,1208.0,خزر,فنرسازی زر,بورس
2023-02-18,1401-11-26,4562.0,4562.0,4244.0,4244.0,4307.0,14684885.0,63254736346.0,1208.0,خزر,فنرسازی زر,بورس
2023-02-19,1401-11-30,4300.0,4433.0,4200.0,4202.0,4286.0,9020158.0,38657355681.0,754.0,خزر,فنرسازی زر,بورس
2023-02-20,1401-12-01,4164.0,4586.0,4164.0,4586.0,4554.0,12548189.0,57138408703.0,611.0,خزر,فنرسازی زر,بورس
2023-02-21,1401-12-02,4712.0,4872.0,4556.0,4618.0,4748.0,19884907.0,94417260936.0,1283.0,خزر,فنرسازی زر,بورس
2023-02-22,1401-12-03,4590.0,4681.0,4425.0,4540.0,4548.0,7399337.0,33650348269.0,715.0,خزر,فنرسازی زر,بورس
2023-02-25,1401-12-06,4700.0,4866.0,4660.0,4866.0,4853.0,21048758.0,102140464869.0,963.0,خزر,فنرسازی زر,بورس
2023-02-26,1401-12-07,5185.0,5189.0,4700.0,4755.0,4953.0,24084093.0,119298159932.0,1371.0,خزر,فنرسازی زر,بورس
2023-02-27,1401-12-08,5080.0,5285.0,4910.0,5020.0,5068.0,21291781.0,107899816941.0,1347.0,خزر,فنرسازی زر,بورس
2023-02-28,1401-12-09,4990.0,5065.0,4768.0,4927.0,4935.0,15706408.0,77507343130.0,1430.0,خزر,فنرسازی زر,بورس
2023-03-01,1401-12-10,4930.0,4930.0,4740.0,4820.0,4831.0,25397460.0,122686524482.0,1873.0,خزر,فنرسازی زر,بورس
2023-03-05,1401-12-10,4930.0,4930.0,4740.0,4820.0,4831.0,25397460.0,122686524482.0,1873.0,خزر,فنرسازی زر,بورس
2023-03-06,1401-12-10,4930.0,4930.0,4740.0,4820.0,4831.0,25397460.0,122686524482.0,1873.0,خزر,فنرسازی زر,بورس
2023-03-07,1401-12-10,4930.0,4930.0,4740.0,4820.0,4831.0,25397460.0,122686524482.0,1873.0,خزر,فنرسازی زر,بورس
2023-03-08,1401-12-10,4930.0,4930.0,4740.0,4820.0,4831.0,25397460.0,122686524482.0,1873.0,خزر,فنرسازی زر,بورس
2023-03-12,1401-12-10,4930.0,4930.0,4740.0,4820.0,4831.0,25397460.0,122686524482.0,1873.0,خزر,فنرسازی زر,بورس
2023-03-13,1401-12-22,3728.0,3728.0,3490.0,3728.0,3705.0,8098802.0,30009194632.0,470.0,خزر,فنرسازی زر,بورس
2023-03-14,1401-12-23,3890.0,3900.0,3750.0,3834.0,3831.0,15472191.0,59270574114.0,1404.0,خزر,فنرسازی زر,بورس
2023-03-15,1401-12-23,3890.0,3900.0,3750.0,3834.0,3831.0,15472191.0,59270574114.0,1404.0,خزر,فنرسازی زر,بورس
2023-03-19,1401-12-28,4099.0,4099.0,4099.0,4099.0,4099.0,6569227.0,26927261473.0,176.0,خزر,فنرسازی زر,بورس
2023-03-20,1401-12-28,4099.0,4099.0,4099.0,4099.0,4099.0,6569227.0,26927261473.0,176.0,خزر,فنرسازی زر,بورس
2023-03-21,1401-12-28,4099.0,4099.0,4099.0,4099.0,4099.0,6569227.0,26927261473.0,176.0,خزر,فنرسازی زر,بورس
2023-03-22,1401-12-28,4099.0,4099.0,4099.0,4099.0,4099.0,6569227.0,26927261473.0,176.0,خزر,فنرسازی زر,بورس
2023-03-25,1402-01-05,4300.0,4385.0,4220.0,4360.0,4360.0,37586861.0,163860001929.0,1985.0,خزر,فنرسازی زر,بورس
2023-03-26,1402-01-06,4371.0,4460.0,4099.0,4160.0,4254.0,15844238.0,67399888912.0,1615.0,خزر,فنرسازی زر,بورس
2023-03-27,1402-01-07,4030.0,4510.0,4030.0,4395.0,4313.0,26492688.0,114253247566.0,1857.0,خزر,فنرسازی زر,بورس
2023-03-28,1402-01-08,4485.0,4551.0,4331.0,4400.0,4415.0,18129662.0,80042801703.0,1368.0,خزر,فنرسازی زر,بورس
2023-03-29,1402-01-09,4440.0,4688.0,4400.0,4600.0,4554.0,28458795.0,129596731274.0,1775.0,خزر,فنرسازی زر,بورس
2023-04-01,1402-01-09,4440.0,4688.0,4400.0,4600.0,4554.0,28458795.0,129596731274.0,1775.0,خزر,فنرسازی زر,بورس
2023-04-02,1402-01-09,4440.0,4688.0,4400.0,4600.0,4554.0,28458795.0,129596731274.0,1775.0,خزر,فنرسازی زر,بورس
