J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,3100.0,3174.0,2990.0,3073.0,3082.0,44907646.0,138400870953.0,1834.0,خکار,ایرکا پارت صنعت,بورس
2023-01-22,1401-11-02,3090.0,3278.0,3011.0,3260.0,3147.0,50519062.0,159003748096.0,2545.0,خکار,ایرکا پارت صنعت,بورس
2023-01-23,1401-11-03,3335.0,3367.0,3102.0,3367.0,3340.0,125377421.0,418787148804.0,3881.0,خکار,ایرکا پارت صنعت,بورس
2023-01-24,1401-11-04,3430.0,3573.0,3377.0,3573.0,3504.0,77575602.0,271788563184.0,3339.0,خکار,ایرکا پارت صنعت,بورس
2023-01-25,1401-11-05,3650.0,3650.0,3259.0,3259.0,3339.0,54707277.0,182684240822.0,2437.0,خکار,ایرکا پارت صنعت,بورس
2023-01-28,1401-11-08,3300.0,3359.0,3106.0,3106.0,3126.0,53852851.0,168355244565.0,1996.0,خکار,ایرکا پارت صنعت,بورس
2023-01-29,1401-11-09,3060.0,3060.0,2908.0,2908.0,2919.0,18794925.0,54855335446.0,660.0,خکار,ایرکا پارت صنعت,بورس
2023-01-30,1401-11-10,2810.0,2908.0,2715.0,2857.0,2766.0,57104316.0,157933047370.0,1901.0,خکار,ایرکا پارت صنعت,بورس
2023-01-31,1401-11-11,2753.0,2925.0,2753.0,2921.0,2850.0,25399088.0,72375335559.0,1334.0,خکار,ایرکا پارت صنعت,بورس
2023-02-01,1401-11-12,2930.0,2930.0,2790.0,2829.0,2835.0,21326685.0,60457988764.0,1169.0,خکار,ایرکا پارت صنعت,بورس
2023-02-04,1401-11-12,2930.0,2930.0,2790.0,2829.0,2835.0,21326685.0,60457988764.0,1169.0,خکار,ایرکا پارت صنعت,بورس
2023-02-05,1401-11-16,2860.0,2860.0,2637.0,2637.0,2680.0,41061886.0,110038799756.0,1506.0,خکار,ایرکا پارت صنعت,بورس
2023-02-06,1401-11-17,2510.0,2624.0,2493.0,2493.0,2510.0,34440657.0,86462119797.0,1554.0,خکار,ایرکا پارت صنعت,بورس
