Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-18,9220.0,9230.0,8900.0,8900.0,9210.0,604568.0,5554093750.0,62.0,دالبر,البرزدارو,بورس
2022-06-06,1401-03-18,9220.0,9230.0,8900.0,8900.0,9210.0,604568.0,5554093750.0,62.0,دالبر,البرزدارو,بورس
2022-06-07,1401-03-18,9220.0,9230.0,8900.0,8900.0,9210.0,604568.0,5554093750.0,62.0,دالبر,البرزدارو,بورس
2022-06-08,1401-03-18,9220.0,9230.0,8900.0,8900.0,9210.0,604568.0,5554093750.0,62.0,دالبر,البرزدارو,بورس
2022-06-11,1401-03-21,9130.0,9130.0,8660.0,8800.0,9050.0,732673.0,6454730020.0,229.0,دالبر,البرزدارو,بورس
2022-06-12,1401-03-22,8870.0,9040.0,8550.0,9020.0,8950.0,2305754.0,20624982840.0,235.0,دالبر,البرزدارو,بورس
2022-06-13,1401-03-23,9300.0,9300.0,8760.0,9000.0,8970.0,1446873.0,12991728260.0,194.0,دالبر,البرزدارو,بورس
2022-06-14,1401-03-24,8970.0,9030.0,8620.0,9000.0,8970.0,2097693.0,18814975910.0,177.0,دالبر,البرزدارو,بورس
2022-06-15,1401-03-25,8910.0,9270.0,8500.0,9200.0,9020.0,1208585.0,10936782320.0,194.0,دالبر,البرزدارو,بورس
2022-06-18,1401-03-28,9020.0,9450.0,8740.0,9340.0,9040.0,833481.0,7547182320.0,159.0,دالبر,البرزدارو,بورس
2022-06-19,1401-03-29,9450.0,9580.0,9130.0,9530.0,9560.0,5690091.0,54390207510.0,681.0,دالبر,البرزدارو,بورس
2022-06-20,1401-03-30,9700.0,9700.0,9120.0,9590.0,9540.0,1502768.0,14327847190.0,539.0,دالبر,البرزدارو,بورس
2022-06-21,1401-03-31,9680.0,9690.0,9150.0,9330.0,9490.0,480356.0,4484629980.0,197.0,دالبر,البرزدارو,بورس
2022-06-22,1401-04-01,9060.0,9300.0,8980.0,9000.0,9090.0,2072012.0,18828859780.0,265.0,دالبر,البرزدارو,بورس
2022-06-25,1401-04-04,9000.0,9100.0,8550.0,8650.0,8950.0,695654.0,6073646540.0,241.0,دالبر,البرزدارو,بورس
2022-06-26,1401-04-05,8520.0,8780.0,8420.0,8570.0,8800.0,645184.0,5493309510.0,180.0,دالبر,البرزدارو,بورس
