Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,12000.0,12000.0,11690.0,11750.0,11880.0,1042890.0,12361947350.0,296.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-06,1401-03-16,11800.0,12330.0,11170.0,11170.0,11200.0,3627256.0,40632174770.0,433.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-07,1401-03-17,10550.0,11180.0,10550.0,10940.0,10780.0,1549255.0,16701532660.0,278.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-08,1401-03-18,11000.0,11420.0,10690.0,11420.0,11350.0,2101200.0,23839379010.0,399.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-11,1401-03-21,11830.0,11830.0,10880.0,11000.0,11230.0,947204.0,10593238330.0,279.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-12,1401-03-22,11400.0,11450.0,10910.0,10980.0,11120.0,906614.0,10035944460.0,175.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-13,1401-03-23,11000.0,11600.0,10980.0,11490.0,11460.0,1794479.0,20565552690.0,291.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-14,1401-03-24,11450.0,11990.0,11320.0,11760.0,11690.0,1305533.0,15271395070.0,304.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-15,1401-03-25,11260.0,11970.0,11260.0,11330.0,11610.0,441018.0,5055633220.0,214.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-18,1401-03-28,11640.0,11750.0,10950.0,11070.0,11200.0,944079.0,10436600360.0,279.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-19,1401-03-29,11350.0,11350.0,10530.0,10590.0,10800.0,1164362.0,12530402430.0,354.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-20,1401-03-30,10500.0,11050.0,10210.0,10500.0,10530.0,1678582.0,17672832300.0,376.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-21,1401-03-31,10300.0,10550.0,10040.0,10280.0,10420.0,576707.0,5925765970.0,203.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-22,1401-04-01,10500.0,11040.0,9820.0,10600.0,10250.0,1494355.0,15321654890.0,462.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-25,1401-04-04,10780.0,10780.0,10400.0,10650.0,10430.0,852910.0,9007722390.0,347.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-26,1401-04-05,10780.0,11030.0,10460.0,10700.0,10640.0,942227.0,10132518210.0,257.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-27,1401-04-06,10520.0,10830.0,10520.0,10730.0,10720.0,1761958.0,18880041500.0,230.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-28,1401-04-07,10500.0,10990.0,10500.0,10720.0,10710.0,1063622.0,11385480200.0,258.0,دجابر,داروسازی جابرابن حیان,بورس
2022-06-29,1401-04-08,10960.0,10960.0,10510.0,10580.0,10700.0,629051.0,6720931590.0,189.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-02,1401-04-11,10190.0,10790.0,10190.0,10250.0,10600.0,432204.0,4483948220.0,199.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-03,1401-04-12,10690.0,10690.0,10210.0,10420.0,10500.0,839334.0,8753981720.0,284.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-04,1401-04-13,10320.0,10630.0,10320.0,10510.0,10490.0,431925.0,4527735370.0,155.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-05,1401-04-14,10720.0,10860.0,10300.0,10380.0,10490.0,857308.0,8994395390.0,199.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-06,1401-04-15,10400.0,10480.0,10250.0,10260.0,10450.0,330041.0,3408282730.0,137.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-09,1401-04-18,10240.0,11070.0,10100.0,11070.0,10870.0,3071838.0,33399688320.0,443.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-11,1401-04-20,11480.0,11500.0,10870.0,11000.0,11240.0,4493489.0,50486245620.0,879.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-12,1401-04-21,11180.0,11600.0,10610.0,11430.0,11100.0,1031691.0,11392478980.0,373.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-13,1401-04-22,11440.0,11640.0,11140.0,11580.0,11470.0,1795055.0,20594832120.0,340.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-16,1401-04-25,11960.0,12150.0,10790.0,12150.0,12100.0,9133156.0,110490133520.0,942.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-17,1401-04-26,12700.0,12700.0,11390.0,11590.0,11990.0,3754510.0,45006236420.0,969.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-19,1401-04-26,12700.0,12700.0,11390.0,11590.0,11990.0,3754510.0,45006236420.0,969.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-20,1401-04-26,12700.0,12700.0,11390.0,11590.0,11990.0,3754510.0,45006236420.0,969.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-23,1401-05-01,12000.0,12000.0,11280.0,11280.0,11290.0,3567064.0,40270692540.0,350.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-24,1401-05-02,11280.0,11300.0,10620.0,10620.0,10710.0,2140290.0,22914665890.0,473.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-25,1401-05-03,10360.0,10930.0,10070.0,10070.0,10200.0,1331251.0,13583774930.0,289.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-26,1401-05-04,10000.0,10280.0,9750.0,9840.0,10040.0,832464.0,8287972430.0,238.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-27,1401-05-05,10200.0,10440.0,9850.0,10250.0,10080.0,831170.0,8398055550.0,189.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-30,1401-05-08,10600.0,10600.0,9850.0,10000.0,10100.0,444233.0,4507440550.0,148.0,دجابر,داروسازی جابرابن حیان,بورس
2022-07-31,1401-05-09,9610.0,10000.0,9600.0,9750.0,10000.0,482144.0,4713499990.0,183.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-01,1401-05-10,9750.0,9970.0,9530.0,9680.0,9820.0,765290.0,7383714700.0,192.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-02,1401-05-11,9900.0,10320.0,9500.0,10240.0,9980.0,1386151.0,13854569740.0,314.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-03,1401-05-12,10290.0,10570.0,10220.0,10570.0,10480.0,1448435.0,15198891830.0,256.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-06,1401-05-15,10510.0,11100.0,10510.0,11100.0,11050.0,2374986.0,26247317640.0,254.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-09,1401-05-18,11350.0,11650.0,10840.0,11100.0,11040.0,571564.0,6305611490.0,199.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-10,1401-05-19,11260.0,11600.0,11010.0,11470.0,11330.0,1817196.0,20581428430.0,430.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-13,1401-05-22,11570.0,11990.0,11340.0,11350.0,11410.0,567691.0,6543855990.0,233.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-14,1401-05-23,11580.0,11580.0,11010.0,11150.0,11260.0,924053.0,10348116340.0,315.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-15,1401-05-24,10910.0,11440.0,10910.0,11020.0,11190.0,606967.0,6738317160.0,210.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-16,1401-05-25,11490.0,11700.0,10600.0,11260.0,11260.0,525896.0,5973209040.0,166.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-17,1401-05-26,11470.0,11680.0,11000.0,11100.0,11220.0,534522.0,5967488140.0,176.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-20,1401-05-29,10960.0,11490.0,10650.0,10840.0,11150.0,502498.0,5550678860.0,175.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-21,1401-05-30,10800.0,11400.0,10770.0,11400.0,11280.0,1752962.0,19770661790.0,188.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-22,1401-05-31,11400.0,11490.0,10800.0,11300.0,11260.0,973238.0,10957231010.0,140.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-23,1401-06-01,11360.0,11370.0,11090.0,11300.0,11260.0,389656.0,4387704440.0,126.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-24,1401-06-02,11250.0,11490.0,10670.0,11460.0,11370.0,4439752.0,50464484470.0,483.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-27,1401-06-05,11500.0,11980.0,11380.0,11600.0,11730.0,1527100.0,17907786660.0,364.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-28,1401-06-06,11730.0,11730.0,11350.0,11550.0,11630.0,495297.0,5675070700.0,126.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-29,1401-06-07,11290.0,12030.0,11290.0,11930.0,11790.0,813023.0,9666727800.0,228.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-30,1401-06-08,11930.0,12300.0,11580.0,11980.0,11960.0,1818227.0,21748270790.0,344.0,دجابر,داروسازی جابرابن حیان,بورس
2022-08-31,1401-06-09,12180.0,12330.0,11910.0,12050.0,12070.0,896710.0,10863662680.0,260.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-03,1401-06-12,12000.0,12060.0,11650.0,11930.0,11960.0,663081.0,7866337160.0,247.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-04,1401-06-13,11720.0,11990.0,11720.0,11830.0,11900.0,513879.0,6077310490.0,144.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-05,1401-06-14,11770.0,11980.0,11500.0,11500.0,11750.0,1247621.0,14658605790.0,198.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-06,1401-06-15,11730.0,11730.0,11010.0,11440.0,11410.0,875213.0,9863939980.0,276.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-07,1401-06-16,11330.0,11330.0,10880.0,11000.0,11260.0,461983.0,5088924150.0,166.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-10,1401-06-19,11000.0,11230.0,10490.0,10580.0,10890.0,784005.0,8336138170.0,244.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-11,1401-06-20,10540.0,10880.0,10330.0,10400.0,10670.0,816409.0,8598303500.0,255.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-12,1401-06-21,10270.0,10600.0,10270.0,10460.0,10620.0,264802.0,2760242910.0,111.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-13,1401-06-22,10530.0,10780.0,10470.0,10520.0,10620.0,258609.0,2743047490.0,120.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-14,1401-06-23,10320.0,10650.0,10120.0,10310.0,10470.0,613097.0,6313908090.0,259.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-18,1401-06-27,10390.0,10390.0,9890.0,10000.0,10270.0,712859.0,7176292680.0,177.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-19,1401-06-28,9910.0,10290.0,9870.0,9960.0,10180.0,640611.0,6451470230.0,132.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-20,1401-06-29,10000.0,10180.0,9880.0,10000.0,10090.0,672869.0,6717170070.0,149.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-21,1401-06-30,9950.0,10190.0,9850.0,10000.0,10020.0,664727.0,6599962590.0,125.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-24,1401-07-02,10160.0,10160.0,9480.0,9540.0,9940.0,515488.0,5041988820.0,158.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-26,1401-07-04,9360.0,9960.0,9360.0,9890.0,9900.0,611986.0,6029064790.0,150.0,دجابر,داروسازی جابرابن حیان,بورس
2022-09-28,1401-07-06,10090.0,10370.0,9850.0,10100.0,9970.0,621685.0,6260600300.0,132.0,دجابر,داروسازی جابرابن حیان,بورس
2022-10-01,1401-07-09,9860.0,9980.0,9290.0,9500.0,9840.0,410924.0,3901835690.0,114.0,دجابر,داروسازی جابرابن حیان,بورس
