Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,36000.0,36490.0,35560.0,35750.0,35970.0,2008957.0,72263295160.0,897.0,ستران,سیمان تهران,بورس
2023-01-22,1401-11-02,35100.0,36060.0,35020.0,36000.0,35410.0,4313289.0,152729926670.0,707.0,ستران,سیمان تهران,بورس
2023-01-23,1401-11-03,36390.0,37880.0,36200.0,37880.0,37800.0,11394526.0,430685856500.0,1759.0,ستران,سیمان تهران,بورس
2023-01-24,1401-11-04,37990.0,38260.0,36560.0,38200.0,37470.0,3122736.0,116995266410.0,994.0,ستران,سیمان تهران,بورس
2023-01-25,1401-11-05,38150.0,38150.0,36290.0,37560.0,37070.0,2575960.0,95496093830.0,992.0,ستران,سیمان تهران,بورس
2023-01-28,1401-11-08,37560.0,37560.0,35000.0,35850.0,35900.0,2680502.0,96237865020.0,706.0,ستران,سیمان تهران,بورس
2023-01-29,1401-11-09,34410.0,35550.0,33430.0,35250.0,34020.0,2514755.0,85550060140.0,1079.0,ستران,سیمان تهران,بورس
2023-01-30,1401-11-10,35870.0,36400.0,34010.0,36000.0,35540.0,3345021.0,118872144510.0,1363.0,ستران,سیمان تهران,بورس
2023-01-31,1401-11-11,36750.0,36750.0,34530.0,35410.0,35380.0,2140052.0,75720671850.0,887.0,ستران,سیمان تهران,بورس
2023-02-01,1401-11-12,35900.0,35900.0,34880.0,35450.0,35260.0,1605572.0,56608774940.0,525.0,ستران,سیمان تهران,بورس
2023-02-04,1401-11-12,35900.0,35900.0,34880.0,35450.0,35260.0,1605572.0,56608774940.0,525.0,ستران,سیمان تهران,بورس
2023-02-05,1401-11-16,35650.0,35790.0,34650.0,34900.0,35050.0,2102262.0,73686472170.0,511.0,ستران,سیمان تهران,بورس
2023-02-06,1401-11-17,35870.0,35870.0,34320.0,35010.0,34960.0,1614222.0,56426225760.0,507.0,ستران,سیمان تهران,بورس
2023-02-07,1401-11-18,34410.0,35890.0,34410.0,35100.0,35130.0,1111536.0,39050461600.0,424.0,ستران,سیمان تهران,بورس
2023-02-08,1401-11-19,36590.0,36590.0,35020.0,35790.0,35290.0,889017.0,31374272320.0,443.0,ستران,سیمان تهران,بورس
2023-02-11,1401-11-19,36590.0,36590.0,35020.0,35790.0,35290.0,889017.0,31374272320.0,443.0,ستران,سیمان تهران,بورس
2023-02-12,1401-11-23,35870.0,35870.0,34800.0,34800.0,35060.0,741232.0,25987956020.0,470.0,ستران,سیمان تهران,بورس
2023-02-13,1401-11-24,34510.0,35400.0,34510.0,34800.0,34950.0,671863.0,23476881280.0,401.0,ستران,سیمان تهران,بورس
2023-02-14,1401-11-25,34800.0,35530.0,34400.0,34500.0,34660.0,758940.0,26302679950.0,494.0,ستران,سیمان تهران,بورس
2023-02-15,1401-11-26,34600.0,34600.0,33280.0,33710.0,33810.0,962508.0,32540301990.0,573.0,ستران,سیمان تهران,بورس
2023-02-18,1401-11-26,34600.0,34600.0,33280.0,33710.0,33810.0,962508.0,32540301990.0,573.0,ستران,سیمان تهران,بورس
