Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,23400.0,24000.0,22400.0,22930.0,22970.0,963248.0,22125250910.0,214.0,سخزر,سیمان خزر,بورس
2022-06-06,1401-03-16,22980.0,23220.0,21600.0,22340.0,21690.0,838078.0,18177857550.0,237.0,سخزر,سیمان خزر,بورس
2022-06-07,1401-03-17,21990.0,22760.0,21260.0,22250.0,22130.0,520873.0,11588327170.0,170.0,سخزر,سیمان خزر,بورس
2022-06-08,1401-03-18,22200.0,23450.0,22200.0,23450.0,23140.0,1191322.0,27570574860.0,318.0,سخزر,سیمان خزر,بورس
2022-06-11,1401-03-21,23550.0,24510.0,23300.0,23650.0,23940.0,578884.0,13915563360.0,236.0,سخزر,سیمان خزر,بورس
2022-06-12,1401-03-22,23300.0,23920.0,22610.0,23600.0,23500.0,430230.0,10014604040.0,219.0,سخزر,سیمان خزر,بورس
2022-06-13,1401-03-23,24010.0,24910.0,24010.0,24580.0,24500.0,1022201.0,25042566050.0,348.0,سخزر,سیمان خزر,بورس
2022-06-14,1401-03-24,25000.0,25650.0,24140.0,24590.0,24790.0,379127.0,9476138760.0,171.0,سخزر,سیمان خزر,بورس
2022-06-15,1401-03-25,25480.0,25480.0,23650.0,24030.0,24680.0,182224.0,4446792720.0,135.0,سخزر,سیمان خزر,بورس
2022-06-18,1401-03-28,24490.0,24560.0,23200.0,23200.0,23250.0,1352109.0,31436632470.0,205.0,سخزر,سیمان خزر,بورس
2022-06-19,1401-03-29,24000.0,24000.0,23030.0,23490.0,23750.0,1685175.0,40018657700.0,161.0,سخزر,سیمان خزر,بورس
2022-06-20,1401-03-30,23950.0,25170.0,23820.0,25170.0,25070.0,2345293.0,58806842280.0,283.0,سخزر,سیمان خزر,بورس
2022-06-21,1401-03-31,25200.0,25810.0,24900.0,25200.0,25200.0,429934.0,10857897710.0,154.0,سخزر,سیمان خزر,بورس
2022-06-22,1401-04-01,25850.0,25850.0,24660.0,24900.0,24900.0,1396388.0,34774533930.0,131.0,سخزر,سیمان خزر,بورس
2022-06-25,1401-04-04,25990.0,26270.0,24880.0,24890.0,25180.0,403778.0,10222647490.0,124.0,سخزر,سیمان خزر,بورس
2022-06-26,1401-04-05,25180.0,26260.0,24560.0,25100.0,25290.0,177697.0,4539476670.0,87.0,سخزر,سیمان خزر,بورس
2022-06-27,1401-04-06,26040.0,26170.0,24450.0,24580.0,25020.0,448719.0,11184787140.0,149.0,سخزر,سیمان خزر,بورس
2022-06-28,1401-04-07,25000.0,25430.0,24850.0,25090.0,24950.0,396842.0,9884490370.0,97.0,سخزر,سیمان خزر,بورس
2022-06-29,1401-04-08,25500.0,25500.0,24530.0,24860.0,24860.0,355913.0,8825888650.0,97.0,سخزر,سیمان خزر,بورس
2022-07-02,1401-04-11,25200.0,25290.0,24300.0,24490.0,24760.0,141403.0,3455808190.0,101.0,سخزر,سیمان خزر,بورس
2022-07-03,1401-04-12,24900.0,25520.0,24120.0,25350.0,24740.0,394140.0,9749100040.0,132.0,سخزر,سیمان خزر,بورس
2022-07-04,1401-04-13,25480.0,25480.0,24120.0,24130.0,24740.0,62068.0,1537618240.0,71.0,سخزر,سیمان خزر,بورس
2022-07-05,1401-04-14,24980.0,24980.0,23800.0,24300.0,24320.0,317440.0,7597101410.0,90.0,سخزر,سیمان خزر,بورس
2022-07-06,1401-04-15,24150.0,25500.0,23860.0,24710.0,24410.0,574211.0,14016960900.0,260.0,سخزر,سیمان خزر,بورس
2022-07-09,1401-04-18,24920.0,25870.0,24230.0,24580.0,24970.0,309103.0,7891703240.0,120.0,سخزر,سیمان خزر,بورس
2022-07-11,1401-04-20,24500.0,25140.0,23490.0,23500.0,23710.0,1045947.0,24797616890.0,162.0,سخزر,سیمان خزر,بورس
2022-07-12,1401-04-21,23100.0,23970.0,22520.0,23490.0,23630.0,130680.0,3051057940.0,72.0,سخزر,سیمان خزر,بورس
2022-07-13,1401-04-22,23870.0,23870.0,23390.0,23540.0,23600.0,126555.0,2971436940.0,56.0,سخزر,سیمان خزر,بورس
2022-07-16,1401-04-25,23600.0,23880.0,23200.0,23650.0,23550.0,340863.0,8011475090.0,62.0,سخزر,سیمان خزر,بورس
2022-07-17,1401-04-26,23780.0,24000.0,22630.0,23110.0,23540.0,84285.0,1979671070.0,84.0,سخزر,سیمان خزر,بورس
2022-07-19,1401-04-28,23600.0,23950.0,22790.0,23350.0,23610.0,318189.0,7531584620.0,106.0,سخزر,سیمان خزر,بورس
2022-07-20,1401-04-29,23990.0,24150.0,22820.0,24120.0,23560.0,233874.0,5488217950.0,146.0,سخزر,سیمان خزر,بورس
2022-07-23,1401-05-01,24280.0,24680.0,22920.0,23540.0,23580.0,72832.0,1729763060.0,70.0,سخزر,سیمان خزر,بورس
2022-07-24,1401-05-02,23540.0,24100.0,23000.0,23630.0,23800.0,619504.0,14748695600.0,67.0,سخزر,سیمان خزر,بورس
