Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,20620.0,20620.0,20230.0,20500.0,20520.0,282159.0,5752479820.0,123.0,سرود,سیمان شاهرود,بورس
2022-06-06,1401-03-16,20950.0,20950.0,19640.0,19900.0,20360.0,210795.0,4211799270.0,140.0,سرود,سیمان شاهرود,بورس
2022-06-07,1401-03-17,20730.0,21190.0,19910.0,20850.0,20740.0,1427783.0,29611731560.0,291.0,سرود,سیمان شاهرود,بورس
2022-06-08,1401-03-18,21180.0,21980.0,21010.0,21980.0,21920.0,2500787.0,54823383810.0,442.0,سرود,سیمان شاهرود,بورس
2022-06-11,1401-03-21,22350.0,22350.0,20770.0,21580.0,21720.0,758400.0,16476183730.0,268.0,سرود,سیمان شاهرود,بورس
2022-06-12,1401-03-22,21720.0,22840.0,21150.0,22400.0,22130.0,1030449.0,22798963420.0,291.0,سرود,سیمان شاهرود,بورس
2022-06-13,1401-03-23,22140.0,23450.0,22140.0,23450.0,23430.0,5147493.0,120585491810.0,547.0,سرود,سیمان شاهرود,بورس
2022-06-14,1401-03-24,23450.0,23880.0,22540.0,22900.0,23180.0,852757.0,19766457880.0,268.0,سرود,سیمان شاهرود,بورس
2022-06-15,1401-03-25,23040.0,23040.0,22710.0,22770.0,23090.0,192335.0,4397123690.0,95.0,سرود,سیمان شاهرود,بورس
2022-06-18,1401-03-28,22230.0,23000.0,22080.0,22190.0,22740.0,300631.0,6714969680.0,153.0,سرود,سیمان شاهرود,بورس
2022-06-19,1401-03-29,22000.0,22500.0,22000.0,22430.0,22580.0,219404.0,4887737530.0,123.0,سرود,سیمان شاهرود,بورس
2022-06-20,1401-03-30,22580.0,23930.0,22210.0,23920.0,23420.0,1605282.0,37601918730.0,328.0,سرود,سیمان شاهرود,بورس
2022-06-21,1401-03-31,23420.0,24000.0,22670.0,23110.0,23330.0,231122.0,5351351030.0,114.0,سرود,سیمان شاهرود,بورس
2022-06-22,1401-04-01,23380.0,23380.0,22310.0,22800.0,23180.0,128732.0,2907600180.0,78.0,سرود,سیمان شاهرود,بورس
2022-06-25,1401-04-04,22800.0,22800.0,22120.0,22500.0,22920.0,204500.0,4573291320.0,122.0,سرود,سیمان شاهرود,بورس
