Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,19750.0,19900.0,19390.0,19800.0,19690.0,2689140.0,52958217160.0,584.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-06,1401-03-16,19670.0,19730.0,18550.0,18990.0,19010.0,3618140.0,68795445580.0,915.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-07,1401-03-17,19000.0,20150.0,18850.0,20150.0,20040.0,8052063.0,161374411670.0,1538.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-08,1401-03-18,20450.0,21180.0,20450.0,20800.0,20730.0,3742263.0,77572346530.0,1023.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-11,1401-03-21,21970.0,21970.0,21030.0,21360.0,21700.0,14021158.0,304324547530.0,2729.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-12,1401-03-22,21540.0,21800.0,20900.0,21710.0,21490.0,8816830.0,189487904920.0,1405.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-13,1401-03-23,21510.0,22490.0,21510.0,22100.0,22200.0,10108561.0,224439541240.0,1319.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-14,1401-03-24,22490.0,22490.0,21830.0,22180.0,21990.0,6660582.0,146464698950.0,1040.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-15,1401-03-25,21910.0,22200.0,21580.0,22020.0,21980.0,3947559.0,86782896150.0,1025.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-18,1401-03-28,22100.0,22370.0,21210.0,21590.0,21670.0,6708923.0,145351974530.0,1695.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-19,1401-03-28,22100.0,22370.0,21210.0,21590.0,21670.0,6708923.0,145351974530.0,1695.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-20,1401-03-28,22100.0,22370.0,21210.0,21590.0,21670.0,6708923.0,145351974530.0,1695.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-21,1401-03-28,22100.0,22370.0,21210.0,21590.0,21670.0,6708923.0,145351974530.0,1695.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-22,1401-04-01,19390.0,19390.0,19270.0,19330.0,19290.0,1448853.0,27974733160.0,257.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-25,1401-04-04,19420.0,19420.0,18300.0,18550.0,18570.0,4737855.0,88005019400.0,941.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-26,1401-04-05,18430.0,18580.0,17800.0,18000.0,18140.0,4646619.0,84307216370.0,642.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-27,1401-04-06,18260.0,18260.0,17350.0,17800.0,17690.0,3012413.0,53287539910.0,938.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-28,1401-04-07,18260.0,18260.0,17440.0,17630.0,17640.0,3992857.0,70424557210.0,801.0,سفارس,سیمان فارس و خوزستان,بورس
2022-06-29,1401-04-08,17630.0,18270.0,17440.0,18100.0,17880.0,2939605.0,52550853150.0,579.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-02,1401-04-11,18030.0,18450.0,17600.0,17880.0,17890.0,3298048.0,58987176440.0,528.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-03,1401-04-12,17880.0,18370.0,17600.0,18150.0,18020.0,2804237.0,50523760930.0,642.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-04,1401-04-13,18050.0,18350.0,17820.0,18080.0,18080.0,3604651.0,65187947760.0,561.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-05,1401-04-14,18040.0,18110.0,17800.0,18070.0,18030.0,4762047.0,85836076350.0,776.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-06,1401-04-15,17880.0,18000.0,17430.0,17700.0,17750.0,3303581.0,58637981930.0,495.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-09,1401-04-18,17500.0,17930.0,17480.0,17800.0,17690.0,3530723.0,62443368630.0,515.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-11,1401-04-20,17500.0,17690.0,16940.0,17000.0,17250.0,3279127.0,56578995910.0,729.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-12,1401-04-21,17000.0,17140.0,16770.0,16960.0,16930.0,5792237.0,98037275310.0,764.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-13,1401-04-22,16940.0,17150.0,16940.0,17050.0,16980.0,1163768.0,19805635210.0,383.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-16,1401-04-25,17000.0,17160.0,16710.0,16860.0,16960.0,2602186.0,44130842240.0,490.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-17,1401-04-26,16890.0,17000.0,16600.0,16620.0,16800.0,1617727.0,27066155980.0,382.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-19,1401-04-28,16820.0,16920.0,16400.0,16630.0,16580.0,2038318.0,33750018240.0,537.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-20,1401-04-29,16470.0,16770.0,16430.0,16750.0,16610.0,820529.0,13670291370.0,299.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-23,1401-05-01,16730.0,16990.0,16540.0,16870.0,16670.0,2045003.0,34095950840.0,508.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-24,1401-05-02,16570.0,16920.0,16490.0,16610.0,16580.0,4249492.0,70461868930.0,553.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-25,1401-05-03,16400.0,16620.0,15720.0,15780.0,16120.0,2940701.0,47412806320.0,507.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-26,1401-05-04,16000.0,16380.0,15750.0,15910.0,16080.0,1414739.0,22710310820.0,383.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-27,1401-05-05,16250.0,16260.0,15920.0,16120.0,16080.0,1600085.0,25727899710.0,332.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-30,1401-05-08,16050.0,16390.0,15910.0,16100.0,16070.0,2943693.0,47298119090.0,488.0,سفارس,سیمان فارس و خوزستان,بورس
2022-07-31,1401-05-09,15900.0,16000.0,15500.0,15700.0,15800.0,1480758.0,23179031850.0,443.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-01,1401-05-10,15740.0,16140.0,15720.0,15990.0,15900.0,2189926.0,34832761080.0,415.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-02,1401-05-11,15870.0,16200.0,15870.0,16010.0,15940.0,1290342.0,20600137880.0,302.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-03,1401-05-12,16100.0,16290.0,15950.0,16190.0,16100.0,2218597.0,35729131370.0,415.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-06,1401-05-15,16010.0,17000.0,16010.0,16920.0,16340.0,1111474.0,18436902290.0,329.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-09,1401-05-18,16890.0,16890.0,16510.0,16600.0,16450.0,734662.0,12254228790.0,347.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-10,1401-05-19,16930.0,16970.0,16200.0,16360.0,16390.0,1311698.0,21449006320.0,264.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-13,1401-05-22,16160.0,17370.0,16160.0,17370.0,17120.0,2693641.0,46119415000.0,413.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-14,1401-05-23,17520.0,17890.0,17110.0,17400.0,17320.0,2422514.0,41956202640.0,508.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-15,1401-05-24,17320.0,18350.0,17040.0,17910.0,17790.0,2502314.0,44515344970.0,543.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-16,1401-05-25,17850.0,18160.0,17350.0,17480.0,17730.0,830616.0,14641566690.0,372.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-17,1401-05-26,17620.0,17670.0,17190.0,17300.0,17590.0,812663.0,14088012890.0,394.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-20,1401-05-29,17590.0,17590.0,16860.0,17010.0,17010.0,5457902.0,92853422240.0,679.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-21,1401-05-30,16930.0,17240.0,16820.0,17040.0,16990.0,2005430.0,34060882530.0,449.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-22,1401-05-31,16740.0,17000.0,16740.0,17000.0,16860.0,3324261.0,56052065910.0,411.0,سفارس,سیمان فارس و خوزستان,بورس
2022-08-23,1401-06-01,17000.0,17460.0,16820.0,17290.0,17050.0,1283844.0,22065832210.0,432.0,سفارس,سیمان فارس و خوزستان,بورس
