Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,17330.0,18430.0,17330.0,17750.0,17710.0,250148.0,4415194490.0,62.0,سکرما,سیمان کرمان,بورس
2023-01-22,1401-11-02,17710.0,18020.0,17400.0,18000.0,17730.0,457934.0,8130890610.0,129.0,سکرما,سیمان کرمان,بورس
2023-01-23,1401-11-03,18200.0,18200.0,17710.0,18050.0,17930.0,641668.0,11549087400.0,137.0,سکرما,سیمان کرمان,بورس
2023-01-24,1401-11-04,17610.0,17900.0,17530.0,17700.0,17880.0,152901.0,2701196810.0,67.0,سکرما,سیمان کرمان,بورس
2023-01-25,1401-11-05,18170.0,18170.0,17430.0,17620.0,17850.0,120648.0,2135825740.0,66.0,سکرما,سیمان کرمان,بورس
2023-01-28,1401-11-08,17450.0,17850.0,17410.0,17790.0,17660.0,527922.0,9266233890.0,93.0,سکرما,سیمان کرمان,بورس
2023-01-29,1401-11-09,17410.0,17970.0,16500.0,17000.0,17370.0,332240.0,5623588720.0,105.0,سکرما,سیمان کرمان,بورس
2023-01-30,1401-11-10,17000.0,17930.0,16810.0,17120.0,17250.0,448422.0,7689901500.0,104.0,سکرما,سیمان کرمان,بورس
2023-01-31,1401-11-11,16650.0,17900.0,16650.0,17440.0,17460.0,468936.0,8267765270.0,116.0,سکرما,سیمان کرمان,بورس
2023-02-01,1401-11-12,17310.0,17920.0,17110.0,17500.0,17440.0,128493.0,2225299490.0,46.0,سکرما,سیمان کرمان,بورس
2023-02-04,1401-11-12,17310.0,17920.0,17110.0,17500.0,17440.0,128493.0,2225299490.0,46.0,سکرما,سیمان کرمان,بورس
2023-02-05,1401-11-16,17070.0,17760.0,16850.0,16960.0,17410.0,102896.0,1767349370.0,52.0,سکرما,سیمان کرمان,بورس
2023-02-06,1401-11-17,16300.0,17400.0,16300.0,17100.0,17340.0,202729.0,3471328000.0,291.0,سکرما,سیمان کرمان,بورس
2023-02-07,1401-11-18,16630.0,17580.0,16630.0,17100.0,17310.0,195332.0,3359557950.0,300.0,سکرما,سیمان کرمان,بورس
2023-02-08,1401-11-19,16670.0,17200.0,16670.0,16940.0,17150.0,400385.0,6790144090.0,274.0,سکرما,سیمان کرمان,بورس
2023-02-11,1401-11-19,16670.0,17200.0,16670.0,16940.0,17150.0,400385.0,6790144090.0,274.0,سکرما,سیمان کرمان,بورس
2023-02-12,1401-11-23,16750.0,17150.0,16230.0,16700.0,16990.0,386148.0,6483188580.0,350.0,سکرما,سیمان کرمان,بورس
2023-02-13,1401-11-24,16330.0,17300.0,16330.0,16600.0,16940.0,187667.0,3143579010.0,154.0,سکرما,سیمان کرمان,بورس
2023-02-14,1401-11-25,16610.0,16880.0,16460.0,16460.0,16860.0,210017.0,3489547360.0,225.0,سکرما,سیمان کرمان,بورس
2023-02-15,1401-11-26,16370.0,16820.0,16370.0,16540.0,16800.0,183436.0,3042455140.0,179.0,سکرما,سیمان کرمان,بورس
2023-02-18,1401-11-26,16370.0,16820.0,16370.0,16540.0,16800.0,183436.0,3042455140.0,179.0,سکرما,سیمان کرمان,بورس
2023-02-19,1401-11-30,16500.0,16850.0,16310.0,16350.0,16650.0,378297.0,6220351360.0,227.0,سکرما,سیمان کرمان,بورس
2023-02-20,1401-12-01,16890.0,17240.0,16550.0,17210.0,16960.0,1273228.0,21594795800.0,165.0,سکرما,سیمان کرمان,بورس
2023-02-21,1401-12-02,17400.0,17660.0,17160.0,17540.0,17070.0,183598.0,3210726090.0,89.0,سکرما,سیمان کرمان,بورس
2023-02-22,1401-12-03,17600.0,17850.0,17230.0,17500.0,17130.0,141035.0,2460153070.0,73.0,سکرما,سیمان کرمان,بورس
2023-02-25,1401-12-06,17600.0,18320.0,17600.0,18320.0,18270.0,1431359.0,26151340040.0,125.0,سکرما,سیمان کرمان,بورس
2023-02-26,1401-12-07,18310.0,19530.0,18010.0,18800.0,18970.0,981231.0,18611311500.0,273.0,سکرما,سیمان کرمان,بورس
2023-02-27,1401-12-08,19030.0,19310.0,18440.0,18950.0,18950.0,760683.0,14409810630.0,164.0,سکرما,سیمان کرمان,بورس
2023-02-28,1401-12-09,18800.0,20270.0,18800.0,20270.0,20030.0,1731011.0,34680657740.0,247.0,سکرما,سیمان کرمان,بورس
2023-03-01,1401-12-10,20030.0,21290.0,19690.0,19690.0,20150.0,410724.0,8328912060.0,166.0,سکرما,سیمان کرمان,بورس
2023-03-05,1401-12-14,21000.0,21000.0,20110.0,20470.0,20120.0,303917.0,6158436470.0,83.0,سکرما,سیمان کرمان,بورس
2023-03-06,1401-12-15,20560.0,21520.0,20200.0,21520.0,21460.0,4520750.0,97021750330.0,541.0,سکرما,سیمان کرمان,بورس
2023-03-07,1401-12-16,22880.0,22880.0,21100.0,22240.0,21830.0,1022353.0,22317609360.0,251.0,سکرما,سیمان کرمان,بورس
2023-03-08,1401-12-16,22880.0,22880.0,21100.0,22240.0,21830.0,1022353.0,22317609360.0,251.0,سکرما,سیمان کرمان,بورس
2023-03-12,1401-12-21,23870.0,23870.0,21600.0,22830.0,22980.0,978799.0,22489062310.0,339.0,سکرما,سیمان کرمان,بورس
2023-03-13,1401-12-21,23870.0,23870.0,21600.0,22830.0,22980.0,978799.0,22489062310.0,339.0,سکرما,سیمان کرمان,بورس
2023-03-14,1401-12-21,23870.0,23870.0,21600.0,22830.0,22980.0,978799.0,22489062310.0,339.0,سکرما,سیمان کرمان,بورس
2023-03-15,1401-12-24,20500.0,21500.0,20500.0,21400.0,20740.0,353117.0,7393553370.0,80.0,سکرما,سیمان کرمان,بورس
2023-03-19,1401-12-28,22200.0,23000.0,21510.0,22260.0,22280.0,620004.0,13824664180.0,143.0,سکرما,سیمان کرمان,بورس
2023-03-20,1401-12-28,22200.0,23000.0,21510.0,22260.0,22280.0,620004.0,13824664180.0,143.0,سکرما,سیمان کرمان,بورس
2023-03-21,1401-12-28,22200.0,23000.0,21510.0,22260.0,22280.0,620004.0,13824664180.0,143.0,سکرما,سیمان کرمان,بورس
2023-03-22,1401-12-28,22200.0,23000.0,21510.0,22260.0,22280.0,620004.0,13824664180.0,143.0,سکرما,سیمان کرمان,بورس
2023-03-25,1402-01-05,22200.0,22210.0,21100.0,21600.0,21570.0,702078.0,15146574150.0,363.0,سکرما,سیمان کرمان,بورس
2023-03-26,1402-01-06,21700.0,23000.0,21020.0,21570.0,21870.0,1318030.0,28821675760.0,265.0,سکرما,سیمان کرمان,بورس
2023-03-27,1402-01-07,20800.0,22350.0,20800.0,21890.0,21690.0,584078.0,12649648260.0,613.0,سکرما,سیمان کرمان,بورس
2023-03-28,1402-01-08,21890.0,22790.0,21450.0,22700.0,22110.0,417270.0,9332141310.0,157.0,سکرما,سیمان کرمان,بورس
2023-03-29,1402-01-09,22140.0,23650.0,22130.0,23650.0,23210.0,1047444.0,24311282970.0,229.0,سکرما,سیمان کرمان,بورس
2023-04-01,1402-01-09,22140.0,23650.0,22130.0,23650.0,23210.0,1047444.0,24311282970.0,229.0,سکرما,سیمان کرمان,بورس
2023-04-02,1402-01-09,22140.0,23650.0,22130.0,23650.0,23210.0,1047444.0,24311282970.0,229.0,سکرما,سیمان کرمان,بورس
2023-04-03,1402-01-14,23710.0,24400.0,23410.0,24000.0,23600.0,431035.0,10255700170.0,175.0,سکرما,سیمان کرمان,بورس
2023-04-04,1402-01-15,23710.0,25000.0,23710.0,24100.0,23830.0,372063.0,8926187150.0,183.0,سکرما,سیمان کرمان,بورس
2023-04-05,1402-01-16,23710.0,24500.0,23710.0,24140.0,24040.0,500477.0,12064396490.0,126.0,سکرما,سیمان کرمان,بورس
2023-04-09,1402-01-20,24100.0,25990.0,24100.0,25120.0,25140.0,931968.0,23430917990.0,419.0,سکرما,سیمان کرمان,بورس
2023-04-10,1402-01-21,24600.0,25360.0,24120.0,24950.0,24940.0,769161.0,19186631160.0,356.0,سکرما,سیمان کرمان,بورس
2023-04-11,1402-01-22,24100.0,26100.0,24100.0,25320.0,25110.0,699822.0,17569781440.0,228.0,سکرما,سیمان کرمان,بورس
2023-04-12,1402-01-22,24100.0,26100.0,24100.0,25320.0,25110.0,699822.0,17569781440.0,228.0,سکرما,سیمان کرمان,بورس
2023-04-15,1402-01-26,25560.0,26860.0,25560.0,26860.0,26570.0,990515.0,26320737460.0,272.0,سکرما,سیمان کرمان,بورس
2023-04-16,1402-01-27,26860.0,28420.0,25700.0,28100.0,28090.0,1964733.0,55193696490.0,362.0,سکرما,سیمان کرمان,بورس
2023-04-17,1402-01-28,29940.0,29940.0,26900.0,27900.0,28290.0,671705.0,19002694890.0,259.0,سکرما,سیمان کرمان,بورس
2023-04-18,1402-01-29,28290.0,29450.0,27560.0,27780.0,27970.0,1832122.0,51236839300.0,505.0,سکرما,سیمان کرمان,بورس
2023-04-19,1402-01-30,28500.0,28860.0,26800.0,27570.0,27780.0,327550.0,9050263420.0,274.0,سکرما,سیمان کرمان,بورس
2023-04-22,1402-01-30,28500.0,28860.0,26800.0,27570.0,27780.0,327550.0,9050263420.0,274.0,سکرما,سیمان کرمان,بورس
2023-04-24,1402-02-04,27580.0,28580.0,27260.0,27960.0,27730.0,770467.0,21368449950.0,232.0,سکرما,سیمان کرمان,بورس
2023-04-25,1402-02-05,27000.0,28690.0,27000.0,28390.0,28130.0,407183.0,11528188400.0,212.0,سکرما,سیمان کرمان,بورس
2023-04-26,1402-02-06,26550.0,28950.0,26550.0,28400.0,28210.0,406410.0,11479014410.0,176.0,سکرما,سیمان کرمان,بورس
2023-04-29,1402-02-09,27820.0,29660.0,27800.0,28750.0,28940.0,509521.0,14811863080.0,248.0,سکرما,سیمان کرمان,بورس
2023-04-30,1402-02-10,28050.0,29700.0,28050.0,28810.0,28940.0,560692.0,16223687450.0,208.0,سکرما,سیمان کرمان,بورس
2023-05-01,1402-02-11,29660.0,29660.0,27600.0,28480.0,28330.0,852779.0,24163414810.0,261.0,سکرما,سیمان کرمان,بورس
2023-05-02,1402-02-12,27550.0,29200.0,27550.0,29060.0,28770.0,662079.0,19047506820.0,266.0,سکرما,سیمان کرمان,بورس
2023-05-03,1402-02-13,29600.0,29600.0,28260.0,28560.0,28790.0,925893.0,26660506920.0,226.0,سکرما,سیمان کرمان,بورس
2023-05-06,1402-02-16,28800.0,29640.0,28500.0,28500.0,29110.0,914062.0,26606282920.0,404.0,سکرما,سیمان کرمان,بورس
2023-05-07,1402-02-17,27520.0,28580.0,27080.0,27080.0,27230.0,2283086.0,62173131040.0,324.0,سکرما,سیمان کرمان,بورس
2023-05-08,1402-02-18,25750.0,25750.0,25330.0,25330.0,25340.0,1954345.0,49513958650.0,211.0,سکرما,سیمان کرمان,بورس
2023-05-09,1402-02-19,23570.0,27050.0,23570.0,25910.0,24490.0,1786382.0,43745556450.0,318.0,سکرما,سیمان کرمان,بورس
2023-05-10,1402-02-20,26200.0,26200.0,25210.0,26000.0,25960.0,2459440.0,63839333210.0,582.0,سکرما,سیمان کرمان,بورس
2023-05-13,1402-02-23,26790.0,26790.0,24150.0,24920.0,24470.0,877238.0,21468510500.0,283.0,سکرما,سیمان کرمان,بورس
2023-05-14,1402-02-24,23050.0,25650.0,23050.0,25460.0,24720.0,657586.0,16256281490.0,216.0,سکرما,سیمان کرمان,بورس
2023-05-15,1402-02-25,25220.0,25290.0,24730.0,25060.0,24960.0,490606.0,12274248110.0,167.0,سکرما,سیمان کرمان,بورس
2023-05-17,1402-02-27,24120.0,25800.0,24120.0,25210.0,25090.0,368314.0,9271203690.0,118.0,سکرما,سیمان کرمان,بورس
2023-05-20,1402-02-30,25600.0,26840.0,25000.0,25050.0,25430.0,372065.0,9539305590.0,159.0,سکرما,سیمان کرمان,بورس
2023-05-21,1402-02-31,26350.0,26350.0,25030.0,25760.0,25400.0,338100.0,8580309280.0,128.0,سکرما,سیمان کرمان,بورس
2023-05-22,1402-03-01,25520.0,27170.0,25520.0,27170.0,27060.0,1857418.0,50268205940.0,294.0,سکرما,سیمان کرمان,بورس
2023-05-23,1402-03-02,26510.0,28840.0,26510.0,28750.0,28370.0,1172514.0,33264485020.0,356.0,سکرما,سیمان کرمان,بورس
2023-05-24,1402-03-03,29200.0,29200.0,27220.0,28290.0,28230.0,563534.0,15904536100.0,243.0,سکرما,سیمان کرمان,بورس
2023-05-27,1402-03-06,27800.0,28490.0,26640.0,27300.0,27770.0,330548.0,9054322250.0,269.0,سکرما,سیمان کرمان,بورس
2023-05-28,1402-03-07,27900.0,27900.0,26000.0,26510.0,26260.0,904538.0,23753000020.0,184.0,سکرما,سیمان کرمان,بورس
2023-05-29,1402-03-08,27900.0,28090.0,26260.0,28090.0,28050.0,1659733.0,46552301760.0,229.0,سکرما,سیمان کرمان,بورس
2023-05-30,1402-03-09,29250.0,29900.0,28550.0,28680.0,29220.0,1142522.0,33389757950.0,263.0,سکرما,سیمان کرمان,بورس
2023-05-31,1402-03-10,28680.0,29480.0,27520.0,29240.0,28960.0,1338781.0,38774483340.0,486.0,سکرما,سیمان کرمان,بورس
2023-06-03,1402-03-13,28400.0,29490.0,28400.0,28670.0,28960.0,565231.0,16370669310.0,185.0,سکرما,سیمان کرمان,بورس
2023-06-06,1402-03-16,28150.0,29500.0,28150.0,28380.0,28830.0,291718.0,8372611480.0,156.0,سکرما,سیمان کرمان,بورس
2023-06-07,1402-03-17,28460.0,28470.0,27710.0,28150.0,28590.0,178867.0,5011247360.0,121.0,سکرما,سیمان کرمان,بورس
2023-06-10,1402-03-20,27520.0,27900.0,26860.0,27030.0,27570.0,391458.0,10580138610.0,170.0,سکرما,سیمان کرمان,بورس
2023-06-11,1402-03-21,26510.0,29000.0,26510.0,27380.0,27400.0,284868.0,7748884840.0,213.0,سکرما,سیمان کرمان,بورس
2023-06-12,1402-03-22,26560.0,27790.0,25590.0,26000.0,26470.0,1412008.0,37371156710.0,652.0,سکرما,سیمان کرمان,بورس
2023-06-13,1402-03-23,26470.0,27140.0,26000.0,26130.0,26420.0,200795.0,5286285710.0,114.0,سکرما,سیمان کرمان,بورس
2023-06-14,1402-03-24,27000.0,28000.0,26350.0,27050.0,26780.0,292675.0,7951254950.0,124.0,سکرما,سیمان کرمان,بورس
2023-06-17,1402-03-27,27130.0,27500.0,26500.0,26500.0,26920.0,291902.0,7902646620.0,48.0,سکرما,سیمان کرمان,بورس
2023-06-18,1402-03-28,27960.0,27960.0,25720.0,26130.0,26090.0,516744.0,13413025080.0,129.0,سکرما,سیمان کرمان,بورس
2023-06-19,1402-03-29,26060.0,27000.0,25670.0,25880.0,25960.0,1031406.0,26770870620.0,156.0,سکرما,سیمان کرمان,بورس
2023-06-20,1402-03-30,25700.0,26440.0,25700.0,26200.0,26080.0,227016.0,5966283150.0,66.0,سکرما,سیمان کرمان,بورس
2023-06-21,1402-03-31,26600.0,27490.0,26600.0,27240.0,27160.0,679539.0,18453185490.0,191.0,سکرما,سیمان کرمان,بورس
2023-06-24,1402-04-03,27100.0,27800.0,27000.0,27800.0,27370.0,714200.0,19545439840.0,178.0,سکرما,سیمان کرمان,بورس
2023-06-25,1402-04-04,27990.0,28400.0,27600.0,28300.0,27830.0,327128.0,9228077330.0,125.0,سکرما,سیمان کرمان,بورس
2023-06-26,1402-04-05,27800.0,28620.0,27800.0,28040.0,27940.0,213616.0,6009571190.0,97.0,سکرما,سیمان کرمان,بورس
2023-06-27,1402-04-06,28350.0,28400.0,28090.0,28350.0,28230.0,836375.0,23609648900.0,155.0,سکرما,سیمان کرمان,بورس
2023-06-28,1402-04-07,28700.0,28700.0,27500.0,28230.0,28170.0,175560.0,4919599920.0,65.0,سکرما,سیمان کرمان,بورس
2023-07-01,1402-04-10,26520.0,29050.0,26520.0,28830.0,28600.0,405722.0,11689906450.0,161.0,سکرما,سیمان کرمان,بورس
2023-07-02,1402-04-11,28910.0,29630.0,28910.0,29580.0,29130.0,368755.0,10862640350.0,154.0,سکرما,سیمان کرمان,بورس
2023-07-03,1402-04-12,29640.0,30460.0,29160.0,30460.0,30090.0,1343284.0,40423836000.0,265.0,سکرما,سیمان کرمان,بورس
2023-07-04,1402-04-13,30000.0,32190.0,30000.0,32190.0,32030.0,2553940.0,81813982160.0,530.0,سکرما,سیمان کرمان,بورس
2023-07-05,1402-04-14,32640.0,33900.0,31680.0,32010.0,32690.0,713631.0,23328218620.0,313.0,سکرما,سیمان کرمان,بورس
2023-07-08,1402-04-17,31600.0,32950.0,31220.0,31900.0,31950.0,603164.0,19273946860.0,302.0,سکرما,سیمان کرمان,بورس
2023-07-09,1402-04-18,31900.0,33800.0,31170.0,32180.0,32320.0,470487.0,15253640000.0,301.0,سکرما,سیمان کرمان,بورس
2023-07-10,1402-04-19,32470.0,32470.0,31970.0,32100.0,32300.0,531060.0,17153020480.0,218.0,سکرما,سیمان کرمان,بورس
2023-07-11,1402-04-20,32980.0,32980.0,31270.0,31480.0,31970.0,463850.0,14784964610.0,194.0,سکرما,سیمان کرمان,بورس
2023-07-12,1402-04-21,32440.0,32440.0,29820.0,30220.0,30420.0,609558.0,18543987100.0,178.0,سکرما,سیمان کرمان,بورس
2023-07-15,1402-04-24,30220.0,32000.0,30220.0,31520.0,30670.0,232853.0,7235192350.0,123.0,سکرما,سیمان کرمان,بورس
2023-07-16,1402-04-25,31800.0,31800.0,29210.0,29990.0,30580.0,75966.0,2275588020.0,68.0,سکرما,سیمان کرمان,بورس
2023-07-17,1402-04-26,29990.0,30550.0,29520.0,29750.0,30000.0,416651.0,12391778070.0,202.0,سکرما,سیمان کرمان,بورس
2023-07-18,1402-04-27,30470.0,31860.0,30450.0,31550.0,30510.0,277984.0,8645271850.0,146.0,سکرما,سیمان کرمان,بورس
2023-07-19,1402-04-28,32580.0,32590.0,30140.0,30180.0,30720.0,179441.0,5599467280.0,164.0,سکرما,سیمان کرمان,بورس
2023-07-22,1402-04-31,30380.0,32470.0,30370.0,31880.0,31190.0,353726.0,11148015390.0,174.0,سکرما,سیمان کرمان,بورس
2023-07-23,1402-05-01,32000.0,32500.0,30530.0,30990.0,30920.0,977471.0,30219007800.0,303.0,سکرما,سیمان کرمان,بورس
2023-07-24,1402-05-02,31460.0,31460.0,29880.0,29880.0,30330.0,852032.0,25840313760.0,351.0,سکرما,سیمان کرمان,بورس
2023-07-25,1402-05-03,28260.0,30100.0,28260.0,28850.0,28920.0,1980914.0,57289764490.0,761.0,سکرما,سیمان کرمان,بورس
2023-07-26,1402-05-04,29230.0,29990.0,28730.0,29540.0,29010.0,108839.0,3203877310.0,138.0,سکرما,سیمان کرمان,بورس
2023-07-29,1402-05-07,29600.0,30700.0,28710.0,29330.0,29070.0,70407.0,2080001860.0,104.0,سکرما,سیمان کرمان,بورس
2023-07-30,1402-05-08,29350.0,29390.0,28120.0,28120.0,28620.0,463546.0,13203137980.0,232.0,سکرما,سیمان کرمان,بورس
2023-07-31,1402-05-09,28400.0,29140.0,28050.0,28320.0,28520.0,228232.0,6473164090.0,132.0,سکرما,سیمان کرمان,بورس
2023-08-01,1402-05-10,28990.0,29140.0,28520.0,28860.0,28580.0,151460.0,4354992190.0,76.0,سکرما,سیمان کرمان,بورس
2023-08-02,1402-05-10,28990.0,29140.0,28520.0,28860.0,28580.0,151460.0,4354992190.0,76.0,سکرما,سیمان کرمان,بورس
2023-08-05,1402-05-14,28990.0,30500.0,28060.0,29090.0,29180.0,369516.0,10920679260.0,260.0,سکرما,سیمان کرمان,بورس
2023-08-06,1402-05-15,29800.0,29800.0,28500.0,28600.0,28640.0,598614.0,17145498610.0,218.0,سکرما,سیمان کرمان,بورس
2023-08-07,1402-05-16,28900.0,28900.0,28500.0,28610.0,28650.0,122503.0,3512879790.0,89.0,سکرما,سیمان کرمان,بورس
2023-08-08,1402-05-17,28020.0,28800.0,28020.0,28410.0,28550.0,274917.0,7819163950.0,49.0,سکرما,سیمان کرمان,بورس
2023-08-09,1402-05-18,27720.0,28790.0,27720.0,28250.0,28450.0,288857.0,8184141930.0,92.0,سکرما,سیمان کرمان,بورس
2023-08-12,1402-05-21,28600.0,28600.0,27270.0,27870.0,28320.0,232405.0,6534401510.0,114.0,سکرما,سیمان کرمان,بورس
2023-08-13,1402-05-22,28610.0,28610.0,27170.0,28000.0,28130.0,225223.0,6261790850.0,151.0,سکرما,سیمان کرمان,بورس
2023-08-14,1402-05-23,28310.0,28810.0,28000.0,28500.0,28440.0,708333.0,20142661870.0,101.0,سکرما,سیمان کرمان,بورس
2023-08-15,1402-05-24,28660.0,28670.0,28150.0,28180.0,28410.0,117507.0,3325061620.0,83.0,سکرما,سیمان کرمان,بورس
2023-08-16,1402-05-25,27500.0,28490.0,27500.0,28400.0,28390.0,56032.0,1577901070.0,83.0,سکرما,سیمان کرمان,بورس
2023-08-19,1402-05-28,28020.0,28380.0,27790.0,27800.0,28330.0,89357.0,2499029230.0,106.0,سکرما,سیمان کرمان,بورس
2023-08-20,1402-05-29,27220.0,28200.0,27200.0,27890.0,28080.0,256193.0,7110826950.0,217.0,سکرما,سیمان کرمان,بورس
2023-08-21,1402-05-30,27850.0,28200.0,27650.0,27650.0,27920.0,277727.0,7704574450.0,129.0,سکرما,سیمان کرمان,بورس
2023-08-22,1402-05-31,27650.0,27900.0,26500.0,27300.0,27600.0,228076.0,6173914510.0,237.0,سکرما,سیمان کرمان,بورس
2023-08-23,1402-06-01,28000.0,28160.0,27310.0,27770.0,27640.0,146043.0,4055408410.0,183.0,سکرما,سیمان کرمان,بورس
2023-08-26,1402-06-04,28000.0,28590.0,27710.0,28590.0,27830.0,296914.0,8321544570.0,99.0,سکرما,سیمان کرمان,بورس
2023-08-27,1402-06-05,28500.0,29770.0,28500.0,28980.0,28370.0,242802.0,7083702350.0,124.0,سکرما,سیمان کرمان,بورس
2023-08-28,1402-06-06,29200.0,29350.0,28680.0,29350.0,28600.0,286017.0,8250376530.0,112.0,سکرما,سیمان کرمان,بورس
2023-08-29,1402-06-07,29350.0,29990.0,28760.0,29150.0,28740.0,205122.0,5953234540.0,92.0,سکرما,سیمان کرمان,بورس
2023-08-30,1402-06-08,29790.0,29790.0,27500.0,29000.0,28780.0,119879.0,3470370690.0,68.0,سکرما,سیمان کرمان,بورس
2023-09-02,1402-06-11,29890.0,29890.0,28560.0,29530.0,29190.0,360718.0,10629693750.0,85.0,سکرما,سیمان کرمان,بورس
2023-09-03,1402-06-12,29200.0,29900.0,28800.0,29300.0,29300.0,686392.0,20109458050.0,144.0,سکرما,سیمان کرمان,بورس
2023-09-04,1402-06-13,29750.0,29750.0,29510.0,29630.0,29410.0,191801.0,5684975010.0,98.0,سکرما,سیمان کرمان,بورس
2023-09-05,1402-06-14,29990.0,29990.0,29010.0,29600.0,29570.0,214388.0,6401977050.0,97.0,سکرما,سیمان کرمان,بورس
2023-09-09,1402-06-18,29060.0,29950.0,29020.0,29550.0,29600.0,201148.0,5965034480.0,147.0,سکرما,سیمان کرمان,بورس
2023-09-10,1402-06-19,29500.0,29920.0,29500.0,29850.0,29700.0,327341.0,9746715790.0,92.0,سکرما,سیمان کرمان,بورس
