Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,28070.0,28070.0,25690.0,26030.0,26110.0,4875342.0,127281559770.0,1734.0,سیمرغ,سیمرغ,بورس
2023-01-22,1401-11-02,26060.0,27350.0,25120.0,25990.0,25520.0,3463207.0,88384586630.0,1211.0,سیمرغ,سیمرغ,بورس
2023-01-23,1401-11-03,26000.0,26520.0,25000.0,25550.0,25640.0,3331071.0,85412920710.0,1021.0,سیمرغ,سیمرغ,بورس
2023-01-24,1401-11-04,25220.0,26500.0,25220.0,25950.0,25780.0,2143558.0,55261376770.0,837.0,سیمرغ,سیمرغ,بورس
2023-01-25,1401-11-05,26000.0,26000.0,24350.0,24800.0,24700.0,4308430.0,106402705050.0,1339.0,سیمرغ,سیمرغ,بورس
2023-01-28,1401-11-08,24990.0,24990.0,23110.0,23970.0,23740.0,2744551.0,65149232140.0,1022.0,سیمرغ,سیمرغ,بورس
2023-01-29,1401-11-09,23750.0,23750.0,22080.0,22660.0,22230.0,5515912.0,122608286610.0,1522.0,سیمرغ,سیمرغ,بورس
2023-01-30,1401-11-10,22090.0,23200.0,21520.0,22550.0,22140.0,3381005.0,74838817280.0,919.0,سیمرغ,سیمرغ,بورس
2023-01-31,1401-11-11,22700.0,23120.0,22230.0,22890.0,22630.0,2261866.0,51181964990.0,733.0,سیمرغ,سیمرغ,بورس
2023-02-01,1401-11-12,22990.0,22990.0,21840.0,22690.0,22440.0,2222220.0,49869594930.0,646.0,سیمرغ,سیمرغ,بورس
2023-02-04,1401-11-12,22990.0,22990.0,21840.0,22690.0,22440.0,2222220.0,49869594930.0,646.0,سیمرغ,سیمرغ,بورس
2023-02-05,1401-11-16,22410.0,23830.0,21840.0,22090.0,22680.0,1731624.0,39274591880.0,729.0,سیمرغ,سیمرغ,بورس
2023-02-06,1401-11-17,22020.0,23270.0,21950.0,22850.0,22810.0,1269893.0,28963159500.0,571.0,سیمرغ,سیمرغ,بورس
2023-02-07,1401-11-18,23110.0,23900.0,23040.0,23630.0,23450.0,1217230.0,28548055030.0,467.0,سیمرغ,سیمرغ,بورس
