Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,48000.0,48000.0,47030.0,47460.0,47370.0,2068205.0,97961998510.0,809.0,شاراک,پتروشیمی شازند,بورس
2022-06-06,1401-03-16,47350.0,47350.0,45530.0,45990.0,46080.0,3167307.0,145964135870.0,1509.0,شاراک,پتروشیمی شازند,بورس
2022-06-07,1401-03-17,46100.0,46190.0,45900.0,46130.0,46070.0,2868563.0,132150189460.0,1082.0,شاراک,پتروشیمی شازند,بورس
2022-06-08,1401-03-18,46130.0,46600.0,46070.0,46190.0,46140.0,1018608.0,47066462950.0,679.0,شاراک,پتروشیمی شازند,بورس
2022-06-11,1401-03-21,47000.0,47240.0,46530.0,47030.0,47010.0,2848827.0,133936421580.0,1212.0,شاراک,پتروشیمی شازند,بورس
2022-06-12,1401-03-22,47350.0,48600.0,47350.0,48440.0,48040.0,2427300.0,116606079640.0,1378.0,شاراک,پتروشیمی شازند,بورس
2022-06-13,1401-03-23,48650.0,50080.0,48650.0,49770.0,49650.0,2508566.0,124562010210.0,1806.0,شاراک,پتروشیمی شازند,بورس
2022-06-14,1401-03-24,49790.0,50140.0,48670.0,49000.0,49500.0,2898890.0,143506318960.0,1621.0,شاراک,پتروشیمی شازند,بورس
2022-06-15,1401-03-25,47110.0,47890.0,46600.0,46720.0,46980.0,11832583.0,555837841030.0,5580.0,شاراک,پتروشیمی شازند,بورس
2022-06-18,1401-03-28,46650.0,46650.0,44900.0,45100.0,45300.0,4629870.0,209754139410.0,2744.0,شاراک,پتروشیمی شازند,بورس
2022-06-19,1401-03-29,45430.0,46400.0,44950.0,45400.0,45540.0,1878163.0,85601171620.0,1275.0,شاراک,پتروشیمی شازند,بورس
2022-06-20,1401-03-30,46000.0,46450.0,45510.0,45600.0,46050.0,3036974.0,139846611890.0,1504.0,شاراک,پتروشیمی شازند,بورس
2022-06-21,1401-03-31,45910.0,46050.0,45300.0,45900.0,45760.0,3480112.0,159256142520.0,1620.0,شاراک,پتروشیمی شازند,بورس
2022-06-22,1401-04-01,45600.0,45870.0,45250.0,45760.0,45610.0,3385884.0,154431082850.0,1206.0,شاراک,پتروشیمی شازند,بورس
2022-06-25,1401-04-04,45600.0,45800.0,44670.0,45000.0,45200.0,4032826.0,182301332560.0,1863.0,شاراک,پتروشیمی شازند,بورس
2022-06-26,1401-04-05,44990.0,46340.0,44750.0,46090.0,45610.0,6242028.0,284681590960.0,1877.0,شاراک,پتروشیمی شازند,بورس
2022-06-27,1401-04-06,46350.0,48000.0,45550.0,46000.0,45940.0,9849532.0,452462313680.0,3474.0,شاراک,پتروشیمی شازند,بورس
2022-06-28,1401-04-06,46350.0,48000.0,45550.0,46000.0,45940.0,9849532.0,452462313680.0,3474.0,شاراک,پتروشیمی شازند,بورس
2022-06-29,1401-04-06,46350.0,48000.0,45550.0,46000.0,45940.0,9849532.0,452462313680.0,3474.0,شاراک,پتروشیمی شازند,بورس
2022-07-02,1401-04-06,46350.0,48000.0,45550.0,46000.0,45940.0,9849532.0,452462313680.0,3474.0,شاراک,پتروشیمی شازند,بورس
2022-07-03,1401-04-12,39000.0,39000.0,38510.0,38600.0,38950.0,807838.0,31342003830.0,563.0,شاراک,پتروشیمی شازند,بورس
2022-07-04,1401-04-13,38940.0,39350.0,38170.0,38940.0,38580.0,5437862.0,209810671380.0,2378.0,شاراک,پتروشیمی شازند,بورس
2022-07-05,1401-04-14,38990.0,38990.0,37250.0,37460.0,38000.0,2929139.0,111292721770.0,2090.0,شاراک,پتروشیمی شازند,بورس
2022-07-06,1401-04-15,37980.0,37980.0,36450.0,36500.0,36870.0,3842728.0,141664887420.0,2089.0,شاراک,پتروشیمی شازند,بورس
2022-07-09,1401-04-18,37400.0,37400.0,36020.0,36520.0,36810.0,1923078.0,70754469540.0,1013.0,شاراک,پتروشیمی شازند,بورس
2022-07-11,1401-04-20,36820.0,36940.0,35990.0,36000.0,36490.0,1806589.0,65645357710.0,1163.0,شاراک,پتروشیمی شازند,بورس
2022-07-12,1401-04-21,36460.0,36460.0,35820.0,35900.0,35960.0,3634280.0,130692291890.0,1192.0,شاراک,پتروشیمی شازند,بورس
2022-07-13,1401-04-22,35980.0,36400.0,35200.0,35300.0,35610.0,2476344.0,88094331140.0,1575.0,شاراک,پتروشیمی شازند,بورس
2022-07-16,1401-04-25,35600.0,35600.0,34120.0,34160.0,34790.0,2102883.0,72578267560.0,1815.0,شاراک,پتروشیمی شازند,بورس
2022-07-17,1401-04-26,34700.0,34700.0,33330.0,33570.0,33980.0,2216575.0,74835696930.0,1522.0,شاراک,پتروشیمی شازند,بورس
2022-07-19,1401-04-28,33890.0,34990.0,33600.0,34150.0,34050.0,1319822.0,45051251470.0,951.0,شاراک,پتروشیمی شازند,بورس
2022-07-20,1401-04-29,34500.0,35440.0,34480.0,35330.0,34570.0,1387300.0,48692300330.0,970.0,شاراک,پتروشیمی شازند,بورس
2022-07-23,1401-05-01,34620.0,34930.0,33510.0,34270.0,34290.0,5411686.0,185576850180.0,2423.0,شاراک,پتروشیمی شازند,بورس
2022-07-24,1401-05-02,34690.0,34690.0,33500.0,33870.0,33960.0,2720711.0,92325681730.0,1380.0,شاراک,پتروشیمی شازند,بورس
2022-07-25,1401-05-03,34030.0,34030.0,32650.0,32820.0,33420.0,2305606.0,76735707950.0,1250.0,شاراک,پتروشیمی شازند,بورس
2022-07-26,1401-05-04,33080.0,34000.0,33080.0,33490.0,33330.0,2304108.0,76744355970.0,716.0,شاراک,پتروشیمی شازند,بورس
2022-07-27,1401-05-05,33600.0,33700.0,33330.0,33440.0,33380.0,1019867.0,34134715500.0,614.0,شاراک,پتروشیمی شازند,بورس
2022-07-30,1401-05-08,33410.0,33810.0,33000.0,33020.0,33380.0,951960.0,31779363190.0,740.0,شاراک,پتروشیمی شازند,بورس
2022-07-31,1401-05-09,33300.0,33450.0,32540.0,33200.0,33150.0,1738786.0,57343440890.0,742.0,شاراک,پتروشیمی شازند,بورس
2022-08-01,1401-05-10,33300.0,33680.0,33050.0,33200.0,33210.0,1062107.0,35396641070.0,624.0,شاراک,پتروشیمی شازند,بورس
2022-08-02,1401-05-11,33400.0,34000.0,33200.0,33330.0,33370.0,1902384.0,63657571800.0,516.0,شاراک,پتروشیمی شازند,بورس
2022-08-03,1401-05-12,33880.0,33880.0,33460.0,33630.0,33440.0,730758.0,24590550860.0,448.0,شاراک,پتروشیمی شازند,بورس
2022-08-06,1401-05-15,33460.0,34000.0,33460.0,33990.0,33600.0,1311673.0,44335077230.0,600.0,شاراک,پتروشیمی شازند,بورس
2022-08-09,1401-05-18,33990.0,34000.0,33550.0,33560.0,33640.0,1090783.0,36776221240.0,618.0,شاراک,پتروشیمی شازند,بورس
2022-08-10,1401-05-19,33950.0,34920.0,33640.0,34700.0,34170.0,1769351.0,61117091090.0,937.0,شاراک,پتروشیمی شازند,بورس
2022-08-13,1401-05-22,34940.0,35150.0,34180.0,34640.0,34410.0,1093909.0,38081494080.0,705.0,شاراک,پتروشیمی شازند,بورس
2022-08-14,1401-05-23,36470.0,36470.0,36470.0,36470.0,36470.0,4151859.0,151418297730.0,459.0,شاراک,پتروشیمی شازند,بورس
2022-08-15,1401-05-24,37790.0,37790.0,35740.0,35860.0,36850.0,5386689.0,198482963450.0,2418.0,شاراک,پتروشیمی شازند,بورس
2022-08-16,1401-05-25,36490.0,36490.0,34650.0,34690.0,35510.0,2492606.0,87935922550.0,1861.0,شاراک,پتروشیمی شازند,بورس
2022-08-17,1401-05-26,33950.0,34980.0,33510.0,33660.0,34220.0,2663533.0,90798105510.0,1493.0,شاراک,پتروشیمی شازند,بورس
2022-08-20,1401-05-29,33300.0,34010.0,32610.0,33980.0,33600.0,1910594.0,63573476620.0,989.0,شاراک,پتروشیمی شازند,بورس
2022-08-21,1401-05-30,33600.0,33980.0,33530.0,33620.0,33630.0,992982.0,33464772490.0,633.0,شاراک,پتروشیمی شازند,بورس
2022-08-22,1401-05-31,33980.0,33980.0,33630.0,33800.0,33670.0,735817.0,24861295600.0,620.0,شاراک,پتروشیمی شازند,بورس
2022-08-23,1401-06-01,33820.0,34140.0,33670.0,33800.0,33760.0,1230345.0,41681475870.0,646.0,شاراک,پتروشیمی شازند,بورس
2022-08-24,1401-06-02,34000.0,34190.0,33900.0,33960.0,33870.0,1322410.0,44959869880.0,754.0,شاراک,پتروشیمی شازند,بورس
2022-08-27,1401-06-05,33940.0,34350.0,33940.0,34000.0,34000.0,1141339.0,39030070930.0,564.0,شاراک,پتروشیمی شازند,بورس
2022-08-28,1401-06-06,34000.0,34250.0,33500.0,33710.0,33920.0,730972.0,24620077420.0,530.0,شاراک,پتروشیمی شازند,بورس
2022-08-29,1401-06-07,33920.0,33920.0,33450.0,33700.0,33850.0,808775.0,27227043670.0,563.0,شاراک,پتروشیمی شازند,بورس
2022-08-30,1401-06-08,33800.0,33800.0,33400.0,33560.0,33790.0,660072.0,22156965390.0,502.0,شاراک,پتروشیمی شازند,بورس
2022-08-31,1401-06-09,33770.0,33990.0,33450.0,33490.0,33750.0,640072.0,21496144150.0,529.0,شاراک,پتروشیمی شازند,بورس
2022-09-03,1401-06-12,33490.0,33990.0,32780.0,33360.0,33590.0,1272938.0,42497845840.0,555.0,شاراک,پتروشیمی شازند,بورس
2022-09-04,1401-06-13,33590.0,33960.0,33400.0,33550.0,33630.0,1275596.0,42957508600.0,504.0,شاراک,پتروشیمی شازند,بورس
2022-09-05,1401-06-14,33620.0,33860.0,33360.0,33420.0,33620.0,1209688.0,40641532520.0,442.0,شاراک,پتروشیمی شازند,بورس
2022-09-06,1401-06-15,33620.0,33720.0,32890.0,32970.0,33470.0,842216.0,27870972060.0,641.0,شاراک,پتروشیمی شازند,بورس
2022-09-07,1401-06-16,33090.0,33100.0,32020.0,32310.0,33090.0,1220670.0,39733439070.0,1388.0,شاراک,پتروشیمی شازند,بورس
2022-09-10,1401-06-19,32890.0,32890.0,31490.0,31830.0,32050.0,2578186.0,82178264880.0,934.0,شاراک,پتروشیمی شازند,بورس
2022-09-11,1401-06-20,32030.0,32230.0,31900.0,32070.0,32050.0,712233.0,22816465000.0,454.0,شاراک,پتروشیمی شازند,بورس
