J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,20060.0,20250.0,19620.0,20240.0,19960.0,6036689.0,120482604900.0,1552.0,شبهرن,نفت بهران,بورس
2023-01-22,1401-11-02,20200.0,20200.0,19650.0,20060.0,19930.0,7702879.0,153544542790.0,1893.0,شبهرن,نفت بهران,بورس
2023-01-23,1401-11-03,20060.0,20180.0,19820.0,19850.0,19920.0,3651676.0,72712756250.0,780.0,شبهرن,نفت بهران,بورس
2023-01-24,1401-11-04,20000.0,20000.0,19650.0,19700.0,19860.0,1725185.0,34095959210.0,871.0,شبهرن,نفت بهران,بورس
2023-01-25,1401-11-05,19980.0,19980.0,19240.0,19550.0,19630.0,2807346.0,54653500600.0,819.0,شبهرن,نفت بهران,بورس
2023-01-28,1401-11-08,19730.0,19950.0,19380.0,19390.0,19630.0,4693811.0,92124370970.0,860.0,شبهرن,نفت بهران,بورس
2023-01-29,1401-11-09,19500.0,19500.0,18260.0,18500.0,18520.0,4627561.0,85535654420.0,868.0,شبهرن,نفت بهران,بورس
2023-01-30,1401-11-10,18550.0,18900.0,17860.0,18690.0,18410.0,4248151.0,78152978030.0,878.0,شبهرن,نفت بهران,بورس
2023-01-31,1401-11-11,19000.0,19000.0,18250.0,18270.0,18400.0,3095168.0,56953329660.0,946.0,شبهرن,نفت بهران,بورس
2023-02-01,1401-11-12,18500.0,18500.0,18000.0,18230.0,18210.0,3638874.0,66050884130.0,1037.0,شبهرن,نفت بهران,بورس
2023-02-04,1401-11-12,18500.0,18500.0,18000.0,18230.0,18210.0,3638874.0,66050884130.0,1037.0,شبهرن,نفت بهران,بورس
2023-02-05,1401-11-16,17560.0,18320.0,17500.0,17820.0,18010.0,2472963.0,44087716750.0,572.0,شبهرن,نفت بهران,بورس
2023-02-06,1401-11-17,18000.0,18690.0,17490.0,18680.0,18150.0,4247303.0,77151460120.0,1155.0,شبهرن,نفت بهران,بورس
2023-02-07,1401-11-18,18020.0,19390.0,18020.0,19320.0,18780.0,3733471.0,70795720870.0,1062.0,شبهرن,نفت بهران,بورس
2023-02-08,1401-11-19,19420.0,19480.0,18850.0,19080.0,19010.0,2953389.0,56553521000.0,781.0,شبهرن,نفت بهران,بورس
2023-02-11,1401-11-19,19420.0,19480.0,18850.0,19080.0,19010.0,2953389.0,56553521000.0,781.0,شبهرن,نفت بهران,بورس
2023-02-12,1401-11-23,19080.0,19080.0,18480.0,18960.0,18890.0,3644120.0,68679257500.0,1060.0,شبهرن,نفت بهران,بورس
