Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,2370.0,2447.0,2328.0,2350.0,2379.0,11460513.0,27267441412.0,722.0,شپاکسا,پاکسان,بورس
2022-06-06,1401-03-16,2429.0,2429.0,2237.0,2237.0,2249.0,20846702.0,46890285452.0,936.0,شپاکسا,پاکسان,بورس
2022-06-07,1401-03-17,2190.0,2329.0,2190.0,2196.0,2224.0,11345307.0,25237258672.0,576.0,شپاکسا,پاکسان,بورس
2022-06-08,1401-03-18,2260.0,2300.0,2210.0,2260.0,2251.0,10588967.0,23831495605.0,608.0,شپاکسا,پاکسان,بورس
2022-06-11,1401-03-21,2337.0,2386.0,2201.0,2386.0,2342.0,29002388.0,67913816240.0,1273.0,شپاکسا,پاکسان,بورس
2022-06-12,1401-03-22,2400.0,2400.0,2310.0,2321.0,2341.0,15073773.0,35288070256.0,725.0,شپاکسا,پاکسان,بورس
2022-06-13,1401-03-23,2310.0,2473.0,2250.0,2371.0,2411.0,22236319.0,53622634414.0,847.0,شپاکسا,پاکسان,بورس
2022-06-14,1401-03-24,2371.0,2397.0,2267.0,2267.0,2301.0,20649163.0,47509890952.0,935.0,شپاکسا,پاکسان,بورس
2022-06-15,1401-03-25,2270.0,2330.0,2210.0,2220.0,2230.0,14306983.0,31898539849.0,629.0,شپاکسا,پاکسان,بورس
2022-06-18,1401-03-28,2300.0,2300.0,2162.0,2260.0,2231.0,18401711.0,41048577466.0,742.0,شپاکسا,پاکسان,بورس
2022-06-19,1401-03-29,2231.0,2300.0,2164.0,2164.0,2208.0,14397540.0,31783771904.0,744.0,شپاکسا,پاکسان,بورس
2022-06-20,1401-03-30,2208.0,2214.0,2101.0,2139.0,2149.0,13841960.0,29744464556.0,735.0,شپاکسا,پاکسان,بورس
2022-06-21,1401-03-31,2139.0,2200.0,2104.0,2123.0,2137.0,7866935.0,16809501683.0,466.0,شپاکسا,پاکسان,بورس
2022-06-22,1401-04-01,2120.0,2185.0,2106.0,2116.0,2129.0,11613965.0,24724339550.0,438.0,شپاکسا,پاکسان,بورس
2022-06-25,1401-04-04,2095.0,2149.0,2031.0,2040.0,2071.0,13660571.0,28285883802.0,671.0,شپاکسا,پاکسان,بورس
2022-06-26,1401-04-05,2031.0,2032.0,1950.0,1952.0,1980.0,22565023.0,44688132651.0,946.0,شپاکسا,پاکسان,بورس
2022-06-27,1401-04-06,1950.0,2012.0,1921.0,1947.0,1960.0,10501144.0,20580838603.0,558.0,شپاکسا,پاکسان,بورس
2022-06-28,1401-04-07,1922.0,2032.0,1922.0,2010.0,1984.0,14953058.0,29667536115.0,645.0,شپاکسا,پاکسان,بورس
