J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,7980.0,7980.0,7480.0,7670.0,7680.0,184186772.0,1415471302290.0,13254.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-22,1401-11-02,7730.0,7980.0,7600.0,7790.0,7750.0,165446090.0,1282533040560.0,11088.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-23,1401-11-03,7830.0,7880.0,7510.0,7710.0,7670.0,165589522.0,1269463555530.0,10089.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-24,1401-11-04,7600.0,7680.0,7480.0,7540.0,7530.0,109693900.0,826173132460.0,7678.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-25,1401-11-05,7480.0,7500.0,7110.0,7400.0,7300.0,181556990.0,1325401898260.0,11885.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-28,1401-11-08,7400.0,7420.0,7170.0,7320.0,7320.0,153141366.0,1120542491120.0,8078.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-29,1401-11-09,7270.0,7270.0,6810.0,7070.0,7000.0,174007880.0,1217239872260.0,11522.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-30,1401-11-10,6870.0,7150.0,6800.0,7080.0,7000.0,96712850.0,677150316740.0,7684.0,شپنا,پالایش نفت اصفهان,بورس
2023-01-31,1401-11-11,7100.0,7240.0,6990.0,7180.0,7110.0,88782789.0,631608004290.0,6398.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-01,1401-11-12,7110.0,7190.0,6970.0,7100.0,7090.0,68183295.0,483644770580.0,4843.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-04,1401-11-12,7110.0,7190.0,6970.0,7100.0,7090.0,68183295.0,483644770580.0,4843.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-05,1401-11-16,7000.0,7050.0,6800.0,6840.0,6870.0,128842582.0,885775673120.0,7609.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-06,1401-11-17,6870.0,7030.0,6860.0,6940.0,6950.0,55713805.0,386943060210.0,4421.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-07,1401-11-18,6970.0,7120.0,6970.0,7090.0,7060.0,73800421.0,520703791230.0,4684.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-08,1401-11-19,7080.0,7090.0,6870.0,6920.0,6970.0,92534694.0,644873214830.0,6208.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-11,1401-11-19,7080.0,7090.0,6870.0,6920.0,6970.0,92534694.0,644873214830.0,6208.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-12,1401-11-23,6880.0,6940.0,6800.0,6890.0,6870.0,76942821.0,528683318020.0,5271.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-13,1401-11-24,6850.0,7000.0,6810.0,6830.0,6860.0,64054444.0,439670635860.0,4973.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-14,1401-11-25,6850.0,6920.0,6730.0,6740.0,6790.0,85779728.0,582571420220.0,5594.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-15,1401-11-26,6810.0,6830.0,6690.0,6730.0,6740.0,54825595.0,369780747280.0,4029.0,شپنا,پالایش نفت اصفهان,بورس
2023-02-18,1401-11-26,6810.0,6830.0,6690.0,6730.0,6740.0,54825595.0,369780747280.0,4029.0,شپنا,پالایش نفت اصفهان,بورس
