Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,5900.0,5990.0,5570.0,5700.0,5790.0,16445462.0,95187789740.0,1212.0,شگل,گلتاش,بورس
2023-01-22,1401-11-02,5840.0,5850.0,5440.0,5700.0,5590.0,11853095.0,66270004350.0,847.0,شگل,گلتاش,بورس
2023-01-23,1401-11-03,5700.0,5980.0,5650.0,5980.0,5980.0,26786320.0,160053688670.0,1102.0,شگل,گلتاش,بورس
2023-01-24,1401-11-04,6390.0,6390.0,6190.0,6390.0,6380.0,23302738.0,148658687420.0,870.0,شگل,گلتاش,بورس
2023-01-25,1401-11-05,6740.0,6750.0,6250.0,6410.0,6520.0,31137592.0,202912556360.0,1523.0,شگل,گلتاش,بورس
2023-01-28,1401-11-08,6570.0,6570.0,6070.0,6070.0,6100.0,14323431.0,87403872790.0,719.0,شگل,گلتاش,بورس
2023-01-29,1401-11-09,5750.0,6000.0,5680.0,5710.0,5680.0,15926555.0,90517471260.0,490.0,شگل,گلتاش,بورس
2023-01-30,1401-11-10,5390.0,6060.0,5290.0,5940.0,5710.0,8036274.0,45869064870.0,562.0,شگل,گلتاش,بورس
2023-01-31,1401-11-11,5730.0,6000.0,5440.0,5580.0,5770.0,3589206.0,20691849560.0,366.0,شگل,گلتاش,بورس
2023-02-01,1401-11-12,5690.0,5690.0,5450.0,5600.0,5580.0,2806742.0,15665784580.0,299.0,شگل,گلتاش,بورس
2023-02-04,1401-11-12,5690.0,5690.0,5450.0,5600.0,5580.0,2806742.0,15665784580.0,299.0,شگل,گلتاش,بورس
2023-02-05,1401-11-16,5800.0,5800.0,5220.0,5580.0,5480.0,2237949.0,12222810590.0,184.0,شگل,گلتاش,بورس
2023-02-06,1401-11-17,5400.0,5560.0,5300.0,5480.0,5390.0,1942669.0,10408176530.0,157.0,شگل,گلتاش,بورس
2023-02-07,1401-11-18,5710.0,5710.0,5390.0,5550.0,5460.0,1366714.0,7567192190.0,114.0,شگل,گلتاش,بورس
2023-02-08,1401-11-19,5740.0,5840.0,5740.0,5840.0,5840.0,5094616.0,29743875550.0,361.0,شگل,گلتاش,بورس
2023-02-11,1401-11-19,5740.0,5840.0,5740.0,5840.0,5840.0,5094616.0,29743875550.0,361.0,شگل,گلتاش,بورس
2023-02-12,1401-11-23,5900.0,5900.0,5510.0,5530.0,5730.0,1600417.0,9060432410.0,212.0,شگل,گلتاش,بورس
2023-02-13,1401-11-24,5540.0,5840.0,5520.0,5670.0,5680.0,1812566.0,10261591720.0,226.0,شگل,گلتاش,بورس
2023-02-14,1401-11-25,5550.0,5710.0,5470.0,5550.0,5650.0,785884.0,4375936080.0,111.0,شگل,گلتاش,بورس
2023-02-15,1401-11-26,5470.0,5690.0,5470.0,5690.0,5630.0,619078.0,3452295670.0,96.0,شگل,گلتاش,بورس
2023-02-18,1401-11-26,5470.0,5690.0,5470.0,5690.0,5630.0,619078.0,3452295670.0,96.0,شگل,گلتاش,بورس
