Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,3433.0,3498.0,3328.0,3340.0,3372.0,9142675.0,30829432058.0,928.0,غسالم,سالمین,بورس
2022-06-06,1401-03-16,3372.0,3373.0,3170.0,3170.0,3194.0,11172653.0,35682216631.0,980.0,غسالم,سالمین,بورس
2022-06-07,1401-03-17,3155.0,3190.0,3055.0,3164.0,3143.0,6080803.0,19114364870.0,709.0,غسالم,سالمین,بورس
2022-06-08,1401-03-18,3077.0,3331.0,3077.0,3330.0,3308.0,14751565.0,48798809169.0,1172.0,غسالم,سالمین,بورس
2022-06-11,1401-03-21,3385.0,3386.0,3200.0,3241.0,3300.0,6584803.0,21728182405.0,845.0,غسالم,سالمین,بورس
2022-06-12,1401-03-22,3190.0,3345.0,3190.0,3283.0,3263.0,6558159.0,21399632099.0,731.0,غسالم,سالمین,بورس
2022-06-13,1401-03-23,3283.0,3425.0,3283.0,3371.0,3372.0,7604572.0,25639080766.0,736.0,غسالم,سالمین,بورس
2022-06-14,1401-03-24,3372.0,3400.0,3271.0,3311.0,3333.0,8911398.0,29701220687.0,796.0,غسالم,سالمین,بورس
2022-06-15,1401-03-25,3383.0,3383.0,3205.0,3227.0,3240.0,5183793.0,16793794584.0,736.0,غسالم,سالمین,بورس
2022-06-18,1401-03-28,3228.0,3298.0,3046.0,3070.0,3117.0,8588004.0,26765213740.0,831.0,غسالم,سالمین,بورس
2022-06-19,1401-03-29,3080.0,3110.0,2994.0,3060.0,3031.0,10853708.0,32897742670.0,1024.0,غسالم,سالمین,بورس
2022-06-20,1401-03-30,3032.0,3212.0,3021.0,3212.0,3150.0,17769213.0,55967954856.0,1156.0,غسالم,سالمین,بورس
2022-06-21,1401-03-31,3290.0,3330.0,3159.0,3236.0,3261.0,15659801.0,51060383366.0,1131.0,غسالم,سالمین,بورس
2022-06-22,1401-04-01,3295.0,3362.0,3166.0,3305.0,3301.0,8652506.0,28562602351.0,741.0,غسالم,سالمین,بورس
2022-06-25,1401-04-04,3301.0,3397.0,3300.0,3301.0,3341.0,5911479.0,19749520397.0,622.0,غسالم,سالمین,بورس
2022-06-26,1401-04-05,3285.0,3439.0,3181.0,3401.0,3350.0,15651013.0,52437493832.0,1053.0,غسالم,سالمین,بورس
2022-06-27,1401-04-06,3400.0,3400.0,3302.0,3359.0,3338.0,7735200.0,25820255204.0,595.0,غسالم,سالمین,بورس
2022-06-28,1401-04-07,3338.0,3397.0,3301.0,3352.0,3342.0,7865681.0,26289039620.0,529.0,غسالم,سالمین,بورس
2022-06-29,1401-04-08,3375.0,3542.0,3226.0,3542.0,3475.0,23501450.0,81663389134.0,1425.0,غسالم,سالمین,بورس
2022-07-02,1401-04-11,3599.0,3599.0,3371.0,3500.0,3460.0,8915269.0,30850303783.0,830.0,غسالم,سالمین,بورس
2022-07-03,1401-04-12,3479.0,3500.0,3392.0,3475.0,3436.0,5094352.0,17503900233.0,709.0,غسالم,سالمین,بورس
2022-07-04,1401-04-13,3450.0,3495.0,3385.0,3404.0,3427.0,3876533.0,13282508542.0,450.0,غسالم,سالمین,بورس
2022-07-05,1401-04-14,3478.0,3478.0,3250.0,3438.0,3368.0,8449067.0,28457631178.0,701.0,غسالم,سالمین,بورس
2022-07-06,1401-04-15,3300.0,3439.0,3300.0,3379.0,3338.0,7077654.0,23626272225.0,636.0,غسالم,سالمین,بورس
2022-07-09,1401-04-15,3300.0,3439.0,3300.0,3379.0,3338.0,7077654.0,23626272225.0,636.0,غسالم,سالمین,بورس
2022-07-11,1401-04-15,3300.0,3439.0,3300.0,3379.0,3338.0,7077654.0,23626272225.0,636.0,غسالم,سالمین,بورس
2022-07-12,1401-04-15,3300.0,3439.0,3300.0,3379.0,3338.0,7077654.0,23626272225.0,636.0,غسالم,سالمین,بورس
