Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,2577.0,2650.0,2508.0,2600.0,2608.0,17451638.0,45510956814.0,1335.0,غپینو,پارس مینو,بورس
2022-06-06,1401-03-16,2627.0,2627.0,2452.0,2452.0,2497.0,10122723.0,25273651178.0,561.0,غپینو,پارس مینو,بورس
2022-06-07,1401-03-17,2348.0,2445.0,2348.0,2365.0,2365.0,21298724.0,50374741884.0,1292.0,غپینو,پارس مینو,بورس
2022-06-08,1401-03-18,2302.0,2449.0,2302.0,2400.0,2391.0,10150974.0,24272281501.0,739.0,غپینو,پارس مینو,بورس
2022-06-11,1401-03-21,2450.0,2450.0,2280.0,2288.0,2319.0,13944624.0,32330656146.0,747.0,غپینو,پارس مینو,بورس
2022-06-12,1401-03-22,2260.0,2359.0,2210.0,2303.0,2298.0,10188861.0,23412954283.0,672.0,غپینو,پارس مینو,بورس
2022-06-13,1401-03-23,2365.0,2400.0,2315.0,2330.0,2348.0,11075379.0,26009043711.0,697.0,غپینو,پارس مینو,بورس
2022-06-14,1401-03-24,2339.0,2429.0,2331.0,2357.0,2388.0,8905485.0,21270162292.0,607.0,غپینو,پارس مینو,بورس
2022-06-15,1401-03-25,2390.0,2390.0,2300.0,2340.0,2345.0,4992532.0,11651225446.0,528.0,غپینو,پارس مینو,بورس
2022-06-18,1401-03-28,2300.0,2425.0,2261.0,2279.0,2309.0,6797619.0,15697509493.0,494.0,غپینو,پارس مینو,بورس
2022-06-19,1401-03-29,2292.0,2377.0,2258.0,2291.0,2312.0,9160141.0,21174457538.0,549.0,غپینو,پارس مینو,بورس
2022-06-20,1401-03-30,2281.0,2366.0,2260.0,2265.0,2304.0,6325847.0,14574197277.0,478.0,غپینو,پارس مینو,بورس
2022-06-21,1401-03-31,2240.0,2280.0,2166.0,2199.0,2205.0,11125741.0,24531454621.0,866.0,غپینو,پارس مینو,بورس
2022-06-22,1401-04-01,2171.0,2337.0,2171.0,2337.0,2315.0,19721108.0,45651421510.0,765.0,غپینو,پارس مینو,بورس
2022-06-25,1401-04-04,2337.0,2419.0,2255.0,2285.0,2311.0,15857353.0,36639586679.0,851.0,غپینو,پارس مینو,بورس
2022-06-26,1401-04-05,2300.0,2300.0,2181.0,2214.0,2224.0,6293960.0,13979509705.0,476.0,غپینو,پارس مینو,بورس
2022-06-27,1401-04-06,2261.0,2261.0,2179.0,2211.0,2225.0,6217571.0,13835607528.0,475.0,غپینو,پارس مینو,بورس
2022-06-28,1401-04-07,2198.0,2269.0,2190.0,2210.0,2228.0,5888842.0,13122416834.0,405.0,غپینو,پارس مینو,بورس
2022-06-29,1401-04-08,2200.0,2300.0,2200.0,2230.0,2219.0,5546675.0,12300920673.0,465.0,غپینو,پارس مینو,بورس
2022-07-02,1401-04-11,2203.0,2203.0,2103.0,2106.0,2130.0,10799075.0,22999411437.0,608.0,غپینو,پارس مینو,بورس
2022-07-03,1401-04-12,2092.0,2160.0,2045.0,2134.0,2125.0,5891012.0,12515636883.0,447.0,غپینو,پارس مینو,بورس
