Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,28100.0,29500.0,28090.0,29500.0,28280.0,1672608.0,47306824250.0,274.0,فباهنر,مس شهیدباهنر,بورس
2022-06-06,1401-03-16,29200.0,29200.0,26830.0,27060.0,27390.0,3695144.0,101193964990.0,1685.0,فباهنر,مس شهیدباهنر,بورس
2022-06-07,1401-03-17,26880.0,29030.0,26880.0,28470.0,28590.0,5608351.0,160341546580.0,1621.0,فباهنر,مس شهیدباهنر,بورس
2022-06-08,1401-03-18,28570.0,28790.0,28200.0,28350.0,28410.0,1865530.0,52996058860.0,853.0,فباهنر,مس شهیدباهنر,بورس
2022-06-11,1401-03-21,28200.0,28200.0,27590.0,27720.0,27870.0,2612414.0,72813746190.0,911.0,فباهنر,مس شهیدباهنر,بورس
2022-06-12,1401-03-22,27790.0,28450.0,27240.0,28170.0,27970.0,2138029.0,59811016380.0,834.0,فباهنر,مس شهیدباهنر,بورس
2022-06-13,1401-03-23,28300.0,29640.0,28210.0,29000.0,29190.0,4624548.0,134976297050.0,1211.0,فباهنر,مس شهیدباهنر,بورس
2022-06-14,1401-03-24,29380.0,29380.0,28550.0,28820.0,28880.0,1384758.0,39989185880.0,723.0,فباهنر,مس شهیدباهنر,بورس
2022-06-15,1401-03-25,28980.0,28980.0,27650.0,28000.0,27920.0,2200495.0,61436147210.0,1026.0,فباهنر,مس شهیدباهنر,بورس
2022-06-18,1401-03-28,27640.0,27790.0,26660.0,27620.0,27070.0,3169240.0,85778098600.0,1088.0,فباهنر,مس شهیدباهنر,بورس
2022-06-19,1401-03-29,27250.0,27940.0,27110.0,27140.0,27230.0,989389.0,26945633740.0,691.0,فباهنر,مس شهیدباهنر,بورس
2022-06-20,1401-03-30,27100.0,27740.0,27070.0,27100.0,27260.0,997991.0,27210666140.0,579.0,فباهنر,مس شهیدباهنر,بورس
2022-06-21,1401-03-31,27690.0,27690.0,26010.0,26590.0,26440.0,2756670.0,72898097760.0,1200.0,فباهنر,مس شهیدباهنر,بورس
2022-06-22,1401-04-01,26470.0,27200.0,26080.0,26400.0,26600.0,1488594.0,39593075840.0,842.0,فباهنر,مس شهیدباهنر,بورس
2022-06-25,1401-04-04,25950.0,25950.0,25020.0,25370.0,25330.0,5163685.0,130793376740.0,2211.0,فباهنر,مس شهیدباهنر,بورس
2022-06-26,1401-04-05,25350.0,25350.0,24750.0,24820.0,24940.0,2391762.0,59647247520.0,871.0,فباهنر,مس شهیدباهنر,بورس
2022-06-27,1401-04-06,25120.0,25250.0,24400.0,24830.0,24840.0,1510446.0,37521550620.0,832.0,فباهنر,مس شهیدباهنر,بورس
2022-06-28,1401-04-07,25190.0,25850.0,25190.0,25500.0,25520.0,1707658.0,43572302470.0,916.0,فباهنر,مس شهیدباهنر,بورس
2022-06-29,1401-04-08,25700.0,25790.0,24630.0,24980.0,25180.0,2058654.0,51832261230.0,944.0,فباهنر,مس شهیدباهنر,بورس
2022-07-02,1401-04-11,24800.0,24800.0,23960.0,24140.0,24240.0,3676273.0,89107383890.0,1584.0,فباهنر,مس شهیدباهنر,بورس
2022-07-03,1401-04-12,24300.0,24900.0,23900.0,24750.0,24460.0,3070489.0,75093062770.0,979.0,فباهنر,مس شهیدباهنر,بورس
2022-07-04,1401-04-13,24750.0,25550.0,24420.0,24470.0,24750.0,1210864.0,29969823930.0,812.0,فباهنر,مس شهیدباهنر,بورس
2022-07-05,1401-04-14,24600.0,24940.0,24450.0,24590.0,24560.0,1428556.0,35090099610.0,777.0,فباهنر,مس شهیدباهنر,بورس
2022-07-06,1401-04-15,24450.0,24450.0,23800.0,23800.0,23960.0,3112755.0,74583527300.0,1686.0,فباهنر,مس شهیدباهنر,بورس
2022-07-09,1401-04-18,23910.0,24390.0,23780.0,23920.0,23970.0,1675047.0,40143437990.0,927.0,فباهنر,مس شهیدباهنر,بورس
2022-07-11,1401-04-20,24090.0,24180.0,23600.0,23680.0,23890.0,2056001.0,49114593100.0,924.0,فباهنر,مس شهیدباهنر,بورس
2022-07-12,1401-04-21,23650.0,24400.0,23410.0,24320.0,23780.0,1804752.0,42911337980.0,842.0,فباهنر,مس شهیدباهنر,بورس
2022-07-13,1401-04-22,24320.0,24550.0,23940.0,23970.0,24050.0,2359527.0,56747440250.0,811.0,فباهنر,مس شهیدباهنر,بورس
2022-07-16,1401-04-25,23700.0,23990.0,23010.0,23090.0,23360.0,2171260.0,50711051940.0,1227.0,فباهنر,مس شهیدباهنر,بورس
2022-07-17,1401-04-26,23360.0,23360.0,22450.0,22780.0,22850.0,2415442.0,55183571660.0,1247.0,فباهنر,مس شهیدباهنر,بورس
2022-07-19,1401-04-28,22990.0,23870.0,22800.0,23670.0,23450.0,1294126.0,30342318700.0,768.0,فباهنر,مس شهیدباهنر,بورس
2022-07-20,1401-04-29,23510.0,24280.0,23510.0,24100.0,24040.0,1399341.0,33635546820.0,671.0,فباهنر,مس شهیدباهنر,بورس
2022-07-23,1401-05-01,24500.0,24730.0,23290.0,23510.0,23610.0,3912243.0,92371555520.0,1614.0,فباهنر,مس شهیدباهنر,بورس
2022-07-24,1401-05-02,23950.0,23950.0,22340.0,22700.0,22910.0,3516790.0,80561845630.0,1261.0,فباهنر,مس شهیدباهنر,بورس
2022-07-25,1401-05-03,22820.0,22990.0,21600.0,22700.0,22290.0,4328257.0,96489069320.0,1387.0,فباهنر,مس شهیدباهنر,بورس
2022-07-26,1401-05-04,22780.0,22780.0,22350.0,22740.0,22480.0,2783247.0,62578327910.0,987.0,فباهنر,مس شهیدباهنر,بورس
2022-07-27,1401-05-05,22990.0,23250.0,22410.0,23100.0,22910.0,1737318.0,39800366080.0,748.0,فباهنر,مس شهیدباهنر,بورس
2022-07-30,1401-05-08,22950.0,24230.0,22950.0,23590.0,23730.0,1807384.0,42896249390.0,1027.0,فباهنر,مس شهیدباهنر,بورس
2022-07-31,1401-05-09,23440.0,24040.0,22910.0,23900.0,23520.0,1431593.0,33676752250.0,782.0,فباهنر,مس شهیدباهنر,بورس
2022-08-01,1401-05-10,24140.0,24440.0,23710.0,23810.0,24030.0,1867929.0,44884431810.0,806.0,فباهنر,مس شهیدباهنر,بورس
2022-08-02,1401-05-11,24030.0,24210.0,23000.0,23970.0,23840.0,1186451.0,28281594340.0,492.0,فباهنر,مس شهیدباهنر,بورس
2022-08-03,1401-05-12,24100.0,24440.0,23840.0,24390.0,24030.0,1417513.0,34059944550.0,559.0,فباهنر,مس شهیدباهنر,بورس
2022-08-06,1401-05-15,24680.0,24800.0,24140.0,24500.0,24220.0,4720076.0,114329624260.0,1027.0,فباهنر,مس شهیدباهنر,بورس
2022-08-09,1401-05-18,24730.0,24730.0,24250.0,24480.0,24370.0,794524.0,19397035210.0,459.0,فباهنر,مس شهیدباهنر,بورس
2022-08-10,1401-05-19,24030.0,24630.0,24020.0,24340.0,24350.0,1386718.0,33772447150.0,436.0,فباهنر,مس شهیدباهنر,بورس
2022-08-13,1401-05-22,24300.0,25200.0,24300.0,25080.0,25010.0,1612013.0,40315536890.0,753.0,فباهنر,مس شهیدباهنر,بورس
2022-08-14,1401-05-23,25250.0,25350.0,24500.0,24740.0,24690.0,1292056.0,31905460170.0,547.0,فباهنر,مس شهیدباهنر,بورس
2022-08-15,1401-05-24,25000.0,25000.0,24200.0,24380.0,24340.0,2414392.0,58769325840.0,541.0,فباهنر,مس شهیدباهنر,بورس
2022-08-16,1401-05-25,24160.0,24400.0,23780.0,23790.0,24080.0,727186.0,17424086020.0,521.0,فباهنر,مس شهیدباهنر,بورس
2022-08-17,1401-05-26,23800.0,24080.0,23550.0,23810.0,23820.0,986655.0,23481373530.0,540.0,فباهنر,مس شهیدباهنر,بورس
2022-08-20,1401-05-29,23890.0,24160.0,23230.0,23250.0,23650.0,880167.0,20784461960.0,630.0,فباهنر,مس شهیدباهنر,بورس
2022-08-21,1401-05-30,23250.0,23790.0,23200.0,23390.0,23420.0,1032482.0,24171837810.0,510.0,فباهنر,مس شهیدباهنر,بورس
2022-08-22,1401-05-31,23600.0,23600.0,23110.0,23520.0,23400.0,1029083.0,24081345490.0,510.0,فباهنر,مس شهیدباهنر,بورس
2022-08-23,1401-06-01,23520.0,24490.0,23250.0,24490.0,24110.0,1009220.0,24358733930.0,514.0,فباهنر,مس شهیدباهنر,بورس
2022-08-24,1401-06-02,24390.0,25000.0,24390.0,24950.0,24820.0,1126209.0,27951445620.0,615.0,فباهنر,مس شهیدباهنر,بورس
2022-08-27,1401-06-05,25180.0,25180.0,24560.0,24610.0,24860.0,1259844.0,31320566860.0,695.0,فباهنر,مس شهیدباهنر,بورس
2022-08-28,1401-06-06,24950.0,24950.0,24300.0,24510.0,24640.0,616542.0,15099033420.0,377.0,فباهنر,مس شهیدباهنر,بورس
2022-08-29,1401-06-07,24510.0,24900.0,24200.0,24300.0,24370.0,1118808.0,27268630240.0,603.0,فباهنر,مس شهیدباهنر,بورس
2022-08-30,1401-06-08,24190.0,24730.0,23990.0,24340.0,24370.0,691662.0,16854255890.0,464.0,فباهنر,مس شهیدباهنر,بورس
2022-08-31,1401-06-09,23950.0,24400.0,23950.0,24200.0,24210.0,778339.0,18795387870.0,442.0,فباهنر,مس شهیدباهنر,بورس
2022-09-03,1401-06-12,24140.0,24150.0,23450.0,23760.0,23680.0,1205413.0,28539839300.0,578.0,فباهنر,مس شهیدباهنر,بورس
2022-09-04,1401-06-13,23500.0,24070.0,23500.0,24000.0,23770.0,407586.0,9747066740.0,295.0,فباهنر,مس شهیدباهنر,بورس
2022-09-05,1401-06-14,24000.0,24290.0,23860.0,23950.0,23960.0,700652.0,16852286390.0,327.0,فباهنر,مس شهیدباهنر,بورس
2022-09-06,1401-06-15,24100.0,24150.0,23570.0,23680.0,23820.0,587117.0,13918476550.0,372.0,فباهنر,مس شهیدباهنر,بورس
2022-09-07,1401-06-16,23690.0,23940.0,23410.0,23490.0,23620.0,842508.0,19861846790.0,482.0,فباهنر,مس شهیدباهنر,بورس
2022-09-10,1401-06-19,23500.0,23550.0,22950.0,23020.0,23090.0,1325027.0,30596121430.0,802.0,فباهنر,مس شهیدباهنر,بورس
2022-09-11,1401-06-20,23050.0,23480.0,22920.0,23090.0,23090.0,650945.0,15031333300.0,378.0,فباهنر,مس شهیدباهنر,بورس
2022-09-12,1401-06-21,23410.0,23700.0,23020.0,23230.0,23180.0,705063.0,16379205860.0,408.0,فباهنر,مس شهیدباهنر,بورس
2022-09-13,1401-06-22,23230.0,23680.0,23210.0,23500.0,23300.0,529244.0,12390762570.0,310.0,فباهنر,مس شهیدباهنر,بورس
2022-09-14,1401-06-23,23900.0,23900.0,23370.0,23450.0,23350.0,383615.0,8994496930.0,239.0,فباهنر,مس شهیدباهنر,بورس
2022-09-18,1401-06-27,23450.0,23740.0,23300.0,23350.0,23360.0,557734.0,13033233920.0,318.0,فباهنر,مس شهیدباهنر,بورس
2022-09-19,1401-06-28,23400.0,23580.0,23110.0,23150.0,23320.0,504374.0,11735196760.0,314.0,فباهنر,مس شهیدباهنر,بورس
2022-09-20,1401-06-29,23100.0,23230.0,22900.0,22940.0,23120.0,617496.0,14194647280.0,479.0,فباهنر,مس شهیدباهنر,بورس
2022-09-21,1401-06-30,22900.0,23340.0,22600.0,22620.0,22770.0,878780.0,19945326630.0,616.0,فباهنر,مس شهیدباهنر,بورس
