Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,7010.0,7120.0,6810.0,6990.0,7010.0,3345299.0,23454181640.0,562.0,فروس,فروسیلیس ایران,بورس
2022-06-06,1401-03-16,7090.0,7090.0,6590.0,6590.0,6670.0,8645023.0,57679820070.0,841.0,فروس,فروسیلیس ایران,بورس
2022-06-07,1401-03-17,6610.0,6820.0,6520.0,6700.0,6680.0,3915914.0,26172498620.0,634.0,فروس,فروسیلیس ایران,بورس
2022-06-08,1401-03-18,6890.0,7070.0,6690.0,6970.0,6940.0,4551442.0,31590398200.0,697.0,فروس,فروسیلیس ایران,بورس
2022-06-11,1401-03-21,6950.0,7160.0,6810.0,7020.0,6990.0,4558042.0,31867415180.0,588.0,فروس,فروسیلیس ایران,بورس
2022-06-12,1401-03-22,7090.0,7190.0,6990.0,7050.0,7080.0,4110474.0,29109020550.0,582.0,فروس,فروسیلیس ایران,بورس
2022-06-13,1401-03-23,7390.0,7390.0,7180.0,7300.0,7290.0,9082937.0,66181972580.0,677.0,فروس,فروسیلیس ایران,بورس
2022-06-14,1401-03-24,7180.0,7290.0,7000.0,7100.0,7180.0,4222785.0,30303683170.0,556.0,فروس,فروسیلیس ایران,بورس
2022-06-15,1401-03-25,7190.0,7400.0,6970.0,7160.0,7190.0,4025675.0,28937904230.0,580.0,فروس,فروسیلیس ایران,بورس
2022-06-18,1401-03-28,7040.0,7270.0,6960.0,7000.0,7060.0,2903773.0,20502532510.0,484.0,فروس,فروسیلیس ایران,بورس
2022-06-19,1401-03-29,6930.0,7130.0,6800.0,6880.0,6920.0,4713682.0,32623313050.0,552.0,فروس,فروسیلیس ایران,بورس
2022-06-20,1401-03-29,6930.0,7130.0,6800.0,6880.0,6920.0,4713682.0,32623313050.0,552.0,فروس,فروسیلیس ایران,بورس
2022-06-21,1401-03-29,6930.0,7130.0,6800.0,6880.0,6920.0,4713682.0,32623313050.0,552.0,فروس,فروسیلیس ایران,بورس
2022-06-22,1401-04-01,6990.0,6990.0,6730.0,6740.0,6820.0,4483829.0,30568217200.0,650.0,فروس,فروسیلیس ایران,بورس
2022-06-25,1401-04-04,6830.0,6830.0,6420.0,6480.0,6460.0,27060890.0,174763501150.0,2058.0,فروس,فروسیلیس ایران,بورس
2022-06-26,1401-04-05,6460.0,6560.0,6190.0,6450.0,6320.0,6191716.0,39158830210.0,788.0,فروس,فروسیلیس ایران,بورس
2022-06-27,1401-04-06,6490.0,6610.0,6340.0,6600.0,6540.0,5880008.0,38463848870.0,712.0,فروس,فروسیلیس ایران,بورس
2022-06-28,1401-04-07,6670.0,6740.0,6500.0,6660.0,6690.0,3837743.0,25664059450.0,456.0,فروس,فروسیلیس ایران,بورس
2022-06-29,1401-04-08,6610.0,6970.0,6600.0,6800.0,6780.0,3929232.0,26647186420.0,548.0,فروس,فروسیلیس ایران,بورس
2022-07-02,1401-04-11,6550.0,6730.0,6500.0,6660.0,6640.0,4236862.0,28113565260.0,395.0,فروس,فروسیلیس ایران,بورس
2022-07-03,1401-04-12,6700.0,6720.0,6500.0,6700.0,6650.0,4639045.0,30846045890.0,437.0,فروس,فروسیلیس ایران,بورس
2022-07-04,1401-04-13,6720.0,6900.0,6580.0,6750.0,6720.0,2300428.0,15459846940.0,358.0,فروس,فروسیلیس ایران,بورس
2022-07-05,1401-04-14,6750.0,6920.0,6730.0,6900.0,6840.0,5033634.0,34427728930.0,508.0,فروس,فروسیلیس ایران,بورس
2022-07-06,1401-04-15,6800.0,6940.0,6730.0,6900.0,6860.0,3888575.0,26693853180.0,522.0,فروس,فروسیلیس ایران,بورس
2022-07-09,1401-04-18,6670.0,7030.0,6670.0,6920.0,6920.0,6988436.0,48390214390.0,785.0,فروس,فروسیلیس ایران,بورس
2022-07-11,1401-04-18,6670.0,7030.0,6670.0,6920.0,6920.0,6988436.0,48390214390.0,785.0,فروس,فروسیلیس ایران,بورس
2022-07-12,1401-04-18,6670.0,7030.0,6670.0,6920.0,6920.0,6988436.0,48390214390.0,785.0,فروس,فروسیلیس ایران,بورس
