Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,7430.0,7450.0,7280.0,7410.0,7400.0,54943182.0,406389914610.0,4200.0,فملی,ملی صنایع مس ایران,بورس
2022-06-06,1401-03-16,7360.0,7400.0,7250.0,7250.0,7320.0,109524713.0,801415957700.0,6439.0,فملی,ملی صنایع مس ایران,بورس
2022-06-07,1401-03-17,7250.0,7370.0,7220.0,7330.0,7310.0,68210196.0,498854837530.0,4221.0,فملی,ملی صنایع مس ایران,بورس
2022-06-08,1401-03-18,7310.0,7460.0,7290.0,7450.0,7340.0,64334729.0,471950552450.0,4556.0,فملی,ملی صنایع مس ایران,بورس
2022-06-11,1401-03-21,7430.0,7440.0,7310.0,7420.0,7370.0,78470828.0,578556601510.0,4974.0,فملی,ملی صنایع مس ایران,بورس
2022-06-12,1401-03-22,7400.0,7550.0,7360.0,7540.0,7470.0,108484368.0,810866437190.0,6152.0,فملی,ملی صنایع مس ایران,بورس
2022-06-13,1401-03-23,7540.0,7800.0,7520.0,7720.0,7720.0,115512590.0,892017565850.0,8597.0,فملی,ملی صنایع مس ایران,بورس
2022-06-14,1401-03-24,7750.0,7760.0,7580.0,7660.0,7650.0,67932339.0,519637664670.0,5892.0,فملی,ملی صنایع مس ایران,بورس
2022-06-15,1401-03-25,7600.0,7630.0,7470.0,7510.0,7520.0,63638311.0,478436999030.0,4070.0,فملی,ملی صنایع مس ایران,بورس
2022-06-18,1401-03-28,7470.0,7510.0,7370.0,7500.0,7440.0,103122785.0,767746024810.0,5198.0,فملی,ملی صنایع مس ایران,بورس
2022-06-19,1401-03-29,7490.0,7500.0,7360.0,7430.0,7400.0,73304171.0,542566161670.0,4293.0,فملی,ملی صنایع مس ایران,بورس
2022-06-20,1401-03-30,7400.0,7440.0,7320.0,7360.0,7370.0,58151901.0,428506904030.0,4587.0,فملی,ملی صنایع مس ایران,بورس
2022-06-21,1401-03-31,7380.0,7380.0,7270.0,7290.0,7300.0,40325542.0,294417717860.0,3974.0,فملی,ملی صنایع مس ایران,بورس
2022-06-22,1401-04-01,7260.0,7290.0,7110.0,7180.0,7180.0,52524876.0,376919166510.0,6930.0,فملی,ملی صنایع مس ایران,بورس
2022-06-25,1401-04-04,6810.0,7050.0,6810.0,6940.0,6940.0,191120793.0,1326618701660.0,12585.0,فملی,ملی صنایع مس ایران,بورس
2022-06-26,1401-04-05,6890.0,6900.0,6610.0,6710.0,6710.0,110295397.0,739770285550.0,8219.0,فملی,ملی صنایع مس ایران,بورس
