J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,6190.0,6310.0,6100.0,6130.0,6140.0,257670035.0,1583039003060.0,14448.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-22,1401-11-02,6130.0,6290.0,6110.0,6240.0,6180.0,131724234.0,814437533830.0,7806.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-23,1401-11-03,6240.0,6380.0,6110.0,6260.0,6230.0,136778785.0,852041899700.0,7263.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-24,1401-11-04,6220.0,6270.0,6140.0,6210.0,6210.0,73351074.0,455517365500.0,5084.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-25,1401-11-05,6200.0,6200.0,6030.0,6100.0,6080.0,118382059.0,719736194500.0,6761.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-28,1401-11-08,6140.0,6180.0,6020.0,6030.0,6080.0,125951557.0,765625435350.0,6878.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-29,1401-11-09,6010.0,6020.0,5790.0,5970.0,5870.0,189522032.0,1112787029200.0,9240.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-30,1401-11-10,5800.0,6010.0,5680.0,5970.0,5870.0,138509344.0,813328770150.0,7765.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-01-31,1401-11-11,5970.0,6100.0,5910.0,5990.0,5990.0,90202536.0,540280991020.0,5095.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-02-01,1401-11-12,6000.0,6030.0,5960.0,5980.0,5990.0,98408845.0,589616040120.0,4478.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-02-04,1401-11-12,6000.0,6030.0,5960.0,5980.0,5990.0,98408845.0,589616040120.0,4478.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-02-05,1401-11-16,5980.0,6000.0,5890.0,5950.0,5950.0,157450063.0,936777854100.0,5581.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-02-06,1401-11-17,5950.0,6080.0,5940.0,6050.0,6000.0,91392166.0,547903510110.0,4885.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-02-07,1401-11-18,6050.0,6270.0,6050.0,6250.0,6180.0,104857562.0,648202833750.0,5796.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-02-08,1401-11-19,6220.0,6380.0,6200.0,6210.0,6270.0,102835863.0,644619084580.0,5958.0,فولاد,فولاد مبارکه اصفهان,بورس
2023-02-11,1401-11-19,6220.0,6380.0,6200.0,6210.0,6270.0,102835863.0,644619084580.0,5958.0,فولاد,فولاد مبارکه اصفهان,بورس
