J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,1718.0,1720.0,1660.0,1709.0,1691.0,25738857.0,43534205310.0,796.0,ملت,بیمه ملت,بورس
2023-01-22,1401-11-02,1691.0,1738.0,1665.0,1670.0,1687.0,18627699.0,31423927423.0,693.0,ملت,بیمه ملت,بورس
2023-01-23,1401-11-03,1720.0,1728.0,1590.0,1615.0,1651.0,30567209.0,50480723648.0,885.0,ملت,بیمه ملت,بورس
2023-01-24,1401-11-04,1610.0,1640.0,1583.0,1622.0,1611.0,11579190.0,18625898620.0,576.0,ملت,بیمه ملت,بورس
2023-01-25,1401-11-05,1640.0,1640.0,1513.0,1580.0,1558.0,14402686.0,22440612479.0,638.0,ملت,بیمه ملت,بورس
2023-01-28,1401-11-08,1618.0,1618.0,1477.0,1520.0,1513.0,16259039.0,24599089055.0,529.0,ملت,بیمه ملت,بورس
2023-01-29,1401-11-09,1460.0,1480.0,1408.0,1440.0,1416.0,37213968.0,52678565232.0,794.0,ملت,بیمه ملت,بورس
2023-01-30,1401-11-10,1430.0,1450.0,1323.0,1393.0,1380.0,12472467.0,17216004804.0,508.0,ملت,بیمه ملت,بورس
2023-01-31,1401-11-11,1380.0,1440.0,1351.0,1400.0,1402.0,11302228.0,15863135284.0,323.0,ملت,بیمه ملت,بورس
2023-02-01,1401-11-12,1371.0,1412.0,1371.0,1398.0,1398.0,11358407.0,15880244515.0,320.0,ملت,بیمه ملت,بورس
2023-02-04,1401-11-12,1371.0,1412.0,1371.0,1398.0,1398.0,11358407.0,15880244515.0,320.0,ملت,بیمه ملت,بورس
2023-02-05,1401-11-16,1401.0,1402.0,1345.0,1351.0,1375.0,8580035.0,11709615158.0,359.0,ملت,بیمه ملت,بورس
2023-02-06,1401-11-17,1350.0,1360.0,1330.0,1336.0,1345.0,10073239.0,13479115453.0,349.0,ملت,بیمه ملت,بورس
2023-02-07,1401-11-17,1350.0,1360.0,1330.0,1336.0,1345.0,10073239.0,13479115453.0,349.0,ملت,بیمه ملت,بورس
2023-02-08,1401-11-19,1350.0,1411.0,1345.0,1360.0,1357.0,6172373.0,8451281079.0,272.0,ملت,بیمه ملت,بورس
2023-02-11,1401-11-19,1350.0,1411.0,1345.0,1360.0,1357.0,6172373.0,8451281079.0,272.0,ملت,بیمه ملت,بورس
2023-02-12,1401-11-23,1350.0,1369.0,1331.0,1354.0,1354.0,5321630.0,7184741868.0,249.0,ملت,بیمه ملت,بورس
2023-02-13,1401-11-24,1354.0,1379.0,1339.0,1355.0,1352.0,6225835.0,8406289832.0,302.0,ملت,بیمه ملت,بورس
2023-02-14,1401-11-25,1340.0,1358.0,1336.0,1337.0,1344.0,8198611.0,10980414674.0,247.0,ملت,بیمه ملت,بورس
2023-02-15,1401-11-26,1323.0,1360.0,1310.0,1329.0,1332.0,10389154.0,13809809839.0,271.0,ملت,بیمه ملت,بورس
2023-02-18,1401-11-26,1323.0,1360.0,1310.0,1329.0,1332.0,10389154.0,13809809839.0,271.0,ملت,بیمه ملت,بورس
2023-02-19,1401-11-30,1316.0,1375.0,1316.0,1330.0,1331.0,7018341.0,9340243069.0,309.0,ملت,بیمه ملت,بورس
2023-02-20,1401-12-01,1330.0,1424.0,1330.0,1411.0,1401.0,14270979.0,19997395066.0,574.0,ملت,بیمه ملت,بورس
2023-02-21,1401-12-02,1410.0,1446.0,1380.0,1385.0,1410.0,22350011.0,31517596240.0,629.0,ملت,بیمه ملت,بورس
2023-02-22,1401-12-03,1400.0,1400.0,1334.0,1392.0,1387.0,8684379.0,11963194906.0,365.0,ملت,بیمه ملت,بورس
2023-02-25,1401-12-06,1365.0,1484.0,1365.0,1482.0,1461.0,21772819.0,31800409692.0,796.0,ملت,بیمه ملت,بورس
2023-02-26,1401-12-07,1470.0,1550.0,1380.0,1450.0,1460.0,20039440.0,29259030288.0,836.0,ملت,بیمه ملت,بورس
2023-02-27,1401-12-08,1430.0,1470.0,1381.0,1414.0,1421.0,21988604.0,31247773299.0,624.0,ملت,بیمه ملت,بورس
2023-02-28,1401-12-09,1470.0,1470.0,1380.0,1390.0,1397.0,13737847.0,19192608662.0,620.0,ملت,بیمه ملت,بورس
2023-03-01,1401-12-10,1400.0,1419.0,1376.0,1397.0,1396.0,12447836.0,17382445322.0,433.0,ملت,بیمه ملت,بورس
2023-03-05,1401-12-14,1338.0,1400.0,1338.0,1363.0,1368.0,11139330.0,15247802418.0,378.0,ملت,بیمه ملت,بورس
2023-03-06,1401-12-15,1342.0,1410.0,1334.0,1405.0,1383.0,15861200.0,21938889452.0,461.0,ملت,بیمه ملت,بورس
2023-03-07,1401-12-16,1390.0,1439.0,1390.0,1395.0,1405.0,14683223.0,20636648060.0,479.0,ملت,بیمه ملت,بورس
2023-03-08,1401-12-16,1390.0,1439.0,1390.0,1395.0,1405.0,14683223.0,20636648060.0,479.0,ملت,بیمه ملت,بورس
2023-03-12,1401-12-21,1400.0,1411.0,1352.0,1360.0,1374.0,15597721.0,21430117689.0,587.0,ملت,بیمه ملت,بورس
