J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,2728.0,2747.0,2647.0,2660.0,2687.0,205377254.0,551746096949.0,6443.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-22,1401-11-02,2690.0,2741.0,2602.0,2724.0,2684.0,111937457.0,300405523245.0,4102.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-23,1401-11-03,2754.0,2800.0,2600.0,2669.0,2707.0,172690671.0,467417186617.0,5862.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-24,1401-11-04,2699.0,2764.0,2656.0,2685.0,2706.0,82092055.0,222180654175.0,3736.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-25,1401-11-05,2685.0,2749.0,2550.0,2590.0,2610.0,89128118.0,232598195465.0,4551.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-28,1401-11-08,2600.0,2600.0,2463.0,2481.0,2508.0,95854431.0,240428235598.0,4003.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-29,1401-11-09,2480.0,2480.0,2333.0,2352.0,2344.0,125763446.0,294821860250.0,4587.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-30,1401-11-10,2354.0,2412.0,2255.0,2379.0,2351.0,104081076.0,244649130144.0,3758.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-01-31,1401-11-11,2395.0,2430.0,2351.0,2390.0,2387.0,52747814.0,125898246629.0,2433.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-02-01,1401-11-12,2427.0,2440.0,2355.0,2382.0,2388.0,54771509.0,130785413265.0,2078.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-02-04,1401-11-12,2427.0,2440.0,2355.0,2382.0,2388.0,54771509.0,130785413265.0,2078.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-02-05,1401-11-16,2362.0,2388.0,2253.0,2267.0,2307.0,55048456.0,126984853286.0,2679.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-02-06,1401-11-17,2314.0,2314.0,2200.0,2270.0,2251.0,61624564.0,138704968941.0,2622.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-02-07,1401-11-18,2314.0,2396.0,2300.0,2364.0,2354.0,38361205.0,90290133107.0,1925.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-02-08,1401-11-19,2390.0,2390.0,2320.0,2355.0,2355.0,45447692.0,107051654899.0,1641.0,های وب,داده گسترعصرنوین-های وب,بورس
2023-02-11,1401-11-19,2390.0,2390.0,2320.0,2355.0,2355.0,45447692.0,107051654899.0,1641.0,های وب,داده گسترعصرنوین-های وب,بورس
