Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,2727.0,2757.0,2600.0,2660.0,2687.0,5312753.0,14274229941.0,433.0,وایران,لیزینگ ایرانیان,بورس
2022-06-06,1401-03-16,2687.0,2687.0,2526.0,2526.0,2538.0,10078381.0,25581371396.0,393.0,وایران,لیزینگ ایرانیان,بورس
2022-06-07,1401-03-17,2480.0,2560.0,2436.0,2487.0,2508.0,4472539.0,11185189325.0,342.0,وایران,لیزینگ ایرانیان,بورس
2022-06-08,1401-03-18,2430.0,2658.0,2430.0,2658.0,2627.0,5227367.0,13776435504.0,435.0,وایران,لیزینگ ایرانیان,بورس
2022-06-11,1401-03-21,2780.0,2784.0,2680.0,2784.0,2778.0,8471487.0,23533254402.0,483.0,وایران,لیزینگ ایرانیان,بورس
2022-06-12,1401-03-22,2861.0,2944.0,2730.0,2857.0,2902.0,29781882.0,86415679674.0,1534.0,وایران,لیزینگ ایرانیان,بورس
2022-06-13,1401-03-23,2800.0,3010.0,2800.0,2815.0,2895.0,11977215.0,34671322352.0,938.0,وایران,لیزینگ ایرانیان,بورس
2022-06-14,1401-03-24,2831.0,2880.0,2722.0,2740.0,2757.0,11507454.0,31728393463.0,693.0,وایران,لیزینگ ایرانیان,بورس
2022-06-15,1401-03-25,2812.0,2867.0,2757.0,2805.0,2822.0,6492527.0,18323480551.0,684.0,وایران,لیزینگ ایرانیان,بورس
2022-06-18,1401-03-28,2860.0,2900.0,2703.0,2720.0,2771.0,4997256.0,13833164372.0,537.0,وایران,لیزینگ ایرانیان,بورس
2022-06-19,1401-03-29,2689.0,2827.0,2650.0,2675.0,2724.0,7048001.0,19201666846.0,417.0,وایران,لیزینگ ایرانیان,بورس
2022-06-20,1401-03-30,2661.0,2772.0,2610.0,2719.0,2708.0,4550690.0,12308622007.0,388.0,وایران,لیزینگ ایرانیان,بورس
2022-06-21,1401-03-31,2770.0,2770.0,2673.0,2699.0,2706.0,2435452.0,6586828043.0,261.0,وایران,لیزینگ ایرانیان,بورس
2022-06-22,1401-04-01,2680.0,2747.0,2600.0,2622.0,2668.0,3240781.0,8566752384.0,285.0,وایران,لیزینگ ایرانیان,بورس
2022-06-25,1401-04-04,2661.0,2828.0,2571.0,2828.0,2808.0,12888009.0,36193577926.0,663.0,وایران,لیزینگ ایرانیان,بورس
2022-06-26,1401-04-05,2840.0,2877.0,2726.0,2829.0,2799.0,4157616.0,11623779870.0,328.0,وایران,لیزینگ ایرانیان,بورس
2022-06-27,1401-04-06,2863.0,2965.0,2761.0,2952.0,2885.0,10086643.0,29096448859.0,721.0,وایران,لیزینگ ایرانیان,بورس
2022-06-28,1401-04-07,3015.0,3015.0,2900.0,2920.0,2919.0,6785808.0,19809586856.0,576.0,وایران,لیزینگ ایرانیان,بورس
2022-06-29,1401-04-08,2849.0,2970.0,2801.0,2868.0,2854.0,6397401.0,18255974605.0,543.0,وایران,لیزینگ ایرانیان,بورس
2022-07-02,1401-04-11,2750.0,2896.0,2750.0,2846.0,2832.0,2024358.0,5659564267.0,213.0,وایران,لیزینگ ایرانیان,بورس
2022-07-03,1401-04-12,2800.0,2889.0,2780.0,2889.0,2822.0,3802288.0,10714825007.0,338.0,وایران,لیزینگ ایرانیان,بورس
2022-07-04,1401-04-13,2940.0,2940.0,2710.0,2900.0,2853.0,11466151.0,32708617027.0,858.0,وایران,لیزینگ ایرانیان,بورس
2022-07-05,1401-04-14,2940.0,3000.0,2871.0,2974.0,2956.0,8515977.0,25174998935.0,759.0,وایران,لیزینگ ایرانیان,بورس
2022-07-06,1401-04-15,2950.0,2950.0,2821.0,2855.0,2913.0,3355079.0,9691584621.0,369.0,وایران,لیزینگ ایرانیان,بورس
2022-07-09,1401-04-18,2855.0,2890.0,2739.0,2739.0,2766.0,6866052.0,18993881665.0,496.0,وایران,لیزینگ ایرانیان,بورس
2022-07-11,1401-04-20,2700.0,2790.0,2601.0,2605.0,2643.0,4528622.0,11894609277.0,413.0,وایران,لیزینگ ایرانیان,بورس
2022-07-12,1401-04-21,2562.0,2701.0,2500.0,2553.0,2593.0,3884017.0,10008255896.0,360.0,وایران,لیزینگ ایرانیان,بورس
2022-07-13,1401-04-22,2680.0,2748.0,2600.0,2748.0,2734.0,6850081.0,18725910105.0,280.0,وایران,لیزینگ ایرانیان,بورس
2022-07-16,1401-04-25,2779.0,2898.0,2734.0,2804.0,2840.0,11689087.0,33196806881.0,629.0,وایران,لیزینگ ایرانیان,بورس
2022-07-17,1401-04-26,2851.0,2851.0,2721.0,2775.0,2791.0,3621818.0,10017732389.0,332.0,وایران,لیزینگ ایرانیان,بورس
2022-07-19,1401-04-28,2870.0,2870.0,2630.0,2720.0,2706.0,4296732.0,11527528783.0,316.0,وایران,لیزینگ ایرانیان,بورس
2022-07-20,1401-04-29,2630.0,2769.0,2630.0,2739.0,2716.0,4351720.0,11831167627.0,365.0,وایران,لیزینگ ایرانیان,بورس
2022-07-23,1401-05-01,2700.0,2771.0,2652.0,2713.0,2712.0,1727434.0,4671164053.0,235.0,وایران,لیزینگ ایرانیان,بورس
2022-07-24,1401-05-02,2632.0,2704.0,2564.0,2604.0,2646.0,4401404.0,11569733541.0,377.0,وایران,لیزینگ ایرانیان,بورس
2022-07-25,1401-05-03,2605.0,2605.0,2525.0,2590.0,2623.0,1352147.0,3452333024.0,194.0,وایران,لیزینگ ایرانیان,بورس
2022-07-26,1401-05-04,2511.0,2661.0,2511.0,2561.0,2594.0,3030896.0,7792209326.0,206.0,وایران,لیزینگ ایرانیان,بورس
2022-07-27,1401-05-05,2504.0,2681.0,2504.0,2660.0,2610.0,1861142.0,4914221756.0,177.0,وایران,لیزینگ ایرانیان,بورس
2022-07-30,1401-05-08,2609.0,2700.0,2609.0,2639.0,2621.0,3028754.0,7968074159.0,216.0,وایران,لیزینگ ایرانیان,بورس
2022-07-31,1401-05-09,2600.0,2700.0,2553.0,2600.0,2613.0,2004530.0,5207419418.0,187.0,وایران,لیزینگ ایرانیان,بورس
2022-08-01,1401-05-10,2687.0,2687.0,2560.0,2613.0,2609.0,2056091.0,5351804676.0,182.0,وایران,لیزینگ ایرانیان,بورس
2022-08-02,1401-05-11,2575.0,2659.0,2572.0,2640.0,2609.0,2144130.0,5593847015.0,144.0,وایران,لیزینگ ایرانیان,بورس
2022-08-03,1401-05-12,2687.0,2687.0,2609.0,2667.0,2616.0,1995937.0,5248908613.0,174.0,وایران,لیزینگ ایرانیان,بورس
2022-08-06,1401-05-15,2661.0,2740.0,2661.0,2710.0,2673.0,3579521.0,9690686986.0,241.0,وایران,لیزینگ ایرانیان,بورس
2022-08-09,1401-05-18,2606.0,2753.0,2606.0,2699.0,2680.0,1335423.0,3608428840.0,167.0,وایران,لیزینگ ایرانیان,بورس
2022-08-10,1401-05-19,2603.0,2739.0,2603.0,2718.0,2686.0,2463240.0,6635599049.0,209.0,وایران,لیزینگ ایرانیان,بورس
2022-08-13,1401-05-22,2700.0,2823.0,2690.0,2816.0,2760.0,4338210.0,12063092860.0,354.0,وایران,لیزینگ ایرانیان,بورس
2022-08-14,1401-05-23,2800.0,2866.0,2705.0,2770.0,2764.0,2171149.0,6013069573.0,244.0,وایران,لیزینگ ایرانیان,بورس
2022-08-15,1401-05-24,2800.0,2801.0,2681.0,2787.0,2755.0,2266388.0,6216251899.0,230.0,وایران,لیزینگ ایرانیان,بورس
2022-08-16,1401-05-25,2808.0,2920.0,2780.0,2899.0,2849.0,6878075.0,19594322179.0,459.0,وایران,لیزینگ ایرانیان,بورس
2022-08-17,1401-05-26,2925.0,3019.0,2850.0,3019.0,2973.0,12329551.0,36656966041.0,786.0,وایران,لیزینگ ایرانیان,بورس
2022-08-20,1401-05-29,2901.0,3070.0,2869.0,2928.0,2943.0,3888450.0,11408255030.0,420.0,وایران,لیزینگ ایرانیان,بورس
2022-08-21,1401-05-30,2885.0,3119.0,2856.0,3119.0,3080.0,19748164.0,60817027062.0,868.0,وایران,لیزینگ ایرانیان,بورس
2022-08-22,1401-05-31,3150.0,3262.0,2960.0,2988.0,3081.0,10896906.0,33577869743.0,968.0,وایران,لیزینگ ایرانیان,بورس
2022-08-23,1401-06-01,3039.0,3044.0,2910.0,3019.0,2980.0,13086589.0,38999403573.0,971.0,وایران,لیزینگ ایرانیان,بورس
2022-08-24,1401-06-02,3078.0,3089.0,3000.0,3042.0,3035.0,3947093.0,12040053225.0,409.0,وایران,لیزینگ ایرانیان,بورس
2022-08-27,1401-06-05,3010.0,3058.0,2900.0,2980.0,2971.0,6150227.0,18271648603.0,481.0,وایران,لیزینگ ایرانیان,بورس
2022-08-28,1401-06-06,2971.0,3149.0,2971.0,3149.0,3123.0,15919524.0,49714130986.0,911.0,وایران,لیزینگ ایرانیان,بورس
2022-08-29,1401-06-07,3250.0,3341.0,3155.0,3341.0,3303.0,17429365.0,57568922752.0,1238.0,وایران,لیزینگ ایرانیان,بورس
2022-08-30,1401-06-08,3450.0,3450.0,3160.0,3279.0,3268.0,8825294.0,28839960459.0,893.0,وایران,لیزینگ ایرانیان,بورس
2022-08-31,1401-06-09,3323.0,3458.0,3162.0,3286.0,3313.0,7724367.0,25587608603.0,687.0,وایران,لیزینگ ایرانیان,بورس
2022-09-03,1401-06-12,3286.0,3332.0,3108.0,3187.0,3188.0,5480788.0,17472997427.0,493.0,وایران,لیزینگ ایرانیان,بورس
2022-09-04,1401-06-13,3140.0,3280.0,3122.0,3233.0,3216.0,2923442.0,9446958476.0,275.0,وایران,لیزینگ ایرانیان,بورس
2022-09-05,1401-06-14,3186.0,3280.0,3108.0,3240.0,3210.0,6035410.0,19371533301.0,496.0,وایران,لیزینگ ایرانیان,بورس
2022-09-06,1401-06-15,3210.0,3420.0,3170.0,3385.0,3315.0,8648399.0,28665390229.0,563.0,وایران,لیزینگ ایرانیان,بورس
2022-09-07,1401-06-16,3430.0,3500.0,3300.0,3315.0,3403.0,14584878.0,49636688561.0,788.0,وایران,لیزینگ ایرانیان,بورس
2022-09-10,1401-06-19,3328.0,3328.0,3165.0,3165.0,3186.0,6484249.0,20660949774.0,568.0,وایران,لیزینگ ایرانیان,بورس
2022-09-11,1401-06-20,3052.0,3265.0,3051.0,3083.0,3143.0,5098771.0,16023392369.0,448.0,وایران,لیزینگ ایرانیان,بورس
2022-09-12,1401-06-21,3148.0,3178.0,3040.0,3099.0,3110.0,2519460.0,7772568194.0,300.0,وایران,لیزینگ ایرانیان,بورس
2022-09-13,1401-06-22,3074.0,3149.0,3074.0,3141.0,3117.0,2252835.0,7037363389.0,205.0,وایران,لیزینگ ایرانیان,بورس
2022-09-14,1401-06-23,3033.0,3124.0,3012.0,3050.0,3086.0,2496723.0,7647745631.0,222.0,وایران,لیزینگ ایرانیان,بورس
2022-09-18,1401-06-27,2992.0,3085.0,2870.0,2872.0,2888.0,12458266.0,35974488701.0,801.0,وایران,لیزینگ ایرانیان,بورس
2022-09-19,1401-06-28,2742.0,2959.0,2742.0,2859.0,2883.0,4281990.0,12343333125.0,346.0,وایران,لیزینگ ایرانیان,بورس
2022-09-20,1401-06-29,2880.0,2920.0,2682.0,2720.0,2714.0,13712492.0,37219047742.0,516.0,وایران,لیزینگ ایرانیان,بورس
2022-09-21,1401-06-30,2700.0,2749.0,2651.0,2736.0,2709.0,2017171.0,5452021808.0,212.0,وایران,لیزینگ ایرانیان,بورس
2022-09-24,1401-07-02,2700.0,2830.0,2601.0,2726.0,2709.0,7647032.0,20715579992.0,521.0,وایران,لیزینگ ایرانیان,بورس
2022-09-26,1401-07-04,2810.0,2848.0,2671.0,2815.0,2758.0,3257519.0,9093689209.0,279.0,وایران,لیزینگ ایرانیان,بورس
2022-09-28,1401-07-06,2763.0,2888.0,2762.0,2870.0,2837.0,4299688.0,12297238459.0,251.0,وایران,لیزینگ ایرانیان,بورس
2022-10-01,1401-07-09,2899.0,2899.0,2700.0,2780.0,2817.0,2625021.0,7339880176.0,218.0,وایران,لیزینگ ایرانیان,بورس
2022-10-02,1401-07-10,2640.0,2850.0,2640.0,2809.0,2803.0,2347737.0,6538275109.0,194.0,وایران,لیزینگ ایرانیان,بورس
2022-10-03,1401-07-11,2715.0,2879.0,2715.0,2797.0,2802.0,2027011.0,5676210070.0,166.0,وایران,لیزینگ ایرانیان,بورس
2022-10-04,1401-07-12,2899.0,2899.0,2726.0,2742.0,2780.0,2425297.0,6676990119.0,178.0,وایران,لیزینگ ایرانیان,بورس
2022-10-08,1401-07-16,2665.0,2845.0,2665.0,2770.0,2778.0,1616332.0,4484763933.0,159.0,وایران,لیزینگ ایرانیان,بورس
2022-10-09,1401-07-17,2672.0,2757.0,2601.0,2685.0,2720.0,3079213.0,8242731772.0,227.0,وایران,لیزینگ ایرانیان,بورس
