Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,7600.0,7650.0,7250.0,7410.0,7470.0,4313275.0,31652014200.0,458.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-22,1401-11-02,7250.0,7470.0,7130.0,7300.0,7340.0,4377817.0,31907752700.0,417.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-23,1401-11-03,7370.0,7430.0,7020.0,7200.0,7290.0,2296017.0,16565864410.0,251.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-24,1401-11-04,7120.0,7310.0,7020.0,7190.0,7210.0,2470821.0,17537607110.0,228.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-25,1401-11-05,7100.0,7220.0,6910.0,7000.0,7170.0,2062617.0,14639891000.0,252.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-28,1401-11-08,7000.0,7110.0,6850.0,6890.0,7050.0,3354472.0,23345218460.0,304.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-29,1401-11-09,6860.0,7090.0,6560.0,6560.0,6640.0,5328490.0,35077085760.0,216.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-30,1401-11-10,6500.0,6800.0,6190.0,6480.0,6570.0,2084325.0,13413422700.0,315.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-01-31,1401-11-11,6500.0,6670.0,6400.0,6530.0,6550.0,1659213.0,10767884320.0,233.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-01,1401-11-12,6420.0,6700.0,6350.0,6420.0,6550.0,2257628.0,14814615440.0,262.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-04,1401-11-12,6420.0,6700.0,6350.0,6420.0,6550.0,2257628.0,14814615440.0,262.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-05,1401-11-16,6550.0,6550.0,6200.0,6250.0,6480.0,1973455.0,12514208240.0,238.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-06,1401-11-17,6150.0,6480.0,6060.0,6260.0,6380.0,3358729.0,21168981700.0,196.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-07,1401-11-18,6640.0,6760.0,6330.0,6550.0,6500.0,24385810.0,158515378490.0,1149.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-08,1401-11-19,6720.0,6720.0,6320.0,6340.0,6390.0,9817644.0,62758550090.0,478.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-11,1401-11-19,6720.0,6720.0,6320.0,6340.0,6390.0,9817644.0,62758550090.0,478.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-12,1401-11-23,6280.0,6330.0,6100.0,6280.0,6350.0,1279774.0,7934449700.0,195.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-13,1401-11-24,6350.0,6490.0,6160.0,6210.0,6310.0,1882906.0,11687545810.0,279.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-14,1401-11-25,6160.0,6270.0,6060.0,6130.0,6260.0,1378307.0,8407631410.0,193.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-15,1401-11-26,6060.0,6220.0,6050.0,6100.0,6210.0,1997143.0,12199677260.0,157.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-18,1401-11-26,6060.0,6220.0,6050.0,6100.0,6210.0,1997143.0,12199677260.0,157.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-19,1401-11-30,6050.0,6310.0,6020.0,6200.0,6200.0,6093493.0,37792333890.0,307.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-20,1401-12-01,6630.0,6630.0,6370.0,6420.0,6480.0,7609311.0,49335220000.0,495.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-21,1401-12-02,6540.0,6800.0,6400.0,6410.0,6530.0,10853885.0,70878688140.0,646.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-22,1401-12-03,6500.0,6570.0,6250.0,6420.0,6460.0,3650380.0,23433869550.0,588.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-25,1401-12-06,6460.0,6910.0,6460.0,6910.0,6830.0,13197291.0,90157236490.0,731.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-26,1401-12-07,7160.0,7160.0,6600.0,6680.0,6820.0,5502480.0,37502616630.0,514.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-27,1401-12-08,6550.0,6850.0,6520.0,6600.0,6660.0,6186486.0,41218570810.0,799.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-02-28,1401-12-09,6560.0,6690.0,6530.0,6630.0,6620.0,3408987.0,22480543020.0,542.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-01,1401-12-09,6560.0,6690.0,6530.0,6630.0,6620.0,3408987.0,22480543020.0,542.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-05,1401-12-14,6850.0,6850.0,6460.0,6480.0,6600.0,2524966.0,16616431100.0,449.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-06,1401-12-15,6590.0,6620.0,6460.0,6560.0,6570.0,3607258.0,23616931850.0,454.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-07,1401-12-16,6650.0,6650.0,6510.0,6550.0,6560.0,3558520.0,23308852940.0,380.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-08,1401-12-16,6650.0,6650.0,6510.0,6550.0,6560.0,3558520.0,23308852940.0,380.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-12,1401-12-21,6460.0,6530.0,6270.0,6380.0,6500.0,2937599.0,18820245680.0,795.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-13,1401-12-22,6270.0,6500.0,6070.0,6160.0,6170.0,6073349.0,37496547750.0,637.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-14,1401-12-23,6150.0,6320.0,6150.0,6270.0,6240.0,8245748.0,51476584640.0,548.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-15,1401-12-24,6300.0,6460.0,6200.0,6420.0,6350.0,14830760.0,94231988030.0,809.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-19,1401-12-28,6640.0,6740.0,6500.0,6670.0,6630.0,8380033.0,55522441010.0,612.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-20,1401-12-28,6640.0,6740.0,6500.0,6670.0,6630.0,8380033.0,55522441010.0,612.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-21,1401-12-28,6640.0,6740.0,6500.0,6670.0,6630.0,8380033.0,55522441010.0,612.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-22,1401-12-28,6640.0,6740.0,6500.0,6670.0,6630.0,8380033.0,55522441010.0,612.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-25,1402-01-05,6600.0,6900.0,6600.0,6870.0,6790.0,5322558.0,36261733180.0,540.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-26,1402-01-06,6880.0,7150.0,6750.0,6800.0,6880.0,5265546.0,36303844240.0,694.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
2023-03-27,1402-01-07,6780.0,7120.0,6750.0,7100.0,6990.0,7193615.0,50251403850.0,540.0,وبشهر,توسعه صنایع بهشهر(هلدینگ,بورس
